document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,1f41978e3ee1b54ff2a94a05198e13a4__f19ea6483674989de8188b6de347659e6a4fe754eb0fddb779f226bca7c8923f,ADAPTATION,ADAPTATION,adaptation,333,343,"The conclusion of the first Global Stocktake at COP28 represents a pivotal point to assess the status quo and identify the gaps and opportunities for implementation of the Paris Agreement across mitigation, adaptation, and means of implementation.",1.0,explorer,
UNFCCC.non-party.1859.0,19dc806eb7f870daf636a5f8135d70c7__34c59edfd6b50ef754a0e2ada8a4c9fc7733f715eb70a646faac995cdee70016,ADAPTATION,ADAPTATION,Adaptation,45,55,"2 IPCC (2022), Climate Change 2022: Impacts, Adaptation, and Vulnerability.",1.0,explorer,
UNFCCC.non-party.1855.0,520bfc36436e657cfe7ffa1dd87ac1a1__7fae31c4d5da43c543210acfebf50d9351eee830f675ab4d8296be7bebbb887d,ADAPTATION,ADAPTATION,adaptation,345,355,The submission will be informed by the experience and lessons learnt of the LOCAL Facility and focus on the adaptation component of the GST.,1.0,explorer,
UNFCCC.non-party.1855.0,55cf86f5bb13d0db986cbcce615c8c6f__674f77f870225ec975c20a9693a89d8e95e42f8b21c598200728611b18004e05,ADAPTATION,ADAPTATION,adaptation,163,173,"The LOCAL Facility supports the implementation of the LOCAL Mechanism, which enables the implementation of nationally determined contributions (NDCs) and national adaptation plans (NAPs) through decentralization and local-level implementation strategies.",1.0,explorer,
UNFCCC.non-party.1855.0,9f4e27254cceb439434184f30f8cf89a__3419a2629f91db754d12845efe64c4f768a2143d40ef8457d52337895039e077,ADAPTATION,ADAPTATION,adaptation,16,26,Context and adaptation under the GST,1.0,explorer,
UNFCCC.non-party.1855.0,3913d9586d214ac66a933d95686f8c5a__64472608897b2acb6d7690de5cd4f05ec5fabf582230dd16a30637f9a2159630,ADAPTATION,ADAPTATION,adaptation,499,509,"Also, Article 7, paragraph 14 provides that the GST shall recognize the adaptation efforts of developing country Parties; enhance the implementation of adaptation action taking into account the adaptation communication referred to in Article 7, paragraph 10 of the Paris Agreement; review the adequacy and effectiveness of adaptation and support provided for adaptation; and review the overall progress made in achieving the global goal on adaptation referred to in Article 7, paragraph 1.",1.0,explorer,
UNFCCC.non-party.1855.0,3913d9586d214ac66a933d95686f8c5a__64472608897b2acb6d7690de5cd4f05ec5fabf582230dd16a30637f9a2159630,ADAPTATION,ADAPTATION,adaptation,750,760,"Also, Article 7, paragraph 14 provides that the GST shall recognize the adaptation efforts of developing country Parties; enhance the implementation of adaptation action taking into account the adaptation communication referred to in Article 7, paragraph 10 of the Paris Agreement; review the adequacy and effectiveness of adaptation and support provided for adaptation; and review the overall progress made in achieving the global goal on adaptation referred to in Article 7, paragraph 1.",1.0,explorer,
UNFCCC.non-party.1855.0,3913d9586d214ac66a933d95686f8c5a__64472608897b2acb6d7690de5cd4f05ec5fabf582230dd16a30637f9a2159630,ADAPTATION,ADAPTATION,adaptation,867,877,"Also, Article 7, paragraph 14 provides that the GST shall recognize the adaptation efforts of developing country Parties; enhance the implementation of adaptation action taking into account the adaptation communication referred to in Article 7, paragraph 10 of the Paris Agreement; review the adequacy and effectiveness of adaptation and support provided for adaptation; and review the overall progress made in achieving the global goal on adaptation referred to in Article 7, paragraph 1.",1.0,explorer,
UNFCCC.non-party.1855.0,3913d9586d214ac66a933d95686f8c5a__64472608897b2acb6d7690de5cd4f05ec5fabf582230dd16a30637f9a2159630,ADAPTATION,ADAPTATION,adaptation,579,589,"Also, Article 7, paragraph 14 provides that the GST shall recognize the adaptation efforts of developing country Parties; enhance the implementation of adaptation action taking into account the adaptation communication referred to in Article 7, paragraph 10 of the Paris Agreement; review the adequacy and effectiveness of adaptation and support provided for adaptation; and review the overall progress made in achieving the global goal on adaptation referred to in Article 7, paragraph 1.",1.0,explorer,
UNFCCC.non-party.1855.0,3913d9586d214ac66a933d95686f8c5a__64472608897b2acb6d7690de5cd4f05ec5fabf582230dd16a30637f9a2159630,ADAPTATION,ADAPTATION,adaptation,621,631,"Also, Article 7, paragraph 14 provides that the GST shall recognize the adaptation efforts of developing country Parties; enhance the implementation of adaptation action taking into account the adaptation communication referred to in Article 7, paragraph 10 of the Paris Agreement; review the adequacy and effectiveness of adaptation and support provided for adaptation; and review the overall progress made in achieving the global goal on adaptation referred to in Article 7, paragraph 1.",1.0,explorer,
UNFCCC.non-party.1855.0,3913d9586d214ac66a933d95686f8c5a__64472608897b2acb6d7690de5cd4f05ec5fabf582230dd16a30637f9a2159630,ADAPTATION,ADAPTATION,adaptation,354,364,"Article 14, paragraph 1 of the Paris Agreement, states that the Conference of the Parties serving as the meeting of the Parties to the Paris Agreement (CMA) shall periodically take stock of the implementation of the Paris Agreement to assess the collective progress towards achieving its purpose and its long-term goals, that includes the global goal on adaptation established in Article 7, paragraph 1 of the Paris Agreement.",1.0,explorer,
UNFCCC.non-party.1855.0,3913d9586d214ac66a933d95686f8c5a__64472608897b2acb6d7690de5cd4f05ec5fabf582230dd16a30637f9a2159630,ADAPTATION,ADAPTATION,adaptation,786,796,"Also, Article 7, paragraph 14 provides that the GST shall recognize the adaptation efforts of developing country Parties; enhance the implementation of adaptation action taking into account the adaptation communication referred to in Article 7, paragraph 10 of the Paris Agreement; review the adequacy and effectiveness of adaptation and support provided for adaptation; and review the overall progress made in achieving the global goal on adaptation referred to in Article 7, paragraph 1.",1.0,explorer,
UNFCCC.non-party.1855.0,91b4e225993b57d603fd9a7c9d85c77c__ea4adb5708660164179d64016c698bbf193ab9ccf8848787d107178b5babebd1,ADAPTATION,ADAPTATION,adaptation,194,204,"Article 7, paragraph 2 of the Paris Agreement recognized that adaptation is a global challenge faced by all with local, subnational, national, regional, and international dimensions.",1.0,explorer,
UNFCCC.non-party.1855.0,9bb93dceb60b3c337e43aa0841e8347f__be9159f5fe15889ddd62ca4dbb31e554c8d479159a37a07cef5ca2b3a6ee7780,ADAPTATION,ADAPTATION,adaptation,73,83,"The Synthesis report for the technical assessment of GST on the state of adaptation efforts, experience, and properties (TD 1 synthesis report) found there is a further need for alignment between national, subnational, and local adaptation risk assessment and planning and lack of local governments capacity to implement adaptation action ( both human and financial resources) as challenges linked to adaptation.",1.0,explorer,
UNFCCC.non-party.1855.0,9bb93dceb60b3c337e43aa0841e8347f__be9159f5fe15889ddd62ca4dbb31e554c8d479159a37a07cef5ca2b3a6ee7780,ADAPTATION,ADAPTATION,adaptation,229,239,"The Synthesis report for the technical assessment of GST on the state of adaptation efforts, experience, and properties (TD 1 synthesis report) found there is a further need for alignment between national, subnational, and local adaptation risk assessment and planning and lack of local governments capacity to implement adaptation action ( both human and financial resources) as challenges linked to adaptation.",1.0,explorer,
UNFCCC.non-party.1855.0,9bb93dceb60b3c337e43aa0841e8347f__be9159f5fe15889ddd62ca4dbb31e554c8d479159a37a07cef5ca2b3a6ee7780,ADAPTATION,ADAPTATION,adaptation,321,331,"The Synthesis report for the technical assessment of GST on the state of adaptation efforts, experience, and properties (TD 1 synthesis report) found there is a further need for alignment between national, subnational, and local adaptation risk assessment and planning and lack of local governments capacity to implement adaptation action ( both human and financial resources) as challenges linked to adaptation.",1.0,explorer,
