document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,5ad10d4ec88c3a18f5e89e5dc90c298e__10d73f675bc0545a7d401a6e3506f93a5a2b827a576939839a01c6a670a8e22c,ADAPTATION,ADAPTATION,adaptation,2247,2257,"Enhanced biological productivity, which could increase
fish catch.
Can contribute to ecosystem-based adaptation, coastal
protection, increased biodiversity.
",1.0,explorer
UNFCCC.party.1736.0,b60daa027f33853a2a578081e14488c5__abba7349db2bb04428922eec27ea6f5a77614e1f525de8a42bbfc16e48058b97,ADAPTATION,ADAPTATION,Adaptation,43,53,"6.6 Impacts on terrestrial ecosystems.
6.7 Adaptation measures.
",1.0,explorer
UNFCCC.party.1736.0,c9d8d9eacb766b09e772ccacf825fe2b__100533fb08adc7dc1190d79c47360f99a8d4d8517ead0979d6b01b642941d0dc,ADAPTATION,ADAPTATION,adaptation,15,25,6. Impacts and adaptation measures....,1.0,explorer
UNFCCC.party.1736.0,934ae118400ff5ac73e64c012f9db1ab__016451a9e13ea0a0b3fde8f8384ff363575153089a28740e18c870290f7f4584,ADAPTATION,ADAPTATION,adaptation,12,22,Impacts and adaptation measures,1.0,explorer
UNFCCC.party.1736.0,221ee1a198fc931556ba7ad614728888__1c81d3f1fa7bd5fea59ee41e8fd1678cdc303b73844791a488c3b86e0d5c1a20,ADAPTATION,ADAPTATION,adaptation,218,228,"The GRO Training Programs provide support to climate change adaptation and mitigation in LDCS, gender mainstreaming, capacity building through the four programs: GRÓ Geothermal Training Program, the GRO Fisheries Training Program, the GRÓ Land Restoration Training Program, and the GRÓ Gender Equality Studies and Training Program.",1.0,explorer
UNFCCC.party.1736.0,50cdf16f5db9ecccbf8003214c625e22__897b85052cf678ff5fb86a74d5f6e24ec4ce35335be0bc046d171150854060dd,ADAPTATION,ADAPTATION,adaptation,811,821,"Information on climate issues, the effects of
climate change, mitigation and adaptation will be
supported through various means.
",1.0,explorer
UNFCCC.party.1736.0,b42c8d0b587260a1246210ccd07eca0f__eb9e3033cb1319d0f020957840502ce648408f6c7599f149e2e5643bfb1ae6d6,ADAPTATION,ADAPTATION,adaptation,156,166,"climate focused planning, for planning to support the achievement of carbon neutrality, and to strengthen resilience against climate change through various adaptation measures.",1.0,explorer
UNFCCC.party.1736.0,9efa8a61003de3313920dd4084e4e80b__b414689c5066944135fb586bd524ad3a1c2f802fef915c9ce4a76a9d987958d3,ADAPTATION,ADAPTATION,adaptation,100,110,"The current policy (NPS 2015-2026) addresses climate change in planning, a mitigation as well as an adaptation.",1.0,explorer
UNFCCC.party.1736.0,a7a36f566a458ff7dcb1454d7444ab1b__1d2009631169f63cd8529d5d165b0ebdb936fe24fd26b5dfeada4462e290d9e3,ADAPTATION,ADAPTATION,adaptation,14,24,6.Impacts and adaptation measures,1.0,explorer
UNFCCC.party.1736.0,628c0b4e0eb907de619b5f3455dc7f59__3e443da30aea9833a4f8651358c2a73dd20e1b2020f19f2dfc74d903af3f244b,ADAPTATION,ADAPTATION,adaptation,58,68,"""Climate change 2022: Impacts, adaptation and vulnerability.""",1.0,explorer
UNFCCC.party.1736.0,911d44d10e8b408485e042ccd56d4538__c23198f12a55a590c1f3a772fa4eb7c3c0b00906401a196c7271f60bbe0bd0b4,ADAPTATION,ADAPTATION,adaptation,488,498,The centre also strives to generate knowledge and build tools for the municipalities to develop adaptation measures One of its ongoing projects involves a pilot with 4 municipalities to create guidelines for adaptation planning at the municipal level.,1.0,explorer
UNFCCC.party.1736.0,911d44d10e8b408485e042ccd56d4538__c23198f12a55a590c1f3a772fa4eb7c3c0b00906401a196c7271f60bbe0bd0b4,ADAPTATION,ADAPTATION,adaptation,600,610,The centre also strives to generate knowledge and build tools for the municipalities to develop adaptation measures One of its ongoing projects involves a pilot with 4 municipalities to create guidelines for adaptation planning at the municipal level.,1.0,explorer
UNFCCC.party.1736.0,911d44d10e8b408485e042ccd56d4538__c23198f12a55a590c1f3a772fa4eb7c3c0b00906401a196c7271f60bbe0bd0b4,ADAPTATION,ADAPTATION,adaptation,100,110,"The Ministry of the Environment, Energy, and Climate is responsible for the issue of climate change adaptation.",1.0,explorer
UNFCCC.party.1736.0,911d44d10e8b408485e042ccd56d4538__c23198f12a55a590c1f3a772fa4eb7c3c0b00906401a196c7271f60bbe0bd0b4,ADAPTATION,ADAPTATION,Adaptation,263,273,"The Icelandic Met Office operates the national knowledge centre for climate change adaptation (NKCCCA) supported by an Office for Climate Services and Adaptation, which is responsible for the coordination and communication of information related to the impacts of climate change.",1.0,explorer
UNFCCC.party.1736.0,911d44d10e8b408485e042ccd56d4538__c23198f12a55a590c1f3a772fa4eb7c3c0b00906401a196c7271f60bbe0bd0b4,ADAPTATION,ADAPTATION,adaptation,195,205,"The Icelandic Met Office operates the national knowledge centre for climate change adaptation (NKCCCA) supported by an Office for Climate Services and Adaptation, which is responsible for the coordination and communication of information related to the impacts of climate change.",1.0,explorer
UNFCCC.party.1736.0,130998f096ba8b4ad9af224282c599a5__43a314d3b87d35aa6f011416be3b1a5853f1036f566468954c2cd755c5db6758,ADAPTATION,ADAPTATION,Adaptation,4,14,6.7 Adaptation measures,1.0,explorer
UNFCCC.party.1736.0,a91d8893bd0a774715900c3f8aa41a6b__f015ce53a23c9022bb1c92a003d244b33bf8f712e7ab69b77cb2d02cbecdaa88,ADAPTATION,ADAPTATION,adaptation,630,640,All of these actors and stakeholder are key to the designing of adaptation measures that are built on the best available science.,1.0,explorer
UNFCCC.party.1736.0,a9958130bcac09b58caabbe9d4aa51c2__6a81db07dfac409994904f5e3a87534d8d7a4a6f555116d97d7edaae5b3b54ad,ADAPTATION,ADAPTATION,adaptation,403,413,"Currently, the steering group is advisory to a targeted stakeholder
engagement process with expert workshops for the aggregation of risks and potential adaptation measures
in different sectors of society based on the NAS.",1.0,explorer
UNFCCC.party.1736.0,a9958130bcac09b58caabbe9d4aa51c2__6a81db07dfac409994904f5e3a87534d8d7a4a6f555116d97d7edaae5b3b54ad,ADAPTATION,ADAPTATION,Adaptation,56,66,"Iceland is currently working towards its first National Adaptation Plan with a steering group in place for the
development of a proposal for fall 2023 on the governance and modalities of such a plan to the Minister of
Environment, Energy and Climate.",1.0,explorer
UNFCCC.party.1736.0,ce98bb8f01d1b8c629d37407469d55ba__60992e82c04100be25c2857b54bb8f539dcabf706805aabf2a5a8007093d7698,ADAPTATION,ADAPTATION,adaptation,107,117,"In 2019, Iceland adopted new provisions to its 2012 Climate Change Act on the preparation of a plan on the adaptation of Icelandic society to climate change.",1.0,explorer
UNFCCC.party.1736.0,ce98bb8f01d1b8c629d37407469d55ba__60992e82c04100be25c2857b54bb8f539dcabf706805aabf2a5a8007093d7698,ADAPTATION,ADAPTATION,Adaptation,227,237,"As a first step towards this end, Iceland adopted its first National Adaptation Strategy (NAS) in 2021, following a white paper on climate change adaptation produced by an expert working group on the issue.",1.0,explorer
UNFCCC.party.1736.0,ce98bb8f01d1b8c629d37407469d55ba__60992e82c04100be25c2857b54bb8f539dcabf706805aabf2a5a8007093d7698,ADAPTATION,ADAPTATION,adaptation,304,314,"As a first step towards this end, Iceland adopted its first National Adaptation Strategy (NAS) in 2021, following a white paper on climate change adaptation produced by an expert working group on the issue.",1.0,explorer
UNFCCC.party.1736.0,ce98bb8f01d1b8c629d37407469d55ba__60992e82c04100be25c2857b54bb8f539dcabf706805aabf2a5a8007093d7698,ADAPTATION,ADAPTATION,adaptation,487,497,The work was furthermore based on Iceland's reports on the impacts of climate change in Iceland and a discussion paper on adaptation by Iceland's Climate Council.,1.0,explorer
UNFCCC.party.1736.0,b3e96032909665184886dade93558ad6__1dad75abee9ff5b9bdb54d4df67ee9dc18580ec39927c1e0929b2a3d0ed4d3f4,ADAPTATION,ADAPTATION,adaptation,78,88,The Icelandic Climate Council is mandated to offer guidance on climate change adaptation and the council has both provided technical reports on the matter and exchanges with governmental officials on adaptation via council meetings.,1.0,explorer
UNFCCC.party.1736.0,b3e96032909665184886dade93558ad6__1dad75abee9ff5b9bdb54d4df67ee9dc18580ec39927c1e0929b2a3d0ed4d3f4,ADAPTATION,ADAPTATION,adaptation,200,210,The Icelandic Climate Council is mandated to offer guidance on climate change adaptation and the council has both provided technical reports on the matter and exchanges with governmental officials on adaptation via council meetings.,1.0,explorer
UNFCCC.party.1736.0,11d04f2b15034ddfb30673430012be8f__b1e762750d1a3afc2fcf318205fcfb9b0ed9244ad8f6ef69584863b28d0ac356,ADAPTATION,ADAPTATION,adaptation,9,19,Intended adaptation efforts,1.0,explorer
UNFCCC.party.1736.0,2a34fb74091922d6bb911224e711fa52__7fed4aee2f93fc41daf888748718d2f055fb43d9c95d8cbdfcc9bc2b70f39562,ADAPTATION,ADAPTATION,Adaptation,54,64,"Parallel to the long-term development of the National Adaptation Plan, the government has begun the planning and implementation of capacity building adaptation measures.",1.0,explorer
UNFCCC.party.1736.0,2a34fb74091922d6bb911224e711fa52__7fed4aee2f93fc41daf888748718d2f055fb43d9c95d8cbdfcc9bc2b70f39562,ADAPTATION,ADAPTATION,adaptation,149,159,"Parallel to the long-term development of the National Adaptation Plan, the government has begun the planning and implementation of capacity building adaptation measures.",1.0,explorer
UNFCCC.party.1736.0,2a34fb74091922d6bb911224e711fa52__7fed4aee2f93fc41daf888748718d2f055fb43d9c95d8cbdfcc9bc2b70f39562,ADAPTATION,ADAPTATION,adaptation,212,222,A key element in Iceland's climate change adaptation policy world is the Office for Climate Services and Adaptation located at the Met Office.,1.0,explorer
UNFCCC.party.1736.0,2a34fb74091922d6bb911224e711fa52__7fed4aee2f93fc41daf888748718d2f055fb43d9c95d8cbdfcc9bc2b70f39562,ADAPTATION,ADAPTATION,adaptation,437,447,"Moreover, the Government has specifically been engaging the municipalities and regions to facilitate the integration of the adaptation policy cycle on the municipal level.",1.0,explorer
UNFCCC.party.1736.0,2a34fb74091922d6bb911224e711fa52__7fed4aee2f93fc41daf888748718d2f055fb43d9c95d8cbdfcc9bc2b70f39562,ADAPTATION,ADAPTATION,Adaptation,275,285,A key element in Iceland's climate change adaptation policy world is the Office for Climate Services and Adaptation located at the Met Office.,1.0,explorer
UNFCCC.party.1736.0,e9ad842e076e227288ef8303457528dc__f0d4a58820bedfef0d11c35f080234f953b27bbe77c66744b00774fc17a6da97,ADAPTATION,ADAPTATION,adaptation,63,73,Iceland is planning to introduce its first formal portfolio of adaptation measures alongside the establishment of its first National Adaptation Plan which is mandated by law and is currently being scoped through the expert stakeholder engagement process based on the 2021 National Adaptation Strategy.,1.0,explorer
UNFCCC.party.1736.0,e9ad842e076e227288ef8303457528dc__f0d4a58820bedfef0d11c35f080234f953b27bbe77c66744b00774fc17a6da97,ADAPTATION,ADAPTATION,Adaptation,133,143,Iceland is planning to introduce its first formal portfolio of adaptation measures alongside the establishment of its first National Adaptation Plan which is mandated by law and is currently being scoped through the expert stakeholder engagement process based on the 2021 National Adaptation Strategy.,1.0,explorer
UNFCCC.party.1736.0,e9ad842e076e227288ef8303457528dc__f0d4a58820bedfef0d11c35f080234f953b27bbe77c66744b00774fc17a6da97,ADAPTATION,ADAPTATION,Adaptation,281,291,Iceland is planning to introduce its first formal portfolio of adaptation measures alongside the establishment of its first National Adaptation Plan which is mandated by law and is currently being scoped through the expert stakeholder engagement process based on the 2021 National Adaptation Strategy.,1.0,explorer
UNFCCC.party.1736.0,beffa9623ec42beda939532f634f0b77__caa615310d30aa5eb3c31425c0d5c61287a7f4021199b8aee3ed44454d9160f1,ADAPTATION,ADAPTATION,adaptation,265,275,In addition to finanding risk assessments and defensive structures in urban areas that are at risk of avalanche and landslides the fund also finances research related to avalanche and landslides and other issues that are intended to enhance the risk assessment and adaptation measures.,1.0,explorer
UNFCCC.party.1736.0,e4d32accaeabc8b180285a68081d5538__c2d7477da485ab00ae3f065e9178c03e15f697edcb66e6fff5dce8fb8a97e7b4,ADAPTATION,ADAPTATION,adaptation,176,186,While the results of these studies show that significant impacts can be expected plans for adaptation to climate change are in most cases not well developed.,1.0,explorer
UNFCCC.party.1736.0,e4d32accaeabc8b180285a68081d5538__c2d7477da485ab00ae3f065e9178c03e15f697edcb66e6fff5dce8fb8a97e7b4,ADAPTATION,ADAPTATION,adaptation,1017,1027,"Some coastal communities have also in recent years carried out studies of the impacts of rising sea level on ocean floods hazard but so far, the results have not been formalized in as recommendations for explicit adaptation measures in the area plans for the respective communities.",1.0,explorer
