document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,a39c54bbe62ab65b898ff880aca87603__64cf7d967406d37fe4af99b28f38eacfeabe6c26503530b112902d1daec8510a,ADAPTATION,ADAPTATION,adaptation,452,462,"Further recalling, as provided in Article 14, paragraph 1, of the Paris Agreement, that the Conference of the Parties serving as the meeting of the Parties to the Paris Agreement shall periodically take stock of the implementation of the Paris Agreement to assess the collective progress towards achieving the purpose of the Agreement and its long-term goals, and that it shall do so in a comprehensive and facilitative manner, considering mitigation, adaptation and the means of implementation and support, and in the light of equity and the best available science,",1.0,explorer,
UNFCCC.non-party.1881.0,c0ec4c528c5295d862d1ed5423da9091__35f9907ea05076a5b6b504fe21f7b810695ab2af341731f708d5b28801317169,ADAPTATION,ADAPTATION,adaptation,140,150,"Also recognizing the critical role of protecting, conserving and restoring water systems and water-related ecosystems in delivering climate adaptation benefits and co- benefits, while ensuring social and environmental safeguards,",1.0,explorer,
UNFCCC.non-party.1881.0,c549a51ffddffdad3b0cb2eccdd2fe3e__b28b7fc212aa007f004544b9bc8942f37bc4350f9a189c7a43668c092c3d0bf6,ADAPTATION,ADAPTATION,adaptation,60,70,"2. Underlines that, despite overall progress on mitigation, adaptation and means of implementation and support, Parties are not yet collectively on track towards achieving the purpose of the Paris Agreement and its long-term goals;",1.0,explorer,
UNFCCC.non-party.1881.0,8380260f4d6a02b3b0b1b47255f789da__63ec74deba802dfc518e428cc2de5a0b8b2129d174aa9155247ed02275ccc8f6,ADAPTATION,ADAPTATION,adaptation,181,191,"(c) That most observed adaptation responses are fragmented, incremental, sector- specific and unequally distributed across regions, and that, despite the progress made, significant adaptation gaps still exist across sectors and regions and will continue to grow under current levels of implementation;",1.0,explorer,
UNFCCC.non-party.1881.0,8380260f4d6a02b3b0b1b47255f789da__63ec74deba802dfc518e428cc2de5a0b8b2129d174aa9155247ed02275ccc8f6,ADAPTATION,ADAPTATION,adaptation,23,33,"(c) That most observed adaptation responses are fragmented, incremental, sector- specific and unequally distributed across regions, and that, despite the progress made, significant adaptation gaps still exist across sectors and regions and will continue to grow under current levels of implementation;",1.0,explorer,
UNFCCC.non-party.1881.0,b37e2826ff6d7101a63b93c7ae7ea14c__0f51a55b0c44f47a45913cfa16541182dd9701b65d31e8db55426ec8d7640227,ADAPTATION,ADAPTATION,adaptation,14,24,"(e) That both adaptation and mitigation financing would need to increase manyfold, and that there is sufficient global capital to close the global investment gap but there are barriers to redirecting capital to climate action, and that Governments through public funding and clear signals to investors are key in reducing these barriers and investors, central banks and financial regulators can also play their part;",1.0,explorer,
UNFCCC.non-party.1881.0,d134ba84ce2f68ae7cca2f0754ee778c__34b0fc7ad303c8338a32965a632000312108e365ad98ca2590c3f8518b18476f,ADAPTATION,ADAPTATION,adaptation,310,320,"Also emphasizes the urgent need to strengthen integrated, holistic and balanced non- market approaches in accordance with Article 6, paragraph 8, of the Paris Agreement, in the context of sustainable development and poverty eradication, in a coordinated and effective manner, including through mitigation, adaptation, finance, technology transfer and capacity- building, as appropriate;",1.0,explorer,
UNFCCC.non-party.1881.0,4028b3e89556ecda17271e778d6e26de__d5a30e089a73201f3a89f26f999113398024ac079f58f966661879b0323850f5,ADAPTATION,ADAPTATION,adaptation,714,724,"Notes the need for enhanced support and investment, including through financial resources, technology transfer and capacity-building, for efforts towards halting and reversing deforestation and forest degradation by 2030 in the context of sustainable development and poverty eradication, in accordance with Article 5 of the Paris Agreement, including through results-based payments for policy approaches and positive incentives for activities relating to reducing emissions from deforestation and forest degradation, and the role of conservation, sustainable management of forests and enhancement of forest carbon stocks in developing countries; and alternative policy approaches, such as joint mitigation and adaptation approaches for the integral and sustainable management of forests, while reaffirming the importance of incentivizing, as appropriate, non-carbon benefits associated with such approaches;",1.0,explorer,
UNFCCC.non-party.1881.0,651204b939d926ccbe38fa34698e40b7__e5a2c0e42e10f272e9937a4f74ef6dc503034d50a90640ab22ab8476ab1761aa,ADAPTATION,ADAPTATION,Adaptation,3,13,B. Adaptation,1.0,explorer,
UNFCCC.non-party.1881.0,cca5494003d33dd07c88eefe7bf58140__3e215a6c85e3421dbe40e1edbce7c0bc5fc478d76b49b7480b6019b7b7450a6a,ADAPTATION,ADAPTATION,adaptation,245,255,"Emphasizes the importance of the global goal on adaptation of enhancing adaptive capacity, strengthening resilience and reducing vulnerability to climate change with a view to contributing to sustainable development and ensuring an adequate adaptation response in the context of the temperature goal referred to in Article 2 of the Paris Agreement;",1.0,explorer,
UNFCCC.non-party.1881.0,cca5494003d33dd07c88eefe7bf58140__3e215a6c85e3421dbe40e1edbce7c0bc5fc478d76b49b7480b6019b7b7450a6a,ADAPTATION,ADAPTATION,adaptation,52,62,"Emphasizes the importance of the global goal on adaptation of enhancing adaptive capacity, strengthening resilience and reducing vulnerability to climate change with a view to contributing to sustainable development and ensuring an adequate adaptation response in the context of the temperature goal referred to in Article 2 of the Paris Agreement;",1.0,explorer,
UNFCCC.non-party.1881.0,dc334d734ef77377b48535e0f5a78d55__1257edc88a8dc26bd7238e63d04445b0ae634d3a1a60b93d81a56ac7811046ea,ADAPTATION,ADAPTATION,adaptation,218,228,"Recognizes the increasing adaptation planning and implementation efforts being undertaken by Parties towards enhancing adaptive capacity, strengthening resilience and reducing vulnerability, as set out in national adaptation plans, adaptation communications and nationally determined contributions, as appropriate, and welcomes that 51 Parties have submitted national adaptation plans and 62 Parties have submitted adaptation communications to date;",1.0,explorer,
UNFCCC.non-party.1881.0,dc334d734ef77377b48535e0f5a78d55__1257edc88a8dc26bd7238e63d04445b0ae634d3a1a60b93d81a56ac7811046ea,ADAPTATION,ADAPTATION,adaptation,30,40,"Recognizes the increasing adaptation planning and implementation efforts being undertaken by Parties towards enhancing adaptive capacity, strengthening resilience and reducing vulnerability, as set out in national adaptation plans, adaptation communications and nationally determined contributions, as appropriate, and welcomes that 51 Parties have submitted national adaptation plans and 62 Parties have submitted adaptation communications to date;",1.0,explorer,
UNFCCC.non-party.1881.0,dc334d734ef77377b48535e0f5a78d55__1257edc88a8dc26bd7238e63d04445b0ae634d3a1a60b93d81a56ac7811046ea,ADAPTATION,ADAPTATION,adaptation,236,246,"Recognizes the increasing adaptation planning and implementation efforts being undertaken by Parties towards enhancing adaptive capacity, strengthening resilience and reducing vulnerability, as set out in national adaptation plans, adaptation communications and nationally determined contributions, as appropriate, and welcomes that 51 Parties have submitted national adaptation plans and 62 Parties have submitted adaptation communications to date;",1.0,explorer,
UNFCCC.non-party.1881.0,dc334d734ef77377b48535e0f5a78d55__1257edc88a8dc26bd7238e63d04445b0ae634d3a1a60b93d81a56ac7811046ea,ADAPTATION,ADAPTATION,adaptation,372,382,"Recognizes the increasing adaptation planning and implementation efforts being undertaken by Parties towards enhancing adaptive capacity, strengthening resilience and reducing vulnerability, as set out in national adaptation plans, adaptation communications and nationally determined contributions, as appropriate, and welcomes that 51 Parties have submitted national adaptation plans and 62 Parties have submitted adaptation communications to date;",1.0,explorer,
UNFCCC.non-party.1881.0,dc334d734ef77377b48535e0f5a78d55__1257edc88a8dc26bd7238e63d04445b0ae634d3a1a60b93d81a56ac7811046ea,ADAPTATION,ADAPTATION,adaptation,419,429,"Recognizes the increasing adaptation planning and implementation efforts being undertaken by Parties towards enhancing adaptive capacity, strengthening resilience and reducing vulnerability, as set out in national adaptation plans, adaptation communications and nationally determined contributions, as appropriate, and welcomes that 51 Parties have submitted national adaptation plans and 62 Parties have submitted adaptation communications to date;",1.0,explorer,
UNFCCC.non-party.1881.0,0e911c87bc6c6ad093d5cc32af0ef896__f83cd3cd9876a353964c8c367e776d4fb5408983f1d25745eb2533cea503c52b,ADAPTATION,ADAPTATION,adaptation,128,138,"Recognizes the significant efforts of developing country Parties in formulating and implementing national adaptation plans, adaptation communications and nationally determined contributions, as appropriate, including through their domestic expenditure, as well as their increased efforts to align their national development plans;",1.0,explorer,
UNFCCC.non-party.1881.0,0e911c87bc6c6ad093d5cc32af0ef896__f83cd3cd9876a353964c8c367e776d4fb5408983f1d25745eb2533cea503c52b,ADAPTATION,ADAPTATION,adaptation,110,120,"Recognizes the significant efforts of developing country Parties in formulating and implementing national adaptation plans, adaptation communications and nationally determined contributions, as appropriate, including through their domestic expenditure, as well as their increased efforts to align their national development plans;",1.0,explorer,
UNFCCC.non-party.1881.0,ad950aaa010c5916059f0cf7ecbd8ac6__2c0dc5265d771e46d1c58e30d548c7b8ee0974a2b6e7465ba7da16984d184e9f,ADAPTATION,ADAPTATION,adaptation,132,142,Also recognizes the significant challenges developing country Parties face in accessing finance for implementing their national adaptation plans;,1.0,explorer,
UNFCCC.non-party.1881.0,d4c7b4382a803f49a94be3251eed897e__ddf704271b3d56850fefb61be0dff896aa5dcd68d731dc2e54a9b1b7d8406ba5,ADAPTATION,ADAPTATION,adaptation,255,265,"Notes with appreciation the contribution of relevant UNFCCC constituted bodies and institutional arrangements, including the Adaptation Committee, the Least Developed Countries Expert Group and the Nairobi work programme on impacts, vulnerability and adaptation to climate change, to the efforts referred to in paragraph 45 above;",1.0,explorer,
UNFCCC.non-party.1881.0,d4c7b4382a803f49a94be3251eed897e__ddf704271b3d56850fefb61be0dff896aa5dcd68d731dc2e54a9b1b7d8406ba5,ADAPTATION,ADAPTATION,Adaptation,129,139,"Notes with appreciation the contribution of relevant UNFCCC constituted bodies and institutional arrangements, including the Adaptation Committee, the Least Developed Countries Expert Group and the Nairobi work programme on impacts, vulnerability and adaptation to climate change, to the efforts referred to in paragraph 45 above;",1.0,explorer,
UNFCCC.non-party.1881.0,df775583752a1288aba5344af141f438__5a6b2fba423a043961cd54a91cb77d1dd09b74056416a59b0c5f9de82a941406,ADAPTATION,ADAPTATION,adaptation,127,137,"Notes that there are gaps in implementation of, support for and collective assessment of the adequacy and effectiveness of adaptation, and that monitoring and evaluation of outcomes is critical for tracking the progress and improving the quality and awareness of adaptation action;",1.0,explorer,
UNFCCC.non-party.1881.0,df775583752a1288aba5344af141f438__5a6b2fba423a043961cd54a91cb77d1dd09b74056416a59b0c5f9de82a941406,ADAPTATION,ADAPTATION,adaptation,267,277,"Notes that there are gaps in implementation of, support for and collective assessment of the adequacy and effectiveness of adaptation, and that monitoring and evaluation of outcomes is critical for tracking the progress and improving the quality and awareness of adaptation action;",1.0,explorer,
