document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,87f2a4feef72a378f1face8144390f49__f198bc193a37008f2fea65d0d95adbc16288127074a4e262a03aa9a805aee534,ADAPTATION,ADAPTATION,adaptation,555,565,"These arrangements are designed at the national level and are part of the government structure that governs and monitors the progress of the activities and projects that will be implemented to achieve the mitigation and adaptation targets in the enhanced NDC, as outlined in the Enhanced NDC Implementation Plan (2021–2030).",1.0,explorer
UNFCCC.non-party.1750.0,d8590c0b30198d394b04c642a74f5aeb__a3249e40f2932ebdd5e1f4ec2ce75aacf28780665ceb29ba72f241cb06c3c6fa,ADAPTATION,ADAPTATION,adaptation,775,785,"Its technical and capacity-building needs (BUR table 4-1) are primarily related to conducting assessments in mitigation (i.e. mitigation impact, sustainable development and transformative change assessments), adaptation (i.e. vulnerability needs assessments) and cross-cutting areas (i.e. financial needs and technology needs assessments) and using tools and guidelines for the preparation of the GHG inventory.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,ADAPTATION,ADAPTATION,adaptation,609,619,"Constraints on mitigation activities include a limited budget and ineffective institutional arrangements, while constraints on adaptation activities include a limited budget and the geographical situation of the country hindering data collection.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,ADAPTATION,ADAPTATION,adaptation,1014,1024,"Gaps related to mitigation activities include the lack of an established MRV system for mitigation actions other than REDD+ and of a legal regulation for sectoral emission mitigation plans, while those related to adaptation activities include the lack of an established MRV system for adaptation activities and of country-specific historical data for climate-induced hazard modelling.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,ADAPTATION,ADAPTATION,adaptation,942,952,"Gaps related to mitigation activities include the lack of an established MRV system for mitigation actions other than REDD+ and of a legal regulation for sectoral emission mitigation plans, while those related to adaptation activities include the lack of an established MRV system for adaptation activities and of country-specific historical data for climate-induced hazard modelling.",1.0,explorer
UNFCCC.non-party.1750.0,b24280c7d1517cc27ea6c73f6b6f0996__45d41757951850a23e70946554c3970117520adfcbb4707a98ce952b67a8e462,ADAPTATION,ADAPTATION,adaptation,256,266,"A list of support received from 2017 to 2022 to implement adaptation, mitigation and MRV activities was provided in tabular format (BUR table 4-2).",1.0,explorer
UNFCCC.non-party.1750.0,91d2739cc3d9881fa4507e8becd0f172__22c59620e9cbade53d9cdec43191fd91c30762069c2ede770b2e51af94b7645d,ADAPTATION,ADAPTATION,Adaptation,143,153,"technical support for 25 projects since 2017 through bilateral or multilateral agreements with various governments and organizations (i.e. the Adaptation Fund, Asian Development Bank, Government of Australia, Department of Foreign Affairs and Trade of Australia, European Union, German Agency for International Cooperation, Global Environment Facility, Green Climate Fund, Government of Italy, Japan International Cooperation Agency, Korean International Cooperation Agency, Ministry of Foreign Affairs and Trade of New Zealand, NDC Partnership, United States Agency for International Development and World Bank).",1.0,explorer
UNFCCC.non-party.1750.0,4087e9b22f76e44b9ca7677281e8fb09__5b26fd879a7a3b50cd0838a13464a8390bd247d5b4161a5f1b1d75f06b1f86c9,ADAPTATION,ADAPTATION,adaptation,36,46,"(ii) Address gaps in mitigation and adaptation activities, including the lack of an established MRV system for mitigation actions other than REDD+ and of legal regulations for sectoral emission mitigation plans, and the lack of an established MRV",1.0,explorer
UNFCCC.non-party.1750.0,6d7cd89f3e599caeb874ab1803094703__d2f8c19a8b44fb7b95b9f3d3c70e962b72786a31c91ac3daddc25e164c4a530d,ADAPTATION,ADAPTATION,adaptation,11,21,system for adaptation activities and of country-specific historical data for climate- induced hazard modelling.,1.0,explorer
UNFCCC.non-party.1750.0,d88c03de81036158faab28a0f5a24d88__db0496b13ce0c636ba40a091176a1d65711786a2a1ed025cd3b86d370bcd4bca,ADAPTATION,ADAPTATION,adaptation,49,59,"(b) Strengthening national capacity to report on adaptation, the GHG inventory, mitigation and cross-cutting areas;",1.0,explorer
UNFCCC.non-party.1750.0,968d5ca22ffd90be384bbd80333636c2__ccc1e32904a1a0c4591771db30963e6dc064b12972bed11787574d81066672a4,ADAPTATION,ADAPTATION,adaptation,434,444,"Papua New Guinea reported information on key constraints, gaps and related needs, including support needed to address the constraints and gaps related to the preparation of its GHG inventory for the agriculture sector, a preliminary estimate of USD 1 billion to implement the actions to achieve the enhanced NDC (2020) targets over 2021–2030, technical and capacity-building needs related to conducting assessments in mitigation, adaptation and cross-cutting areas, and using tools and guidelines for the preparation of the GHG inventory.",1.0,explorer
UNFCCC.party.1761.0,93c25f5a6dc9e9fc93af3612e78fc26b__7ffe7b013f7a49e2af358d858785b912cc328e58c2ff209b57de567846483f93,ADAPTATION,ADAPTATION,Adaptation,25,35,"Solomon Islands National Adaptation Programmes of Action (2008) identified priority activities in agriculture, water supply and sanitation, human settlements, human health, coastal protection, waste management and infrastructure development.",1.0,explorer
UNFCCC.party.1761.0,a5b1d3b294844f5895816b2dd1c48e32__8aeef47ac4b62a7be0fc9351485416b9fb504c0a24ef519b4fc32adfeee09621,ADAPTATION,ADAPTATION,adaptation,90,100,"The 2021 Nationally Determined Contributions identified a range of priority activities in adaptation, including:",1.0,explorer
UNFCCC.party.1761.0,308a922ce73d7841a855dece28cc374f__53241a8f49cc8bb5703328c5e68357f24787aaefa886220d5007f26155fe0ccd,ADAPTATION,ADAPTATION,adaptation,137,147,The NAP shall address long-term adaptation to climate change and short-term disaster risk reduction in relation to climate variability and included in an implementation plan.,1.0,explorer
UNFCCC.party.1761.0,308a922ce73d7841a855dece28cc374f__53241a8f49cc8bb5703328c5e68357f24787aaefa886220d5007f26155fe0ccd,ADAPTATION,ADAPTATION,Adaptation,24,34,"> Developing a National Adaptation Plan to address climate change over the short, medium, and long term.",1.0,explorer
UNFCCC.party.1761.0,6961d6b4569d095a8cae0d15a9af51b7__7956dd2cea029ba789eb3d00e66ea636ac6c899570e223692bc93f2a989b4b32,ADAPTATION,ADAPTATION,adaptation,30,40,"knowledge into vulnerability, adaptation, and disaster risk reduction assessments.",1.0,explorer
UNFCCC.party.1761.0,e656c4afe9b1b209b06cc726f877ffbb__c2d22eaddbf3b92b7b0109ca69923e1c763842e79998c76ec67a04c070395075,ADAPTATION,ADAPTATION,adaptation,53,63,"to information on extreme events, vulnerability, and adaptation.",1.0,explorer
UNFCCC.party.1761.0,46ca73ac35e59c7e564b7717c5c9c882__f6d1572f3288d79a364386d6e16dbb63af6f6484161e6f5bbd82bb45603edfef,ADAPTATION,ADAPTATION,adaptation,31,41,"Mainstreaming vulnerability, adaptation, and disaster risk reduction across public, private, and community sectors.",1.0,explorer
UNFCCC.party.1761.0,ed9b1c904962947971000bf1d1d99c69__d913bb38ba035d6dae463c58d3303c3b737f283f3836545854bcdbf2e7eec60a,ADAPTATION,ADAPTATION,adaptation,101,111,"> Develop a coordinated and geo-referenced national information system to information vulnerability, adaptation, and disaster risk reduction.",1.0,explorer
UNFCCC.party.1761.0,70f515b22d888b74b488f5a08cf736ff__d5f7b94d999dc2b79bfef28af34e8504f4a7d23bdc597d02a522f8644ae1b858,ADAPTATION,ADAPTATION,adaptation,65,75,"> Mainstream gender and youth considerations into vulnerability, adaptation, and disaster risk reduction.",1.0,explorer
UNFCCC.party.1761.0,3fe8fa57d4ba1b605746c2673a95ce29__f2fdbde15ca4f23cb3a9e1494aa74d524dbd841cb44633b9eeae132ae8bb1d29,ADAPTATION,ADAPTATION,adaptation,105,115,"relocation guidelines and assessment tools, build capacity and implement relocation of communities as an adaptation action where and when necessary.",1.0,explorer
UNFCCC.party.1761.0,6e85e675ccb7f3ae865866244fbf687b__e4171e983c8f3c8af4fce8a1234f7b9c050b5c99401df0e7125e71cf3111e1d4,ADAPTATION,ADAPTATION,adaptation,153,163,"Promote and implement community-based programmes and actions within a cooperative framework to strengthen social capital, skills, and resilience as an adaptation strategy.",1.0,explorer
UNFCCC.party.1761.0,a48b2b4f7b992f83058de640828caaa3__3e848eec1b395682e8b0b7bbd8dee7d3e3688754a6fbfbb3a1d420a11e5d8a26,ADAPTATION,ADAPTATION,adaptation,125,135,"adaptation, as detailed in the NDC, provides a strong basis for the Solomon Islands Government to incorporate vulnerability, adaptation, and resilience concerns into sector and national policies.",1.0,explorer
UNFCCC.party.1761.0,a48b2b4f7b992f83058de640828caaa3__3e848eec1b395682e8b0b7bbd8dee7d3e3688754a6fbfbb3a1d420a11e5d8a26,ADAPTATION,ADAPTATION,adaptation,0,10,"adaptation, as detailed in the NDC, provides a strong basis for the Solomon Islands Government to incorporate vulnerability, adaptation, and resilience concerns into sector and national policies.",1.0,explorer
UNFCCC.party.1761.0,5c9aade5d2ab50582ba5125c70de3591__c5dbe12a0a31ed5f2d77b299c06fb582e416bd0dfa20254d68c1eb47ca308a3a,ADAPTATION,ADAPTATION,adaptation,86,96,Promote the management and sustainable development of climate change mitigation and adaptation actions.,1.0,explorer
UNFCCC.party.1761.0,61ab0fe548a17c3151c5fc8cb32f8194__aa61aec68b05a6a9a58d206d64e1961ca1f5d5bffe61535ebd76368679a66f29,ADAPTATION,ADAPTATION,Adaptation,2,12,Adaptation and Projects.,1.0,explorer
UNFCCC.party.1761.0,7df95cbb4888c62e7e591be672fddff7__4a3012ad5c279d4c1d11cfb87b31121d423d19aa181c42a8cce580cca1c6198d,ADAPTATION,ADAPTATION,adaptation,184,194,"The trust fund should be able to invest in applied research and development of the low emissions pathways for Solomon Islands, as well as priority sectors for emissions mitigation and adaptation.",1.0,explorer
UNFCCC.party.1761.0,7df95cbb4888c62e7e591be672fddff7__4a3012ad5c279d4c1d11cfb87b31121d423d19aa181c42a8cce580cca1c6198d,ADAPTATION,ADAPTATION,adaptation,546,556,"Potential focus areas for applied development include domestic low research and emissions energy sources, low emissions transport, low emissions industrial technology, climate-resilient agriculture, and adaptation practices.",1.0,explorer
UNFCCC.non-party.1762.0,462ba57015fc4caac3eaac71f9a30ba8__fdb66d9ebbb299f517c8be3d175e03acebcd693252c5ebe438f0d5c69bdc114f,ADAPTATION,ADAPTATION,Adaptation,3,13,"C. Adaptation, including loss and damage ...................................................................................",1.0,explorer
UNFCCC.non-party.1762.0,462ba57015fc4caac3eaac71f9a30ba8__fdb66d9ebbb299f517c8be3d175e03acebcd693252c5ebe438f0d5c69bdc114f,ADAPTATION,ADAPTATION,Adaptation,3,13,"C. Adaptation, including loss and damage ...................................................................................",1.0,explorer
UNFCCC.non-party.1762.0,ccbe8b459c45fd86579224475ef17742__d2bd74cd33e3b153498ecc6c627149b41bc4fb9a71f37eee1d74cfb167baaca6,ADAPTATION,ADAPTATION,adaptation,15,25,global goal on adaptation,1.0,explorer
UNFCCC.non-party.1762.0,51c7e52fa32b6896a9a0fdd6d2641731__622d1c84960f0c82d9aa1b64aef2a49b9a2195c0fcf62005f4d91298afea76f8,ADAPTATION,ADAPTATION,adaptation,9,19,national adaptation plan,1.0,explorer
