document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1855.0,520bfc36436e657cfe7ffa1dd87ac1a1__7fae31c4d5da43c543210acfebf50d9351eee830f675ab4d8296be7bebbb887d,LESSONS_LEARNED,LESSONS_LEARNED,lessons learnt,291,305,The submission will be informed by the experience and lessons learnt of the LOCAL Facility and focus on the adaptation component of the GST.,1.0,explorer,
UNFCCC.non-party.1855.0,91b4e225993b57d603fd9a7c9d85c77c__ea4adb5708660164179d64016c698bbf193ab9ccf8848787d107178b5babebd1,CHALLENGES,CHALLENGES,challenge,217,226,"Article 7, paragraph 2 of the Paris Agreement recognized that adaptation is a global challenge faced by all with local, subnational, national, regional, and international dimensions.",1.0,explorer,
UNFCCC.non-party.1855.0,473d0c2f0665d762a764a57e7ed275a3__9710e07a35d8adfc5e78d30b7ec15c238a7958ed4d58c972c258754bf21dc932,CHALLENGES,CHALLENGES,challenges,293,303,The decision also provides that the components of the outputs of the GST should identify opportunities and challenges for enhancing action and support in relation to thematic areas and recommendations for strengthening action and support.,1.0,explorer,
UNFCCC.non-party.1855.0,2b66876ae404b1a6fea25a94328932e2__5ee738b0056501cfd22311b0c397706517a7ae7632cac6293f8c058bf7997467,CHALLENGES,CHALLENGES,challenges,148,158,"The LOCAL's Facility shares its inputs in accordance with decision 19/CMA.1, paragraph 34 (a), to share possible opportunities for addressing these challenges based on LoCAL countries' experience.",1.0,explorer,
UNFCCC.non-party.1855.0,c2910327affa86933760ff0bcd65237d__513a7a9877f3fffa3f16fc9dc9f28dafae506bd616b273c452e8c28e701bf26a,CHALLENGES,CHALLENGES,challenges,39,49,· LOCAL's inputs for opportunities and challenges for enhancing action and support,1.0,explorer,
UNFCCC.non-party.1855.0,9bb93dceb60b3c337e43aa0841e8347f__be9159f5fe15889ddd62ca4dbb31e554c8d479159a37a07cef5ca2b3a6ee7780,CHALLENGES,CHALLENGES,challenges,380,390,"The Synthesis report for the technical assessment of GST on the state of adaptation efforts, experience, and properties (TD 1 synthesis report) found there is a further need for alignment between national, subnational, and local adaptation risk assessment and planning and lack of local governments capacity to implement adaptation action ( both human and financial resources) as challenges linked to adaptation.",1.0,explorer,
UNFCCC.non-party.1855.0,bc7b7092a47ed38d44286e5e2a5c43d6__76aec6968402d3d54b2852801e6fb8cf46b688610a5e3af3673dd10bc0744b0f,LESSONS_LEARNED,LESSONS_LEARNED,lessons learned,388,403,"The 53th SBI session further approved the report of the stocktaking meeting of the Least Developed Countries Expert Group which includes the work with LOCAL as ""financing mechanism for subnational and local climate action based on performance-based climate-resilient grant systems and for integrating adaptation into subnational development plans"" among experience, good practices and lessons learned in relation to support provided by organizations to the least developed countries.",1.0,explorer,
UNFCCC.non-party.1855.0,47a3547effcfc2dcbab0afccabdebbf0__d8390d9335636ce53cbf9e0dd01915c16181e4fe12463df4b8e304b0c5d9bad1,CHALLENGES,CHALLENGES,challenges,149,159,"Based on the TD 1 synthesis report, the GST should recommend addressing the gaps identified in adaptation implementation and options to address such challenges.",1.0,explorer,
UNFCCC.non-party.1863.0,167ec3caa2e5c099b87a9a4424f68020__5f6d89412ba69425092bbed2af15e40e9c9cd00e7497a01f272fe72693015586,CHALLENGES,CHALLENGES,challenging,931,942,"Activities should also continually emphasise the importance of GST outcomes not being empty words on paper, challenging participants to build consensus around goals that can and will be met within a stipulated time frame with verification and accountability for results.",1.0,explorer,
UNFCCC.non-party.1863.0,74a8dfdf7f9839b3dea6e12480df9c2d__d05e884adc264c2bf9471995ce0834b45acb044eeab275e0887dc0b2409458cb,CHALLENGES,FAILURE,failure,179,186,"The IPCC is loud and clear: we have less than 8 years to get on track to keep warming below 1.5ºC. The GST is the only accountability mechanism of the Paris Agreement: if it is a failure, we will have to endure another 5 year delay for any progress and we will not be able to meet the Paris Agreement target.",1.0,explorer,
