document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,a57f7ea76e0ca87c22d589330654a916__1feb789f69c88ccfb6259f29a0c8f81c98489401c6cf94158c49d952676aa94d,CHALLENGES,CHALLENGES,challenge,123,132,"term, several countries plan to maintain or slightly increase conventional CDR on land by
2030, which is on its own a huge challenge requiring dedicated policies and management.",1.0,explorer
UNFCCC.non-party.1740.0,e1b15efacae88ded5e3ab2459e8b8650__ea5d7f0f7eb2678ff4dbb2518e1d5cb79e7a3d3f553b7b17bd3afcdf79365b2c,CHALLENGES,CHALLENGES,challenge,164,173,"standardised transparent reporting and involving societal deliberation, will support and shape
these outcomes in a manner that acknowledges both the urgency of the challenge and issues
such as policy costs, hazards and land-use conflicts.",1.0,explorer
UNFCCC.non-party.1740.0,c53961c68ef5511b636a28e86485ee92__4529ee637a6411d7a75734db7677f1a62bf7b6879a1991d79d7fe29e2bb8e7ed,BARRIERS,PREVENT,prevent,346,353,"While such efforts to reduce emissions prevent further CO₂ and other greenhouse gases (GHGs) from going into the atmosphere, Carbon Dioxide Removal (CDR) involves taking CO₂ out of the atmosphere that is already there.",1.0,explorer
UNFCCC.non-party.1740.0,dd6958c02f0ef83839ed13f77a59921a__78ca1a312d2a4332f59a1200f02f0e787eb8b6bc648b0764861b4cdee2df4297,CHALLENGES,FAIL,fail,339,343,"Examples of how different approaches meet, or fail to meet, the principles of CDR are shown in Figure 1.1.",1.0,explorer
UNFCCC.non-party.1740.0,bc635bd44cdd6bc4d651866c12671a0a__466a48cef8b925439c95fe0ae6c4adf55502f46d93852c23363f07a7ebefc569,BARRIERS,BARRIERS,barriers,224,232,"Despite storage for millennia being the gold standard, there are practical barriers to assuring projects for this long.",1.0,explorer
UNFCCC.non-party.1740.0,375c3081983a20fab6894308831746d7__38738795a3859b7b8aa391c315b4f070c05fc567d3c8d19aae85233e15816267,CHALLENGES,CONSTRAINT,constraints,786,797,"As well as providing the method names we use throughout the report, the table summarises the specific route through the carbon cycle that each method employs; its stage of development (or Technology Readiness Level, TRL); its estimated costs at scale; its mitigation potential (the maximum potential to both remove atmospheric CO₂ and displace emissions in 2050 - by replacing emissions-intensive products and processes - considering biophysical and technological limits but not economic, environmental, socio-cultural or institutional constraints); its key potential hazards and co-benefits; and the feasibility of monitoring, reporting and verification (MRV).",1.0,explorer
UNFCCC.non-party.1740.0,375c3081983a20fab6894308831746d7__38738795a3859b7b8aa391c315b4f070c05fc567d3c8d19aae85233e15816267,CHALLENGES,CHALLENGES,challenging,1209,1220,"Furthermore, MRV of the net carbon removal can be challenging, and hazards and co-benefits can be highly contextspecific, particularly for methods involving the land and ocean.",1.0,explorer
UNFCCC.non-party.1740.0,5ad10d4ec88c3a18f5e89e5dc90c298e__10d73f675bc0545a7d401a6e3506f93a5a2b827a576939839a01c6a670a8e22c,BARRIERS,DIFFICULT,Difficult,1822,1831,"Difficult to quantify CDR accurately.
",1.0,explorer
UNFCCC.non-party.1740.0,5ad10d4ec88c3a18f5e89e5dc90c298e__10d73f675bc0545a7d401a6e3506f93a5a2b827a576939839a01c6a670a8e22c,CHALLENGES,INSUFFICIENT,Insufficient,777,789,"[Storage in aquatic
biomass
Cost at
scale
($/tCO₂)
100-300
50-200
40-260
50-500
Insufficient
data
Mitigation MRV
potential
(GtCO,/yr)
5-40
2-4
1-100
1-3
<1
Capture: v high,
no
Storage: high,
yes
Capture: low, no
Storage: low, no
Example hazards
Capture: low, no Mining impacts; air quality impacts of rock
Storage:
dust when spreading on land.",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,CHALLENGES,INSUFFICIENT,Insufficient,942,954,"[Storage in trees]
8-9
8-9
15-400
0-240
10-345
-45-100
Insufficient
data
Insufficient
data
Insufficient
data
Insufficient
data
0.5-11
0.5-10
0.3-6.6
0.6-9.3
0.5-2.1
0.3-9.4
0.2-1.3
0.1-2.1
Capture: high,
yes
Storage:
high, yes
Capture:
high, yes
Storage:
high, yes
Capture:
high, yes**
Storage:
med, yes**
Capture:
med, yes
Storage:
low, yes
",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,CHALLENGES,INSUFFICIENT,Insufficient,978,990,"[Storage in trees]
8-9
8-9
15-400
0-240
10-345
-45-100
Insufficient
data
Insufficient
data
Insufficient
data
Insufficient
data
0.5-11
0.5-10
0.3-6.6
0.6-9.3
0.5-2.1
0.3-9.4
0.2-1.3
0.1-2.1
Capture: high,
yes
Storage:
high, yes
Capture:
high, yes
Storage:
high, yes
Capture:
high, yes**
Storage:
med, yes**
Capture:
med, yes
Storage:
low, yes
",1.0,explorer
