document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,afe576ec0466a1a717389968e12cdcbd__226d06f320b726e7ce01894d3e697ac8bc2847cd629cfffb508e09b38697dd46,CHALLENGES,CHALLENGES,challenges,381,391,"Reaffirms that sustainable and just solutions to the climate crisis must be founded on meaningful and effective social dialogue and participation of all stakeholders, including Indigenous Peoples, local communities and governments, women, and youth and children, and notes that the global transition to low emissions and climate-resilient development provides opportunities and challenges for sustainable development and poverty eradication;",1.0,explorer,
UNFCCC.non-party.1881.0,b37e2826ff6d7101a63b93c7ae7ea14c__0f51a55b0c44f47a45913cfa16541182dd9701b65d31e8db55426ec8d7640227,BARRIERS,BARRIERS,barriers,328,336,"(e) That both adaptation and mitigation financing would need to increase manyfold, and that there is sufficient global capital to close the global investment gap but there are barriers to redirecting capital to climate action, and that Governments through public funding and clear signals to investors are key in reducing these barriers and investors, central banks and financial regulators can also play their part;",1.0,explorer,
UNFCCC.non-party.1881.0,b37e2826ff6d7101a63b93c7ae7ea14c__0f51a55b0c44f47a45913cfa16541182dd9701b65d31e8db55426ec8d7640227,BARRIERS,BARRIERS,barriers,176,184,"(e) That both adaptation and mitigation financing would need to increase manyfold, and that there is sufficient global capital to close the global investment gap but there are barriers to redirecting capital to climate action, and that Governments through public funding and clear signals to investors are key in reducing these barriers and investors, central banks and financial regulators can also play their part;",1.0,explorer,
UNFCCC.non-party.1881.0,c2aed80c946ded5cef8422f4a3b9b121__27ff40dd881fd0d6c76b949b1e45f8c16c3d6e815753c0e21efe765befb49eed,BARRIERS,LIMIT,limitation,370,380,"38. Recalls Article 4, paragraph 4, of the Paris Agreement, which provides that developed country Parties should continue taking the lead by undertaking economy-wide absolute emission reduction targets, and that developing country Parties should continue enhancing their mitigation efforts and are encouraged to move over time towards economy-wide emission reduction or limitation targets in the light of different national circumstances;",1.0,explorer,
UNFCCC.non-party.1881.0,85e51685155509798e4b8b3ad2641c48__841a49338d1e0f89891e52949964f091f1143a59b89d1ce1c66f611548bf8e45,CHALLENGES,CHALLENGES,challenges,23,33,Notes the capacity challenges of the least developed countries and small island developing States related to preparing and communicating nationally determined contributions;,1.0,explorer,
UNFCCC.non-party.1881.0,ad950aaa010c5916059f0cf7ecbd8ac6__2c0dc5265d771e46d1c58e30d548c7b8ee0974a2b6e7465ba7da16984d184e9f,CHALLENGES,CHALLENGES,challenges,36,46,Also recognizes the significant challenges developing country Parties face in accessing finance for implementing their national adaptation plans;,1.0,explorer,
UNFCCC.non-party.1881.0,3ecc1d94dfa5351e29a2cb79ef3f84e4__b8a688cd119adc356b0b4195380445e25d93a18ee5261a177fa1cdb21b55a0d5,BARRIERS,DIFFICULT,difficult,162,171,"Highlights the growing gap between the needs of developing country Parties, in particular those due to the increasing impacts of climate change compounded by difficult macroeconomic circumstances, and the support provided and mobilized for their efforts to implement their nationally determined contributions, highlighting that such needs are currently estimated at USD 5.8-5.9 trillion for the pre-2030 period;5",1.0,explorer,
UNFCCC.non-party.1881.0,140b12e851dc9f0aa906501931add3ef__f8b7235dfb9e419c3a2b905fa2bbac1db122e5dacec91805322259ada50f37b2,CHALLENGES,CONSTRAINT,constraints,322,333,"Emphasizes the ongoing challenges faced by many developing country Parties in accessing climate finance and encourages further efforts, including by the operating entities of the Financial Mechanism, to simplify access to such finance, in particular for those developing country Parties that have significant capacity constraints, such as the least developed countries and small island developing States;",1.0,explorer,
UNFCCC.non-party.1881.0,140b12e851dc9f0aa906501931add3ef__f8b7235dfb9e419c3a2b905fa2bbac1db122e5dacec91805322259ada50f37b2,CHALLENGES,CHALLENGES,challenges,27,37,"Emphasizes the ongoing challenges faced by many developing country Parties in accessing climate finance and encourages further efforts, including by the operating entities of the Financial Mechanism, to simplify access to such finance, in particular for those developing country Parties that have significant capacity constraints, such as the least developed countries and small island developing States;",1.0,explorer,
UNFCCC.non-party.1881.0,b7ad7f315892724ca79d46aef3cd1d35__fa7edc242ddd1a720aabf4d9b35a44e56352cc3891414bc25db5a92135a2bd34,CHALLENGES,CHALLENGES,challenges,246,256,"Notes with deep regret that the goal of developed country Parties to mobilize jointly USD 100 billion per year by 2020 in the context of meaningful mitigation actions and transparency on implementation was not met in 2021, including owing to challenges in mobilizing finance from private sources, and welcomes the ongoing efforts of developed country Parties towards achieving the goal of mobilizing jointly USD 100 billion per year;9",1.0,explorer,
