document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,a42e441262dfc039f668ccc17e13f9c6__5f076bd017c229c5beee58e309fa738a4ad8e942e8cbc454093d3fb9719ce9c0,CHALLENGES,CHALLENGES,challenges,282,292,Its outputs should contribute to a better understanding of the challenges that the countries participating in the Agreement are facing and will be reflected in the nationally determined contributions proposed to be presented in 2025 in accordance with the decision 3/CMA.3.,1.0,explorer
UNFCCC.party.1782.0,787526c0c9a971d345354fa52b360273__4e2beef14a74196d33de8208a1b8eb244ff8390df2b7113174584640d712e7a4,CHALLENGES,CHALLENGES,challenges,42,52,It is necessary to reflect the issues and challenges that define the importance of a coherent just transition that takes into account national circumstances and different decarbonization pathways.,1.0,explorer
UNFCCC.party.1782.0,5be2448b3fe6c195254d0e49a97674fd__c876987f4af4f4e547f3234b5322bb006d9e64a284a63bf6432d1392e0436da4,BARRIERS,BARRIERS,barriers,225,233,"The output of the GST should reflect means and resources available, as well as key challenges and barriers for the enhancement of access to various means of implementation, including those trade and politics related.",1.0,explorer
UNFCCC.party.1782.0,5be2448b3fe6c195254d0e49a97674fd__c876987f4af4f4e547f3234b5322bb006d9e64a284a63bf6432d1392e0436da4,CHALLENGES,CHALLENGES,challenges,210,220,"The output of the GST should reflect means and resources available, as well as key challenges and barriers for the enhancement of access to various means of implementation, including those trade and politics related.",1.0,explorer
UNFCCC.party.1782.0,7dab569d06baa68252768004ebff1ff7__fd92dfd6a1fcf3d35e2ca7445fece910b19609b69e4a3c380a320b26ebd65967,CHALLENGES,CHALLENGES,challenges,22,32,Opportunities for and challenges in enhancing action for collective progress,1.0,explorer
UNFCCC.party.1782.0,0fd306173763a96aee40d12161205f4a__48ebf32ed601bac02de3b2c5d3bbe6c340fa7ed54f426e80272ef5674a33c73c,BARRIERS,OBSTACLE,obstacles,152,161,"The results of the technical assessment phase should be clear for all, comprehensive, unbiased, and represent different ways of overcoming barriers and obstacles across all thematic areas of the GST, in light of different national circumstances.",1.0,explorer
UNFCCC.party.1782.0,0fd306173763a96aee40d12161205f4a__48ebf32ed601bac02de3b2c5d3bbe6c340fa7ed54f426e80272ef5674a33c73c,BARRIERS,BARRIERS,barriers,139,147,"The results of the technical assessment phase should be clear for all, comprehensive, unbiased, and represent different ways of overcoming barriers and obstacles across all thematic areas of the GST, in light of different national circumstances.",1.0,explorer
UNFCCC.party.1782.0,2105400898687beefa1c67a8b352196e__54417844498f0de13a227270443ee1f4bc59e576e5638dbad4208b8585364eee,BARRIERS,OBSTACLE,obstacles,26,35,Possible ways to overcome obstacles should contain proposals for a set of measures to be included in the GST outcomes.,1.0,explorer
UNFCCC.party.1782.0,22a00087c58e3cbd9c46f3cf5a28640c__f29a2a7fc856cd135dd2ed82041eed8ef0c6774de17b8debe2b8e20854b0ca21,CHALLENGES,CHALLENGES,challenges,50,60,"In terms of mitigation, approaches to address the challenges and barriers should reflect the urge to resolve climate change related issues without hampering the implementation of sustainable development goals, thus, SDG co-benefits for other SDGs should serve as important criteria of quality mitigation efforts.",1.0,explorer
UNFCCC.party.1782.0,22a00087c58e3cbd9c46f3cf5a28640c__f29a2a7fc856cd135dd2ed82041eed8ef0c6774de17b8debe2b8e20854b0ca21,BARRIERS,BARRIERS,barriers,65,73,"In terms of mitigation, approaches to address the challenges and barriers should reflect the urge to resolve climate change related issues without hampering the implementation of sustainable development goals, thus, SDG co-benefits for other SDGs should serve as important criteria of quality mitigation efforts.",1.0,explorer
UNFCCC.party.1782.0,85641ece124984ea4c795d1d5e2c99c9__2f289c25149bb85907815eec308d91f1ab7af2a5dcf972a5d828637f4f69a4cc,BARRIERS,BARRIERS,barriers,206,214,"The GST outputs should preclude any political and other limitations, restrictions and barriers.",1.0,explorer
UNFCCC.party.1782.0,3eb28ee349cf83ddc8f766ccb6669af7__2a31c4aa4d3e74319f9af5f16f83d2b1ffeb9adf09a4dc8476d97ec1dd89efea,BARRIERS,BARRIERS,barriers,38,46,"In terms of adaptation, overcoming of barriers should take into account both the global nature of adaptation and the local, regional and national contexts of adaptation.",1.0,explorer
UNFCCC.party.1782.0,7e0cb5f241def09b00fc9389c6a0ba82__fab949b863eb9537d3aebe8cbcf01dbdeab834967e103b93f2877928c9748d1a,CHALLENGES,CHALLENGES,challenges,36,46,"As for the means of implementation, challenges and gaps should be addressed from the point of cooperation in building expertise, increase the scale of training of specialists, and advanced climate-neutral technologies should be available to all countries, for example, through a mechanism for free or low-cost technology transfer to all countries in need.",1.0,explorer
UNFCCC.party.1782.0,7e0cb5f241def09b00fc9389c6a0ba82__fab949b863eb9537d3aebe8cbcf01dbdeab834967e103b93f2877928c9748d1a,CHALLENGES,CHALLENGES,challenges,880,890,Approaches for the challenges related to the means of implementation should focus on facilitative measures rather than restrictive actions.,1.0,explorer
UNFCCC.party.1782.0,9087c77f9fc6039a631c01e845acad96__9aec282544292b895dcf29e4079ea18ba66457ab2435e17f6b2d4f85860cfcee,BARRIERS,OBSTACLE,obstacles,558,567,"At the same time, all such measures should be taken with caution so as to ensure that they support just and equitable transitions for all without creating any new obstacles.",1.0,explorer
UNFCCC.non-party.1797.0,5d654cae7219335992173bda63a7c35e__e4428e0e7c237f5bfd8a19d1722546172dfae2da24003165eceb5c2a9e3e9ec4,CHALLENGES,CHALLENGES,challenges,51,61,Collective progress to date and challenges 3.,1.0,explorer
UNFCCC.non-party.1797.0,64e2a1a727ebb0b9e5076367e760de9e__e39d220265968ab835a2bd9522e7f54a99eafca4af337608296c468ecb9a018d,CHALLENGES,CHALLENGES,challenges,27,37,2. Collective progress and challenges,1.0,explorer
UNFCCC.non-party.1797.0,c7f4787f1f5d6db844477d961cd0090e__81d92b9942b219220a041d4fdf581edcdf6d4d06fe486cc4c68423c47d5384df,CHALLENGES,INSUFFICIENT,insufficient,116,128,"· insufficient progress: despite the commitments made under the Paris Agreement, current actions are still strongly insufficient to limit global temperature rise to 1.5 and support equitable and inclusive climate resilience and low greenhouse gas emissions development;",1.0,explorer
UNFCCC.non-party.1797.0,c7f4787f1f5d6db844477d961cd0090e__81d92b9942b219220a041d4fdf581edcdf6d4d06fe486cc4c68423c47d5384df,CHALLENGES,INSUFFICIENT,insufficient,2,14,"· insufficient progress: despite the commitments made under the Paris Agreement, current actions are still strongly insufficient to limit global temperature rise to 1.5 and support equitable and inclusive climate resilience and low greenhouse gas emissions development;",1.0,explorer
UNFCCC.non-party.1797.0,164e70607754fb7e10ff7cab7a73dec1__f84392caa1769a31c303f6028929c8eb8606cab721fb89f3cdc495a6f4ad9959,BARRIERS,BARRIERS,barriers,469,477,"Women's rights organizations, community-based entities and local institutions across the world are unable to access climate finance due to structural barriers including accreditation process and funding systems which have been designed to service big institutions and multilateral organizations.",1.0,explorer
UNFCCC.non-party.1797.0,164e70607754fb7e10ff7cab7a73dec1__f84392caa1769a31c303f6028929c8eb8606cab721fb89f3cdc495a6f4ad9959,CHALLENGES,FAIL,fail,801,805,"Current climate finance mechanisms and channels in the majority fail to empower particularly affected population groups including women, Indigenous Peoples, youth and people living with disability, to meaningfully engage in climate finance decision making for localized finance implementation.",1.0,explorer
