document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,923affea32275f848254621bc72cc3ee__15553a01c7f4cf78fe62a208ce5974cef43f5344546505ee3f435f5d87375d0f,CHALLENGES,CHALLENGES,challenges,238,248,"During the technical analysis, the Party clarified that it had encountered financial and human resources challenges in obtaining a complete set of AD for these gases and therefore used notation keys “NE” and “NO” to report these gases.",1.0,explorer
UNFCCC.non-party.1750.0,571ac0abf0938a9bab4c40a73aabfc18__374e7fdfdeb23c1a2a4938c1a22630b9245dda680588c0670b6040ce805d79f7,CHALLENGES,CHALLENGES,challenges,281,291,"During the technical analysis, the Party clarified that it had faced human resources challenges in conducting the uncertainty assessment for these subcategories, and capacity-building for conducting uncertainty assessment was identified as one of the Party’s needs in its BUR.",1.0,explorer
UNFCCC.non-party.1750.0,fe50d4e48bf6c395b9657e132b0a158f__ec0285070772514a255a7b2d8fed15e21313bc04c8c4cd6fe8e78f17942920e7,CHALLENGES,CONSTRAINT,Constraints,3,14,"4. Constraints and gaps, and related technology, financial, technical and capacity- building needs, including a description of support needed and received",1.0,explorer
UNFCCC.non-party.1750.0,d8590c0b30198d394b04c642a74f5aeb__a3249e40f2932ebdd5e1f4ec2ce75aacf28780665ceb29ba72f241cb06c3c6fa,CHALLENGES,CONSTRAINT,constraints,230,241,"In its BUR, Papua New Guinea identified constraints and gaps related to the preparation of its GHG inventory (BUR table 2-7) for the agriculture sector (i.e. data availability and consistency).",1.0,explorer
UNFCCC.non-party.1750.0,d8590c0b30198d394b04c642a74f5aeb__a3249e40f2932ebdd5e1f4ec2ce75aacf28780665ceb29ba72f241cb06c3c6fa,CHALLENGES,CONSTRAINT,constraints,45,56,"Papua New Guinea reported information on constraints and gaps, and related financial, technical and capacity-building needs in accordance with decision 2/CP.17, annex III, paragraph 14.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,CHALLENGES,CONSTRAINT,Constraints,482,493,"Constraints on mitigation activities include a limited budget and ineffective institutional arrangements, while constraints on adaptation activities include a limited budget and the geographical situation of the country hindering data collection.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,CHALLENGES,CONSTRAINT,constraints,594,605,"Constraints on mitigation activities include a limited budget and ineffective institutional arrangements, while constraints on adaptation activities include a limited budget and the geographical situation of the country hindering data collection.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,CHALLENGES,CONSTRAINT,constraints,396,407,"During the technical analysis, the Party provided additional information on its financial, technical and capacity-building needs and clarified that challenges remain in addressing constraints and gaps that were identified and reported in table 5-1 of the first BUR.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,CHALLENGES,CONSTRAINT,constraints,19,30,"Information on constraints and gaps related to areas other than the GHG inventory, such as institutional arrangements, was not reported in Papua New Guinea’s BUR and the reason for this was not clear to the TTE.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,CHALLENGES,CHALLENGES,challenges,364,374,"During the technical analysis, the Party provided additional information on its financial, technical and capacity-building needs and clarified that challenges remain in addressing constraints and gaps that were identified and reported in table 5-1 of the first BUR.",1.0,explorer
