document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1855.0,a7820285a0ca691e67a498fbc3615466__6002ee69609db3088ffb63ab083d0bc70682ba127c6aa9d5b78fa784afe47d7a,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,428,445,"More specifically, LOCAL provides capacity building and technical assistance to local governments to help them better assess climate risks and vulnerabilities and integrate climate change adaptation into their planning and budgeting processes - thus improving preparedness for, awareness of and resilience to climate change.",1.0,explorer,
UNFCCC.non-party.1855.0,961d460986c77ccb0a3b38f1144ccda8__936c17a34d3ab91cc039680894ddb99fcede668028e16040b53f924c476f08f2,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity-building,205,222,Capacity-building support and learning-by-doing in managing these tools and using them for local adaptation planning are further bridging the capacity gap.,1.0,explorer,
UNFCCC.non-party.1855.0,2a0253d419faae741ebf7bb964b650bb__f0758505b6f7913b1a8473c5f58573bee44a417e46bca1574f5d19f8db357257,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,207,224,"The LOCAL Facility combines performance-based climate resilience grants (PBCRGs) that ensure the programming and verification of climate change expenditures at the local level, with technical assistance and capacity building support.",1.0,explorer,
UNFCCC.non-party.1855.0,a84f7e638e774d371faa3dfce30dcd12__6fd954778428ce6141e5ed9792ce6affa05db83022618a85502fc1a5b7593f8f,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,523,540,It also enables Parties to implement their NDCs through local climate action and implementation by increasing local investments and related capacity building and technical support in countries through PBCRGs.,1.0,explorer,
UNFCCC.non-party.1855.0,d38105d74a8162dae9ed53561b7ccf70__6b6cbe62b4c26c6d14b79751c414911b32436cc1a687a20f7a8d686554972fbb,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,882,899,"ACCAF has five categories to classify local adaptation investments: climate-specific, climate-smart, climate strategic, climate complementary, and awareness and capacity building to inform the adaptation intervention and rationale.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,367,384,"And by ambition, we mean all aspects necessary to reach all of the Paris goals : mitigation, adaptation, means of implementation and support, finance flows, addressing loss and damage, science, technology transfer and capacity building while securing intergenerational justice, gender equality, and a just transition, protecting human rights, labour rights and biodiversity.",1.0,explorer,
UNFCCC.non-party.1863.0,d82793272338e3a6eaf5d5689a27aee5__e3dbd46b1fe3b5e4e160a60ad7807159b08fdb795ae85e807acf98a6d15fd9b4,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,73,90,"Cross-cutting issues, especially around equity, human rights, finance, capacity-building and education/training",1.0,explorer,
UNFCCC.party.1852.0,2805bdfd7797fb7cc7efab2981641d68__071c59ef9dfc478eeea50342445a2d63f86e7ed36618679f23ba242c1b5c5413,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,116,133,"For South Africa, enhanced means of implementation support, in the form of climate finance, technology transfer and capacity building, is a practical and real-world necessity to empower us to achieve our ambitious goals and further enhance our ambition.",1.0,explorer,
UNFCCC.party.1852.0,f85b985e99e1339c0ee1d8512184ab37__0fd10e15b60ebc7ed2c4c6e912cd0a8fdc9546deedcce408a3370ca706986f45,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,64,81,"· Means of implementation and support: finance, technology, and capacity-building",1.0,explorer,
UNFCCC.party.1852.0,3fa4fa9dfeac62b00d92a69a5c76562e__7bb014273f5f50826000bd53d06f2e2024c1f47b00d1b5bdd76914a091637457,CAPACITY-BUILDING,CAPACITY-BUILDING,build capacity,345,359,Continuous support is also required to build capacity for reporting on adaptation and loss and damage in developing country Parties' Biennial Transparency Reports.,1.0,explorer,
UNFCCC.non-party.1857.0,20c109c21709e5c10933ff84c934ba64__6c455eba592e97d0a59f2046d2daf2bf57a352284b35c80bdfed6395d26026bb,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,106,123,"Various synthesis reports of the GST's First and Second Technical dialogues have highlighted the need for capacity building - at global, regional and national level - to track, monitor, evaluate and report on progress.3 Monitoring and evaluation systems are needed that combine different sets of evidence, allow for regional aggregation, measure effectiveness, quantify the means of implementation and support, and help answer policy questions, in order to make progress towards the Paris Goals.4",1.0,explorer,
UNFCCC.non-party.1857.0,cbd41e06e55962d7ad397785757a3846__487feef8d4b62dc38316df38119df990f2a1a980dd438eae38e6faa4b49e97c1,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity-building,29,46,Paris Committee on Capacity-building.,1.0,explorer,
UNFCCC.party.1833.0,794d79c29e81c17078a47dd5654148fd__315b778079a1f8bececb2d3626a7d76cb91e1f18b6536ad96f9c9010075e2e56,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,6,23,How capacity building needs based on recommendations and main gaps will be considered or defined?,1.0,explorer,
UNFCCC.party.1833.0,7507bfebd8cf9bdb3a5c5282c5df3e07__8b70e638f3496d3c6a92e283720027e01cb7dcd6ab45dc5a121e6a4836ed0e6d,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,226,243,"In this sense, support and capacity building needed for this periodic reporting should be foreseen.",1.0,explorer,
UNFCCC.party.1833.0,18e97d4c504ccddc5297bc82c04592f9__2d3ec4831607da5d6027f0afd8cdf69f1f07c47a980f3b62e5ecdc73b3884193,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,336,353,"It could invite the Adaptation Committee and the LEG to strengthen their work to support the progress towards the Global Goal on Adaptation, and invite the PCCB and NWP to prioritize capacity-building support for GST follow-up.",1.0,explorer,
UNFCCC.non-party.1865.0,549b3e2a659e6243ab6a3824ef52e728__a0850147252613a97e3c90bf25d1cfb7bcfd627fd2a100db47ea5b9905e3e389,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,285,302,The GST can support increased international cooperation and capacity building on such topics.,1.0,explorer,
UNFCCC.party.1837.0,f85b985e99e1339c0ee1d8512184ab37__0fd10e15b60ebc7ed2c4c6e912cd0a8fdc9546deedcce408a3370ca706986f45,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,64,81,"· Means of implementation and support: finance, technology, and capacity-building",1.0,explorer,
UNFCCC.party.1837.0,4de224265e9d7a264495c20c4f3aa48c__4874eaab487099b367b9d62fdc468dd58853bd16ab36a1c7e8bcdc3ceae292b9,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,150,167,"For the Group of 77 and China, for example, the enhanced means of implementation support, in the form of climate finance, technology transfer and capacity building from developed to developing countries, is a practical and real-world necessity to empower us to achieve our ambitious goals and further enhance our ambition.",1.0,explorer,
UNFCCC.party.1837.0,76cde74c37a8aac396397faa5c685c2a__5e6768eb79ce38b19423dcdeedb27d5b59fe0bfe74d5ef4122a513728e5a9c1e,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,232,249,"· Identifying the good practices, lessons learned, opportunities, challenges, needs, and gaps for enhancing implementation andambition , with respect to mitigation, adaptation, the provision of the means of implementation (finance, capacity building and technology transfer) to developing countries, addressing the consequences of response measures, and averting, minimizing, and addressing loss and damage as indicated in para 6(b) of decision 19/CMA.1 in a balanced manner (paragraph 15(iii) of the G77 and China's 25 May 2022 GST Submission).",1.0,explorer,
UNFCCC.party.1844.0,623d34cec4fc10f4214438916257b02a__367e074abdb98b2cf1941beab39fc49829b63f6eddca4e7babedd2bdefb4e9e3,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,326,343,"The review results stage should summarize the obstacles hindering the progress of global response to climate change and conduct an in-depth analysis of the reasons, including gaps in early performance, ineffective implementation of commitments, and insufficient financial, technical, and capacity building support.",1.0,explorer,
UNFCCC.party.1839.0,67639a9246c7ed81d7d926fcd7adb548__3978c9b950a04d3d11d725e4ec1177d4cd73ddfce499de581c31dc927bbbf4c2,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,405,422,"In addition, it must also provide guidance on capacity building and technology development and transfer, there are critical enablers to achieve the goals of the Paris Agreement.",1.0,explorer,
UNFCCC.party.1835.0,2aeecc4842cc49f4abef7d47d0ad7ef4__7425fa202f9ef09084c063ff51644eb287dd207437126dd2492cc8b8a3c9b014,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,307,324,"The outcome should urge developed countries to provide commensurable finance mostly from grants, remove barriers to access to finance, provide technology transfer and capacity-building support to developing countries, avoiding all forms of procrastination.",1.0,explorer,
UNFCCC.non-party.1862.0,d17f59ff5b680f4d1db9c7acafce7c7c__1097d11b060f9e74b7ef8d046951fba5c2ac8411510df827301bb502b7ddf3cc,CAPACITY-BUILDING,CAPACITY-BUILDING,building capacity,365,382,"Therefore, Impulsouth is supporting country research around climate change, is building capacity through a virtual training course for young climate professionals and is launching a solutions lab to tackle key climate challenges in each of the countries.",1.0,explorer,
UNFCCC.non-party.1862.0,8b03b95b78a2c81282b0df2be56f0599__488f3b826597692fb026cf66c44460643abb7c1c68ee2cfb8fca70f7c7be5ece,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,118,135,"In that context, Impulsouth has organized a series of exchanges between global and national stakeholders regarding capacity building for climate action with an emphasis on youth and gender, the lessons of which have been sent through a first submission presented in August 2022, with the intention to inform the Global Stocktake process.",1.0,explorer,
UNFCCC.non-party.1862.0,bbac67675c1195993125c33090c18013__de9f45fc5cb94c366fb91fdd01ee642183e360f2245728a5a1d87273eed910e5,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,215,232,"For instance, regardless of article 3 of the Paris Agreement saying that NDCs must include mitigation, adaptation, finance, technology and capacity building, no developed country has included the latter 3, which are an enabler for action globally and for the paradigm shift and transformations needed to crystalize.",1.0,explorer,
UNFCCC.non-party.1862.0,f13f373e914c19360d927e257979e8eb__d604722aedf41fcaa9b836e88e2e13e2a2157cb4f449ddbd1ba2fedc4f9b28a4,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,241,258,"i. This component should focus on those issues that at a technical level have found difficulties but are arguably the most important in light of current climate impacts, like monitoring adaptation actions, vulnerability, losses and damages, capacity building efficacy, long term planning, methodologies to assess indicators and monitoring and reporting systems.",1.0,explorer,
