document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,c5be89b70338d6c2c53a2867cb68663e__c1e9b0fa61522baabd7d731abaa982dddb56cab94ebd1f43601d87260e04ccf2,CAPACITY-BUILDING,CAPACITY-BUILDING,Build capacity,81,95,"Tome(s) of carbon dioxide removed annually
10Bt
100Mt
1Mt
10K t
100 t
2020
DACCS
Build capacity
Announced capacity
2030
2040
2050
108 t
100Mt
1Mt
10K t
100t
2020
Biochar
2030
2040
Year
2050
108 t
100M t
1M t
10K t
100t
2020
BECCS
2030
2040
2050",1.0,explorer
UNFCCC.non-party.1740.0,b690349753428c8601a8036cefbfb5ca__0155410ec25e157822fe215f0683116f3de19e7bb26cb1724bd43eadd2613d5e,CAPACITY-BUILDING,CAPACITY-BUILDING,built capacity,187,201,"Squares represent built capacity in three example CDR methods (Direct Air Carbon Capture and Storage (DACCS), biochar and Bioenergy with Carbon Capture and Storage (BECCS).",1.0,explorer
UNFCCC.party.1736.0,124c45ce958097e49a7eb1ef27f4aaf0__0b459392c56d241676137980aafb7c0a93ba96a3b933164dda13d97bf2a80506,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,1003,1020,"3.8.1 Training and capacity-building activities for inventory compilers..
3.8.2 Capacity and staffing.
",1.0,explorer
UNFCCC.party.1736.0,b60daa027f33853a2a578081e14488c5__abba7349db2bb04428922eec27ea6f5a77614e1f525de8a42bbfc16e48058b97,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity Building,348,365,"7.4 Knowledge Transfer Through Capacity Building
8.",1.0,explorer
UNFCCC.party.1736.0,585e8dd956a43b1a635f0b3c2404c3d5__e7881013fc274a874213fb72f70761cf41e739560ccbc29b55bfa46bee39a07d,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,848,865,"5 Projection..
6 Provision of financial, technological and capacity-building support..
Annex II Greenhouse gas inventories 1990-2020..
243
.243
245
246
246
248
..249
252
253
255
256
.258
258
259
.261
263
276
277
..281",1.0,explorer
UNFCCC.party.1736.0,221ee1a198fc931556ba7ad614728888__1c81d3f1fa7bd5fea59ee41e8fd1678cdc303b73844791a488c3b86e0d5c1a20,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,275,292,"The GRO Training Programs provide support to climate change adaptation and mitigation in LDCS, gender mainstreaming, capacity building through the four programs: GRÓ Geothermal Training Program, the GRO Fisheries Training Program, the GRÓ Land Restoration Training Program, and the GRÓ Gender Equality Studies and Training Program.",1.0,explorer
UNFCCC.party.1736.0,5e952f22c45b71d1c0194b50b3d5214c__a98bf3ba5d8e8920ecaa6c408aa94d79b2b7ec8771b9a1703ba6cf5e2b3beb9d,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,80,97,The Icelandic inventory team has proactively sought and engaged in training and capacity building activities.,1.0,explorer
UNFCCC.party.1736.0,5e952f22c45b71d1c0194b50b3d5214c__a98bf3ba5d8e8920ecaa6c408aa94d79b2b7ec8771b9a1703ba6cf5e2b3beb9d,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,129,146,These training and capacity building activities aim to support individuals within the inventory team as part of a staff development plan.,1.0,explorer
UNFCCC.party.1736.0,b3781f3ed662e4f329d505835bc10c42__00067934531fbbcc5e804938ebf55aea6c60091fa4419796f94c8f89296d27b6,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,19,36,3.8.1 Training and capacity-building activities for inventory compilers,1.0,explorer
UNFCCC.party.1736.0,b649bb0b07672b4fc9be8aadb98199a3__f8c9d1623c77c0db0b87fd3d9536b69ba2e2ec0471d617ca5c20dcf1a313c77b,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,667,684,"Furthermore, Iceland participates in various international experts' groups which aim at discussing and enhancing the overall quality of the inventory, as described in the chapter 3.8.1 above on training and capacity-building.",1.0,explorer
UNFCCC.party.1736.0,2a34fb74091922d6bb911224e711fa52__7fed4aee2f93fc41daf888748718d2f055fb43d9c95d8cbdfcc9bc2b70f39562,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,131,148,"Parallel to the long-term development of the National Adaptation Plan, the government has begun the planning and implementation of capacity building adaptation measures.",1.0,explorer
UNFCCC.party.1736.0,fb9fae5440d57f49b8efe0bab380e996__cd9003ff5b302ad6ebfe022e9a84cb76c6ae4b0168013e0eb130effd10af389d,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,101,118,"The environment and climate action portfolio is somewhat balanced between adaptation, mitigation and capacity building activities, and gives special attention to women's empowerment in the field of climate change and increasing access to renewable energy sources.",1.0,explorer
UNFCCC.party.1736.0,10ba8c049e168afaeacc2a5ae5fbf665__19971353fae20df72e8d490769b17fc03d63a569cde5e2eddc55fa7cada28cdc,CAPACITY-BUILDING,CAPACITY-BUILDING,build capacity,837,851,"Finally, a geothermal exploration project in the East African Rift Valley aims to build capacity and expertise in the field of geothermal utilization.",1.0,explorer
