document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,acc40d4ff46f841d073de85c3e438601__7c34c05c8fb36fcc5de25d908b8b7e2936ee5939682bcfd1e486c928e73c68c4,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,697,714,"In the context of adaptation, it is crucial to consider a wide range of means of implementation, encompassing not only financial support but also technologies and capacity building.",1.0,explorer
UNFCCC.party.1782.0,5be2448b3fe6c195254d0e49a97674fd__c876987f4af4f4e547f3234b5322bb006d9e64a284a63bf6432d1392e0436da4,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,594,611,"Than includes both aspects of alignment of domestic and international finance flows with the sustainable development trajectories that encompass climate change mitigation and adaptation, and issues of access to technologies, knowledge and expertise, capacity building.",1.0,explorer
UNFCCC.non-party.1797.0,707c580a5961dae286a7cbe759bf8850__ce6f0877b2a8438dac4826ba482111c86309ebea060d581abaf2c2e933a75ead,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,42,59,"-> Recognize that technology transfer and capacity-building efforts must be gender- responsive, taking into account the different technological needs, ancestral techniques and forms of knowledge, capacities of all groups, and addressing/cutting down the structural barriers that prevent women's access to and participation in technological innovation and knowledge-sharing.",1.0,explorer
UNFCCC.non-party.1797.0,c31387e6360ce1cc5ba8f34790a73382__ed7eb05fef8bec4eca6365b82ccf929bfc267cbf51da5762a1d6ab5fd7d9e347,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,86,103,"-> Ensure that the means of implementation, such as finance, technology transfer, and capacity-building, are gender-transformative, and support the needs and priorities of women and other marginalized groups.",1.0,explorer
UNFCCC.non-party.1789.0,840ff0fcb2b9112daae4d7cc9b1113bc__b6cb8499b2404c6b25fcc2e7cdd7b4afb86c54bf2d967748d5b9d68c3172bdcd,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,1046,1063,"It has also called upon States and international institutions to support and strengthen capacity-building activities in developing countries, in particular least developed countries and small island developing States, in the area of mitigation of and adaptation to climate change impacts on the ocean, including protection of coasts against sea level rise.",1.0,explorer
UNFCCC.non-party.1789.0,258bdfbfe7772e3c922f49c87fba8bc2__3317747b57ed45954f9e395c700b1a118df207f1ac7a0909f368cc3bd83d68ad,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,115,132,"For example, OLA/DOALOS, in addition to supporting the work of the General Assembly, has an extensive programme of capacity-building activities on ocean governance and the regulatory framework under UNCLOS, essential to ensuring the proper management of ocean spaces and the protection and preservation of the marine environment.",1.0,explorer
UNFCCC.party.1763.0,9864ded6e3b36fc4a1e1d1785fadf523__3fb0e2ca6a2fc7a14c3291034ae489181c2b4f0bac143f9cb6cd2e1e7ff51ac4,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,173,190,"The reality check we need to face is that to achieve the long-term goals of the Paris Agreement will necessarily require an unprecedented scale of financial, technology and capacity-building resources, in scope, scale and speed.",1.0,explorer
UNFCCC.party.1771.0,04af05ac5e0067e8c50c3551a2409f63__211cbeedffab26a8a9e6f94543229fee457e665465434ee82940036c6ffbc26c,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,1186,1203,"Mitigation action for developing countries is linked to the provision of finance, technology transfer and capacity-building by developed countries, and assessing and addressing the adverse effects of response measures.",1.0,explorer
UNFCCC.party.1771.0,f7ea83800a2514fab9ada95b431d9509__81671f52db43123bd54f019d5c48a8f40d69076195ab600ca1a854e5621c7c43,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,3,20,"On capacity-building, the decision has to deliver a message highlighting the necessity to address developing countries' needs, in relation to the implementation of the Paris Agreement, as well as for costing their actions with respect to mitigation and adaptation.",1.0,explorer
UNFCCC.party.1771.0,9ff61c0e148bd15b4a3faf2c543a39ec__af4c73b807ca5f02c4ccbf0d8526c0e1deb9b8cb11783e537ebc4882175854e2,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity-building,2,19,"- Capacity-building programmes and plans to help developing country Parties to use the methodologies and tools, including modeling instruments on existing tools and/or the tools developed by the Forum through regional training activities, and address the negative impacts of response measures;",1.0,explorer
UNFCCC.party.1771.0,219fb062557ddba11176133adca5ce2e__c420c0e9ba37e33c392b77ec60bdcf1484514129a77133db7104f016aa7c919b,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity-building,2,19,- Capacity-building for strengthening monitoring and reporting systems on response measures.,1.0,explorer
UNFCCC.non-party.280.0,d16c4cdf67f1bc0260fe5246d779602f__6b8d5157b65c967049482cf7d9bf442683688416995b32c98f73293c158e659b,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,231,248,"The PA further addresses mitigation (Article 4) and adaptation to climate change (Article 7), as well as loss and damage (Article 8), through the mechanisms of finance (Article 9), technology development and transfer (Article 10), capacity-building (Article 11) and education (Article 12).",1.0,explorer
UNFCCC.non-party.280.0,a8fb70cad1cdcf0ad6064e4d5ff57f30__97c34352db0bbc9c8ff536ff63538e1d34872ee836b6501062b0b469502ae736,CAPACITY-BUILDING,CAPACITY-BUILDING,Building capacity,12,29,Building capacity for risk management in a changing climate: A synthesis report from the Raising Risk Awareness project.,1.0,explorer
UNFCCC.non-party.280.0,23595753b1ad1ea67e11ff357d986fda__87febefd4940a411871bf7a81fabcaae8cfc7c19c39d9925af0061457fa91670,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,756,773,"The GFCS, under the leadership of several United Nations Agencies, emphasizes the public domain by supporting national and regional capacity building and development of climate services mainly through National Meteorological and Hydrological Services (Hewitt et al., 2012; Domingos et al., 2016; Sivakumar and Lucio, 2018; WMO, 2018).",1.0,explorer
UNFCCC.non-party.280.0,0ce66ee226c2c4496114b0a4db7aaf22__7dd830b7f0cee855ac14ed15a7fb63bcefba28fbc5d7b81b9b98c46afdb6c5c6,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,1075,1092,"However, users also ask for capacity building",1.0,explorer
UNFCCC.non-party.280.0,6bf8cf9cc0d457828bf72b0f90533551__d44fea8b0567a29edbc9e17aa8ab305fdfd1f7e9261e4135f71f7a6a86a5f343,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,438,455,"These result in different types of climate service products including websites, capacity building, and co-design of tailored climate indices (Cross-Chapter Box 12.2, Figure 1; Hewitt et al., 2017a).",1.0,explorer
UNFCCC.non-party.280.0,3f13f2073203c225dba2cab4d120d453__d29a9868ede662284cc2eb1faf153aaaa1672db202bf963800d60a3a96f4d31c,CAPACITY-BUILDING,CAPACITY-BUILDING,building capacity,416,433,"Climate services include a range of knowledge brokerage activities such as: identifying knowledge needs; dissemination of knowledge; coordinating and networking; compiling and translating; building capacity through informed decision-making; analysing, evaluating and developing policy; and personal consultation (e.g., De Bruin et al., 2020).",1.0,explorer
UNFCCC.non-party.280.0,32c428998d23b94defda53b5ce0acd78__db3564e8541dbe919c861683ff7c703e5e0a6077559a7d7800b85caad9ebf5c7,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,42,59,"· Advisory service/consultancy, including capacity building;",1.0,explorer
UNFCCC.non-party.280.0,9b7cea495e2c3d5806f496bc41c3a0ad__35530f2cb5a7e7906cd314f37e207200d69c4ad6f2f31df76d3a21c80ef8a087,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,387,404,The categories range from very generic products or expert analysis focused particularly on climate information (climate-centric approaches) to more integrated products that include shared open-source products and capacity building as well as tailored products that treat climate information as part of a larger decision-making context (climate-inclusive approaches).,1.0,explorer
UNFCCC.non-party.280.0,8a7a355e40c6c9343a36887e7d0677b1__c467656277b64b844563a6ce408f56df36a755dfdd2f0994afcea259209ccde5,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity-building,2,19,· Capacity-building,1.0,explorer
UNFCCC.non-party.280.0,d9ce17bbad3cfc89b28b853e08546136__a55c4cb1d0722da76f6782b7c543f1ea51aac8a1702f075e4752048fa0ad4bc2,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,331,348,"Proposed project interventions include a package of both 'soft' (e.g., policy, institutional and capacity building, on-farm water efficiency practices) and 'hard' (modernized irrigation schemes) activities.",1.0,explorer
UNFCCC.non-party.280.0,09fa68c603a11decf793342b5b78196f__7bdf21bd911ff4defb8bdde2edaf4a294e037ef1cb1b51ed092acedf6136b1f5,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,302,319,Advancing climate services for the European renewable energy sector through capacity building and user engagement.,1.0,explorer
UNFCCC.non-party.1812.0,6f257899de1bb27259563c3a1dabd599__7a5b712461d1177d0857b540d917fb6f0173dd5fb3d18d2fa6a65c4ca3010223,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,41,58,"Recognizes that finance, technology, capacity-building and international cooperation are critical levers for enabling climate action.",1.0,explorer
UNFCCC.non-party.1812.0,aeaead27edc6c748b541d56fed53541d__d740172da64798c4e4297b19f57c8a21dc61a05f360c15d3b1de046453c19f2c,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,42,59,Highlights the urgent need to provide capacity building support to developing country Parties to align financial flows with the goals of the Paris Agreement.,1.0,explorer
UNFCCC.non-party.1812.0,8166b55ffb3e6ebe8384c475d9415e3d__fd12961ad249c512ba2876fd3caad0c4b63745dd9edd4f96352bf1e1fe4e8756,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,13,30,(f) Increase capacity building support to developing countries to create the necessary enabling environments to operationalize Article 2.1(c) of the Paris Agreement.,1.0,explorer
UNFCCC.party.1773.0,ab837d75d7feefce4f36dcfa7729ecfe__dc50dfa22c0afa15dc401949c9ed139e4be8dcb35bc95996e27b7f546fdd8366,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,62,79,"The insufficiency of technology transfer and capacity building, coupled with the absence of substantial, adequate, and concessional climate financing, is further putting a strain on the macroeconomic stability of developing countries resulting in the increase of poverty, food insecurity and inequality.",1.0,explorer
UNFCCC.party.1773.0,3d0fffc94d00037c01e9f9617e1ed3a1__33062eb9511601536e6bdc640f7648ba5cfe16150fadb83339cf23f2055a4b44,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,384,401,"Likewise, ""requests developed country Parties to provide developing country Parties with financial, technological and capacity-building support, in accordance with decision 1/CP.16 and other decisions of the Conference of the Parties on the matter.""",1.0,explorer
UNFCCC.party.1773.0,32dc1c2a9740542d9d4d701bab7d0587__e9be3384238e73e1027dd056935c03888708d6a23b25f7dd129b38764832997e,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,74,91,"· Strengthening international cooperation and support, including finance, capacity-building, and technology, for closing the gap in addressing loss and damage in a way that does not increase indebtedness or income loss of developing countries.",1.0,explorer
UNFCCC.party.1773.0,e23e517d4942eb82e227afd8e460533f__8f4e27cc18ad7405e282dadbb95cc7036cc93dca91ad0caff979ecb282fb1f94,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,803,820,"The current scenario underscores a pressing need to revisit and reformulate financial flows, technology transfers, and capacity-building mechanisms.",1.0,explorer
UNFCCC.party.1773.0,80b16869022c4f1a5fb366ad9a4b02ee__178fd1ba9436e46c73644133b4c10cf5209eeec6b044119ffb4918f46205962f,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,412,429,"It's a journey where every step, be it financial reforms, tech transfers, or capacity building, inches the world closer to a future marked by climate resilience, equity, and sustainability.",1.0,explorer
UNFCCC.party.1773.0,c1e8fe11f77adb9fb28727cc76d7dd5b__6c1f0f8f83c6164c35c4f65c07278f9cf8010872c3aa768631879469ba3fe7b8,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,193,210,"Simultaneously, collaborative research and capacity-building are imperative for scaling mature climate technologies and catalysing emerging tech developments.",1.0,explorer
UNFCCC.party.1773.0,bed123b172a064942790ba0cb048d070__b407f7dfb6b0c5b22407bd1b6b3560ea938231ff2146bfd316016751e5765c47,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity Building,0,17,Capacity Building: Crafting Robust Climate Defences,1.0,explorer
UNFCCC.party.1773.0,1556db0336f6091b0a75def628370302__a1f811385a8c58b05ad495b41e849585fed8742d41efa91d2b7c6780b6d3ff1d,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,109,126,"· Sustained Knowledge Transfer: Strengthening bilateral and multilateral partnerships, with a laser focus on capacity-building, can ensure that knowledge transfer isn't sporadic but continuous.",1.0,explorer
UNFCCC.party.1773.0,f9a4f7769805d25c3ad450d3cfadc4d3__850daec8caa512d4cc8d0260f747ac56cd82d47850b75af5950cf59323a4ac86,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,1094,1111,"Thus, new models of development and reforms to revamp the financial system to be fit for purpose to tackle the climate crisis are urgent, with an underlying strategy that ensures the availability of the necessary finance, technology, and capacity building.",1.0,explorer
UNFCCC.non-party.1810.0,159c3b38ecb1190f8529cd2319184ebb__406478ddc15ad080702e842f1b29a758bbe06dd4263aad49681d345b23239e95,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,253,270,"It remains vital to continue activism, education, capacity building and research, and to maintain increased visibility in all facets of climate action.",1.0,explorer
UNFCCC.non-party.1810.0,b75e5e327270ba8de7b86c1c70d80d77__8176116cc031bb9ec1ed9fdc2d4bef47a63d41b7130f41ba26f4e11dea0089bb,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity building,376,393,"This forms a significant part of capacity building, empowering more members of the LGBTQ+ community to participate effectively in climate action efforts.",1.0,explorer
UNFCCC.non-party.1810.0,f8e276de67f64e0037b0abe43903ecda__817b884a30967ef78f9d9759b404aa786ca25c038ab7bd99510dc6627d373ab3,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity Building,3,20,Capacity Building: Invest in training initiatives to empower LGBTQ+ individuals and organizations to undertake climate action effectively.,1.0,explorer
UNFCCC.non-party.1810.0,d13751eef21a74319001607cdbb5dcc1__c19af8bbc85efae09fea36260de970859494891a509e18efe909946ce96d7603,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,221,238,"Advocacy for policy changes, capacity-building efforts, including those in partnership with institutions and businesses, increased representation in climate discourse, and recognition of funding issues can all contribute towards creating a more inclusive climate future.",1.0,explorer
UNFCCC.non-party.1810.0,f785827563f0880c50845b9c446af50a__442d15057977bf19f05ad7b8634495d886743bf7506ffbd39cc803b703339689,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,41,58,Capacity Building: Increased focus on capacity-building initiatives for LGBTQ+ networks could strengthen their participation and decision-making in climate action.,1.0,explorer
UNFCCC.non-party.1810.0,f785827563f0880c50845b9c446af50a__442d15057977bf19f05ad7b8634495d886743bf7506ffbd39cc803b703339689,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity Building,3,20,Capacity Building: Increased focus on capacity-building initiatives for LGBTQ+ networks could strengthen their participation and decision-making in climate action.,1.0,explorer
