document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,18f0f566caf49c07c3aee52f0d881bb9__ae146ca08891793c11ee55db751c29932c8943e67f899de22ba76dc3474704d8,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,253,270,"During the technical analysis, in addition to the written exchange, in the virtual team room, to provide technical clarifications on the information reported in the BUR, the TTE and Papua New Guinea engaged in consultation3 on the identification of capacity-building needs for the preparation of BURs and participation in the ICA process.",1.0,explorer
UNFCCC.non-party.1750.0,3d219735b770a2f27d4670d8788251d0__79c0f361f0ba149e4996c01738515dd72ceddabe25c029444437d5e971b0f8cf,CAPACITY-BUILDING,CAPACITY-BUILDING,Capacity-building,420,437,"The Party reported that the Climate Change and Development Authority is the governmental body responsible for its climate change policy and GHG inventory and BUR, which were prepared with the support of the Food and Agriculture Organization of the United Nations through the Global Environment Facility Capacity-building Initiative for Transparency and the Green Climate Fund Readiness and Preparatory Support Programme, and the Japan International Cooperation Agency.",1.0,explorer
UNFCCC.non-party.1750.0,571ac0abf0938a9bab4c40a73aabfc18__374e7fdfdeb23c1a2a4938c1a22630b9245dda680588c0670b6040ce805d79f7,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,362,379,"During the technical analysis, the Party clarified that it had faced human resources challenges in conducting the uncertainty assessment for these subcategories, and capacity-building for conducting uncertainty assessment was identified as one of the Party’s needs in its BUR.",1.0,explorer
UNFCCC.non-party.1750.0,84295c1f497d47c48f1975074d91238b__33bf5ecb7fe292281d9f4b5bd7b6dc42d56d23f38b12c0042e0d613e081dfff7,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,195,212,"As indicated in table I.3, Papua New Guinea reported in its BUR, mostly in accordance with paragraphs 14–16 of the UNFCCC reporting guidelines on BURs, information on finance, technology and capacity-building needs and support received.",1.0,explorer
UNFCCC.non-party.1750.0,d8590c0b30198d394b04c642a74f5aeb__a3249e40f2932ebdd5e1f4ec2ce75aacf28780665ceb29ba72f241cb06c3c6fa,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,104,121,"Papua New Guinea reported information on constraints and gaps, and related financial, technical and capacity-building needs in accordance with decision 2/CP.17, annex III, paragraph 14.",1.0,explorer
UNFCCC.non-party.1750.0,d8590c0b30198d394b04c642a74f5aeb__a3249e40f2932ebdd5e1f4ec2ce75aacf28780665ceb29ba72f241cb06c3c6fa,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,584,601,"Its technical and capacity-building needs (BUR table 4-1) are primarily related to conducting assessments in mitigation (i.e. mitigation impact, sustainable development and transformative change assessments), adaptation (i.e. vulnerability needs assessments) and cross-cutting areas (i.e. financial needs and technology needs assessments) and using tools and guidelines for the preparation of the GHG inventory.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,321,338,"During the technical analysis, the Party provided additional information on its financial, technical and capacity-building needs and clarified that challenges remain in addressing constraints and gaps that were identified and reported in table 5-1 of the first BUR.",1.0,explorer
UNFCCC.non-party.1750.0,b24280c7d1517cc27ea6c73f6b6f0996__45d41757951850a23e70946554c3970117520adfcbb4707a98ce952b67a8e462,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,428,445,"The Party reported that it has received financial resources, technology transfer, capacity-building and",1.0,explorer
UNFCCC.non-party.1750.0,b24280c7d1517cc27ea6c73f6b6f0996__45d41757951850a23e70946554c3970117520adfcbb4707a98ce952b67a8e462,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,87,104,"Papua New Guinea reported information on financial resources, technology transfer, capacity-building and technical support received in accordance with decision 2/CP.17, annex III, paragraph 15.",1.0,explorer
UNFCCC.non-party.1750.0,4f553e8c5b78fd8992b99a0b216ddc08__263c23a34837f33d56037d9eb2065ced163588794175dff73c9b189c084f9ff1,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,21,38,D. Identification of capacity-building needs,1.0,explorer
UNFCCC.non-party.1750.0,9df7edcf7c0507022c95fa4514e4a064__da9c0c794ca54d2d79c3634a84b4e2e06036ecb832f6f893b23471faf0c3e4f7,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,86,103,"In consultation with Papua New Guinea, the TTE identified the following needs for capacity-building that could facilitate the preparation of subsequent BURs and participation in ICA:",1.0,explorer
UNFCCC.non-party.1750.0,20806d8f23f6affc7d8e58b39fd545f9__018ddf6a688ac44cf6efd88e607582c57e233705b6726d6e4c9fd7d47242a78d,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,89,106,"(c) For reporting constraints and gaps, and related technology, financial, technical and capacity-building needs, including describing support needed and received, build or enhance national capacity to:",1.0,explorer
UNFCCC.non-party.1750.0,6d98d210c857dbcfac4d8396da89e60f__5efb788df7439b8faf3bd7d3b3e86f23cce3ef0786d5bb8d91612f416da8f73f,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,177,194,"The TTE noted that, in addition to those identified during the technical analysis, Papua New Guinea reported the following capacity-building needs in its BUR, which include capacity-building needs for future BURs and transitioning to the ETF:",1.0,explorer
UNFCCC.non-party.1750.0,6d98d210c857dbcfac4d8396da89e60f__5efb788df7439b8faf3bd7d3b3e86f23cce3ef0786d5bb8d91612f416da8f73f,CAPACITY-BUILDING,CAPACITY-BUILDING,capacity-building,127,144,"The TTE noted that, in addition to those identified during the technical analysis, Papua New Guinea reported the following capacity-building needs in its BUR, which include capacity-building needs for future BURs and transitioning to the ETF:",1.0,explorer
