document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
CCLW.GST.798.798,a554a9af1f64bf5941f4bae358deb181__a5dcd6f3f8d104f6b4b66a4117ffc444f5015f11b77e44dd13399d380d963ae8,EXTREME_WEATHER,MONSOONS,Monsoon,11,18,"North East Monsoon (NEM): Northeast monsoon rainfall anomaly is negative for short-, medium- and longterm projections with a slightly positive anomaly over most parts of the island under RCP 8.5 for short term projection.",1.0,explorer
CCLW.GST.798.798,a554a9af1f64bf5941f4bae358deb181__a5dcd6f3f8d104f6b4b66a4117ffc444f5015f11b77e44dd13399d380d963ae8,EXTREME_WEATHER,MONSOONS,monsoon,36,43,"North East Monsoon (NEM): Northeast monsoon rainfall anomaly is negative for short-, medium- and longterm projections with a slightly positive anomaly over most parts of the island under RCP 8.5 for short term projection.",1.0,explorer
CCLW.GST.798.798,1afe6490989214f7e59096f2bf65ce55__e03a46a303011f126d89f8915334fe7e0ec106a1e477f4f18785a1a983b5b6f3,EXTREME_WEATHER,MONSOONS,monsoon,209,216,Figure 3.10 Time series for area average wind speed (ms-1) of zonal wind (A) and meridional wind (B) at Arabian Ocean and zonal wind (C) and meridional wind (D) at Bay of Bengal zone during onset of southwest monsoon from 1937-2017,1.0,explorer
CCLW.GST.798.798,36b6907006e0e47562e0b0a328095c47__cbaaf04eed39588ee11e33978229d666746b97b78a1439fa09949f833d736474,EXTREME_WEATHER,MONSOONS,Monsoon,21,28,"Rainfall: South West Monsoon (SWM): In the short-, medium- and long-term projections, the positive anomaly of rainfall is predicted over most parts of the island by multi-model ensemble prediction under RCP 4.5 and RCP 8.5 scenarios including the wet zone that could result in more intense rainfall with greater aerial extension in the future in Figure 3.12.",1.0,explorer
CCLW.GST.798.798,b5d7b83cdc1725099202a0a406f27a5a__caaa3419c17532c073e438d0242c5cc8f5101c41eeffaafa22d9b9f23da8068d,EXTREME_WEATHER,MONSOONS,Monsoon,13,20,"Second Inter Monsoon (SIM): The multi-model ensemble predicted a negative anomaly over the north-eastern parts and positive anomalies in the remainder of the country for RCP 4.5 in the short term, while RCP 8.5 projected positive anomalies for the rainfall over most parts of the island in the medium term.",1.0,explorer
CCLW.GST.798.798,d8d791d0982f9bae989333568fd56c43__dbb0495c3cbef4c0a17e713d877fc39714c93df35a86e02c1f8d4e4be8c8c219,EXTREME_WEATHER,MONSOONS,Monsoon,12,19,"First Inter Monsoon (FIM): A negative rainfall anomaly is evident for the short term, slightly negative for the medium term and a positive anomaly for the long term according to the RCP 4.5 scenario.",1.0,explorer
CCLW.GST.798.798,7ae1066495fc33658956453d0ec545eb__79daa77418f47110dba10385f415c3d3a937ec0c2dfca6990cb2b2267b6a8f1a,EXTREME_WEATHER,MONSOONS,Monsoon,56,63,"Figure 3.12 Multi model ensemble of change in Southwest Monsoon (SWM) rainfall, relative to 1975-2005 for
RCP 4.5 (up) and RCP 8.5 for time periods (left; 2020-2040), (middle; 2040-2060), (right; 2070-2090)",1.0,explorer
CCLW.GST.798.798,a0cb651db54083d8205e9826c3898908__3e6a61ccf2d6cd70e4b218f4d23c61c9bbdba979811d0c5a6a08bde90ba65d44,EXTREME_WEATHER,DROUGHTS,droughts,347,355,"This pattern would increase climate variability, resulting in more floods, landslides and droughts.",1.0,explorer
CCLW.GST.798.798,a0cb651db54083d8205e9826c3898908__3e6a61ccf2d6cd70e4b218f4d23c61c9bbdba979811d0c5a6a08bde90ba65d44,TERRESTRIAL_HAZARDS,LANDSLIDES,landslides,332,342,"This pattern would increase climate variability, resulting in more floods, landslides and droughts.",1.0,explorer
CCLW.GST.798.798,a0cb651db54083d8205e9826c3898908__3e6a61ccf2d6cd70e4b218f4d23c61c9bbdba979811d0c5a6a08bde90ba65d44,ENVIRONMENTAL_DEGRADATATION,SOIL_EROSION,soil erosion,704,716,"This could make the western slopes of the central hills more prone to natural disasters such as landslides, land degradation and soil erosion (Darshika et al., 2018).",1.0,explorer
