document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,5ad10d4ec88c3a18f5e89e5dc90c298e__10d73f675bc0545a7d401a6e3506f93a5a2b827a576939839a01c6a670a8e22c,MARINE_HAZARDS,SEA_LEVEL_RISE,sea level rise,1806,1820,"Vulnerable to reversal through sea level rise.
",1.0,explorer
UNFCCC.non-party.1740.0,5ad10d4ec88c3a18f5e89e5dc90c298e__10d73f675bc0545a7d401a6e3506f93a5a2b827a576939839a01c6a670a8e22c,MARINE_HAZARDS,OCEAN_ACIDIFICATION,ocean acidification,2065,2084,"Reduced ocean acidification can benefit biodiversity.
",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,ENVIRONMENTAL_DEGRADATATION,EUTROPHICATION,eutrophication,2499,2513,"Increased fertiliser use and introduced
species could reduce biodiversity and increase
eutrophication.
",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,EXTREME_WEATHER,DROUGHTS,drought,3153,3160,"Increased crop yields; reduced non-CO emissions from
soit resilience to drought.
",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,ENVIRONMENTAL_DEGRADATATION,EUTROPHICATION,eutrophication,2385,2399,"Increased fertiliser use and introduced
species could reduce biodiversity and increase
eutrophication.",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,ENVIRONMENTAL_DEGRADATATION,WILDFIRES,wildfire,1692,1700,"Reversal of CDR through wildfire, disease, pests.
",1.0,explorer
UNFCCC.non-party.1740.0,750d05e675760450b4ea55c90e60e704__13440965c8072a69f42bce0f3389e44147e09c2d36b404d87bc82eba1d36bd8a,HEALTH_HAZARDS,INFECTIOUS_DISEASES,pandemic,36,44,"Due to the outbreak of the Covid-19 pandemic in early 2020, attention shifted away from CDR temporarily.",1.0,explorer
UNFCCC.non-party.1740.0,750d05e675760450b4ea55c90e60e704__13440965c8072a69f42bce0f3389e44147e09c2d36b404d87bc82eba1d36bd8a,HEALTH_HAZARDS,INFECTIOUS_DISEASES,pandemic,323,331,"However, attention quickly recovered in 2021, faster than the number of tweets on the general topic of climate change; the number of tweets was about 75% higher than in 2020 and 62% higher than in the years before the pandemic (Figures 4.3 and 4.4).",1.0,explorer
UNFCCC.non-party.1740.0,750d05e675760450b4ea55c90e60e704__13440965c8072a69f42bce0f3389e44147e09c2d36b404d87bc82eba1d36bd8a,HEALTH_HAZARDS,COVID-19,Covid-19,27,35,"Due to the outbreak of the Covid-19 pandemic in early 2020, attention shifted away from CDR temporarily.",1.0,explorer
UNFCCC.non-party.1740.0,574bce114977468a68b17f43b8fc01a4__f8754c89a40ca9c743d2d307840bca850fe5ee38968019c3ec4733a1dc8ea446,HEALTH_HAZARDS,COVID-19,Covid-19,237,245,"2010
2012
2014
2016
2018
2020
2022
0
Landwhit
200
B
Dally tweet count(7-day moving average)
800
1000
COP18 Daha
COP 19 Warsaw
COP 20 Lima
COP21 Paris
COP22 Marrakech
COP23 Bonn
SA1 Srelease
COP24 Katowice
UN Create a consum
COP25 Madrid
Covid-19 pandanic dedored
AVG
COP 36 Glasgow",1.0,explorer
