document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,aaea60424c51879763dcb2413276422c__87c1c34037d26318b020fb8b9df42a94716e1d68c2ff4175b0425471fd87ce15,HEALTH_HAZARDS,INFECTIOUS_DISEASES,pandemic,121,129,"During the technical analysis, the Party clarified that it faced difficulties related to the coronavirus disease 2019 pandemic, which resulted in the submission of the BUR more than two years after the submission of the last BUR.",1.0,explorer
UNFCCC.non-party.1750.0,70cb715c310eb742b5a609cc10794db5__8bea35845c7499d29d02aaac9cccda367e54eeff0ae48b7355490438e467bd55,HEALTH_HAZARDS,INFECTIOUS_DISEASES,pandemic,343,351,"In its BUR (section 2.2.3), Papua New Guinea clarified that the planned submission of the BUR for 2021 was delayed owing to the pandemic.",1.0,explorer
UNFCCC.non-party.1750.0,97543e46fb1aec28bfc861888b514ead__663bd09bb1cd1b83e7b4ff2e2129c76ac3e3116ad08d1881bec9a95b5567a160,ENVIRONMENTAL_DEGRADATATION,FOREST_FIRES,forest fire,718,729,"There were also years where the LULUCF sector had net emissions, fluctuating between a minimum of 422 kt CO2 eq in 2010 and a maximum of 5,617 kt CO2 eq in 2015 due to an increasing rate of deforestation and degradation, and increased areas of forest fire.",1.0,explorer
UNFCCC.party.1761.0,112ec09166996ddbee10b32440dbad10__905bc349620d4b501c0af84e6f1f8d8361eb9b9260e16eb77ea9a8bdf9baf17c,EXTREME_WEATHER,DROUGHTS,droughts,352,360,"It is among 20 countries with the highest economic risk exposure to two or more geological, hydrological, and climatic hazards that include tropical cyclones, volcanic eruptions, earthquakes, tsunamis, landslides, floods, and droughts.",1.0,explorer
UNFCCC.party.1761.0,112ec09166996ddbee10b32440dbad10__905bc349620d4b501c0af84e6f1f8d8361eb9b9260e16eb77ea9a8bdf9baf17c,TERRESTRIAL_HAZARDS,LANDSLIDES,landslides,328,338,"It is among 20 countries with the highest economic risk exposure to two or more geological, hydrological, and climatic hazards that include tropical cyclones, volcanic eruptions, earthquakes, tsunamis, landslides, floods, and droughts.",1.0,explorer
UNFCCC.party.1761.0,112ec09166996ddbee10b32440dbad10__905bc349620d4b501c0af84e6f1f8d8361eb9b9260e16eb77ea9a8bdf9baf17c,EXTREME_WEATHER,FLOODING,floods,340,346,"It is among 20 countries with the highest economic risk exposure to two or more geological, hydrological, and climatic hazards that include tropical cyclones, volcanic eruptions, earthquakes, tsunamis, landslides, floods, and droughts.",1.0,explorer
UNFCCC.party.1761.0,112ec09166996ddbee10b32440dbad10__905bc349620d4b501c0af84e6f1f8d8361eb9b9260e16eb77ea9a8bdf9baf17c,EXTREME_WEATHER,STORMS,cyclones,275,283,"It is among 20 countries with the highest economic risk exposure to two or more geological, hydrological, and climatic hazards that include tropical cyclones, volcanic eruptions, earthquakes, tsunamis, landslides, floods, and droughts.",1.0,explorer
UNFCCC.party.1761.0,85415a841fea397c35224a71f124a2e6__e5622c62b39b79201285d502d5d88798577f27e283a32285e72433965ffd253c,EXTREME_WEATHER,STORMS,cyclone,19,26,> Greater tropical cyclone impacts.,1.0,explorer
UNFCCC.party.1761.0,f876c083b9d491421d1c5e97de08b411__5ee6db6e45ee8e9721e7a0effade17d3f581b091213b022fcdc8753876bd1522,MARINE_HAZARDS,SEA_LEVEL_RISE,Sea level rise,2,16,> Sea level rise from 17 to 37 cm.,1.0,explorer
UNFCCC.party.1761.0,3e0a757688bbe9cc749b025bd71b6c4a__64509f7dd145b4985578949c5fce90146a73e2db5b565d73c59350f2ebb9d378,EXTREME_WEATHER,FLOODING,floods,222,228,"Recent experience with natural disasters such as cyclones, floods, earthquakes, tsunamis, storm surges, and king tides have already displaced many coastal communities.",1.0,explorer
UNFCCC.party.1761.0,3e0a757688bbe9cc749b025bd71b6c4a__64509f7dd145b4985578949c5fce90146a73e2db5b565d73c59350f2ebb9d378,EXTREME_WEATHER,STORMS,storm,253,258,"Recent experience with natural disasters such as cyclones, floods, earthquakes, tsunamis, storm surges, and king tides have already displaced many coastal communities.",1.0,explorer
UNFCCC.party.1761.0,3e0a757688bbe9cc749b025bd71b6c4a__64509f7dd145b4985578949c5fce90146a73e2db5b565d73c59350f2ebb9d378,EXTREME_WEATHER,STORMS,cyclones,212,220,"Recent experience with natural disasters such as cyclones, floods, earthquakes, tsunamis, storm surges, and king tides have already displaced many coastal communities.",1.0,explorer
UNFCCC.party.1761.0,503647ad71908cf06c07d07c7ece3651__6a7c9eed2b0215c514e1434a85eab43395d08b6dd38b6b8b2cb0edcfe9569ab4,HEALTH_HAZARDS,INFECTIOUS_DISEASES,pandemic,159,167,"Real GDP growth declined to about -4.3 per cent in 2020 compared to 2.5 per cent in the pre-pandemic baseline, as a result of a decline in logging, mining, and fisheries exports, and a contraction in tourism.",1.0,explorer
UNFCCC.party.1761.0,503647ad71908cf06c07d07c7ece3651__6a7c9eed2b0215c514e1434a85eab43395d08b6dd38b6b8b2cb0edcfe9569ab4,HEALTH_HAZARDS,COVID-19,COVID-19,4,12,The COVID-19 pandemic outbreak had a severe impact on the economy.,1.0,explorer
UNFCCC.party.1761.0,503647ad71908cf06c07d07c7ece3651__6a7c9eed2b0215c514e1434a85eab43395d08b6dd38b6b8b2cb0edcfe9569ab4,HEALTH_HAZARDS,INFECTIOUS_DISEASES,pandemic,13,21,The COVID-19 pandemic outbreak had a severe impact on the economy.,1.0,explorer
UNFCCC.party.1761.0,4a14d265adfa11fb5420af2e7e4bbef5__bb89eeac2df8f7ec2b862c5d98362f687e284fc06635dfa8b119be49407f342e,EXTREME_WEATHER,FLOODING,flooding,181,189,"Under the IPCC methodology for GHG emissions reporting, agriculture is responsible for emissions where forest clearing and conversion occurs, and where fertilisers are applied, and flooding and draining land.",1.0,explorer
