document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,5ea7fb2476e0d7bfbc6020c9348c3594__3e03e195c595a6e0409a3fab433e767d275ded466c37eb5a31afa568f82bc296,DEFORESTATION,DEFORESTATION,deforestation,291,304,"Scenarios that limit
warming to 1.5°C or 2°C require further increasing current forest sinks, as well as minimising
emissions from deforestation.",1.0,explorer
UNFCCC.non-party.1740.0,5ea7fb2476e0d7bfbc6020c9348c3594__3e03e195c595a6e0409a3fab433e767d275ded466c37eb5a31afa568f82bc296,FORESTS,FORESTS,forests,151,158,"Almost all current CDR (2 GtCO₂ per year) comes from ""conventional"" CDR on land, primarily
via afforestation, reforestation and management of existing forests.",1.0,explorer
UNFCCC.non-party.1740.0,5ea7fb2476e0d7bfbc6020c9348c3594__3e03e195c595a6e0409a3fab433e767d275ded466c37eb5a31afa568f82bc296,REFORESTATION,REFORESTATION,reforestation,110,123,"Almost all current CDR (2 GtCO₂ per year) comes from ""conventional"" CDR on land, primarily
via afforestation, reforestation and management of existing forests.",1.0,explorer
UNFCCC.non-party.1740.0,5ea7fb2476e0d7bfbc6020c9348c3594__3e03e195c595a6e0409a3fab433e767d275ded466c37eb5a31afa568f82bc296,AFFORESTATION,AFFORESTATION,afforestation,95,108,"Almost all current CDR (2 GtCO₂ per year) comes from ""conventional"" CDR on land, primarily
via afforestation, reforestation and management of existing forests.",1.0,explorer
UNFCCC.non-party.1740.0,5ea7fb2476e0d7bfbc6020c9348c3594__3e03e195c595a6e0409a3fab433e767d275ded466c37eb5a31afa568f82bc296,FORESTS,FORESTS,forest,240,246,"Scenarios that limit
warming to 1.5°C or 2°C require further increasing current forest sinks, as well as minimising
emissions from deforestation.",1.0,explorer
UNFCCC.non-party.1740.0,e89eb9e4e2669b12213aa2393775db5f__e6247e119a51a728094820e4592ba47e4c6fcd6b9e5ef040b84e331c17c5ead3,REFORESTATION,REFORESTATION,reforestation,151,164,"Examples include reforestation, biochar,
Bioenergy with Carbon Capture and Storage (BECCS) and Direct Air Carbon Capture and
Storage (DACCS).",1.0,explorer
UNFCCC.non-party.1740.0,8ef9c5a2ad34d0394e9f767b934e1954__bc7f242e7aeb6c64dc5a0f79ef2406cd7a9c21b1d439d0aee2d531065d93fd3c,AFFORESTATION,AFFORESTATION,afforestation,362,375,"CDR methods that are familiar and often perceived as natural, such as
afforestation, are viewed more favourably than others.",1.0,explorer
UNFCCC.non-party.1740.0,7797cf9c340429eee2712e342f31d83d__f5233a6e06870812379e99ff619b67f7c3c2b96701cbe55ed82e0efd15381bfc,REFORESTATION,REFORESTATION,reforestation,256,269,"An example of a method which satisfies both principles, and hence qualifies as CDR, is afforestation/reforestation (left).",1.0,explorer
UNFCCC.non-party.1740.0,7797cf9c340429eee2712e342f31d83d__f5233a6e06870812379e99ff619b67f7c3c2b96701cbe55ed82e0efd15381bfc,AFFORESTATION,AFFORESTATION,afforestation,242,255,"An example of a method which satisfies both principles, and hence qualifies as CDR, is afforestation/reforestation (left).",1.0,explorer
UNFCCC.non-party.1740.0,81f407b813f525aa378c225af79caff7__fb6695ddf508384a94de7072a006f2672ed85a96f2d62ccbbf92e47784fb952b,FORESTS,FORESTRY,Forestry,30,38,"co₂
Atmosphere
Principle 1
38
Forestry
Principle 2
Biological storage
Ⓡ
CO, stored
co,
Atmosphere
Principle 1✔
Direct air capture
co₂
Principle 2 x
Fuel use
Atmosphere
Carbon capture and storage
Principle 1 *
",1.0,explorer
UNFCCC.non-party.1740.0,0439afdff0a85d00c1ed22c07a5522c4__cfab17d058838c9184dbfa3655f72e29d829a26a0069fec288281ca05dcb1eed,FORESTS,FORESTS,forest,18,24,"Land
Crops
Agri & forest residues
Trees
Wetlands
Soils
Lithosphere
Atmosphere
Products
Concentrated CO₂
Fuels & chemicals
Depleted fossil fuel
reservoirs
Biochar
Aggregates
Wood in construction
Saline aquifers
Ocean
Dissolved CO₂
Aquatic biomass
Marine sediment
Bicarbonate
Minerals",1.0,explorer
