document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,6dd16aec0d5757fef860f7e28b89f73f__5879ec5605d939ad4c342ecd8e714e5d0641c61186322b4fefcebfe145f973cd,FORESTS,FORESTS,forest,368,374,"It is also necessary to take into account the contribution of nature- based solutions and ecosystem-based approaches to the removal of greenhouse gases, such as absorption by forest ecosystems.",1.0,explorer
UNFCCC.non-party.1797.0,2d3394277957c65217d88d6d460b1847__cb52fe902fea4f5ef0e7afb118a2222184384f3d5da9b840dc262ba64a9bd4c8,FORESTS,FORESTS,forests,264,271,"-> Recognize that inclusive decision-making, with Indigenous Peoples and local communities, as well as recognition of the inherent rights of Indigenous Peoples, including Free, Prior and Informed Consent, is integral to successful adaptation and mitigation across forests and other ecosystems.",1.0,explorer
UNFCCC.non-party.1797.0,2f0f840ecd6065624ebe17f751556c0a__1860fc720001512bfca66a53b332ad3fedb50a13c7f626200e2f2748a6788f77,FORESTS,FORESTS,forest,80,86,"-> Recognize the central role that Indigenous Peoples, women and girls, private forest owners, local farmers and communities play in land-based mitigation, and urges all Parties to strengthen gender-transformative land tenure rights to further enhance this potential.",1.0,explorer
UNFCCC.non-party.1789.0,05df03e6258a200b47e6cd1ac2bc972d__f51de7b3b6b43d5b80c5ce3083d5c63ff6cdd9201a0528b6d61549b7d592417b,DEFORESTATION,DEFORESTATION,deforestation,810,823,"Through its Climate Change Adaptation Unit, UNEP has been building a robust portfolio of action around strengthening climate services and environmental information systems to provide the data underpinning efforts to help increase resilience to extreme climate events, including impacts of sea level rise, storm surges and shoreline erosion due to coastal inundation, as well as deforestation.",1.0,explorer
UNFCCC.non-party.1800.0,99d333bbc6873e0a91b5176702a55d7e__bfac0f06d1aba996ce5406dee6d1936c7f377e1483651b9ecb768c0457a3a649,DEFORESTATION,DEFORESTATION,deforestation,35,48,climate-damaging industries - from deforestation by agribusinesses to mining - yet corporate accountability for such harm is lacking.,1.0,explorer
UNFCCC.non-party.1800.0,1e0aef8b55e16180c9a1ef3042b24932__7ba66cdecc8abcb34fe1f400797ee9f85868ee6d18008433e46238317aa609e7,FORESTS,FORESTS,forest,279,285,"Recognizing that such affected and marginalized groups include but are not limited to women and girls in all their diversity, Indigenous Peoples, children and youth, persons with disabilities, peasants and other small-scale food producers including fishers, pastoralists, and forest people, workers, local communities, people living in poverty, LGBTQI+ people, and migrants.",1.0,explorer
UNFCCC.non-party.1800.0,23b7913aadfce87012c9c57aca69a72b__c4c8cd9e286f563ca0a6c03d98d2cbb0a108a6c02cbe2d67e9c17ec29543efd1,FORESTS,FORESTS,forests,433,440,"Recognizing that the IPCC confirms the central role that Indigenous Peoples, farmers, and local communities play in ecosystem-based mitigation (IPCC AR6, SYR SPM, C.9.5) and that effective and inclusive decision-making, with Indigenous Peoples and peasants and other small-scale food producers and local communities, as well as recognition of the inherent rights of Indigenous Peoples, is integral to successful mitigation across forests and other ecosystems.",1.0,explorer
UNFCCC.non-party.1800.0,ed9ab6e33c84a23545be54f2c9511a0e__0f81c0154d95d6ab97bd1eb0cdc0289fc213110faae9b1333efb952f3ba0ffc6,FORESTS,FORESTS,forests,240,247,"Stressing that the IPCC confirms that inclusive decision making, with Indigenous Peoples and local communities, as well as recognition of inherent rights of Indigenous Peoples, is integral to successful adaptation and mitigation across forests and other ecosystems (IPCC AR6, SYR SPM, C.3.6).",1.0,explorer
UNFCCC.non-party.280.0,bf2609e71b4b1c3f0ea826e34b6ab4ae__3ade9f5534528386939e16c406c2678d0014b18c0c8a73a8f35cdd92a03d8c44,FORESTS,FORESTS,forest,410,416,"Abrupt responses and tipping points of the climate system, such as strongly increased Antarctic ice-sheet melt and forest dieback, cannot be ruled out (high confidence).",1.0,explorer
UNFCCC.non-party.280.0,09a6190bb4fc9ba5f2c86d4116f70621__fa1085379554fd074736608b408f9931539cb32195049daa8a658129ba04e294,DEFORESTATION,DEFORESTATION,deforestation,866,879,"Continued Amazon deforestation, combined with a warming climate, raises the probability that this ecosystem will cross a tipping point into a dry state during the 21st century (low confidence).",1.0,explorer
UNFCCC.non-party.280.0,f292332f9328c87254e75dd994da6d58__11a44c02f3da4f64022b6a789b5c66ee27bfa73c9669954016555490b1b4ba40,FORESTS,FORESTS,forest,982,988,"There is low confidence in the magnitude of these changes, but the probability of crossing uncertain regional thresholds (e.g., fires, forest dieback) increases with further warming (high confidence).",1.0,explorer
UNFCCC.non-party.280.0,d8474d238a422fdac8baebdf7df4354d__92b1ecc17cf6511031ec5ab67be127a1bc7e75364fc3f4e738a1c82107ad87ba,DEFORESTATION,DEFORESTATION,deforestation,147,160,Large-scale deforestation likely decreases evapotranspiration and precipitation and increases runoff over the deforested regions relative to the regional effects of climate change (medium confidence).,1.0,explorer
UNFCCC.non-party.280.0,66da9218d8152316aef13a56acfaa12f__dd0ace008ac15a4345a23c6511f793ffdb3fe02d3b7195772ad1856ab6e1ba36,FORESTS,FORESTS,forest,939,945,"Some regional abrupt changes and tipping points could have severe local impacts, such as unprecedented weather, extreme temperatures and increased frequency of droughts and forest fires.",1.0,explorer
