document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,3bd51bdbf5dc34caf212cbae4294904e__0ac2821928fb12a201194fe86c85bfc744054ddbeed81cb3e55281cb8c72da56,FORESTS,FORESTRY,forestry,13,21,"agriculture, forestry and other land use",1.0,explorer
UNFCCC.non-party.1750.0,8571f3003a45c0c40ca96803ed5638d4__55f8c99f0484cbed5905039a33fa844f9d86899d8b34b5f472ce34b0f16d1dbc,FORESTS,FORESTRY,Forestry,57,65,"Good Practice Guidance for Land Use, Land-Use Change and Forestry",1.0,explorer
UNFCCC.non-party.1750.0,b5d2b86434ab46ee7b12253dcd40fe45__c7360be6c29fc811089875c1281cf5ee0c0548d864b7797a6355ba19f3d7e697,FORESTS,FORESTRY,forestry,30,38,"land use, land-use change and forestry",1.0,explorer
UNFCCC.non-party.1750.0,00b82afdc1810d54e55c5d3bdcc80ca3__1537a2ee2b0f492ff84eb81cc5b157daa9447b090519044adef1fbc70851ffe7,FORESTS,FORESTS,forest,175,181,"reducing emissions from deforestation; reducing emissions from forest degradation; conservation of forest carbon stocks; sustainable management of forests; and enhancement of forest carbon stocks (decision 1/CP.16, para.",1.0,explorer
UNFCCC.non-party.1750.0,00b82afdc1810d54e55c5d3bdcc80ca3__1537a2ee2b0f492ff84eb81cc5b157daa9447b090519044adef1fbc70851ffe7,FORESTS,FORESTS,forest,63,69,"reducing emissions from deforestation; reducing emissions from forest degradation; conservation of forest carbon stocks; sustainable management of forests; and enhancement of forest carbon stocks (decision 1/CP.16, para.",1.0,explorer
UNFCCC.non-party.1750.0,00b82afdc1810d54e55c5d3bdcc80ca3__1537a2ee2b0f492ff84eb81cc5b157daa9447b090519044adef1fbc70851ffe7,FORESTS,FORESTS,forest,99,105,"reducing emissions from deforestation; reducing emissions from forest degradation; conservation of forest carbon stocks; sustainable management of forests; and enhancement of forest carbon stocks (decision 1/CP.16, para.",1.0,explorer
UNFCCC.non-party.1750.0,00b82afdc1810d54e55c5d3bdcc80ca3__1537a2ee2b0f492ff84eb81cc5b157daa9447b090519044adef1fbc70851ffe7,DEFORESTATION,DEFORESTATION,deforestation,24,37,"reducing emissions from deforestation; reducing emissions from forest degradation; conservation of forest carbon stocks; sustainable management of forests; and enhancement of forest carbon stocks (decision 1/CP.16, para.",1.0,explorer
UNFCCC.non-party.1750.0,00b82afdc1810d54e55c5d3bdcc80ca3__1537a2ee2b0f492ff84eb81cc5b157daa9447b090519044adef1fbc70851ffe7,FORESTS,FORESTS,forests,147,154,"reducing emissions from deforestation; reducing emissions from forest degradation; conservation of forest carbon stocks; sustainable management of forests; and enhancement of forest carbon stocks (decision 1/CP.16, para.",1.0,explorer
UNFCCC.non-party.1750.0,00b82afdc1810d54e55c5d3bdcc80ca3__1537a2ee2b0f492ff84eb81cc5b157daa9447b090519044adef1fbc70851ffe7,DEFORESTATION,FOREST_DEGRADATION,forest degradation,63,81,"reducing emissions from deforestation; reducing emissions from forest degradation; conservation of forest carbon stocks; sustainable management of forests; and enhancement of forest carbon stocks (decision 1/CP.16, para.",1.0,explorer
UNFCCC.non-party.1750.0,43afe4f8a0095f1bca3b33160a550088__9663db502a52e4e2fb691c2d61f360e3ffb0269e23792d7457276cb766f83689,FORESTS,FORESTRY,forestry,178,186,"In its second BUR, Papua New Guinea provided an update on its national circumstances, including features of geography, climate and weather, population, economy, agriculture, forestry, fish resources, energy, transport and domestic climate change policy that might affect the Party’s ability to deal with mitigating and adapting to climate change.",1.0,explorer
UNFCCC.non-party.1750.0,b2ea5f14a1405242f7ec7bc895261e0d__11d37c3ebf5a0b2727d795e99125fc40c716ed1896dec495d06be182a0c4a3bc,FORESTS,FORESTRY,forestry,2373,2381,"3, table 3.6.5); and instead of using 56 kg CH4/TJ and 68 kg CH4/TJ as the CH4 EFs for motor gasoline for agriculture off-road and forestry off-road (NIR table 3-11), the values used",1.0,explorer
UNFCCC.non-party.1750.0,97543e46fb1aec28bfc861888b514ead__663bd09bb1cd1b83e7b4ff2e2129c76ac3e3116ad08d1881bec9a95b5567a160,FORESTS,FORESTS,forest,718,724,"There were also years where the LULUCF sector had net emissions, fluctuating between a minimum of 422 kt CO2 eq in 2010 and a maximum of 5,617 kt CO2 eq in 2015 due to an increasing rate of deforestation and degradation, and increased areas of forest fire.",1.0,explorer
UNFCCC.non-party.1750.0,97543e46fb1aec28bfc861888b514ead__663bd09bb1cd1b83e7b4ff2e2129c76ac3e3116ad08d1881bec9a95b5567a160,FORESTS,FORESTS,forest,34,40,oxidation is assumed when primary forest is converted to degraded forest.,1.0,explorer
UNFCCC.non-party.1750.0,97543e46fb1aec28bfc861888b514ead__663bd09bb1cd1b83e7b4ff2e2129c76ac3e3116ad08d1881bec9a95b5567a160,DEFORESTATION,DEFORESTATION,deforestation,664,677,"There were also years where the LULUCF sector had net emissions, fluctuating between a minimum of 422 kt CO2 eq in 2010 and a maximum of 5,617 kt CO2 eq in 2015 due to an increasing rate of deforestation and degradation, and increased areas of forest fire.",1.0,explorer
UNFCCC.non-party.1750.0,97543e46fb1aec28bfc861888b514ead__663bd09bb1cd1b83e7b4ff2e2129c76ac3e3116ad08d1881bec9a95b5567a160,FORESTS,FORESTS,forest,66,72,oxidation is assumed when primary forest is converted to degraded forest.,1.0,explorer
UNFCCC.non-party.1750.0,a04d79d7fdc1de2aa18a2affa93076ad__8f0b6a7e6afaaf24ef4bfca04fbcb6112919b99597c91c9ec52a7e5c12e1178a,FORESTS,FORESTS,forest,767,773,"The main key sources with LULUCF were CO2 emissions for categories 3.B.1 (forest land remaining forest land), at 52.16 per cent of total national emissions, 3.B.2 (land converted to cropland), at 18.76 per cent of total national emissions, and 1.A.2 (manufacturing industries and construction), at 8.31 per cent of total national emissions.",1.0,explorer
UNFCCC.non-party.1750.0,a04d79d7fdc1de2aa18a2affa93076ad__8f0b6a7e6afaaf24ef4bfca04fbcb6112919b99597c91c9ec52a7e5c12e1178a,FORESTS,FORESTS,forest,745,751,"The main key sources with LULUCF were CO2 emissions for categories 3.B.1 (forest land remaining forest land), at 52.16 per cent of total national emissions, 3.B.2 (land converted to cropland), at 18.76 per cent of total national emissions, and 1.A.2 (manufacturing industries and construction), at 8.31 per cent of total national emissions.",1.0,explorer
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,AFFORESTATION,AFFORESTATION,afforestation,1023,1036,"The overall mitigation goal for the AFOLU sector is for it to convert from a net GHG source to a net GHG sink by 2030 by implementing mitigation measures such as forest management to reduce deforestation and increase reforestation and afforestation, as well as promoting climate-smart agricultural practices.",1.0,explorer
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,DEFORESTATION,DEFORESTATION,deforestation,698,711,"The mitigation actions in the AFOLU sector focus mainly on reducing emissions from deforestation and forest degradation, mostly due to unsustainable agricultural practices.",1.0,explorer
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,FORESTS,FORESTS,forest,716,722,"The mitigation actions in the AFOLU sector focus mainly on reducing emissions from deforestation and forest degradation, mostly due to unsustainable agricultural practices.",1.0,explorer
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,DEFORESTATION,FOREST_DEGRADATION,forest degradation,716,734,"The mitigation actions in the AFOLU sector focus mainly on reducing emissions from deforestation and forest degradation, mostly due to unsustainable agricultural practices.",1.0,explorer
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,FORESTS,FORESTS,forest,950,956,"The overall mitigation goal for the AFOLU sector is for it to convert from a net GHG source to a net GHG sink by 2030 by implementing mitigation measures such as forest management to reduce deforestation and increase reforestation and afforestation, as well as promoting climate-smart agricultural practices.",1.0,explorer
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,REFORESTATION,REFORESTATION,reforestation,1005,1018,"The overall mitigation goal for the AFOLU sector is for it to convert from a net GHG source to a net GHG sink by 2030 by implementing mitigation measures such as forest management to reduce deforestation and increase reforestation and afforestation, as well as promoting climate-smart agricultural practices.",1.0,explorer
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,DEFORESTATION,DEFORESTATION,deforestation,978,991,"The overall mitigation goal for the AFOLU sector is for it to convert from a net GHG source to a net GHG sink by 2030 by implementing mitigation measures such as forest management to reduce deforestation and increase reforestation and afforestation, as well as promoting climate-smart agricultural practices.",1.0,explorer
UNFCCC.non-party.1750.0,1aed213fe01ba7b93cbce1dde64766c7__c44026d96de1b46b148acac595f389f5f763c6668b0dd045b56822f7333f4e87,FOREST-RISK_COMMODITIES,FOREST-RISK_COMMODITIES,palm oil,161,169,All seven mitigation actions in the waste sector (BUR table 3-3) are implemented under the CDM and are related to CH4 capture and utilization in the Party’s palm oil mills.,1.0,explorer
UNFCCC.non-party.1750.0,2ca3c290686212aed48fdd17da4a1447__ba377025350f92a3c329d672ed1747a13780c0c72457f901570a51e98c6e9e69,DEFORESTATION,DEFORESTATION,deforestation,234,247,"Papua New Guinea reported some information on its REDD+ Finance and Investment Plan to support the implementation of the National REDD+ Strategy (2017–2027), which may lead to 26 Mt CO2 eq GHG emission reductions or avoidance for deforestation and forest degradation, responsible for 90 per cent of the Party’s GHG emissions.",1.0,explorer
UNFCCC.non-party.1750.0,2ca3c290686212aed48fdd17da4a1447__ba377025350f92a3c329d672ed1747a13780c0c72457f901570a51e98c6e9e69,DEFORESTATION,FOREST_DEGRADATION,forest degradation,252,270,"Papua New Guinea reported some information on its REDD+ Finance and Investment Plan to support the implementation of the National REDD+ Strategy (2017–2027), which may lead to 26 Mt CO2 eq GHG emission reductions or avoidance for deforestation and forest degradation, responsible for 90 per cent of the Party’s GHG emissions.",1.0,explorer
UNFCCC.non-party.1750.0,2ca3c290686212aed48fdd17da4a1447__ba377025350f92a3c329d672ed1747a13780c0c72457f901570a51e98c6e9e69,FORESTS,FORESTS,forest,252,258,"Papua New Guinea reported some information on its REDD+ Finance and Investment Plan to support the implementation of the National REDD+ Strategy (2017–2027), which may lead to 26 Mt CO2 eq GHG emission reductions or avoidance for deforestation and forest degradation, responsible for 90 per cent of the Party’s GHG emissions.",1.0,explorer
UNFCCC.non-party.1750.0,2ca3c290686212aed48fdd17da4a1447__ba377025350f92a3c329d672ed1747a13780c0c72457f901570a51e98c6e9e69,FOREST-RISK_COMMODITIES,FOREST-RISK_COMMODITIES,timber,475,481,"Actions include changing the way commercial agriculture, in particular oil palm cultivation, is developed, improvements in the sustainability of timber supply and coordinated land-use planning.",1.0,explorer
UNFCCC.non-party.1750.0,8e53a9ac61814ee81fe8a8b424246d67__eb04c2a479e845589d44190dabd77a9e8d326cb4c9acd90268254270b309f5ee,FORESTS,FORESTS,forest,151,157,"(v) Formulate mitigation measures and assess the GHG effects of nature-based solutions, in particular reduced emissions and enhanced removals from the forest sector for fossil fuel offsetting from the energy industries subsector;",1.0,explorer
UNFCCC.non-party.1750.0,b2fce02b9b50f9e1c2f8e262e7bf8903__19b6631338c1b9f09043b608fee45e2b5cd1a87cda65f43dacfe03b1acc20907,FORESTS,FORESTRY,Forestry,69,77,"Good Practice Guidance for Land Use, Land-Use Change and Forestry.",1.0,explorer
UNFCCC.non-party.1750.0,52e69a077ae7c5a03ff89d9b7a5fb0e0__16bdac1daf58738337e7975768d3cb4781b997429e384c3f45c0d08043de2ed3,FORESTS,FORESTS,Forest,206,212,PNG Action Plan for Enhanced Transparency Framework on AFOLU and REDD+ National Forest Monitoring System (2022–2025).,1.0,explorer
UNFCCC.party.1761.0,ca58d642eb05e550169ef050a4f96b25__a9975ea0a6a4671755bd8928964309f38aee7a0d59575bea4ad4c9a61ac877be,FORESTS,FORESTRY,Forestry,391,399,"The Steering Committee for the strategy development was made up from the following: Climate Change Division, MECDM (chair); Climate Resilience Finance Unit, Ministry of Finance and Treasury (MoFT); Ministry of Agriculture and Livestock; Energy Division, Ministry of Mines, Energy, and Rural Electrification; Solomon Power; Ministry of Fisheries and Marine Resources; REDD+ Unit, Ministry of Forestry and Research (MoFR);",1.0,explorer
UNFCCC.party.1761.0,3381e14722b3bb89912b54418592460d__f8767c14a9fbfaf01f6dc4e55da99761314e5b20e7c7f69ca663e400fcf75974,FORESTS,FORESTRY,forestry,216,224,"Our economy is small and concentrated on forestry, fishing, and agriculture.",1.0,explorer
UNFCCC.party.1761.0,5bb983559041aa935c18aee096dc984e__7dd83bef69e3e30af419793310f821a55747fbdbbe8d77df7c7c2ab37a3ae6c1,FORESTS,FORESTRY,forestry,14,22,> Agriculture forestry and land use .........................21,1.0,explorer
UNFCCC.party.1761.0,86310e11dc33bdb8e3f6559f0fd91600__56f43a36c5b9a0167f8c405002a340ca26784cb261e9199c7d6da982bd336c19,FORESTS,FORESTRY,Forestry,0,8,Forestry and land use 35,1.0,explorer
UNFCCC.party.1761.0,9b0f5076b1e1987e597a68fcc45e977e__02f41c60a752c45671ab7a908e39c043979497209c715e178be2cdc4d3e21a65,FORESTS,FORESTS,forest,81,87,Enabling institutions: Strengthen policy and administration through consolidated forest protection and climate policy 43,1.0,explorer
UNFCCC.party.1761.0,9983022de860ba4b43cc6ef21c87c9da__ca02dc7363d7825d501ef6becb780b5e97a396106528decaa6e5d34608c2fb58,FORESTS,FORESTS,Forest,28,34,Solomon Islands Forest Industry:,1.0,explorer
UNFCCC.party.1761.0,15ed741045a5ac876ab0e67c78bcbf18__cf80e76af720ed7de23dcfdf797863b8cf11fbeafbae9f6b315c9e26ef7e332d,FORESTS,FORESTS,forest,15,21,Emissions from forest loss and degradation in the BAU pathway.,1.0,explorer
UNFCCC.party.1761.0,15ed741045a5ac876ab0e67c78bcbf18__cf80e76af720ed7de23dcfdf797863b8cf11fbeafbae9f6b315c9e26ef7e332d,FORESTS,FORESTS,Forest,126,132,The BAU emissions pathway estimate is slightly higher than the Forest Reference Level (FRL) due to the separate estimation of emissions from fuelwood in this study ...........................21,1.0,explorer
UNFCCC.party.1761.0,b8cfe223ef90140fde2076f605fcc495__264b79d6a13bdb2b4183e6218f8ededbda03c940559837823c63a09ee6adc399,FORESTS,FORESTS,forest,52,58,Solomon Islands BAU net emissions with inclusion of forest carbon removals ...........23,1.0,explorer
UNFCCC.party.1761.0,d66d1873b46e44e614c6fe5c239059b7__7ef1bb6b91347f8cfd7a8e715feb2a3e0bb55f470252670ec405fff4ba960607,FORESTS,FORESTRY,forestry,51,59,The BAU and low emissions development pathways for forestry removals and the net emissions including forestry removals ...........................24,1.0,explorer
UNFCCC.party.1761.0,d66d1873b46e44e614c6fe5c239059b7__7ef1bb6b91347f8cfd7a8e715feb2a3e0bb55f470252670ec405fff4ba960607,FORESTS,FORESTRY,forestry,101,109,The BAU and low emissions development pathways for forestry removals and the net emissions including forestry removals ...........................24,1.0,explorer
UNFCCC.party.1761.0,ff8d7e2624cc35fb022aaa4b8d721c07__1e900288174edf09c9f571c9c7eceeb1a6a4168966cc439ebd4fd0912da785de,FORESTS,FORESTS,Forest,77,83,"Emissions from deforestation and forest degradation (Source: Solomon Islands Forest Reference Level, 2019) .....................36",1.0,explorer
UNFCCC.party.1761.0,ff8d7e2624cc35fb022aaa4b8d721c07__1e900288174edf09c9f571c9c7eceeb1a6a4168966cc439ebd4fd0912da785de,DEFORESTATION,FOREST_DEGRADATION,forest degradation,33,51,"Emissions from deforestation and forest degradation (Source: Solomon Islands Forest Reference Level, 2019) .....................36",1.0,explorer
