document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1855.0,17aaff03768469e4199ab59033ea4727__a35551c5bddd9abe7653927dea4fabf7e23ae0c69ffd6e6b033464b2421917dd,JUST_TRANSITION,LIVELIHOOD,livelihoods,220,231,"In Niger, with financial support from the NDC Partnership, LoCAL finalized a climate risk assessment focusing on climate change impacts on food security, as Niger, with its dependence on agriculture for sustaining local livelihoods, is extremely sensitive to climate change effects on food system productivity.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,JUST_TRANSITION,LIVELIHOOD,livelihoods,685,696,"Thus, the GST aims to support Parties and the international community to raise their climate ambition with the ultimate goal to protect people, their rights and livelihoods, and natural ecosystems, from the impacts of climate change.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,INEQUALITY_&_HUMAN_RIGHTS,HUMAN_RIGHTS,human rights,1373,1385,"The GST outputs must therefore propose clear, actionable, and specific paths forward to get on track with the Paris goals, with concrete policies and plans that take a gender-responsive, evidence-based and human rights-based approach, including the rights of Indigenous Peoples, taking into account social justice and inter-generational equity.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,INEQUALITY_&_HUMAN_RIGHTS,HUMAN_RIGHTS,human rights,478,490,"And by ambition, we mean all aspects necessary to reach all of the Paris goals : mitigation, adaptation, means of implementation and support, finance flows, addressing loss and damage, science, technology transfer and capacity building while securing intergenerational justice, gender equality, and a just transition, protecting human rights, labour rights and biodiversity.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,JUST_TRANSITION,JUST_TRANSITION,just transition,901,916,A just transition for affected workers and communities will guarantee social justice which is crucial to enable the move away from fossil fuels.,1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,JUST_TRANSITION,SOCIAL_JUSTICE,social justice,1466,1480,"The GST outputs must therefore propose clear, actionable, and specific paths forward to get on track with the Paris goals, with concrete policies and plans that take a gender-responsive, evidence-based and human rights-based approach, including the rights of Indigenous Peoples, taking into account social justice and inter-generational equity.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,EQUITY_AND_JUSTICE,JUSTICE,justice,1473,1480,"The GST outputs must therefore propose clear, actionable, and specific paths forward to get on track with the Paris goals, with concrete policies and plans that take a gender-responsive, evidence-based and human rights-based approach, including the rights of Indigenous Peoples, taking into account social justice and inter-generational equity.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,GENDER_EQUALITY,GENDER_EQUALITY,gender equality,427,442,"And by ambition, we mean all aspects necessary to reach all of the Paris goals : mitigation, adaptation, means of implementation and support, finance flows, addressing loss and damage, science, technology transfer and capacity building while securing intergenerational justice, gender equality, and a just transition, protecting human rights, labour rights and biodiversity.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,JUST_TRANSITION,WORKERS,workers,930,937,A just transition for affected workers and communities will guarantee social justice which is crucial to enable the move away from fossil fuels.,1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,EQUITY_AND_JUSTICE,JUSTICE,justice,890,897,"Young people and vulnerable communities shall be supported to mitigate and adapt, and to build resilience in order to reach climate justice.",1.0,explorer,
