document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,35c062f0ce3b6eafcc4d60a2115cddd9__cc5f760c4814986af0887733e850967fcce0434b7fc2983f8c8e42bac0f0c20c,EQUITY_AND_JUSTICE,EQUITY,equity,178,184,"to achieve a balance between anthropogenic [i.e. human-caused] emissions by sources and removals by sinks of greenhouse gases in the second half of this century, on the basis of equity, and in the context of sustainable development and efforts to eradicate poverty.",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,JUST_TRANSITION,LIVELIHOOD,livelihoods,3350,3361,"Increased productivity of fisheries, improved
biodiversity, soil carbon and nutrient cycling
Enhanced employment and local livelihoods, variety of
products, improved soll quality, more resilient systems.
",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,JUST_TRANSITION,LIVELIHOOD,livelihoods,3632,3643,"Improved productivity, enhanced employment and local
livelihoods; can enhance biodiversity.",1.0,explorer
UNFCCC.non-party.1740.0,895b19e2b268d34d10c1c42cfa4152f1__1ae2a52d15cd68a4e8259825d5c3e0128d8b857e0b5974db8ab332f127763079,JUST_TRANSITION,LIVELIHOOD,livelihoods,2925,2936,"Enhanced employment and local livelihoods, improved
biodiversity, improved renewable wood products
provision, soil carbon and nutrient cycling.",1.0,explorer
UNFCCC.non-party.1740.0,d424e9af973e8dc105c06f21372e9051__e6b6e7d59f2e81ca0119daec12be796abfe92fc3816c79bfbadfdf668144b5c9,EQUITY_AND_JUSTICE,EQUITY,equity,893,899,"There is a need within the scientific community to give more attention to issues around policy, governance and equity.",1.0,explorer
UNFCCC.non-party.1740.0,467c819616f76a40979a7121ecb6ce02__ff05999bed56b660b483f719cfe05d053e7f675912bdc02effc3eadba7cfcece,EQUITY_AND_JUSTICE,EQUITY,equity,241,247,"The social sciences and humanities are crucial for discussions on implementation, equity and governance of CDR, but scientific discussion in the English-language peer-reviewed literature is not yet fully developed in these areas²⁹.",1.0,explorer
UNFCCC.non-party.1740.0,7aca408c7212a62c2730f442cc791206__c8e7ba415e0b720678ce3275fe37ecb66d15bd5a3ee9b912d0ce31a656a530da,EQUITY_AND_JUSTICE,EQUITY,equity,397,403,"An additional data source, Climate Tech VC, estimates that the level of CDR equity investments in 2021 was $170 million, and in 2022 $830 million, totalling about $1 billion.",1.0,explorer
UNFCCC.non-party.1740.0,7aca408c7212a62c2730f442cc791206__c8e7ba415e0b720678ce3275fe37ecb66d15bd5a3ee9b912d0ce31a656a530da,EQUITY_AND_JUSTICE,EQUITY,equity,232,238,That means the size of equity investments in CDR is similar to amounts of pre-purchases and offtake agreements.,1.0,explorer
UNFCCC.non-party.1740.0,d0617b4853debaf305b965390bb56a47__96d3c3d1fed9763bbaa224dbac9a5ad8634e4959851608b9f595ac458ae36502,INEQUALITY_&_HUMAN_RIGHTS,INEQUALITY,inequalities,505,517,"The policy context will also need to attend to other environmental and social goals, because support for CDR may be lower if it creates the same harms that it tries to avoid, for instance by damaging biodiversity or widening inequalities (see Table 1.1 in Chapter 1 - Introduction for potential hazards associated with different methods).",1.0,explorer
UNFCCC.non-party.1740.0,ed6fe06fbd31f7b864fdf9be64b02289__2b5a3eb9fd63bed35507faf7c98e2be60c95c7297dc6a4e4d3b0c77d33bbe804,EQUITY_AND_JUSTICE,JUSTICE,justice,2255,2262,"McLaren, D., Parkhill, K. A., Corner, A., Vaughan, N. E. & Pidgeon, N. F. Public conceptions of justice in climate engineering: Evi-
dence from secondary analysis of public deliberation.",1.0,explorer
