document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,5c488062ad2813b39522d25115461045__319658a11ce079e93c005bc4be8409a2bed4a51c1195f826d84047c419063569,EQUITY_AND_JUSTICE,EQUITY,equity,577,583,"It is important that in an effort to keep the temperature rise within the range it is necessary to be guided primarily by a pragmatic approach that does not undermine the socio-economic development and does not reduce the well-being of the population as well as keep in mind the importance of just transitions, equity and CBDR-RC at different levels.",1.0,explorer
UNFCCC.party.1782.0,787526c0c9a971d345354fa52b360273__4e2beef14a74196d33de8208a1b8eb244ff8390df2b7113174584640d712e7a4,JUST_TRANSITION,JUST_TRANSITION,just transition,94,109,It is necessary to reflect the issues and challenges that define the importance of a coherent just transition that takes into account national circumstances and different decarbonization pathways.,1.0,explorer
UNFCCC.party.1782.0,6f1854655bd28e6f2025ae0d89bee34f__22fe97dd470bd3f69d51737757ef0f78ea17a3ac46cf3ba6405254de10b6ed29,EQUITY_AND_JUSTICE,EQUITY,equity,26,32,"Reflecting principles of ""equity"" and ""best-available science""",1.0,explorer
UNFCCC.party.1782.0,476b65eb7bd140dd4a922f705549bb69__9447f7dbde042f6ed723bc2241ec0034464de189a8c6a938a3333f3003973502,JUST_TRANSITION,JUST_TRANSITION,just transition,78,93,- Highlight the importance of national circumstances in achieving climate and just transition goals.,1.0,explorer
UNFCCC.non-party.1797.0,fa80cd65ca544e3560c433c661559802__9188d5db43ef60f3f289e224d65673d9c1225c01fff05d1e054e42c4860204ec,EQUITY_AND_JUSTICE,EQUITY,equity,463,469,"The Women and Gender Constituency (WGC) emphasizes the critical importance of the drafting process, negotiations and implementation of the first GST decision to prioritize inclusivity and equity and",1.0,explorer
UNFCCC.non-party.1797.0,3ba572cc0c98edaa9f3ef4349b3c6e39__79a3e55e14aab4d4fbcddfccb5197b6b2848257dcc0d9fc1ceb016d1ba9198a2,EQUITY_AND_JUSTICE,JUSTICE,justice,188,195,"The 2023 Global Stocktake marks a pivotal moment for raising the ambition of future climate action, necessitating the integration of scientific evidence, promoting social justice, climate justice, the realization of human rights, meaningful participation and inclusivity, and a commitment to advancing gender equality and feminist principles to ensure a livable planet and wellbeing of people and planet.",1.0,explorer
UNFCCC.non-party.1797.0,3ba572cc0c98edaa9f3ef4349b3c6e39__79a3e55e14aab4d4fbcddfccb5197b6b2848257dcc0d9fc1ceb016d1ba9198a2,GENDER_EQUALITY,GENDER_EQUALITY,gender equality,302,317,"The 2023 Global Stocktake marks a pivotal moment for raising the ambition of future climate action, necessitating the integration of scientific evidence, promoting social justice, climate justice, the realization of human rights, meaningful participation and inclusivity, and a commitment to advancing gender equality and feminist principles to ensure a livable planet and wellbeing of people and planet.",1.0,explorer
UNFCCC.non-party.1797.0,3ba572cc0c98edaa9f3ef4349b3c6e39__79a3e55e14aab4d4fbcddfccb5197b6b2848257dcc0d9fc1ceb016d1ba9198a2,INEQUALITY_&_HUMAN_RIGHTS,HUMAN_RIGHTS,human rights,216,228,"The 2023 Global Stocktake marks a pivotal moment for raising the ambition of future climate action, necessitating the integration of scientific evidence, promoting social justice, climate justice, the realization of human rights, meaningful participation and inclusivity, and a commitment to advancing gender equality and feminist principles to ensure a livable planet and wellbeing of people and planet.",1.0,explorer
UNFCCC.non-party.1797.0,3ba572cc0c98edaa9f3ef4349b3c6e39__79a3e55e14aab4d4fbcddfccb5197b6b2848257dcc0d9fc1ceb016d1ba9198a2,JUST_TRANSITION,SOCIAL_JUSTICE,social justice,164,178,"The 2023 Global Stocktake marks a pivotal moment for raising the ambition of future climate action, necessitating the integration of scientific evidence, promoting social justice, climate justice, the realization of human rights, meaningful participation and inclusivity, and a commitment to advancing gender equality and feminist principles to ensure a livable planet and wellbeing of people and planet.",1.0,explorer
UNFCCC.non-party.1797.0,3ba572cc0c98edaa9f3ef4349b3c6e39__79a3e55e14aab4d4fbcddfccb5197b6b2848257dcc0d9fc1ceb016d1ba9198a2,EQUITY_AND_JUSTICE,JUSTICE,justice,171,178,"The 2023 Global Stocktake marks a pivotal moment for raising the ambition of future climate action, necessitating the integration of scientific evidence, promoting social justice, climate justice, the realization of human rights, meaningful participation and inclusivity, and a commitment to advancing gender equality and feminist principles to ensure a livable planet and wellbeing of people and planet.",1.0,explorer
UNFCCC.non-party.1797.0,6ee9f3683a72a28375643124251f7cb6__92a349a934560394f6c13a79e4f7c5e6018c7c875c5465059d5ae0b720becd6b,INEQUALITY_&_HUMAN_RIGHTS,UNEQUAL,unequal,55,62,"· unequal distribution of benefits and costs including unequal access to finance and technology, with strong gender-differentiated impacts.",1.0,explorer
UNFCCC.non-party.1797.0,6ee9f3683a72a28375643124251f7cb6__92a349a934560394f6c13a79e4f7c5e6018c7c875c5465059d5ae0b720becd6b,INEQUALITY_&_HUMAN_RIGHTS,UNEQUAL,unequal,2,9,"· unequal distribution of benefits and costs including unequal access to finance and technology, with strong gender-differentiated impacts.",1.0,explorer
UNFCCC.non-party.1797.0,6ee9f3683a72a28375643124251f7cb6__92a349a934560394f6c13a79e4f7c5e6018c7c875c5465059d5ae0b720becd6b,JUST_TRANSITION,LIVELIHOOD,livelihoods,320,331,"The IPCC warns of the risks of poorly designed mitigation options, with adverse socio-economic and environmental impacts, including on biodiversity, food and water security, local livelihoods, and on human rights, gender equality and the rights of Indigenous Peoples.",1.0,explorer
UNFCCC.non-party.1797.0,6ee9f3683a72a28375643124251f7cb6__92a349a934560394f6c13a79e4f7c5e6018c7c875c5465059d5ae0b720becd6b,GENDER_EQUALITY,GENDER_EQUALITY,gender equality,354,369,"The IPCC warns of the risks of poorly designed mitigation options, with adverse socio-economic and environmental impacts, including on biodiversity, food and water security, local livelihoods, and on human rights, gender equality and the rights of Indigenous Peoples.",1.0,explorer
UNFCCC.non-party.1797.0,6ee9f3683a72a28375643124251f7cb6__92a349a934560394f6c13a79e4f7c5e6018c7c875c5465059d5ae0b720becd6b,INEQUALITY_&_HUMAN_RIGHTS,HUMAN_RIGHTS,human rights,340,352,"The IPCC warns of the risks of poorly designed mitigation options, with adverse socio-economic and environmental impacts, including on biodiversity, food and water security, local livelihoods, and on human rights, gender equality and the rights of Indigenous Peoples.",1.0,explorer
UNFCCC.non-party.1797.0,164e70607754fb7e10ff7cab7a73dec1__f84392caa1769a31c303f6028929c8eb8606cab721fb89f3cdc495a6f4ad9959,INEQUALITY_&_HUMAN_RIGHTS,INEQUALITY,inequalities,252,264,"Specifically, despite the slight overall increase of climate financial flow from developed countries to developing countries, only a miniscule percentage of climate finance is channeled directly to women's and gender-rights organizations, exacerbating inequalities in adapting and responding to climate change impacts.",1.0,explorer
UNFCCC.non-party.1797.0,60ee3257213914994f470d0dd960c7de__46ee35217ac40feec81d5d76ce4f5f009c2fca7b9ba1be362d4a6bcb7d4f2c2e,GENDER_EQUALITY,GENDER_EQUALITY,gender equality,287,302,"These locally-driven solutions promote democracy, making gender equality and women's rights central to just climate action.",1.0,explorer
