document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1761.0,a4c105a6d9f3757cbab2d8c3f0349775__642d800931e594e589f71f58c6c752f90dfbdd8469c639c12451e5af41ef344e,JUST_TRANSITION,LIVELIHOOD,livelihoods,236,247,Incremental losses to livelihoods and subsistence mask the apparent widespread impacts climate change have already had on the population.,1.0,explorer
UNFCCC.party.1761.0,e8b0baf225f06b230832292cc94f00ab__bfefb24d3046f6847fcd046f47ee732e001335294d5cae2c3666a885accdedc0,EQUITY_AND_JUSTICE,JUSTICE,justice,309,316,"An executive government is formed from elected members of Parliament, Parliament retains legislative powers, and independent judiciary and civil service administer justice and government operations respectively.",1.0,explorer
UNFCCC.party.1761.0,71d8ad6ff2695ffda59e427736439f00__1bf2932683f661d84c27d4d3d28f4e45fd1331a6ddf5ba20780c483ede9c4e3c,JUST_TRANSITION,LIVELIHOOD,livelihoods,234,245,"There are significant populations of chickens in Solomon Islands in association with the village and subsistence livelihoods, but there are no commercial scale poultry operations.",1.0,explorer
UNFCCC.non-party.1762.0,794233bfeba55194f1046336c9ef34bf__61027ec3a607877ef547a7e60efbc17dec041c4dcc78696fb0bc8edb1d70723a,EQUITY_AND_JUSTICE,EQUITY,equity,131,137,A focus on inclusion and equity can increase ambition in climate action and support.,1.0,explorer
UNFCCC.non-party.1762.0,5e534e98ab5bb49f5b70055f4bcbb646__880c5299c8a513ac51f743392d7ce7e910779867fd63be99867c0c12fcbe71ae,EQUITY_AND_JUSTICE,EQUITY,Equity,336,342,Equity should enable greater ambition and increase the likelihood of meeting the goals of the Paris Agreement.,1.0,explorer
UNFCCC.non-party.1762.0,2b3b4aac49944cd7faf6dcad12621065__ff2000cfbac9a21f9898d758771eb1d96ea9b6ddbc449924a8b72c33cc86299a,EQUITY_AND_JUSTICE,EQUITY,equity,184,190,A common thread was that equity should align with an upward spiral of ambition in implementing the Paris Agreement.,1.0,explorer
UNFCCC.non-party.1762.0,2b3b4aac49944cd7faf6dcad12621065__ff2000cfbac9a21f9898d758771eb1d96ea9b6ddbc449924a8b72c33cc86299a,EQUITY_AND_JUSTICE,EQUITY,equity,19,25,The concept of equity is complex and multidimensional.,1.0,explorer
UNFCCC.non-party.1762.0,2b3b4aac49944cd7faf6dcad12621065__ff2000cfbac9a21f9898d758771eb1d96ea9b6ddbc449924a8b72c33cc86299a,EQUITY_AND_JUSTICE,EQUITY,equity,137,143,"In discussions at the first TD, diverse views were expressed on dimensions of equity in mitigation.",1.0,explorer
UNFCCC.non-party.1762.0,75651a8f1953656cd3ddc27339297348__048f8b0faa5016c8f3bc2f04a542969ebcdfd9decf8b5da7cb028980de7e3ba3,JUST_TRANSITION,JUST_TRANSITION,Just transition,4,19,Just transition principles can be adopted and implemented through collective and participatory decision-making processes to reduce the disruptive consequences of rapid systems transformations.,1.0,explorer
UNFCCC.non-party.1762.0,4f385285ca974800ff2b7b3268b425cb__ba4a9b54b2a30457221e95219352066ddd06d46e3e0193e655b5e3f81847a074,JUST_TRANSITION,SOCIAL_INCLUSION,social inclusion,397,413,"These services improve responses to projected risks and scenarios, promote social inclusion and avoid shifting risks to other actors or reinforcing existing vulnerabilities.8",1.0,explorer
UNFCCC.non-party.1762.0,6f2a668a1b817eb4aa0969fdd4995afb__0f7386d93e8939b97804097de2a23d676319b9946692facb15d397586e6cab1b,EQUITY_AND_JUSTICE,EQUITY,equity,133,139,A focus on inclusion and equity can increase ambition in climate action and support.,1.0,explorer
UNFCCC.non-party.1762.0,b18d21ca4dbf058b7814e48dbdb7d41d__5e274030c82f4d297d0f210be1476e7c26ca6a8e31bee2adc02dec34229f5bc9,INEQUALITY_&_HUMAN_RIGHTS,HUMAN_RIGHTS,human rights,332,344,"Dimensions of equity include just transitions, strengthening resilience, sustainable development, environmental protection, poverty eradication and human rights.",1.0,explorer
UNFCCC.non-party.1762.0,b18d21ca4dbf058b7814e48dbdb7d41d__5e274030c82f4d297d0f210be1476e7c26ca6a8e31bee2adc02dec34229f5bc9,EQUITY_AND_JUSTICE,EQUITY,equity,198,204,"Dimensions of equity include just transitions, strengthening resilience, sustainable development, environmental protection, poverty eradication and human rights.",1.0,explorer
UNFCCC.non-party.1762.0,b18d21ca4dbf058b7814e48dbdb7d41d__5e274030c82f4d297d0f210be1476e7c26ca6a8e31bee2adc02dec34229f5bc9,EQUITY_AND_JUSTICE,EQUITY,equity,36,42,Increasing the consideration of equity can enable greater ambition in climate action and support and increase the likelihood of meeting the long-term goals of the Paris Agreement.,1.0,explorer
UNFCCC.non-party.1762.0,0512aabd3ea7d60704136b020c010566__519d2e1dc4e2a5837328498cfb4308f87ee29a910c359fd407609b1e85fd040e,JUST_TRANSITION,SOCIAL_INCLUSION,social inclusion,336,352,"The benefits of social inclusion extend beyond climate change to include conservation, poverty reduction and achieving the SDGs.",1.0,explorer
UNFCCC.non-party.1762.0,4b1e2c8dd731cb79240b6e7d58cb5abd__90da62bb7877c132e63dfd357b256cf1ec322a0061daf47253c38efd2c128062,INEQUALITY_&_HUMAN_RIGHTS,HUMAN_RIGHTS,human rights,67,79,Approaches to climate action that are aligned with a country’s human rights obligations would make marginalized groups part of the solutions.,1.0,explorer
UNFCCC.non-party.1762.0,894aa6993984c2b7d59397edab0f1184__6428e9394036e219b8820d3addaf6b27e34387dbb26988a6e44816a57f30572b,EQUITY_AND_JUSTICE,EQUITY,equity,547,553,"In these scenarios, the median time frame for reaching net zero CO2 emissions globally is in the early 2050s, and net zero GHG emissions by the early 2070s.26 The basis of equity, the context of sustainable development and efforts to eradicate poverty inform consideration of these mitigation pathways.",1.0,explorer
UNFCCC.non-party.1762.0,559f64c972ae49514d6b5082ce5c9c84__6859982f9040d9cfd54cf15963e35d1a525b17b8cdda87f0966a20bcf65ee285,JUST_TRANSITION,JUST_ENERGY_TRANSITION,just energy transition,273,295,"Several developing countries have recently pursued just energy transition partnerships, which are promising examples of how international cooperation can support national efforts for just transitions while accounting for specific national contexts and are based on lessons learned; these partnerships could be models for action in additional developing countries.",1.0,explorer
UNFCCC.non-party.1762.0,b379ac3e21f0f4bebdd6e952d8e222ab__a93b30ce2c6740e01b358b30f7795414fb2cf8eb91a5661791c94e013e5d1e67,EQUITY_AND_JUSTICE,EQUITY,equity,73,79,"In discussions at TD, diverse views were expressed on dimensions of equity in mitigation, including: all Parties joining the effort to reduce emissions; Parties explaining how their NDCs are fair and ambitious, in line with their national circumstances; changing historic, current and future contributions to emissions; ensuring equitable allocation of carbon space; ensuring availability of mitigation options and increasing capacity for implementing them; minimizing costs while promoting development; identifying the need for support across finance, technology and capacity-building for developing countries; including all stakeholders in decision-making; minimizing global warming to avert loss and damage; enabling just transitions to net zero emissions; and generating criteria for benchmarking NDCs as fair and ambitious.",1.0,explorer
UNFCCC.non-party.1762.0,b379ac3e21f0f4bebdd6e952d8e222ab__a93b30ce2c6740e01b358b30f7795414fb2cf8eb91a5661791c94e013e5d1e67,EQUITY_AND_JUSTICE,EQUITY,equity,849,855,The concept of equity is complex and,1.0,explorer
UNFCCC.non-party.1762.0,32faf089c05d77024a66ae12628b0678__957bd3c7c79774e83a0891116de05685659dbe4e42e355946d13d4fee72fc7a8,EQUITY_AND_JUSTICE,EQUITY,equity,155,161,A common thread across the discussions wasthat equity should align with an upward spiral of ambition in implementing the Paris Agreement.,1.0,explorer
UNFCCC.non-party.1762.0,e9647e8593645e67d0df99d66f69a0e4__81ccb8f014778d2d4c8883652657e670cb393d310895a5c1b16692947fdf26a8,EQUITY_AND_JUSTICE,EQUITY,equity,336,342,Integrating broader considerations into policy development and implementation can improve the ability to address equity and gender equality.,1.0,explorer
UNFCCC.non-party.1762.0,e9647e8593645e67d0df99d66f69a0e4__81ccb8f014778d2d4c8883652657e670cb393d310895a5c1b16692947fdf26a8,JUST_TRANSITION,JUST_TRANSITION,Just transition,364,379,Just transition principles can also be adopted and implemented through collective and participatory decision-making processes to reduce the disruptive consequences of rapid systems transformations.,1.0,explorer
UNFCCC.non-party.1762.0,e9647e8593645e67d0df99d66f69a0e4__81ccb8f014778d2d4c8883652657e670cb393d310895a5c1b16692947fdf26a8,GENDER_EQUALITY,GENDER_EQUALITY,gender equality,347,362,Integrating broader considerations into policy development and implementation can improve the ability to address equity and gender equality.,1.0,explorer
UNFCCC.non-party.1762.0,095c15f9313981736e52ef1422514f97__72e45a115413a5ffd1276ef1bc71f60be3440288409dd24c09f5a836dc07a1a9,EQUITY_AND_JUSTICE,FAIRNESS,fairness,958,966,"Approaches that not only focus on the costs of action, but also recognize the opportunities and co-benefits associated with low GHG emissions development can inform perceptions of fairness.",1.0,explorer
UNFCCC.non-party.1762.0,095c15f9313981736e52ef1422514f97__72e45a115413a5ffd1276ef1bc71f60be3440288409dd24c09f5a836dc07a1a9,EQUITY_AND_JUSTICE,EQUITY,equity,511,517,"Many countries refer to equity in terms of shares of global emissions, whether a small share of total global emissions in absolute terms, per capita, in relation to the gross domestic product, or global averages, and several other benchmarks including global pathways to net zero emissions.",1.0,explorer
