document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
CCLW.GST.722.722,7cfc968089b77b06dcb3706ddb181308__e4d06290cb91493c428e6a243948300cdae56d6623e371983a7b7298d42831d9,JUST_TRANSITION,LIVELIHOOD,livelihoods,314,325,"Agriculture is the foundation of Afghanistan's economy and livelihoods, supporting some 80% of the country's population, either directly or indirectly.",1.0,explorer
CCLW.GST.722.722,2fcd0e4d5e7ece1f5e6e115f6e19c7a2__4823343d747cfdec092463e6ec8bce7c5ee54c863459874c9a00639d967e8e2e,JUST_TRANSITION,LIVELIHOOD,livelihoods,59,70,"Agriculture is the foundation of Afghanistan's economy and livelihoods, supporting some 80% of the country's population, either directly or indirectly ³3.",1.0,explorer
CCLW.GST.722.722,2884d760e2c4cb31a97dfb3d70a476f1__030786f5eab66bb7ca068f5d11b95881374dea83c42c2efcb36c064033fc3a6c,EQUITY,EQUITY,Equity,0,6,Equity Financing Window,1.0,explorer
CCLW.GST.208.208,4af687c033df54340b8174412d195706__92dfdf7ef8812530c9ae4a0e130d5b9f2c6a12f1c5ab56f79d0c0d23ac96d0dc,JUST_TRANSITION,LIVELIHOOD,livelihood,328,338,"The Stimulus focuses on creating livelihood opportunities for daily wagers in the forestry and waste management sectors by involving in mass plantations, setting up of nurseries, protecting natural forests and promotion of honey, fruits and olive plantation in Pakistan.",1.0,explorer
CCLW.GST.208.208,7140c148890abbe992953f9edb8dd93a__430fc4d15d622e21aed610710b12d93c2ea46b135374bf05ed652a3c49a31857,INEQUALITY,INEQUALITY,inequalities,432,444,It also acknowledges gender aspects of Climate Change to address inequalities and human development bottlenecks in achieving the 2030 Sustainable Development Agenda.,1.0,explorer
CCLW.GST.208.208,7c83e290f285e2f8ebbe55ec369d4e89__f3f0d1e02d95356fb201a01a9fc6dc7571fa80ca83bd2cb5531e829dc470d9e4,INEQUALITY,INEQUALITY,inequalities,659,671,And inequalities matter for policies.,1.0,explorer
CCLW.GST.208.208,7c83e290f285e2f8ebbe55ec369d4e89__f3f0d1e02d95356fb201a01a9fc6dc7571fa80ca83bd2cb5531e829dc470d9e4,INEQUALITY,INEQUALITY,inequality,400,410,"In a system with gender inequality, freedom compromises its strengths and the agenda behind sustainability remain unfulfilled.",1.0,explorer
CCLW.GST.208.208,7c83e290f285e2f8ebbe55ec369d4e89__f3f0d1e02d95356fb201a01a9fc6dc7571fa80ca83bd2cb5531e829dc470d9e4,INEQUALITY,INEQUALITY,Inequalities,503,515,Inequalities in human development are a defining bottleneck in achieving the 2030 Agenda for Sustainable Development.,1.0,explorer
CCLW.GST.208.208,7c83e290f285e2f8ebbe55ec369d4e89__f3f0d1e02d95356fb201a01a9fc6dc7571fa80ca83bd2cb5531e829dc470d9e4,INEQUALITY,INEQUALITY,inequalities,641,653,Policies matter for inequalities.,1.0,explorer
CCLW.GST.208.208,e89074d642a07ad39edc92f863ab5dc7__363d62c4a0705f4e83db944e83ca4c3308becc2f5a13480ceb9c64d3e732bf5e,GENDER_EQUALITY,GENDER_EQUALITY,gender equality,536,551,Conclusions and recommendations are included to help outline a Gender Action Plan to promote gender equality while keeping all the social and political constraints in mind.,1.0,explorer
