document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,9d3dacc13cdda6797406189e126f1694__344d863a9171c2194f2d0f1baa6350a21c429a3bca6ee2ff8a8b001f7817a20e,FINANCIAL_FLOW,,USD,124,127,Investments in energy transition technologies and infrastructure of USD 5.7 trillion per year are required until 2030.,1.0,explorer,
UNFCCC.non-party.1859.0,9d3dacc13cdda6797406189e126f1694__344d863a9171c2194f2d0f1baa6350a21c429a3bca6ee2ff8a8b001f7817a20e,FINANCIAL_FLOW,,trillion,132,140,Investments in energy transition technologies and infrastructure of USD 5.7 trillion per year are required until 2030.,1.0,explorer,
UNFCCC.non-party.1859.0,9d3dacc13cdda6797406189e126f1694__344d863a9171c2194f2d0f1baa6350a21c429a3bca6ee2ff8a8b001f7817a20e,FINANCIAL_FLOW,,5.7,128,131,Investments in energy transition technologies and infrastructure of USD 5.7 trillion per year are required until 2030.,1.0,explorer,
UNFCCC.non-party.1855.0,b9084865f5f0636bfa8d2cfb2d1366a0__60acecb4a15f6e200ea140678c535e464a4992d18e1d8e6580321247c9668591,FINANCIAL_FLOW,,150,950,953,"Moreover, since inception, LoCAL has mobilized more than USD $150 million from own resources, donors and parallel funding from governments, to initiate the mechanism and develop the standard.",1.0,explorer,
UNFCCC.non-party.1855.0,b9084865f5f0636bfa8d2cfb2d1366a0__60acecb4a15f6e200ea140678c535e464a4992d18e1d8e6580321247c9668591,FINANCIAL_FLOW,,USD,945,948,"Moreover, since inception, LoCAL has mobilized more than USD $150 million from own resources, donors and parallel funding from governments, to initiate the mechanism and develop the standard.",1.0,explorer,
UNFCCC.non-party.1855.0,b9084865f5f0636bfa8d2cfb2d1366a0__60acecb4a15f6e200ea140678c535e464a4992d18e1d8e6580321247c9668591,FINANCIAL_FLOW,,$,949,950,"Moreover, since inception, LoCAL has mobilized more than USD $150 million from own resources, donors and parallel funding from governments, to initiate the mechanism and develop the standard.",1.0,explorer,
UNFCCC.non-party.1855.0,b9084865f5f0636bfa8d2cfb2d1366a0__60acecb4a15f6e200ea140678c535e464a4992d18e1d8e6580321247c9668591,FINANCIAL_FLOW,,more,935,939,"Moreover, since inception, LoCAL has mobilized more than USD $150 million from own resources, donors and parallel funding from governments, to initiate the mechanism and develop the standard.",1.0,explorer,
UNFCCC.non-party.1855.0,b9084865f5f0636bfa8d2cfb2d1366a0__60acecb4a15f6e200ea140678c535e464a4992d18e1d8e6580321247c9668591,FINANCIAL_FLOW,,million,954,961,"Moreover, since inception, LoCAL has mobilized more than USD $150 million from own resources, donors and parallel funding from governments, to initiate the mechanism and develop the standard.",1.0,explorer,
UNFCCC.non-party.1855.0,b9084865f5f0636bfa8d2cfb2d1366a0__60acecb4a15f6e200ea140678c535e464a4992d18e1d8e6580321247c9668591,FINANCIAL_FLOW,,than,940,944,"Moreover, since inception, LoCAL has mobilized more than USD $150 million from own resources, donors and parallel funding from governments, to initiate the mechanism and develop the standard.",1.0,explorer,
UNFCCC.party.1852.0,4a01f61c97c77ccbcddd8e8c73ed71d8__86d39cfb81ff11d8c2af6882fcd780b3eb5aabf7fbf9188507a376254650e927,FINANCIAL_FLOW,,$,67,68,"made by developed Parties, including the failure to deliver on the $100 billion per annum target for the mobilization of climate finance, and also by the failure of leadership by developed countries which led to a woefully inadequate mitigation outcome in 2020, putting more pressure on developing countries with less resources",1.0,explorer,
UNFCCC.party.1852.0,4a01f61c97c77ccbcddd8e8c73ed71d8__86d39cfb81ff11d8c2af6882fcd780b3eb5aabf7fbf9188507a376254650e927,FINANCIAL_FLOW,,100,68,71,"made by developed Parties, including the failure to deliver on the $100 billion per annum target for the mobilization of climate finance, and also by the failure of leadership by developed countries which led to a woefully inadequate mitigation outcome in 2020, putting more pressure on developing countries with less resources",1.0,explorer,
