document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,9ad33401f62fd829b9a5b8d13af33c90__7a662ecd524985c3321c24917bdb93e776ce63e79342c6d120d7c61933843329,FINANCIAL_FLOW,GRANT,grant,74,79,"CO₂RE, a project funded by the UK's Natural Environment Research Council (grant agreement NE/V013106/1);",1.0,explorer
UNFCCC.non-party.1740.0,9ad33401f62fd829b9a5b8d13af33c90__7a662ecd524985c3321c24917bdb93e776ce63e79342c6d120d7c61933843329,FINANCIAL_FLOW,FUND,funded,17,23,"CO₂RE, a project funded by the UK's Natural Environment Research Council (grant agreement NE/V013106/1);",1.0,explorer
UNFCCC.non-party.1740.0,35598af14659f2ffa30b8fa7849d9e06__5792e7c9147859c1f6583d62ae8fe436eb0f4bfc6e1f03a078a669ff4bc0e673,FINANCIAL_FLOW,GRANT,grant,140,145,"• GENIE, a Synergy Grant funded by the European Research Council under the European Union's Horizon 2020 research and innovation programme (grant agreement 951542);",1.0,explorer
UNFCCC.non-party.1740.0,35598af14659f2ffa30b8fa7849d9e06__5792e7c9147859c1f6583d62ae8fe436eb0f4bfc6e1f03a078a669ff4bc0e673,FINANCIAL_FLOW,FUND,funded,25,31,"• GENIE, a Synergy Grant funded by the European Research Council under the European Union's Horizon 2020 research and innovation programme (grant agreement 951542);",1.0,explorer
UNFCCC.non-party.1740.0,35598af14659f2ffa30b8fa7849d9e06__5792e7c9147859c1f6583d62ae8fe436eb0f4bfc6e1f03a078a669ff4bc0e673,FINANCIAL_FLOW,GRANT,Grant,19,24,"• GENIE, a Synergy Grant funded by the European Research Council under the European Union's Horizon 2020 research and innovation programme (grant agreement 951542);",1.0,explorer
UNFCCC.non-party.1740.0,49247893b377260b6bac41c5901780d6__faeda70713527ef655c91b46a959d2a6e0ffc3528d67299a479588ac6dd9d9c1,FINANCIAL_FLOW,PAY,pays,145,149,"Nationally Determined Contributions, and identification of international climate finance requirements for CDR, taking into account the ""polluter pays principle.",1.0,explorer
UNFCCC.non-party.1740.0,49247893b377260b6bac41c5901780d6__faeda70713527ef655c91b46a959d2a6e0ffc3528d67299a479588ac6dd9d9c1,FINANCIAL_FLOW,FINANCE,finance,81,88,"Nationally Determined Contributions, and identification of international climate finance requirements for CDR, taking into account the ""polluter pays principle.",1.0,explorer
UNFCCC.non-party.1740.0,1e7e70fe9a2989c6c9e986ab484e4ffe__e03ddeff61cf8a7a96ce3eb5e816bec8869439853bed1a7d9145f9a42ce4cc51,FINANCIAL_FLOW,,200,332,335,"We see evidence of this in
over $4 billion of publicly funded Research, Development and Demonstration (RD&D), a rise
in patents (with China the lead country and Direct Air Capture the most patented technology)
and investment in new CDR capacity totalling approximately $200 million from 2020 to
0000 CRD",1.0,explorer
UNFCCC.non-party.1740.0,1e7e70fe9a2989c6c9e986ab484e4ffe__e03ddeff61cf8a7a96ce3eb5e816bec8869439853bed1a7d9145f9a42ce4cc51,FINANCIAL_FLOW,,over,89,93,"We see evidence of this in
over $4 billion of publicly funded Research, Development and Demonstration (RD&D), a rise
in patents (with China the lead country and Direct Air Capture the most patented technology)
and investment in new CDR capacity totalling approximately $200 million from 2020 to
0000 CRD",1.0,explorer
UNFCCC.non-party.1740.0,1e7e70fe9a2989c6c9e986ab484e4ffe__e03ddeff61cf8a7a96ce3eb5e816bec8869439853bed1a7d9145f9a42ce4cc51,FINANCIAL_FLOW,,billion,97,104,"We see evidence of this in
over $4 billion of publicly funded Research, Development and Demonstration (RD&D), a rise
in patents (with China the lead country and Direct Air Capture the most patented technology)
and investment in new CDR capacity totalling approximately $200 million from 2020 to
0000 CRD",1.0,explorer
UNFCCC.non-party.1740.0,1e7e70fe9a2989c6c9e986ab484e4ffe__e03ddeff61cf8a7a96ce3eb5e816bec8869439853bed1a7d9145f9a42ce4cc51,FINANCIAL_FLOW,,approximately,317,330,"We see evidence of this in
over $4 billion of publicly funded Research, Development and Demonstration (RD&D), a rise
in patents (with China the lead country and Direct Air Capture the most patented technology)
and investment in new CDR capacity totalling approximately $200 million from 2020 to
0000 CRD",1.0,explorer
