document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,3d219735b770a2f27d4670d8788251d0__79c0f361f0ba149e4996c01738515dd72ceddabe25c029444437d5e971b0f8cf,FINANCIAL_FLOW,FUND,Fund,488,492,"The Party reported that the Climate Change and Development Authority is the governmental body responsible for its climate change policy and GHG inventory and BUR, which were prepared with the support of the Food and Agriculture Organization of the United Nations through the Global Environment Facility Capacity-building Initiative for Transparency and the Green Climate Fund Readiness and Preparatory Support Programme, and the Japan International Cooperation Agency.",1.0,explorer
UNFCCC.non-party.1750.0,84295c1f497d47c48f1975074d91238b__33bf5ecb7fe292281d9f4b5bd7b6dc42d56d23f38b12c0042e0d613e081dfff7,FINANCIAL_FLOW,FINANCE,finance,171,178,"As indicated in table I.3, Papua New Guinea reported in its BUR, mostly in accordance with paragraphs 14–16 of the UNFCCC reporting guidelines on BURs, information on finance, technology and capacity-building needs and support received.",1.0,explorer
UNFCCC.non-party.1750.0,d8590c0b30198d394b04c642a74f5aeb__a3249e40f2932ebdd5e1f4ec2ce75aacf28780665ceb29ba72f241cb06c3c6fa,FINANCIAL_FLOW,,1,465,466,"Papua New Guinea reported that as per the preliminary estimates, it requires USD 1 billion to implement the actions to achieve the targets of the enhanced NDC (2020) over 2021–2030.",1.0,explorer
UNFCCC.non-party.1750.0,d8590c0b30198d394b04c642a74f5aeb__a3249e40f2932ebdd5e1f4ec2ce75aacf28780665ceb29ba72f241cb06c3c6fa,FINANCIAL_FLOW,,billion,467,474,"Papua New Guinea reported that as per the preliminary estimates, it requires USD 1 billion to implement the actions to achieve the targets of the enhanced NDC (2020) over 2021–2030.",1.0,explorer
UNFCCC.non-party.1750.0,d8590c0b30198d394b04c642a74f5aeb__a3249e40f2932ebdd5e1f4ec2ce75aacf28780665ceb29ba72f241cb06c3c6fa,FINANCIAL_FLOW,,USD,461,464,"Papua New Guinea reported that as per the preliminary estimates, it requires USD 1 billion to implement the actions to achieve the targets of the enhanced NDC (2020) over 2021–2030.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,FINANCIAL_FLOW,BUDGET,budget,649,655,"Constraints on mitigation activities include a limited budget and ineffective institutional arrangements, while constraints on adaptation activities include a limited budget and the geographical situation of the country hindering data collection.",1.0,explorer
UNFCCC.non-party.1750.0,e1f604e3adf3d986f921dbcdf9fb174d__7fe5423007e6def6fc8394782d3c11d60d8af99668f3c8bb9283a4aba633096c,FINANCIAL_FLOW,BUDGET,budget,537,543,"Constraints on mitigation activities include a limited budget and ineffective institutional arrangements, while constraints on adaptation activities include a limited budget and the geographical situation of the country hindering data collection.",1.0,explorer
UNFCCC.non-party.1750.0,91d2739cc3d9881fa4507e8becd0f172__22c59620e9cbade53d9cdec43191fd91c30762069c2ede770b2e51af94b7645d,FINANCIAL_FLOW,,32.23,669,674,The largest amount received during 2016–2023 was a USD 32.23 million grant from the Asian Development Bank to improve Papua New Guinea’s capacity to assess and incorporate climate change risks in its development investment programme.,1.0,explorer
UNFCCC.non-party.1750.0,91d2739cc3d9881fa4507e8becd0f172__22c59620e9cbade53d9cdec43191fd91c30762069c2ede770b2e51af94b7645d,FINANCIAL_FLOW,FUND,Fund,154,158,"technical support for 25 projects since 2017 through bilateral or multilateral agreements with various governments and organizations (i.e. the Adaptation Fund, Asian Development Bank, Government of Australia, Department of Foreign Affairs and Trade of Australia, European Union, German Agency for International Cooperation, Global Environment Facility, Green Climate Fund, Government of Italy, Japan International Cooperation Agency, Korean International Cooperation Agency, Ministry of Foreign Affairs and Trade of New Zealand, NDC Partnership, United States Agency for International Development and World Bank).",1.0,explorer
UNFCCC.non-party.1750.0,91d2739cc3d9881fa4507e8becd0f172__22c59620e9cbade53d9cdec43191fd91c30762069c2ede770b2e51af94b7645d,FINANCIAL_FLOW,,USD,665,668,The largest amount received during 2016–2023 was a USD 32.23 million grant from the Asian Development Bank to improve Papua New Guinea’s capacity to assess and incorporate climate change risks in its development investment programme.,1.0,explorer
