document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
CCLW.GST.333.333,7f94cb53099ff162ab42f39790f7be53__541139abee5e97604ace033c09bf135735f6e753661340dc34650e722dfa1862,COAL,COAL,coal,14,18,From handling coal results fugitive emissions of CH4.,1.0,explorer
CCLW.GST.333.333,7f94cb53099ff162ab42f39790f7be53__541139abee5e97604ace033c09bf135735f6e753661340dc34650e722dfa1862,COAL,COAL,coal,257,261,"Considering the difficulty of forecasting emission sources as a result of coal extraction during 2015 2035, the forecast of these emissions was determined by extrapolating the value for 2005 for the no mesures scenario with an average annual rate of about 2% during 2005 ÷ 2015, and 1% during 2015 + 2035.",1.0,explorer
CCLW.GST.333.333,36e748b4f9bef02048842c9de3d3788d__482ffae2af6001e19be60e7b412cd052ab5f6511ed4726d9d7be4ae2a3a5f34a,GAS,NATURAL_GAS,natural gas,8,19,"Oil and natural gas systems take into account the entire chain from extraction of resource (crude oil or natural gas) to the final consumer, including transformation processes to meet consumer requirements.",1.0,explorer
CCLW.GST.333.333,36e748b4f9bef02048842c9de3d3788d__482ffae2af6001e19be60e7b412cd052ab5f6511ed4726d9d7be4ae2a3a5f34a,OIL,OIL,oil,98,101,"Oil and natural gas systems take into account the entire chain from extraction of resource (crude oil or natural gas) to the final consumer, including transformation processes to meet consumer requirements.",1.0,explorer
CCLW.GST.333.333,36e748b4f9bef02048842c9de3d3788d__482ffae2af6001e19be60e7b412cd052ab5f6511ed4726d9d7be4ae2a3a5f34a,GAS,NATURAL_GAS,natural gas,105,116,"Oil and natural gas systems take into account the entire chain from extraction of resource (crude oil or natural gas) to the final consumer, including transformation processes to meet consumer requirements.",1.0,explorer
CCLW.GST.333.333,36e748b4f9bef02048842c9de3d3788d__482ffae2af6001e19be60e7b412cd052ab5f6511ed4726d9d7be4ae2a3a5f34a,OIL,OIL,Oil,0,3,"Oil and natural gas systems take into account the entire chain from extraction of resource (crude oil or natural gas) to the final consumer, including transformation processes to meet consumer requirements.",1.0,explorer
CCLW.GST.333.333,b79943d701f04ccd829e48a75c68e6bc__567cffefd05a788dbcbc8db7678a8fcd613c5b0fffeff2526bc871389837a2db,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,21,33,Handling of fossil fuels,1.0,explorer
CCLW.GST.333.333,38d47822a6a2aca5445329fd9e5b6ace__ef9686c361d9d64ce1f8abfd57e5e35f8fccd5e8fe9353145283f15a54bb32a0,OIL,OIL,oil,57,60,"Given the difficulty of forecasting the evolution of the oil and natural gas sector by 2035, the fugitive emission forecasts were determined by the method of extrapolating the 2005 figures (scenario with no measures) and 2015 figures (for the scenario with measures and with additional measures).",1.0,explorer
CCLW.GST.333.333,38d47822a6a2aca5445329fd9e5b6ace__ef9686c361d9d64ce1f8abfd57e5e35f8fccd5e8fe9353145283f15a54bb32a0,GAS,NATURAL_GAS,natural gas,65,76,"Given the difficulty of forecasting the evolution of the oil and natural gas sector by 2035, the fugitive emission forecasts were determined by the method of extrapolating the 2005 figures (scenario with no measures) and 2015 figures (for the scenario with measures and with additional measures).",1.0,explorer
CCLW.GST.333.333,b472503df0f3bb44134f9b4cb291eed2__97faae690ee8e16d200296c54558f573640fbfae75988d3b8c4c5d5a574486c0,COAL,COAL,coal,57,61,"> Integrated route (BF-BOF) based on iron ore and coking coal used in blast furnaces, followed by oxygen steelworks and rolling mills;",1.0,explorer
CCLW.GST.333.333,c2dc440757eb39da81a1b90995812537__42c6a991ffe5bef5a902dea414447ba30dd52a73c903f0065cd4a3162e6afb36,COAL,COAL,coal,101,105,The iron and steel industry in Romania was initially develop based on local reserves of iron ore and coal and was designed in integrated flow.,1.0,explorer
CCLW.GST.333.333,362fb3cb768a67067a9eaddd5d08c1a9__3eb8e32556bbb7c88d34403f318ed3a7a03b22f0a1adbf3e92e475c39b53f01f,GAS,METHANE,methane,447,454,In order to reduce methane emissions some actions for animal feed improvement and for methane capture from anaerobic fermentation of manure in order to be used as fuel.,1.0,explorer
CCLW.GST.333.333,362fb3cb768a67067a9eaddd5d08c1a9__3eb8e32556bbb7c88d34403f318ed3a7a03b22f0a1adbf3e92e475c39b53f01f,GAS,METHANE,methane,380,387,In order to reduce methane emissions some actions for animal feed improvement and for methane capture from anaerobic fermentation of manure in order to be used as fuel.,1.0,explorer
CCLW.GST.333.333,ec4817bc7669f38590a38493e2d0eddf__dc796886ed0d0d9253cbcaf34cb629e6eb177c419cce6cb6a581153504475936,GAS,METHANE,methane,264,271,"For methane emissions resulted from rice culture and from agriculture scrape burning on the field, it was adopted the hipotesis that these will remain constant over the forecast period.",1.0,explorer
CCLW.GST.333.333,ec4817bc7669f38590a38493e2d0eddf__dc796886ed0d0d9253cbcaf34cb629e6eb177c419cce6cb6a581153504475936,GAS,METHANE,methane,534,541,It is considered this hipotesis having in view their low participation within the total methane emissions (0.2% and 1.6% respectively).,1.0,explorer
CCLW.GST.333.333,302351f771faf66c88598333ec7dce47__fed551eda4812a677c2341ef02f60f6029d4b92c3d46622ef2fa70fb82c9641f,GAS,METHANE,methane,121,128,"The produced methane will be collected and it will be used locally, as fuel within the farms.",1.0,explorer
CCLW.GST.333.333,302351f771faf66c88598333ec7dce47__fed551eda4812a677c2341ef02f60f6029d4b92c3d46622ef2fa70fb82c9641f,GAS,METHANE,methane,4,11,"For methane emissions reduction from animal's manure, anaerobic fermentation of manure will be carried out.",1.0,explorer
CCLW.GST.333.333,2f3a02dfb361857a953c67564c99a5e0__3b2095bd2a8ffb463c31d8558f231aea721945e168f3e1fe85da2d403f692e75,GAS,METHANE,methane,143,150,"The sludge resulted will be used as organic fertilizers, or will be composted for the same purpose, through anaerobic method in order to avoid methane emissions into the atmosphere.",1.0,explorer
