document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,b3476e712618dc89af8eb43f46405ddf__634ee345e97284cc855e64dea8ddf6639ceb656136738247d59f13d058ba5cbf,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,220,231,"According to the IPCC, to achieve 1.5℃ by 2050, greenhouse gas emissions must peak by 2025 and reduce by 43% by 2030.2 This will require, among others, major transitions in the energy sector - a substantial reduction in fossil fuel use, widespread electrification, improved energy efficiency, and use of alternative fuels (such as hydrogen).",1.0,explorer,
UNFCCC.non-party.1859.0,fee6a877917ef981ffaee10ba2edd767__4445a98c662eedda336d2dab5960ff28ce023453e340f292663e312b287de598,COAL,COAL,coal,19,23,Rapid phase out of coal power and expansion of renewable power,1.0,explorer,
UNFCCC.non-party.1859.0,d16c893f23bc703c57f2a8c31e9ccdf3__2789ce883d762a7f4d37f516cc0f693eba2bcb9162c061df495efa6b3dba39de,OIL,OIL,Oil,34,37,:selected: Natural gas :selected: Oil,1.0,explorer,
UNFCCC.non-party.1859.0,d16c893f23bc703c57f2a8c31e9ccdf3__2789ce883d762a7f4d37f516cc0f693eba2bcb9162c061df495efa6b3dba39de,GAS,NATURAL_GAS,Natural gas,11,22,:selected: Natural gas :selected: Oil,1.0,explorer,
UNFCCC.non-party.1859.0,e938ef23a7aed53dfada84c0c27ee3f9__f50c954089d97b8127a83d294ff1890caad0aa35f28fe75b2fe5eaaf0d217498,COAL,COAL,Coal,13,17,:selected: Coal,1.0,explorer,
UNFCCC.non-party.1859.0,952e7f446ca4edac625549aec24b36a8__81efc4d96847740ba52afa9121d231c057d16f06083b63a880e52f0db6ed2fb9,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,29,40,"2. Private sector, including fossil fuel producers, large companies and consumers, and enablers;",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,1030,1042,A just transition for affected workers and communities will guarantee social justice which is crucial to enable the move away from fossil fuels.,1.0,explorer,
UNFCCC.non-party.1863.0,416a7da0c56ecba3aaccccf85a5898a6__d42befdc2a5f024488e35c68614734636c53fcf036a88f461f2c57faf298073b,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,130,141,"Parties should engage in a global, equitable, and socially just fossil fuel phase out before 2050, including an immediate stop on fossil fuel expansion and development, as well as phasing out all fossil fuels and environmentally harmful subsidies.",1.0,explorer,
UNFCCC.non-party.1863.0,416a7da0c56ecba3aaccccf85a5898a6__d42befdc2a5f024488e35c68614734636c53fcf036a88f461f2c57faf298073b,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,689,701,"Parties should also acknowledge the fact that natural gas is also a fossil fuel that we need to transition away from, and exclude all false solutions and related technologies such as Carbon Capture Storage, nuclear energy or solar radiation management, that prolong dependence on fossil fuels and come with high human rights risks.",1.0,explorer,
UNFCCC.non-party.1863.0,416a7da0c56ecba3aaccccf85a5898a6__d42befdc2a5f024488e35c68614734636c53fcf036a88f461f2c57faf298073b,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,477,488,"Parties should also acknowledge the fact that natural gas is also a fossil fuel that we need to transition away from, and exclude all false solutions and related technologies such as Carbon Capture Storage, nuclear energy or solar radiation management, that prolong dependence on fossil fuels and come with high human rights risks.",1.0,explorer,
