document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,85641ece124984ea4c795d1d5e2c99c9__2f289c25149bb85907815eec308d91f1ab7af2a5dcf972a5d828637f4f69a4cc,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,552,563,We oppose any provisions or outcomes that somehow discriminate or call for phase-out of any specific energy source or fossil fuel type.,1.0,explorer
UNFCCC.party.1782.0,0fede28538943a83c11430abec311155__56a4029ec1b1b7ff880ffbed6b6786cdb86e337fe58552e71aa0fff8d734dca0,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,406,418,"It is crucial that this alignment does not impede social and economic development benefits, for example, through phase-out or phase-down of critical fossil fuels.",1.0,explorer
UNFCCC.party.1782.0,545c4995fe3dc2388b44fa3d6d2c88b1__d24c077de949ddca379f57c8771d07f605c2bb47f5246e4043d11a5556fe75d6,GAS,NATURAL_GAS,natural gas,213,224,Emphasize the role of natural gas as an efficient transitional fuel.,1.0,explorer
UNFCCC.party.1782.0,545c4995fe3dc2388b44fa3d6d2c88b1__d24c077de949ddca379f57c8771d07f605c2bb47f5246e4043d11a5556fe75d6,GAS,NATURAL_GAS,natural gas,154,165,"- Consider a wide range of low-emission and transitional technologies and fuel types that contribute to GHG emissions reduction and/or removal, including natural gas, nuclear and hydropower.",1.0,explorer
UNFCCC.non-party.1797.0,255c506cfc91325965a15e6385a9320c__6656e89defa73673aa60140832480ac15325cd957c72509950b0e39e99c0d113,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,28,40,The commitment to phase out fossil fuels and subsidize is yet to be materialized with some of the countries moving in opposite directions.,1.0,explorer
UNFCCC.party.1771.0,c446769421f8caf19ad5137b7e3c52dd__798e095020bd92a19df04b33d6a4b163cfc4d75a8847c4c5bf11e07af814d0bb,OIL,OIL,oil,128,131,"- Benchmarks and case studies for the agriculture sector, trade and finance, manufacturing and energy-intensive industries, the oil and gas industries, and the tourism sector, and understand the impacts of mitigation policies on all sectors taking into account different national and regional contexts;",1.0,explorer
UNFCCC.non-party.1800.0,eefb88f8cc1e9cc73d76770a2a06d39d__4763d6e259000a76ddf9dfdd837117ae9bf3edd7fa0dff1e709d435deb98a774,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,625,636,"Moreover, fossil fuel projects directly contribute to human rights violations often leading to land seizures, with higher negative impacts on women and girls in all their diversity, forced evictions, adverse human health effects, including the adverse effects on women's reproductive health, extensive air, land and water contamination, and biodiversity destruction.",1.0,explorer
UNFCCC.non-party.1800.0,eefb88f8cc1e9cc73d76770a2a06d39d__4763d6e259000a76ddf9dfdd837117ae9bf3edd7fa0dff1e709d435deb98a774,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,217,229,· The failure to take ambitious climate action in line with human rights obligations resulting in significant and extensive human rights harms from both the impacts of the climate crisis and the continued reliance on fossil fuels.,1.0,explorer
UNFCCC.non-party.1800.0,af43c97c5f4d5301225d89738e8849eb__d770a22b9f43d6e7f4d6ba29307f0c0a0706f312299e6122c3f7723466dab855,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,314,326,"agriculture sectors, including a full and equitable phase-out of all fossil fuels in line with the objective to keep warming to below 1.5℃ and fulfilling Parties' human rights obligations, and excluding any reference that opens the door for dangerous technologies that directly or indirectly prolong dependence on fossil fuels, are unproven, bet on overshoot, rely on offsets, or come with high human rights or environmental risks.",1.0,explorer
UNFCCC.non-party.1800.0,af43c97c5f4d5301225d89738e8849eb__d770a22b9f43d6e7f4d6ba29307f0c0a0706f312299e6122c3f7723466dab855,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,69,81,"agriculture sectors, including a full and equitable phase-out of all fossil fuels in line with the objective to keep warming to below 1.5℃ and fulfilling Parties' human rights obligations, and excluding any reference that opens the door for dangerous technologies that directly or indirectly prolong dependence on fossil fuels, are unproven, bet on overshoot, rely on offsets, or come with high human rights or environmental risks.",1.0,explorer
UNFCCC.non-party.1800.0,acc52f07b7356d2e91cac9191ca56936__8bcb0908d6d0973c72ce193f57ca76d6496eef512f5cc4998e5f75d751bce7fe,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,202,213,"Stressing that the IPCC warns that exceeding 1.5℃ warming (overshoot) has dangerous and irreversible consequences, even if temperatures are eventually brought back below that level, and that a rapid fossil fuel phaseout and rollout of renewable energies alongside energy efficiency and demand-side measures remain the clearest and most certain path to avoid overshoot.",1.0,explorer
UNFCCC.non-party.1800.0,7b293515f42bb12cc6d2381a61c306e5__ff52496cf705416320209a40be4da6b8150f07dc3db7692c478c3cf827b3201d,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,313,325,"Stressing that reliance on ineffective, dangerous or unproven geoengineering technologies, such as carbon capture and storage (CCS) and other large-scale carbon dioxide removals (CDR) mechanisms, and solar radiation management (SDR), should be avoided to avoid directly or indirectly prolonging dependence on fossil fuels, as these are unproven, or ineffective, rely on offsets, or come with high human rights and environmental risks which means their deployment would breach international human rights and environmental law3.",1.0,explorer
UNFCCC.non-party.1800.0,ae725854e8b6a316049c819352bd1528__e1659a82780106c569c64eb31546f1d1cadb30557d174bbdd5c01f232095a573,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,106,118,"Urging all Parties to commit to a full, rapid and equitable phaseout of the production and use of all fossil fuels in line with the best available science, the objective to keep warming to below 1.5℃, and Parties' human rights obligations.",1.0,explorer
UNFCCC.non-party.1800.0,c15946206293f24bd020ab4c1ef393be__33a56bb1d4db48168cf343820d334b55fa61ddb265ff9142ac4818db6eb6f54f,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,72,84,"· A full, rapid and equitable phaseout of the production and use of all fossil fuels in line with the best available science, the objectives being to keep warming to below 1.5℃, and fulfill Parties' human rights obligations.",1.0,explorer
UNFCCC.non-party.280.0,50bcb8e528db1074cef40f42e6a54199__1510fb83542c1aff7bb5f955bad6a93e3f738ed4b74ce34354d5a0db2976e743,GAS,METHANE,methane,436,443,"Chapter 5 addresses the assessment of the global biogeochemical budgets for carbon dioxide, methane, and nitrous",1.0,explorer
UNFCCC.non-party.280.0,911ed47010e9e0602f325f7f3d026750__437684c102a10c366d73407fbf5fd45318bfdf3e1ba7d694c44e0b555528ea45,GAS,METHANE,methane,358,365,"Since 2011 (measurements reported in AR5), concentrations have continued to increase in the atmosphere, reaching annual averages of 410 parts per million (ppm) for carbon dioxide (CO2), 1866 parts per billion (ppb) for methane (CH4), and 332 ppb for nitrous oxide (N2O) in 2019.6 Land and ocean have taken up a near-constant proportion (globally about 56% per year) of CO2 emissions from human activities over the past six decades, with regional differences (high confidence).7 {2.2, 5.2, 7.3, TS.2.2, Box TS.5}",1.0,explorer
UNFCCC.non-party.280.0,4e14f71c5702f5f71ad7de50587e2409__933aecc973c3e07db6663efecb021b83a4d50dcfb5143fca589b47b192a6ce75,GAS,METHANE,Methane,0,7,Methane,1.0,explorer
UNFCCC.non-party.280.0,addcaaf68c14296337010c4fc512555d__35c6e09b28efdcb3780c0569fa2dd5fbb07c18e78be31e29a274cd284214b205,GAS,METHANE,methane,902,909,"Emissions vary between scenarios depending on socio-economic assumptions, levels of climate change mitigation and, for aerosols and non-methane ozone precursors, air pollution controls.",1.0,explorer
UNFCCC.non-party.280.0,0ce402f28b0c84b4c97cb599532224ab__0b48311050607242039bdcea1d6da555ace5b0b41847bbaa5d7f0e5c319cbb81,GAS,METHANE,Methane,38,45,Selected contributors to non-CO2 GHGs Methane (MtCH4/yr),1.0,explorer
UNFCCC.non-party.280.0,2af1f62e9b5cc77022e74038d91aebad__0e03c1e7d2595c5b67697aac5847ef1de04e45bc1dbeed4056efc59f4e7254ff,GAS,METHANE,methane,257,264,"Shown are emissions trajectories for carbon dioxide (CO2) from all sectors (GtCO2/yr) (left graph) and for a subset of three key non-CO2 drivers considered in the scenarios: methane (CH4, MtCH4/yr, top-right graph); nitrous oxide (N20, MtN20/yr, middle-right graph); and sulphur dioxide (SO2, MtSO2/yr, bottom-right graph, contributing to anthropogenic aerosols in panel (b).",1.0,explorer
UNFCCC.non-party.280.0,02600659883cb8ed711b879b2cc299ad__84077271564867d24bb7eb554923a2cf56309e8318f93e7b60948c0d23274dd0,GAS,METHANE,methane,369,376,"It is unequivocal that the increase of CO2, methane (CH4) and nitrous oxide (N2O) in the atmosphere over the industrial era is the result of human activities and that human influence is the main driver10 of many changes observed across the atmosphere, ocean, cryosphere and biosphere.",1.0,explorer
UNFCCC.non-party.280.0,53c8856b9b1aad860d3531798f25d471__825a312908f9f161ce42f12fbedf11d60b46503a013c17a7a9693c398a099465,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,245,257,The AR6 reports a faster growth over 2014-2019 and assesses growth since 2007 to be largely driven by emissions from the fossil fuels and agriculture (dominated by livestock) sectors.,1.0,explorer
UNFCCC.non-party.280.0,53c8856b9b1aad860d3531798f25d471__825a312908f9f161ce42f12fbedf11d60b46503a013c17a7a9693c398a099465,GAS,METHANE,methane,31,38,· Atmospheric concentration of methane: The SRCCL reported a resumption of atmospheric CH4 concentration growth since 2007.,1.0,explorer
UNFCCC.non-party.280.0,32e9f501720e714259a6ce379223ea2c__59639985447595baf1f8ffa2031fad3abd18488874eb50ce0be9936084c95843,COAL,COAL,coal,322,326,"They also hypothesized the potential for anthropogenic climate change due to CO2 emitted by combustion of fossil fuels (petroleum, coal, natural gas).",1.0,explorer
UNFCCC.non-party.280.0,32e9f501720e714259a6ce379223ea2c__59639985447595baf1f8ffa2031fad3abd18488874eb50ce0be9936084c95843,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuels,297,309,"They also hypothesized the potential for anthropogenic climate change due to CO2 emitted by combustion of fossil fuels (petroleum, coal, natural gas).",1.0,explorer
UNFCCC.non-party.280.0,32e9f501720e714259a6ce379223ea2c__59639985447595baf1f8ffa2031fad3abd18488874eb50ce0be9936084c95843,GAS,NATURAL_GAS,natural gas,328,339,"They also hypothesized the potential for anthropogenic climate change due to CO2 emitted by combustion of fossil fuels (petroleum, coal, natural gas).",1.0,explorer
UNFCCC.non-party.280.0,ca05f03ecd1bdc9bbfc85a011677213f__3bd46ee00728f7ddb4f3d83445d352b3d74caa02d1651a57cc3911077059dc04,GAS,METHANE,methane,601,608,"Shown is the core set of five Shared Socio-economic Pathway (SSP) scenarios as well as emissions and concentration ranges for the previous Representative Concentration Pathway (RCP) scenarios in year 2100; carbon dioxide (CO2) emissions (GtCO2 yr-1), panel top left; methane (CH4) emissions (middle) and sulphur dioxide (SO2), nitrogen oxide (NOx) emissions (all in Mt yr-1), top right; concentrations of atmospheric CO2 (ppm) and CH4 (ppb), second row left and right; effective radiative forcing for both anthropogenic and natural forcings (W m-2), third row; changes in global surface air temperature (°C) relative to 1850-1900, fourth row; maps of projected temperature change (°C) (left) and changes in annual-mean precipitation (%) (right) at a global warming level (GWL) of 2°℃ relative to 1850-1900 (see also Figure TS.5), bottom row.",1.0,explorer
UNFCCC.non-party.280.0,8cb3bda4bc9b07962a0d419d6b808903__8f96bc34aa4b012f4a4851032cf9f115a6294e2cca07cd15e61c10520b4ac091,GAS,METHANE,methane,418,425,"SSP1 and SSP5 assume strong pollution control, projecting a decline of global emissions of ozone precursors (except methane; CH4) and of aerosols and most of their precursors in the mid- to long term.",1.0,explorer
UNFCCC.non-party.280.0,8cb3bda4bc9b07962a0d419d6b808903__8f96bc34aa4b012f4a4851032cf9f115a6294e2cca07cd15e61c10520b4ac091,GAS,METHANE,Methane,883,890,"Methane emissions in SSP-based scenarios vary with the overall climate change mitigation stringency, declining rapidly in SSP1-1.9 and SSP1-2.6 but declining only after 2070 in SSP5-8.5.",1.0,explorer
UNFCCC.non-party.280.0,0dd46050e105e26e396e3d01388ba44d__896b5e103fe77387d858fc7a8aa881136c8429e472df429323e7d3b7620824ef,GAS,METHANE,methane,338,345,"Concentrations of CO2, methane (CH4), and nitrous oxide (N2O) have increased to levels unprecedented in at least 800,000 years, and there is high confidence that current CO2 concentrations have not been experienced for at least 2 million years.",1.0,explorer
UNFCCC.non-party.280.0,67101737d77b86814daa3818e2670609__99d754fb9a48a6f5b36a5d0783cdab04a34e22e9250e74d7a9815a9ca36ff8f6,GAS,METHANE,Methane,21,28,Carbon dioxide (CO2) Methane (CH4) Nitrous oxide (N2O) Ozone (O3),1.0,explorer
