document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,d192d350b6eace21e325ecf9b0f1ebd1__2d5f5a8dc4bbee0af82aee1c86024b91773b21af1c30f383f24e4f89171d347b,GAS,METHANE,methane,0,7,methane,1.0,explorer
UNFCCC.non-party.1750.0,384d82720222a45dfab5753fc870c92f__d4fa1b28fa3544421258c6795aabf1c06aeb599c1dd00378f8a484bef8823df6,GAS,METHANE,methane,4,11,non-methane volatile organic compound,1.0,explorer
UNFCCC.non-party.1750.0,b2ea5f14a1405242f7ec7bc895261e0d__11d37c3ebf5a0b2727d795e99125fc40c716ed1896dec495d06be182a0c4a3bc,OIL,GASOLINE,gasoline,2335,2343,"3, table 3.6.5); and instead of using 56 kg CH4/TJ and 68 kg CH4/TJ as the CH4 EFs for motor gasoline for agriculture off-road and forestry off-road (NIR table 3-11), the values used",1.0,explorer
UNFCCC.non-party.1750.0,b3b8413a6c8e1ffa7ff0db6107eea775__33d9f204feec007d95d86bc7bbbd946358306b4d7919d57ee92ae7cc50a4be82,GAS,NATURAL_GAS,natural gas,376,387,"(fuel combustion activities) and crude oil and natural gas production for category 1.B (fugitive emissions from fuels), are included in the energy balance table developed by APERC based on data provided by Papua New Guinea.5",1.0,explorer
UNFCCC.non-party.1750.0,b3b8413a6c8e1ffa7ff0db6107eea775__33d9f204feec007d95d86bc7bbbd946358306b4d7919d57ee92ae7cc50a4be82,OIL,OIL,oil,368,371,"(fuel combustion activities) and crude oil and natural gas production for category 1.B (fugitive emissions from fuels), are included in the energy balance table developed by APERC based on data provided by Papua New Guinea.5",1.0,explorer
UNFCCC.non-party.1750.0,ab0f54596eebea595f4c24ebb937059d__7b68a9c4ae86fdf7e04eb6f79e265f2e0794b0e6c0b3f9f17c11fe055c820ee6,OIL,OIL,oil,437,440,"While NIR table 3-8 shows the correspondence between the IPCC CRF categories and the sectors of the APERC energy balance table used as AD, NIR table 3-8 shows that APERC energy balance table sectors 9.4 (refineries), 9.6 (petrochemical industry) and 10.1.14 (oil refineries) correspond to subcategory 1.A.1.b (petroleum refining) of the CRF.",1.0,explorer
UNFCCC.non-party.1750.0,1078cc1118cdc43937e860a4a80008f8__d88b04fe34ef4ab4ae3606aa0339f89797e92eced6aa9dc3775662a7ea57dd5d,OIL,OIL,oil,814,817,"Therefore, the energy consumed by oil refineries and the GHG emissions for 2017 should both be zero, and the relevant modification will be made in future GHG inventories.",1.0,explorer
UNFCCC.non-party.1750.0,1078cc1118cdc43937e860a4a80008f8__d88b04fe34ef4ab4ae3606aa0339f89797e92eced6aa9dc3775662a7ea57dd5d,OIL,OIL,oil,97,100,"balance table for 2017, energy consumption for sectors 9.6 (petrochemical industry) and 10.1.14 (oil refineries) are zero, and the energy accounted under sector 9.4 (refineries) is energy transformed rather than combusted.",1.0,explorer
UNFCCC.non-party.1750.0,1078cc1118cdc43937e860a4a80008f8__d88b04fe34ef4ab4ae3606aa0339f89797e92eced6aa9dc3775662a7ea57dd5d,OIL,OIL,oil,729,732,The energy consumed by oil refineries should only be that calculated for sector 10.1.14 (oil refineries) of the APERC energy balance table.,1.0,explorer
UNFCCC.non-party.1750.0,1078cc1118cdc43937e860a4a80008f8__d88b04fe34ef4ab4ae3606aa0339f89797e92eced6aa9dc3775662a7ea57dd5d,OIL,OIL,oil,663,666,The energy consumed by oil refineries should only be that calculated for sector 10.1.14 (oil refineries) of the APERC energy balance table.,1.0,explorer
UNFCCC.non-party.1750.0,a04d79d7fdc1de2aa18a2affa93076ad__8f0b6a7e6afaaf24ef4bfca04fbcb6112919b99597c91c9ec52a7e5c12e1178a,FOSSIL_FUEL,FLARING,flaring,615,622,"(manufacturing industries and construction), at 34.96 per cent of total national emissions, and for subcategory 1.A.3.b (road transportation), at 14.11 per cent of total national emissions, and CH4 emissions for subcategory 1.B.2.a.ii (oil production – flaring), at 7.95 per cent of total national emissions.",1.0,explorer
UNFCCC.non-party.1750.0,a04d79d7fdc1de2aa18a2affa93076ad__8f0b6a7e6afaaf24ef4bfca04fbcb6112919b99597c91c9ec52a7e5c12e1178a,OIL,OIL,oil,598,601,"(manufacturing industries and construction), at 34.96 per cent of total national emissions, and for subcategory 1.A.3.b (road transportation), at 14.11 per cent of total national emissions, and CH4 emissions for subcategory 1.B.2.a.ii (oil production – flaring), at 7.95 per cent of total national emissions.",1.0,explorer
UNFCCC.non-party.1750.0,d8ad094f21e7d030fea54c80595afc17__aac9b94f3336f3ca00376e8b6c37a0113ec9e8b9e60be28cc66edbdd24d55183,OIL,OIL,oil,128,131,"In BUR tables 2-5 and 2-6, and NIR tables 1-3 and 1-4 for key category analysis, the information on subcategory 1.B.2.a.ii (oil production – flaring) is duplicated.",1.0,explorer
UNFCCC.non-party.1750.0,d8ad094f21e7d030fea54c80595afc17__aac9b94f3336f3ca00376e8b6c37a0113ec9e8b9e60be28cc66edbdd24d55183,FOSSIL_FUEL,FLARING,flaring,145,152,"In BUR tables 2-5 and 2-6, and NIR tables 1-3 and 1-4 for key category analysis, the information on subcategory 1.B.2.a.ii (oil production – flaring) is duplicated.",1.0,explorer
UNFCCC.non-party.1750.0,b169c4e8f0a3b91e85bca6da83f898d3__ec2f7275bba7b14aa48d5aeaae789c4aa45839982a76e0c70604ef877a9eac22,OIL,OIL,oil,749,752,The Party also reported that the differences are due to a statistical discrepancy in crude oil data.,1.0,explorer
UNFCCC.non-party.1750.0,1aed213fe01ba7b93cbce1dde64766c7__c44026d96de1b46b148acac595f389f5f763c6668b0dd045b56822f7333f4e87,OIL,OIL,oil,166,169,All seven mitigation actions in the waste sector (BUR table 3-3) are implemented under the CDM and are related to CH4 capture and utilization in the Party’s palm oil mills.,1.0,explorer
UNFCCC.non-party.1750.0,119260a5e9112f0c4abbad07bce1831c__2790978afeaf634b7255705185492c2f4f37f19705b68052f353eb21cdc583cc,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,474,485,The technology needs for the energy sector as identified in the Enhanced NDC Implementation Plan (2021–2030) and the NDC Implementation Roadmap for the electricity sector include the development of solar power systems and a mini-hydropower system that will displace the fossil fuel-based generators that supply electricity to the grid.,1.0,explorer
UNFCCC.non-party.1750.0,2ca3c290686212aed48fdd17da4a1447__ba377025350f92a3c329d672ed1747a13780c0c72457f901570a51e98c6e9e69,OIL,OIL,oil,401,404,"Actions include changing the way commercial agriculture, in particular oil palm cultivation, is developed, improvements in the sustainability of timber supply and coordinated land-use planning.",1.0,explorer
UNFCCC.non-party.1750.0,8e53a9ac61814ee81fe8a8b424246d67__eb04c2a479e845589d44190dabd77a9e8d326cb4c9acd90268254270b309f5ee,FOSSIL_FUEL,FOSSIL_FUEL,fossil fuel,169,180,"(v) Formulate mitigation measures and assess the GHG effects of nature-based solutions, in particular reduced emissions and enhanced removals from the forest sector for fossil fuel offsetting from the energy industries subsector;",1.0,explorer
UNFCCC.non-party.1750.0,28f48e2b5cbfc9d92ba3a2bf13796a85__f481a6418e78b975adf9f8fbd2f679a3e19878abb840c722c591720baa5f8c5c,OIL,OIL,oil,41,44,"Only NMVOC emissions for category 1.B.2 (oil and natural gas, and other) emissions from energy production were reported.",1.0,explorer
UNFCCC.non-party.1750.0,28f48e2b5cbfc9d92ba3a2bf13796a85__f481a6418e78b975adf9f8fbd2f679a3e19878abb840c722c591720baa5f8c5c,GAS,NATURAL_GAS,natural gas,49,60,"Only NMVOC emissions for category 1.B.2 (oil and natural gas, and other) emissions from energy production were reported.",1.0,explorer
UNFCCC.party.1761.0,a0865e4cb2f30667aea3293201265024__93ffbeabd86fc6c85edb05ba4ba6918532c62f8831c8754565f7585c42bf4993,OIL,DIESEL,diesel,171,177,"Within the electricity sector, the BAU emissions pathway includes the development of the Tina River Hydropower Project (15 MW operating from 2028), a range of rural solar-diesel projects are under development or to be installed, and no change to existing efficiencies of generation, transmission, and distribution will be experienced.",1.0,explorer
UNFCCC.party.1761.0,f5ae9c53a181e41283ee4a2375eda2ba__d9f1a3a0b721f3acbdfbb0fe050a58a912d6620c275f6b0aeef10267e21151fd,OIL,OIL,Oil,97,100,"Residual Fuel Oil, also known as Heavy Fuel Oil (HFO), is excluded from the pathway to 2050 as historical consumption is sporadic and there is no known ongoing use.",1.0,explorer
UNFCCC.party.1761.0,f5ae9c53a181e41283ee4a2375eda2ba__d9f1a3a0b721f3acbdfbb0fe050a58a912d6620c275f6b0aeef10267e21151fd,OIL,OIL,Oil,127,130,"Residual Fuel Oil, also known as Heavy Fuel Oil (HFO), is excluded from the pathway to 2050 as historical consumption is sporadic and there is no known ongoing use.",1.0,explorer
UNFCCC.party.1761.0,6fc795a056016eb1191a79f75069dd4d__0a3408c47c3796fc4274025c02f2f06ff02947f2b2267b890f2339c005ef1c35,OIL,DIESEL,Diesel,0,6,Diesel,1.0,explorer
