document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,1f41978e3ee1b54ff2a94a05198e13a4__f19ea6483674989de8188b6de347659e6a4fe754eb0fddb779f226bca7c8923f,OPPORTUNITY,OPPORTUNITY,opportunities,258,271,"The conclusion of the first Global Stocktake at COP28 represents a pivotal point to assess the status quo and identify the gaps and opportunities for implementation of the Paris Agreement across mitigation, adaptation, and means of implementation.",1.0,explorer,
UNFCCC.non-party.1859.0,1f41978e3ee1b54ff2a94a05198e13a4__f19ea6483674989de8188b6de347659e6a4fe754eb0fddb779f226bca7c8923f,OPPORTUNITY,OPPORTUNITY,opportunity,556,567,IRENA is thankful for this opportunity to provide views on the approach to the consideration of outputs component of the first Global Stocktake.,1.0,explorer,
UNFCCC.non-party.1859.0,b3476e712618dc89af8eb43f46405ddf__634ee345e97284cc855e64dea8ddf6639ceb656136738247d59f13d058ba5cbf,OPPORTUNITY,SOLUTION,solutions,439,448,"If properly managed, these transitions can put forward solutions to key policy priorities such as job creation, industrial development, energy security and universal access, among others.",1.0,explorer,
UNFCCC.non-party.1859.0,381c31125b0af9ca3c75813b77709d6a__caacb7473983067b8ade67598596b11123dada1e60c375683147da506b39506f,OPPORTUNITY,SOLUTION,solutions,49,58,"Solar thermal, geothermal and district heating solutions to be scaled up to 60 EJ, 1.3 times the 2019 levels.",1.0,explorer,
UNFCCC.non-party.1855.0,520bfc36436e657cfe7ffa1dd87ac1a1__7fae31c4d5da43c543210acfebf50d9351eee830f675ab4d8296be7bebbb887d,OPPORTUNITY,OPPORTUNITY,opportunity,64,75,The Local Climate Adaptive Living (LOCAL) Facility welcomes the opportunity to provide its views in line with paragraph 8 of FCCC/SB/2022 on the possible approach to considering the outputs component of the first Global Stocktake (GST).,1.0,explorer,
UNFCCC.non-party.1855.0,473d0c2f0665d762a764a57e7ed275a3__9710e07a35d8adfc5e78d30b7ec15c238a7958ed4d58c972c258754bf21dc932,OPPORTUNITY,OPPORTUNITY,opportunities,275,288,The decision also provides that the components of the outputs of the GST should identify opportunities and challenges for enhancing action and support in relation to thematic areas and recommendations for strengthening action and support.,1.0,explorer,
UNFCCC.non-party.1855.0,2b66876ae404b1a6fea25a94328932e2__5ee738b0056501cfd22311b0c397706517a7ae7632cac6293f8c058bf7997467,GOOD_PRACTICE,BEST_PRACTICE,best practices,229,243,Such existing opportunities and best practices for enhancing action and support can inform the possible technical annex outcome component of the GST.,1.0,explorer,
UNFCCC.non-party.1855.0,2b66876ae404b1a6fea25a94328932e2__5ee738b0056501cfd22311b0c397706517a7ae7632cac6293f8c058bf7997467,OPPORTUNITY,OPPORTUNITY,opportunities,211,224,Such existing opportunities and best practices for enhancing action and support can inform the possible technical annex outcome component of the GST.,1.0,explorer,
UNFCCC.non-party.1855.0,2b66876ae404b1a6fea25a94328932e2__5ee738b0056501cfd22311b0c397706517a7ae7632cac6293f8c058bf7997467,OPPORTUNITY,OPPORTUNITY,opportunities,113,126,"The LOCAL's Facility shares its inputs in accordance with decision 19/CMA.1, paragraph 34 (a), to share possible opportunities for addressing these challenges based on LoCAL countries' experience.",1.0,explorer,
UNFCCC.non-party.1855.0,c2910327affa86933760ff0bcd65237d__513a7a9877f3fffa3f16fc9dc9f28dafae506bd616b273c452e8c28e701bf26a,OPPORTUNITY,OPPORTUNITY,opportunities,21,34,· LOCAL's inputs for opportunities and challenges for enhancing action and support,1.0,explorer,
UNFCCC.non-party.1855.0,4b69942ebfaadacaa9823b60521f3110__b6af46ba1ebd3aa7c3774c19f71b185a7c321df11cbcdd029161853d9b2e250a,OPPORTUNITY,OPPORTUNITY,Opportunities,3,16,a. Opportunities: climate-risk informed local adaptation planning,1.0,explorer,
UNFCCC.non-party.1855.0,bc7b7092a47ed38d44286e5e2a5c43d6__76aec6968402d3d54b2852801e6fb8cf46b688610a5e3af3673dd10bc0744b0f,GOOD_PRACTICE,GOOD_PRACTICE,good practices,369,383,"The 53th SBI session further approved the report of the stocktaking meeting of the Least Developed Countries Expert Group which includes the work with LOCAL as ""financing mechanism for subnational and local climate action based on performance-based climate-resilient grant systems and for integrating adaptation into subnational development plans"" among experience, good practices and lessons learned in relation to support provided by organizations to the least developed countries.",1.0,explorer,
UNFCCC.non-party.1855.0,47a3547effcfc2dcbab0afccabdebbf0__d8390d9335636ce53cbf9e0dd01915c16181e4fe12463df4b8e304b0c5d9bad1,GOOD_PRACTICE,BEST_PRACTICE,best practices,308,322,"With over 10 years of experience, LoCAL shares the following as possible key political recommendations to inform Parties' subsequent NDCs, and its best practices.",1.0,explorer,
UNFCCC.non-party.1855.0,080ee39f6cb1a3fc3d93839e61b80fc2__ab0364ae6d307eac0790860980bf6b05d383a4a65767af239bfe4dbcf6783d06,OPPORTUNITY,OPPORTUNITY,opportunity,41,52,"Finally, the LOCAL Facility welcomes the opportunity to provide additional views and detailed information on the implementation of LOCAL in the upcoming consultation to be held in April 2023, during the June's Subsidiary Bodies session (SBs) and the workshop in October 2023.",1.0,explorer,
UNFCCC.non-party.1863.0,e41eea06cfc682fde6963259040b7087__2e26e806b88109f2771caa8d21fa6aad82fd825656182b35bb846571c583ad24,SUCCESS,SUCCESS,success,18,25,The success of the GST outcome will be deeply linked with its level of participation and inclusivity.,1.0,explorer,
UNFCCC.non-party.1863.0,167ec3caa2e5c099b87a9a4424f68020__5f6d89412ba69425092bbed2af15e40e9c9cd00e7497a01f272fe72693015586,OPPORTUNITY,OPPORTUNITY,opportunities,401,414,"While these may be held at splashy international gatherings - e.g. UNGA, G7/G20, MEF, APEC, World Bank/IMF, Regional Climate Weeks - the activities must not be centered on grand announcements or photo opportunities.",1.0,explorer,
UNFCCC.non-party.1863.0,416a7da0c56ecba3aaccccf85a5898a6__d42befdc2a5f024488e35c68614734636c53fcf036a88f461f2c57faf298073b,OPPORTUNITY,SOLUTION,solutions,549,558,"Parties should also acknowledge the fact that natural gas is also a fossil fuel that we need to transition away from, and exclude all false solutions and related technologies such as Carbon Capture Storage, nuclear energy or solar radiation management, that prolong dependence on fossil fuels and come with high human rights risks.",1.0,explorer,
UNFCCC.party.1852.0,ee5587416369d70f0e4535ab287f27ca__7ca14bab55b40c85895cf95da72a5b97aa41a30bd4076d5e8ae3ad40e9b2ae47,OPPORTUNITY,OPPORTUNITY,opportunity,26,37,"South Africa welcomes the opportunity to submit its views, pursuant to paragraph 8 of SB/2022/L.8, on the possible approach to the consideration of the outputs component of the first Global Stocktake (GST).",1.0,explorer,
UNFCCC.party.1852.0,d36c6d0bb7944d43eaf11b4ce2fd7cc8__f9d13be1305fcf2de53c2894b1072ab672b71463683bb3f306d482d2ea16f91d,SUCCESS,SUCCESS,success,313,320,"At the same time, our measure of success for this, the very first cycle of the GST, must be realistic and achievable.",1.0,explorer,
UNFCCC.party.1852.0,d36c6d0bb7944d43eaf11b4ce2fd7cc8__f9d13be1305fcf2de53c2894b1072ab672b71463683bb3f306d482d2ea16f91d,SUCCESS,SUCCESSFUL,successful,90,100,South Africa regards the Global Stocktake (GST) as a critically important process for the successful implementation of Paris Agreement.,1.0,explorer,
UNFCCC.party.1852.0,4c0c42fae8ae74dc2d2f870535037b86__2270095d67f39cac4f6af0828b1ab8851574c3064ba6c7c05beace2eb87bfa3e,SUCCESS,SUCCESSFUL,successful,22,32,"The first GST will be successful if it facilitates, through its non-punitive and non-prescriptive assessments of collective efforts, enhanced implementation of both action and support.",1.0,explorer,
