document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,fa0a7a563f6701dd4aa01d4c645f8b4a__52e0278fca7c9c58e6037a9216794780d0d8c54f343d624c4b05e8e29d2aef46,SUCCESS,SUCCESS,success,120,127,"In parallel, public and private leaders should fast-forward practical action on CDR together - very similar to the success story I experienced in relation to renewables.",1.0,explorer
UNFCCC.non-party.1740.0,bc635bd44cdd6bc4d651866c12671a0a__466a48cef8b925439c95fe0ae6c4adf55502f46d93852c23363f07a7ebefc569,GOOD_PRACTICE,GOLD_STANDARD,gold standard,189,202,"Despite storage for millennia being the gold standard, there are practical barriers to assuring projects for this long.",1.0,explorer
UNFCCC.non-party.1740.0,160c80e504e722dfd6176d8acf1cc6a1__f604f13f53bafede85d0c637699001ed9e695c4395626c8f572406cf90290910,OPPORTUNITY,SOLUTION,solutions,442,451,"This categorisation is contested, however, and blurred (a third ""hybrid"" category is frequently employed to cover methods in between)²¹. Methods which protect, restore or manage ecosystems while delivering other benefits are termed ""nature-based solutions"" by some"", while methods which involve a variety of biomass uses coupled to durable storage have been called ""biomass carbon removal and storage (BICRS)*",1.0,explorer
UNFCCC.non-party.1740.0,c1c9c8f35d649e35458c91564531daa1__dbf1e79217fe97a3976bf1e48d8f272df522e53b5286f7a21f63d66535ad6918,OPPORTUNITY,SOLUTION,solution,216,224,Wood buildings as a climate solution.,1.0,explorer
UNFCCC.non-party.1740.0,f32d0dc813356d26a2332dfcde091db6__3b443167cb2abf56c05d2730c6d1a20ff7e28a7986613a88afe06300c698fe3a,OPPORTUNITY,PROMISING,promising,770,779,"In Phase Two, an additional £58 million ($65 million) will be awarded to pilot the 15 most promising designs (ending March 2025)"".",1.0,explorer
UNFCCC.non-party.1740.0,4f3abb0c2594fb7c0599cb30bdad9b45__c800015291919274fbda5078e7b9c5e346d646567272195036686c98c8d0c116,CASE_STUDY,CASE_STUDY,case studies,5,17,"Four case studies (European Union, United Kingdom, United States and Brazil) show tangible progress and policymaking dedicated to CDR.",1.0,explorer
UNFCCC.non-party.1740.0,7c2857b206b444da47529a5ba9cbc250__ea856559dc8e1b6ea0164f48827cb538bb2e388ea86c51963dbbfd9833efd67e,CASE_STUDY,CASE_STUDY,case studies,88,100,• Understanding the conditions that influence upscaling of CDR will continue to require case studies that take into account countries' respective political contexts.,1.0,explorer
UNFCCC.non-party.1740.0,c02e7dd5227e92c4e167b1c7a009322f__be38f0082e62e5dadb7b499f474b9ca998378f8b97e613264d08a502e62be6c0,CASE_STUDY,CASE_STUDY,case studies,466,478,"This exists in various forms, such as setting explicit targets; modelling scale-up of CDR in national mitigation pathways; increasing Research, Development and Demonstration funding for CDR (see Chapter 3 - Innovation); or implementing CDR-specific incentives and policies ¹56, 157 Comparative case studies have identified different types of CDR policymaking ¹57.",1.0,explorer
UNFCCC.non-party.1740.0,c02e7dd5227e92c4e167b1c7a009322f__be38f0082e62e5dadb7b499f474b9ca998378f8b97e613264d08a502e62be6c0,CASE_STUDY,CASE_STUDY,case studies,611,623,"Here, we provide snapshots of CDR policy in practice via four illustrative case studies.",1.0,explorer
UNFCCC.non-party.1740.0,c02e7dd5227e92c4e167b1c7a009322f__be38f0082e62e5dadb7b499f474b9ca998378f8b97e613264d08a502e62be6c0,CASE_STUDY,CASE_STUDY,case studies,1126,1138,"While all four have recently enhanced dedicated CDR regulation, these case studies reveal important similarities and considerable differences in the way CDR is regulated, which are not apparent in the reporting practices under the UNFCCC.",1.0,explorer
UNFCCC.non-party.1740.0,3d0a1569e70763ea27c5045e34004cde__865ba4935547df3d41e7629fdd1bde99c2f3742709cacedb65d084181bc17f31,CASE_STUDY,CASE_STUDY,case studies,11,23,Summary of case studies,1.0,explorer
UNFCCC.non-party.1740.0,d260c3b03c48bf86998c465cfefd9969__72a4b0c89dc1b7d93ae7ad9f6b9cadbeab588303664322b94291e0e82e2c8730,OPPORTUNITY,PROMISING,promising,314,323,"• Brazil illustrates a development that is relevant in all four cases but is particularly visible here: CDR policy is shaped by aspects that go beyond climate policy, and a multiplicity of possible justifications for CDR policy exist (e.g. managing interests of important economic sectors like agriculture through promising additional revenue streams).",1.0,explorer
UNFCCC.non-party.1740.0,08d78860d13173465b14ad5f12d5f3d7__d76e10bf17a8f7f1ff3c9196f81942f3157391da3f8542078391633e82e09ea6,CASE_STUDY,CASE_STUDY,case study,14,24,• None of the case study countries gives any indication of planning for achieving net-negative emissions.,1.0,explorer
UNFCCC.non-party.1740.0,1e6a7ba32569668092d196b49a4748cf__1657d6b4784a9201a0e2e3420289c95c6f91c1e54845f125435f9e590b547584,CASE_STUDY,CASE_STUDY,case studies,82,94,Policy approaches and integration patterns also vary from method to method in the case studies.,1.0,explorer
UNFCCC.non-party.1740.0,26366d9082e8af85822a715bccd7da75__543922e41fe5a23176cfaffe0834ead6ee41beae25184d496effced1b14caf33,CASE_STUDY,CASE_STUDY,case studies,20,32,"Looking closer into case studies and identifying commonalities and differences in governance and policymaking practices will continue to be crucial to understanding the various enabling and constraining conditions that influence upscaling of CDR, including shared physical infrastructure (e.g. for CO₂ transport and storage).",1.0,explorer
UNFCCC.non-party.1740.0,26366d9082e8af85822a715bccd7da75__543922e41fe5a23176cfaffe0834ead6ee41beae25184d496effced1b14caf33,CASE_STUDY,CASE_STUDY,case studies,764,776,Capturing realworld dynamics will therefore continue to require case studies that take into account the respective political contexts in which the enhancement of CDR emerges as a sub-domain of climate policy.,1.0,explorer
UNFCCC.non-party.1740.0,07b4d59c11a06cb1de30d248d3f023cc__f68c956124605fe0e939befc7f0e1136e928524ec3c6829d83a3acf710eaa93a,GOOD_PRACTICE,BEST_PRACTICE,best practices,513,527,"While limited institutional capacity may hamper achievement of this goal, this platform co-led by the US, Saudi Arabia and Canada may contribute to enhanced governance and policymaking through facilitating exchange of best practices and mutual learning on technology development and MRV frameworks for novel CDR methods.",1.0,explorer
UNFCCC.non-party.1740.0,f1cc4eb8d9352337e7ced7c6d21c5497__f4e437ea8b49def8ce667c90aef0261e92c8036df693b3cf3aebb8677b8c1280,SUCCESS,SUCCESSFUL,successful,596,606,"A comparison of current and proposed CDR with these scenarios would suggest that the overall CDR gap is manageable, so long as efforts to expand current conventional CDR on land to meet these levels are successful.",1.0,explorer
UNFCCC.non-party.1740.0,c5b3529bfc8d1406349cf11367727bc4__133a4dcc4d0837905c4c656e7eab5fc626b1e86f35a88efffdd4dee8efc0b2a6,OPPORTUNITY,OPPORTUNITY,opportunities,282,295,"As such, it is critical to redouble mitigation efforts but also to explore opportunities for integrated, cross-sector policies that can support both emission reductions and CDR upscaling.",1.0,explorer
UNFCCC.non-party.1740.0,88065bef3e800dae1206f464a307d774__0c417ad037a8e8f5cde5739ff17a42b0fafeab6616a95277d7a6aa13ab2f788d,OPPORTUNITY,OPPORTUNITY,opportunities,515,528,"There are, however, gaps to close, further areas to analyse, and opportunities to improve beyond this first step.",1.0,explorer
UNFCCC.non-party.1740.0,88065bef3e800dae1206f464a307d774__0c417ad037a8e8f5cde5739ff17a42b0fafeab6616a95277d7a6aa13ab2f788d,SUCCESS,SUCCESSFUL,successful,423,433,"We, the scientific convenors of this report, believe that such an assessment has an important role to play, informing and aiding the efforts of those who seek to develop CDR as part of successful climate action.",1.0,explorer
UNFCCC.non-party.1740.0,d6becc842a5f7891abf53b0a878bf07d__e999d27cbb83292ffcb11844f6c601a231f1ecc6301da3c768837a3a54759d96,OPPORTUNITY,OPPORTUNITY,opportunities,404,417,Specific opportunities for expanding the community include:,1.0,explorer
