document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,afe576ec0466a1a717389968e12cdcbd__226d06f320b726e7ce01894d3e697ac8bc2847cd629cfffb508e09b38697dd46,OPPORTUNITY,SOLUTION,solutions,39,48,"Reaffirms that sustainable and just solutions to the climate crisis must be founded on meaningful and effective social dialogue and participation of all stakeholders, including Indigenous Peoples, local communities and governments, women, and youth and children, and notes that the global transition to low emissions and climate-resilient development provides opportunities and challenges for sustainable development and poverty eradication;",1.0,explorer,
UNFCCC.non-party.1881.0,afe576ec0466a1a717389968e12cdcbd__226d06f320b726e7ce01894d3e697ac8bc2847cd629cfffb508e09b38697dd46,OPPORTUNITY,OPPORTUNITY,opportunities,363,376,"Reaffirms that sustainable and just solutions to the climate crisis must be founded on meaningful and effective social dialogue and participation of all stakeholders, including Indigenous Peoples, local communities and governments, women, and youth and children, and notes that the global transition to low emissions and climate-resilient development provides opportunities and challenges for sustainable development and poverty eradication;",1.0,explorer,
UNFCCC.non-party.1881.0,e01eaf6981bb9dd6d06c91202875fb03__6bbcf69187e65371eedfab97c8ef51879efafbfeb09e7843f3e991bc16cde924,OPPORTUNITY,OPPORTUNITY,opportunities,305,318,"Emphasizes that the magnitude and rate of climate change and associated risks depend strongly on near-term mitigation and adaptation actions, that long-term planning for and accelerated implementation of adaptation, particularly in this decade, are critical to closing adaptation gaps and create many opportunities, and that accelerated financial support for developing countries from developed countries and other sources is a critical enabler;",1.0,explorer,
UNFCCC.non-party.1881.0,8c6113c5306a9afbc94c300b620a5a95__af94b1aadd7a1109edc399b32f8df0c5cad5dc8419943d1e2d30d7f008062228,OPPORTUNITY,SOLUTION,solutions,167,176,"Encourages the implementation of integrated, multi-sectoral solutions, such as land- use management, sustainable agriculture, resilient food systems, nature-based solutions and ecosystem-based approaches, and protecting, conserving and restoring nature and ecosystems, including forests, mountains and other terrestrial and marine and coastal ecosystems, which may offer economic, social and environmental benefits such as improved resilience and well-being, and that adaptation can contribute to mitigating impacts and losses, as part of a country-driven gender-responsive and participatory approach, building on the best available science as well as Indigenous Peoples' knowledge and local knowledge systems;",1.0,explorer,
UNFCCC.non-party.1881.0,8c6113c5306a9afbc94c300b620a5a95__af94b1aadd7a1109edc399b32f8df0c5cad5dc8419943d1e2d30d7f008062228,OPPORTUNITY,SOLUTION,solutions,64,73,"Encourages the implementation of integrated, multi-sectoral solutions, such as land- use management, sustainable agriculture, resilient food systems, nature-based solutions and ecosystem-based approaches, and protecting, conserving and restoring nature and ecosystems, including forests, mountains and other terrestrial and marine and coastal ecosystems, which may offer economic, social and environmental benefits such as improved resilience and well-being, and that adaptation can contribute to mitigating impacts and losses, as part of a country-driven gender-responsive and participatory approach, building on the best available science as well as Indigenous Peoples' knowledge and local knowledge systems;",1.0,explorer,
UNFCCC.non-party.1881.0,ec0ff1e3dd17e944091110923bfdc844__a1ed8c9c848feeb7e076c10ca049e16f828466a1d5cf7cdd8c07bd969d91ba4e,OPPORTUNITY,SOLUTION,solutions,132,141,"Reducing climate impacts on ecosystems and biodiversity and accelerating the use of ecosystem-based adaptation and nature-based solutions, including through their management, enhancement, restoration and conservation and the protection of terrestrial, inland water, mountain, marine and coastal ecosystems;",1.0,explorer,
UNFCCC.non-party.1881.0,545e47a7b7775f61d76092960723531e__2f9753839aa452bfac13714d582fdc79b25741752462e1ceed0f9f12b544ff7d,OPPORTUNITY,SOLUTION,solutions,237,246,"109. Notes the Technology Mechanism initiative on artificial intelligence for climate action, the aim of which is to explore the role of artificial intelligence as a technological tool for advancing and scaling up transformative climate solutions for adaptation and mitigation action in developing countries, with a focus on the least developed countries and small island developing States, while also addressing the challenges and risks posed by artificial intelligence, as referred to in decision -/CMA.5;21",1.0,explorer,
UNFCCC.non-party.1881.0,0ff1a4cba2c46a290a8b9c07baced42c__44a46a23cd220211ad766893f15eaa27ed29f6666c6ce450a7959e0a42d92d9e,GOOD_PRACTICE,BEST_PRACTICE,best practices,16,30,"Recognizes best practices in capacity-building, notably multi-stakeholder engagement, enhancing ownership by beneficiary countries, and sharing experiences and lessons learned, particularly at the regional level;",1.0,explorer,
UNFCCC.non-party.1881.0,a45b8ae226bc89e47f413ea5e7318e40__49554e2b3b2c55b4c1897c8980706e12abd9e0c7f594ac865ef159ea1b0686a9,GOOD_PRACTICE,BEST_PRACTICE,best practices,261,275,"Encourages enhanced coherence and cooperation in the provision of effective capacity-building support, including, but not limited to, by facilitating collaboration platforms and capitalizing on the exchange of knowledge, country-led shared experiences and best practices;",1.0,explorer,
UNFCCC.non-party.1881.0,0485e7cc67faf0fcf87b5201e5deeebd__58759f321e81e46e530e2ce31e0a792e43ebf601699f490911b0f12ad06d81e4,GOOD_PRACTICE,GOOD_PRACTICE,good practices,374,388,"Requests the Paris Committee on Capacity-building to identify, in coordination with Parties, other constituted bodies and programmes and relevant stakeholders, current activities for enhancing the capacity of developing countries to prepare and implement nationally determined contributions, and also requests the secretariat to facilitate the sharing of knowledge and good practices for the preparation and implementation of nationally determined contributions, including through workshops;",1.0,explorer,
UNFCCC.non-party.1881.0,9ce89fe2dcfdacd11c7eaaf8f08cdd16__daecc36ad5f7dac1010e874408e19b6c348244664308ebc7a7e87b4ea648ea04,OPPORTUNITY,OPPORTUNITY,opportunities,41,54,Underscores the social and economic opportunities and challenges that arise from the efforts to achieve the Paris Agreement temperature goal;,1.0,explorer,
UNFCCC.non-party.1881.0,e96e691a5d62a45fa0e31f371f29b1a8__c0cda345c91e70aea95d981371022b1f22ac4b82e46a83df841110206885bf3c,CASE_STUDY,CASE_STUDY,case studies,54,66,Also encourages Parties to develop more national case studies involving the assessment and analysis of the impacts of the implementation of response measures to enable an exchange of experience among Parties on such studies;,1.0,explorer,
UNFCCC.non-party.1881.0,1b5f6af62511944aaac4575f26d355f2__992e92b25a62cbad6740fe9c55127af3a5f3f3e00f2821241e275d1bc8ed0b96,GOOD_PRACTICE,BEST_PRACTICE,best practices,540,554,"148. Requests the forum and its Katowice Committee on Impacts to intensify efforts to implement the recommendations outlined in relevant decisions of the Conference of the Parties, the Conference of the Parties serving as the meeting of the Parties to the Kyoto Protocol and the Conference of the Parties serving as the meeting of the Parties to the Paris Agreement, including by enhancing cooperation among Parties, stakeholders, external organizations, experts and institutions and by enabling the exchange of information, experience and best practices among Parties with a view to increasing their resilience to these impacts;",1.0,explorer,
UNFCCC.non-party.1881.0,2769a872ee7bad5accef21fa402ba90a__7ade07cbbaecfc1449237911afeb497dbe54f2301da7bdc3a58b61f305c144e1,OPPORTUNITY,OPPORTUNITY,opportunities,98,111,"Notes that the global transition to low-emissions and climate resilient development provides opportunities for and poses challenges to sustainable development, economic growth and eradication of poverty;",1.0,explorer,
UNFCCC.non-party.1881.0,56555cdbd0c03520a9d3093f690c48d0__e3b7af8acd37b1738f727c838a5a27a43ad1ec8ccea4c00f696e0a7c963fc329,OPPORTUNITY,SOLUTION,solutions,268,277,"Welcomes current international cooperative efforts and voluntary initiatives for enhancing climate action and support by Parties and non-Party stakeholders, including through the sharing of information, good practices, experiences, lessons learned, resources and solutions;",1.0,explorer,
UNFCCC.non-party.1881.0,56555cdbd0c03520a9d3093f690c48d0__e3b7af8acd37b1738f727c838a5a27a43ad1ec8ccea4c00f696e0a7c963fc329,GOOD_PRACTICE,GOOD_PRACTICE,good practices,208,222,"Welcomes current international cooperative efforts and voluntary initiatives for enhancing climate action and support by Parties and non-Party stakeholders, including through the sharing of information, good practices, experiences, lessons learned, resources and solutions;",1.0,explorer,
UNFCCC.non-party.1881.0,d5fb584e59d9bd1bf01ce525e378db53__a9c5dff71929a720d12b09d82b16d7e6b531f383df9f559afa6ce07fdc10e2de,OPPORTUNITY,OPPORTUNITY,opportunities,68,81,Encourages Parties to take into account the good practices and opportunities identified during the technical dialogue of the first global stocktake in enhancing their actions and support;,1.0,explorer,
UNFCCC.non-party.1881.0,d5fb584e59d9bd1bf01ce525e378db53__a9c5dff71929a720d12b09d82b16d7e6b531f383df9f559afa6ce07fdc10e2de,GOOD_PRACTICE,GOOD_PRACTICE,good practices,49,63,Encourages Parties to take into account the good practices and opportunities identified during the technical dialogue of the first global stocktake in enhancing their actions and support;,1.0,explorer,
UNFCCC.non-party.1881.0,88c6f20243a2387ac274b5c131f21c2e__1211dc50820068168539bf3961ce10fcf40957028cd2dd33fc774c91f6cc3419,OPPORTUNITY,SOLUTION,solutions,232,241,"Also requests the Subsidiary Body for Implementation, at its sixtieth session, to hold an expert dialogue on children and climate change to discuss the disproportionate impacts of climate change on children and relevant policy solutions in this regard, engaging relevant United Nations entities, international organizations and non-governmental organizations in this effort;",1.0,explorer,
