document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,a42e441262dfc039f668ccc17e13f9c6__5f076bd017c229c5beee58e309fa738a4ad8e942e8cbc454093d3fb9719ce9c0,GOOD_PRACTICE,BEST_APPROACH,best approaches,575,590,We support holding intersessional consultations and workshops in order to develop best approaches to the organization of the first global stocktake and the review of its results and are ready to actively engage in the process together with other stakeholders on all aspects of climate change.,1.0,explorer
UNFCCC.party.1782.0,6dd16aec0d5757fef860f7e28b89f73f__5879ec5605d939ad4c342ecd8e714e5d0641c61186322b4fefcebfe145f973cd,OPPORTUNITY,SOLUTION,solutions,269,278,"It is also necessary to take into account the contribution of nature- based solutions and ecosystem-based approaches to the removal of greenhouse gases, such as absorption by forest ecosystems.",1.0,explorer
UNFCCC.party.1782.0,7dab569d06baa68252768004ebff1ff7__fd92dfd6a1fcf3d35e2ca7445fece910b19609b69e4a3c380a320b26ebd65967,OPPORTUNITY,OPPORTUNITY,Opportunities,0,13,Opportunities for and challenges in enhancing action for collective progress,1.0,explorer
UNFCCC.party.1782.0,ead559cf8c72ffaba33c307ddb9511c4__46bb51444e8070407a18b09da4a2a912b76244e480986124a21e824f608feab3,SUCCESS,SUCCESSFUL,successful,2,12,"A successful GST outcome should be based on the principles set out in the Paris Agreement and should take into account various sources of information, but be primarily based on the countries' submissions of views.",1.0,explorer
UNFCCC.party.1782.0,632b639ad4eef4079a312157d29e9710__d9df3b42da4f639ddc57bf01516885fa3d323fd54b3c4e11a2998c37b284dfe5,OPPORTUNITY,OPPORTUNITY,opportunities,257,270,The Synthesis Report may include technical annexes and summary cards to present the detailed findings from the technical assessment in a more illustrative and accessible way to better reflect the stocktaking of implementation and identification of gaps and opportunities.,1.0,explorer
UNFCCC.party.1782.0,306c27b6fcfcd3778f23c077895f9eb2__987019a347d13c942afa36bf934ece73545070c49843ed146b095d652e0d1d1e,OPPORTUNITY,SOLUTION,solutions,229,238,In order to encourage constructive engagement among participants and create an environment that increases understanding and identifies solutions we support conducting thematic roundtables as well as high-level events.,1.0,explorer
UNFCCC.party.1782.0,d2e436df068eb76b749812ce63825480__ce2194323ab4026a1999acd924eeef44f7d1c8743cf04f08f5aa72a463a27b68,OPPORTUNITY,SOLUTION,solutions,53,62,- Strengthen the role of ecosystem and technological solutions for greenhouse gas removals to achieve the global balance of greenhouse gas emissions and removals.,1.0,explorer
UNFCCC.non-party.1797.0,5d654cae7219335992173bda63a7c35e__e4428e0e7c237f5bfd8a19d1722546172dfae2da24003165eceb5c2a9e3e9ec4,OPPORTUNITY,OPPORTUNITY,Opportunities,65,78,"Opportunities, effective mechanisms and strategies 4.",1.0,explorer
UNFCCC.non-party.1797.0,255c506cfc91325965a15e6385a9320c__6656e89defa73673aa60140832480ac15325cd957c72509950b0e39e99c0d113,OPPORTUNITY,SOLUTION,solutions,273,282,"Carbon markets, carbon sinks, geoengineering and other market-based solutions are dangerous and unsustainable and some are implemented without prior-informed consent of the communities, abusing their rights and limiting their ability to sustain their lives.",1.0,explorer
UNFCCC.non-party.1797.0,30dade03a0c276b16532da06306ef02c__f72b6520ea7a740f7a04e6c2e7c76eb0f3acc4e5c42451ff0eb972ed3644ff8e,OPPORTUNITY,OPPORTUNITY,Opportunities,3,16,3. Opportunities and effective mechanisms and strategies,1.0,explorer
UNFCCC.non-party.1797.0,08632bc6eda35a297abb7aeff6925182__55a83a67ae982b338de991feffac97778f95356df226e6cbed63f1dc7b25fbac,OPPORTUNITY,PROMISING,promising,521,530,"Investing and supporting NGCCFP is a promising strategy to ensure greater gender mainstreaming and bridging the global and national commitment, policy and implementation gap.",1.0,explorer
UNFCCC.non-party.1797.0,60ee3257213914994f470d0dd960c7de__46ee35217ac40feec81d5d76ce4f5f009c2fca7b9ba1be362d4a6bcb7d4f2c2e,OPPORTUNITY,SOLUTION,solutions,417,426,"Three awarded solutions, over a dozen additional honorees, and solutions from Women and Gender Constituency Members are featured in a publication every year.",1.0,explorer
UNFCCC.non-party.1797.0,60ee3257213914994f470d0dd960c7de__46ee35217ac40feec81d5d76ce4f5f009c2fca7b9ba1be362d4a6bcb7d4f2c2e,OPPORTUNITY,SOLUTION,solutions,659,668,These solutions are testimony of the rich and valuable climate actions led by women and communities across the world.,1.0,explorer
UNFCCC.non-party.1797.0,60ee3257213914994f470d0dd960c7de__46ee35217ac40feec81d5d76ce4f5f009c2fca7b9ba1be362d4a6bcb7d4f2c2e,OPPORTUNITY,SOLUTION,solutions,520,529,"All the solutions featured in each publication are displayed in an online directory, where they can be sorted by country, region, and topic.",1.0,explorer
UNFCCC.non-party.1797.0,60ee3257213914994f470d0dd960c7de__46ee35217ac40feec81d5d76ce4f5f009c2fca7b9ba1be362d4a6bcb7d4f2c2e,OPPORTUNITY,SOLUTION,solutions,368,377,"Three awarded solutions, over a dozen additional honorees, and solutions from Women and Gender Constituency Members are featured in a publication every year.",1.0,explorer
UNFCCC.non-party.1797.0,60ee3257213914994f470d0dd960c7de__46ee35217ac40feec81d5d76ce4f5f009c2fca7b9ba1be362d4a6bcb7d4f2c2e,OPPORTUNITY,SOLUTION,solutions,251,260,"These locally-driven solutions promote democracy, making gender equality and women's rights central to just climate action.",1.0,explorer
UNFCCC.non-party.1797.0,aee58d9c30bd14efaf7704fb6ab0e247__2da453b0d5d85b5727e778178148aa719851c757bb7de4f288ae066a0925d418,OPPORTUNITY,OPPORTUNITY,opportunity,176,187,"developing countries, including for gender-responsive adaptation and accessible funding for locally-led initiatives that integrate gender equality (as outlined above) poses an opportunity to rebuild trust among Parties after the ongoing failure to deliver the promised $100 billion/year by 2020.",1.0,explorer
UNFCCC.non-party.1797.0,9920700ed6a5f8e48f2d265fca161b81__915b2311996ad4a7d22419e7ad2e81cbda5aebe689cda0bab44a19a17df09f16,OPPORTUNITY,OPPORTUNITY,opportunity,384,395,The Commission on Status of Women (CSW66) agreed conclusions is an opportunity to advance climate and gender equality in CSW and UNFCCC.,1.0,explorer
UNFCCC.non-party.1797.0,b73c2cc656401a77a2e1c30a245c9c2b__ee40d9199359e3705fb3788088e618f0ed6d933b0761e7667d04b2705b92800a,OPPORTUNITY,FOREFRONT,forefront,183,192,"-> Increase the scale of climate finance provided through simplified and enhanced direct access modalities to directly affected communities and women and diverse gender groups at the forefront of climate change, by multiplying and expanding financial mechanisms prioritizing localized small-grants approaches to address their needs and priorities and empower particularly affected population groups including women, Indigenous Peoples, youth and people living with disability, to meaningfully engage in local climate finance decision-making.",1.0,explorer
UNFCCC.non-party.1797.0,2d3394277957c65217d88d6d460b1847__cb52fe902fea4f5ef0e7afb118a2222184384f3d5da9b840dc262ba64a9bd4c8,SUCCESS,SUCCESSFUL,successful,220,230,"-> Recognize that inclusive decision-making, with Indigenous Peoples and local communities, as well as recognition of the inherent rights of Indigenous Peoples, including Free, Prior and Informed Consent, is integral to successful adaptation and mitigation across forests and other ecosystems.",1.0,explorer
UNFCCC.non-party.1789.0,04f343ed97fd29dbb8e774dff6ccf7c8__400085f23d5ea5bbdee94982cf95519ae1d15332a4d60e440eedcfb7f6b26455,OPPORTUNITY,OPPORTUNITY,opportunities,95,108,"As an interconnected entity within and beyond national boundaries, the ocean presents vital opportunities to foster international cooperation towards ambitious global climate action for holistic mitigation and adaption measures.",1.0,explorer
UNFCCC.non-party.1789.0,1ac5975568433e60000b54a8327fa087__2de6d5d3e7f935cb06401dc66edb1cad90ac8b2c3a76cb8848013a77b9fadc13,OPPORTUNITY,SOLUTION,solutions,43,52,The ocean offers a space for integrated solutions that can be reflected in national climate policies and strategies.,1.0,explorer
UNFCCC.non-party.1789.0,23b7ce832f054fa72f193ebc235e2af7__e91c3d14aeb8721c408cf2c97c4265978e44bfbbc326e4dc7aa49836ebecad18,OPPORTUNITY,OPPORTUNITY,opportunity,36,47,"The global stocktake is a unique opportunity to highlight the importance of the ocean in the global response to climate change and for the global stocktake political outcomes to promote the establishment of guidelines for Parties to be able to include and strengthen ocean-based measures in their updated NDCs, NAPs, and other national strategies.",1.0,explorer
UNFCCC.non-party.1789.0,7f0a733bc81e7d7c5c7b60cae749bf6c__6b28341ddc1c1f7a63d993bcae8080ed1a892700491de6c4f9370604201a8fb0,OPPORTUNITY,OPPORTUNITY,opportunities,92,105,"As an interconnected entity within and beyond national boundaries, the ocean presents vital opportunities to foster international cooperation and promote ambitious cooperative global climate action for holistic mitigation and adaption measures.",1.0,explorer
UNFCCC.non-party.1789.0,6bf662d58cef8418923acd389db18299__2e13ed86fb62890d5832d8d160e18efd6cc5a5f78db6bd1a2b6bb7294cd9e458,OPPORTUNITY,SOLUTION,solutions,309,318,"The first Technical Dialogue summary report primarily referenced the impacts of climate change on the ocean and coastal areas (sea level rise, coastal flooding) and ocean-based climate solutions (ecosystem-based adaptation, green shipping, offshore wind) in the discussions of climate adaptation.6",1.0,explorer
UNFCCC.non-party.1789.0,61c750e0e0c2715ef45a739d6b2b5baf__6e99decaa1390398490e5a97b5d4dfc6ec8c350021193fc107a751346fc6fb2c,OPPORTUNITY,OPPORTUNITY,opportunities,49,62,The ocean and climate change: challenges and opportunities,1.0,explorer
UNFCCC.non-party.1789.0,392a9718f541c1c48852de3b63d645ca__34c5446e72ec605e338ee92ce54e6122fe896030c69478777f927fc3a431b39a,OPPORTUNITY,SOLUTION,solutions,40,49,"The ocean offers a space for integrated solutions that can be reflected in national climate policies and strategies (e.g. NDCs, NAPs, BTRs, TNAs, Adaptation Communications, etc).",1.0,explorer
UNFCCC.non-party.1789.0,87c4ccdbd8c5529dde986b7d2c31711e__2238d90b72997cf462585f7595063ac20302880ef2cee0ae715a0c91765e8538,OPPORTUNITY,SOLUTION,solutions,317,326,252 positive case examples were submitted by Parties and stakeholders that provide concrete practical solutions and recommendations to Parties for developing national climate action and goals at the climate/ocean/biodiversity nexus.,1.0,explorer
UNFCCC.non-party.1789.0,15472bc9a1f9021776b8b30c3f433772__b2a895000075b8e7a5f045b87a1333b60a7a573eade8fee4500683e23f6e540c,OPPORTUNITY,OPPORTUNITY,opportunity,702,713,The Kunming-Montreal Global Biodiversity Framework similarly provides an opportunity to link conservation of marine and coastal ecosystems with climate mitigation and adaptation at the international level.,1.0,explorer
UNFCCC.non-party.1789.0,e8b69ade9d7299c123e6e8970f97b26f__b484fca899f9927cdc9be508e22eef05dc2a14040d49d015045909628f840677,OPPORTUNITY,OPPORTUNITY,opportunities,117,130,"UN-Oceans entities are working across these international processes and coordinating together to build synergies and opportunities for climate-smart, ecosystem focused sustainable ocean planning.",1.0,explorer
UNFCCC.non-party.1789.0,e8b69ade9d7299c123e6e8970f97b26f__b484fca899f9927cdc9be508e22eef05dc2a14040d49d015045909628f840677,OPPORTUNITY,OPPORTUNITY,opportunity,258,269,Ramping up ocean-related collaboration is a clear and present opportunity and a win towards strengthened climate action.,1.0,explorer
UNFCCC.non-party.1789.0,05df03e6258a200b47e6cd1ac2bc972d__f51de7b3b6b43d5b80c5ce3083d5c63ff6cdd9201a0528b6d61549b7d592417b,OPPORTUNITY,SOLUTION,solutions,1153,1162,"As well as creating a ""toolbox"" of solutions for sustainable island development, this flagship aims to amplify the voice of island nations facing rising sea levels and intensifying storms as a result of climate change.",1.0,explorer
