document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,c0c9a209a737d61175610bca1aad2341__8f5393c5a3d201a27c54e05b8375977c77bd84e3c07fb318cf2d88e944532cd0,GOOD_PRACTICE,GOOD_PRACTICE,good practice,5,18,IPCC good practice guidance,1.0,explorer
UNFCCC.non-party.1750.0,6185af1ce79e7ffc5d94891847cf66f7__995b9bc779d83b43154adfd93d4c1f976be5272a3c948714ad9a4b55d5eb9a4b,GOOD_PRACTICE,GOOD_PRACTICE,Good Practice,0,13,Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,1.0,explorer
UNFCCC.non-party.1750.0,17256ef771113d2d25b9b90a3e2e4a59__2ce69657be60e4c7e5f166e25c7fb18f1d814e25eb716dc8ce6f76abd63d03f8,GOOD_PRACTICE,GOOD_PRACTICE,good practice,5,18,IPCC good practice guidance for LULUCF,1.0,explorer
UNFCCC.non-party.1750.0,8571f3003a45c0c40ca96803ed5638d4__55f8c99f0484cbed5905039a33fa844f9d86899d8b34b5f472ce34b0f16d1dbc,GOOD_PRACTICE,GOOD_PRACTICE,Good Practice,0,13,"Good Practice Guidance for Land Use, Land-Use Change and Forestry",1.0,explorer
UNFCCC.non-party.1750.0,6a9836c39f0cde64705362b92228f75d__09332e25c07136d7d5dd3212c0533c719ba624b0f91933acf1d59efcd760659d,GOOD_PRACTICE,GOOD_PRACTICE,good practice,110,123,Papua New Guinea reported comparable information addressing the tables included in annex 3A.2 to the IPCC good practice guidance for LULUCF and the sectoral reporting tables annexed to the Revised 1996 IPCC Guidelines (BUR table 2-4).,1.0,explorer
UNFCCC.non-party.1750.0,1734e6fa36e82bd11ff2f114f93c30a5__17da221623c4b1992936aab0f98c2a2504dbd94f529c2b54b6ad0e8527a1e292,GOOD_PRACTICE,GOOD_PRACTICE,good practice,374,387,The TTE commends Papua New Guinea for providing information in accordance with the IPCC good practice guidance.,1.0,explorer
UNFCCC.non-party.1750.0,1734e6fa36e82bd11ff2f114f93c30a5__17da221623c4b1992936aab0f98c2a2504dbd94f529c2b54b6ad0e8527a1e292,GOOD_PRACTICE,GOOD_PRACTICE,good practice,184,197,The plan is based on the tier 1 QA/QC procedures in accordance with the IPCC good practice guidance.,1.0,explorer
UNFCCC.non-party.1750.0,933c1b6b09a574002f3e7b9ee87b6cc1__152bce519aa668de89014175ee6fb34009f1f34a250a3fca7376b0d61471e011,GOOD_PRACTICE,GOOD_PRACTICE,good practice,453,466,"The current TTE noted the improvements referred to in paragraphs 35, 37, 42, 54 and 59 above, namely providing information on the application of notation keys, the comparable information addressing the tables included in annex 3A.2 to the IPCC good practice guidance for LULUCF, HFC emissions for 2015–2017 and the methodology used for conducting the key category analysis and conducting the uncertainty assessment of its national GHG inventory, and commends the Party for enhancing the transparency of its reporting.",1.0,explorer
UNFCCC.non-party.1750.0,214faf9a1ee1e4408e250faf717e8eb5__5d91aae49b1cd9e46d94b4e82a659183a22158d77d3237b8dca2dfac0cff7356,GOOD_PRACTICE,GOLD_STANDARD,Gold Standard,391,404,"Papua New Guinea also reported a 36 MW biomass power project registered under the Gold Standard, which is a certification standard for carbon offset projects.",1.0,explorer
UNFCCC.non-party.1750.0,1aed213fe01ba7b93cbce1dde64766c7__c44026d96de1b46b148acac595f389f5f763c6668b0dd045b56822f7333f4e87,GOOD_PRACTICE,GOLD_STANDARD,Gold Standard,420,433,The mitigation action in the AFOLU sector is registered under the Gold Standard.,1.0,explorer
UNFCCC.non-party.1750.0,1aed213fe01ba7b93cbce1dde64766c7__c44026d96de1b46b148acac595f389f5f763c6668b0dd045b56822f7333f4e87,GOOD_PRACTICE,GOLD_STANDARD,Gold Standard,569,582,"Gold Standard methodology was applied to estimate the annual removals from this project (21,224 t CO2 eq per annum over a 30-year crediting period).",1.0,explorer
UNFCCC.non-party.1750.0,6cd9a838bf08520be92eb36f2148e91f__1fe51839efbd7e3bfdbebaa767282cc10453e9155ae8593c1db1917aa3908975,GOOD_PRACTICE,GOLD_STANDARD,Gold Standard,715,728,"The total emission reductions from the two Gold Standard projects in the energy and AFOLU sectors amount to 174,599 t CO2 eq per annum.",1.0,explorer
UNFCCC.non-party.1750.0,6cd9a838bf08520be92eb36f2148e91f__1fe51839efbd7e3bfdbebaa767282cc10453e9155ae8593c1db1917aa3908975,GOOD_PRACTICE,GOLD_STANDARD,Gold Standard,255,268,Papua New Guinea documented eight registered CDM projects under the UNFCCC CDM process and two projects registered under the Gold Standard (see paras.,1.0,explorer
UNFCCC.non-party.1750.0,6cd9a838bf08520be92eb36f2148e91f__1fe51839efbd7e3bfdbebaa767282cc10453e9155ae8593c1db1917aa3908975,GOOD_PRACTICE,GOLD_STANDARD,Gold Standard,1010,1023,"The TTE noted that Papua New Guinea improved the transparency of its reporting by clearly reporting information on the country’s participation in international market mechanisms, namely the CDM and the Gold Standard, in BUR table 3-3.",1.0,explorer
UNFCCC.non-party.1750.0,4279e2dbdd207e8dc985f09f573d5432__5cec16eb055651dbd022008c544776ff702b0048a150f96afe300e37a31e96fa,GOOD_PRACTICE,GOLD_STANDARD,Gold Standard,544,557,"The current TTE noted the improvements referred to in paragraphs 65–68 above, namely providing information in tabular format, on methodologies and assumptions, quantitative goals and progress indicators for all mitigation actions outside the scope of the enhanced NDC (submitted in 2020) and clearly reporting information on CDM and Gold Standard projects, and commends the Party for enhancing the transparency of its reporting.",1.0,explorer
UNFCCC.non-party.1750.0,8e53a9ac61814ee81fe8a8b424246d67__eb04c2a479e845589d44190dabd77a9e8d326cb4c9acd90268254270b309f5ee,OPPORTUNITY,SOLUTION,solutions,77,86,"(v) Formulate mitigation measures and assess the GHG effects of nature-based solutions, in particular reduced emissions and enhanced removals from the forest sector for fossil fuel offsetting from the energy industries subsector;",1.0,explorer
UNFCCC.non-party.1750.0,7b86bd1b972a2f1b06553b7cf98611ef__cc7c86ad4d1c1ee55117cbdd00883b9d14ad48fbd4fcc0be45e4ef849389790e,GOOD_PRACTICE,GOLD_STANDARD,Gold Standard,122,135,"(d) Reporting clear information on the country’s participation in international market mechanisms, namely the CDM and the Gold Standard, in table 3-3 of the second BUR;",1.0,explorer
UNFCCC.non-party.1750.0,6c9bc2b0423d8914aa7ccaeba77ce9a4__82d7ab30deb50ae63b1c88010f031e922915a1faceffabc85c5080f3343d298e,GOOD_PRACTICE,GOOD_PRACTICE,good practice,299,312,"The updates of the section on national inventories of anthropogenic emissions by sources and removals by sinks of all GHGs not controlled by the Montreal Protocol should contain updated data on activity levels based on the best information available using the Revised 1996 IPCC Guidelines, the IPCC good practice guidance and the IPCC good practice guidance for LULUCF; any change to the EF may be made in the subsequent full NC.",1.0,explorer
UNFCCC.non-party.1750.0,6c9bc2b0423d8914aa7ccaeba77ce9a4__82d7ab30deb50ae63b1c88010f031e922915a1faceffabc85c5080f3343d298e,GOOD_PRACTICE,GOOD_PRACTICE,good practice,335,348,"The updates of the section on national inventories of anthropogenic emissions by sources and removals by sinks of all GHGs not controlled by the Montreal Protocol should contain updated data on activity levels based on the best information available using the Revised 1996 IPCC Guidelines, the IPCC good practice guidance and the IPCC good practice guidance for LULUCF; any change to the EF may be made in the subsequent full NC.",1.0,explorer
UNFCCC.non-party.1750.0,4793c11049427b5cc7f18d8288a49c23__ac59f2287567a995fe43442c42e7190438a3f0a98ee92014fc792f9541f76ae6,GOOD_PRACTICE,GOOD_PRACTICE,good practice,50,63,(a) The tables included in annex 3A.2 to the IPCC good practice guidance for LULUCF;,1.0,explorer
UNFCCC.non-party.1750.0,0f503c9a597aceed5a1a57cdab14ad25__df413b049dc8f4d35d736fe04e80439157e21680667c2e850cdd50c43c4fe240,GOOD_PRACTICE,GOOD_PRACTICE,good practice,127,140,"Non-Annex I Parties are also encouraged, to the extent possible, to undertake any key source analysis as indicated in the IPCC good practice guidance to assist in developing inventories that better reflect their national circumstances.",1.0,explorer
UNFCCC.non-party.1750.0,a25bd7b4d5a4c68c42fa839369cbcaf3__f6346bcf454e68227d32260f26c3897a9ecb2659161658525d3dd286b9b295c3,GOOD_PRACTICE,GOOD_PRACTICE,Good Practice,12,25,Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories.,1.0,explorer
UNFCCC.non-party.1750.0,b2fce02b9b50f9e1c2f8e262e7bf8903__19b6631338c1b9f09043b608fee45e2b5cd1a87cda65f43dacfe03b1acc20907,GOOD_PRACTICE,GOOD_PRACTICE,Good Practice,12,25,"Good Practice Guidance for Land Use, Land-Use Change and Forestry.",1.0,explorer
UNFCCC.party.1761.0,3381e14722b3bb89912b54418592460d__f8767c14a9fbfaf01f6dc4e55da99761314e5b20e7c7f69ca663e400fcf75974,OPPORTUNITY,OPPORTUNITY,opportunities,301,314,"We need infrastructure, employment, and training opportunities to meet the needs of our people now.",1.0,explorer
UNFCCC.party.1761.0,0c99cfd55c176091c7618bad117ffdb0__fc1055e97106bceb4719b3b43293b477b7115b4a3dfdddf70d0e283b101c492d,CASE_STUDY,CASE_STUDY,Case study,2,12,> Case study of concentrating government resources: .........................................................................45,1.0,explorer
UNFCCC.party.1761.0,dd22cd0d6f918202785bc4d539f7a9d5__3a8af8fe21362d7afe6e59bd003c88a36520da5634d09ba81a2b004965a56bd3,OPPORTUNITY,OPPORTUNITY,opportunities,310,323,"As the LEDS captures development opportunities across sectors and over the long term, it provides an opportunity to identify pathway actions with benefits across sectors, or over a longer period that might otherwise not feature in the short- and medium- term strategies.",1.0,explorer
