document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
CCLW.GST.147.147,b718f4a79b95014f5cde475e74ddfa1e__85f5ae84b569d95503a834c4b5ff90bedfcafa91d7a5b325ddef63bb523e8aba,EMISSIONS,EMISSIONS,emissions,52,61,The share of agriculture in the total pie of emissions is decreasing.,1.0,explorer
CCLW.GST.147.147,7615bb9ab7243e03cfb82aff2b4381e5__4446aeada4c71d7c51ac5addcfc6527c2cf54c430906557fd41a866ba909ccba,NITROUS_OXIDE,N2O,N2O,485,488,"With regard to categories, 54.60 per cent of GHG emissions corresponds to enteric fermentation, followed by 19.07 per cent from agricultural soils (15.88 per cent from direct N₂0 and 3.20 per cent from indirect N2O), 17.49 per cent from rice cultivation, 6.68 per cent from manure management and 2.17 per cent corresponding to field burning of agricultural residues in 2016 (Figure 2.16).",1.0,explorer
CCLW.GST.147.147,7615bb9ab7243e03cfb82aff2b4381e5__4446aeada4c71d7c51ac5addcfc6527c2cf54c430906557fd41a866ba909ccba,EMISSIONS,EMISSIONS,emission,134,142,The main sources of CH4 and N₂O emission in India are animal husbandry and crop production.,1.0,explorer
CCLW.GST.147.147,7615bb9ab7243e03cfb82aff2b4381e5__4446aeada4c71d7c51ac5addcfc6527c2cf54c430906557fd41a866ba909ccba,EMISSIONS,EMISSIONS,emissions,323,332,"With regard to categories, 54.60 per cent of GHG emissions corresponds to enteric fermentation, followed by 19.07 per cent from agricultural soils (15.88 per cent from direct N₂0 and 3.20 per cent from indirect N2O), 17.49 per cent from rice cultivation, 6.68 per cent from manure management and 2.17 per cent corresponding to field burning of agricultural residues in 2016 (Figure 2.16).",1.0,explorer
CCLW.GST.147.147,7615bb9ab7243e03cfb82aff2b4381e5__4446aeada4c71d7c51ac5addcfc6527c2cf54c430906557fd41a866ba909ccba,EMISSIONS,EMISSIONS,emissions,38,47,Agricultural activities contribute to emissions of GHGS (CH4 and N₂O) through a variety of processes.,1.0,explorer
CCLW.GST.147.147,7615bb9ab7243e03cfb82aff2b4381e5__4446aeada4c71d7c51ac5addcfc6527c2cf54c430906557fd41a866ba909ccba,GREENHOUSE_GASES,GREENHOUSE_GASES,GHGS,51,55,Agricultural activities contribute to emissions of GHGS (CH4 and N₂O) through a variety of processes.,1.0,explorer
CCLW.GST.147.147,7615bb9ab7243e03cfb82aff2b4381e5__4446aeada4c71d7c51ac5addcfc6527c2cf54c430906557fd41a866ba909ccba,METHANE,CH4,CH4,57,60,Agricultural activities contribute to emissions of GHGS (CH4 and N₂O) through a variety of processes.,1.0,explorer
CCLW.GST.147.147,7615bb9ab7243e03cfb82aff2b4381e5__4446aeada4c71d7c51ac5addcfc6527c2cf54c430906557fd41a866ba909ccba,METHANE,CH4,CH4,122,125,The main sources of CH4 and N₂O emission in India are animal husbandry and crop production.,1.0,explorer
CCLW.GST.147.147,7615bb9ab7243e03cfb82aff2b4381e5__4446aeada4c71d7c51ac5addcfc6527c2cf54c430906557fd41a866ba909ccba,GREENHOUSE_GASES,GREENHOUSE_GASES,GHG,319,322,"With regard to categories, 54.60 per cent of GHG emissions corresponds to enteric fermentation, followed by 19.07 per cent from agricultural soils (15.88 per cent from direct N₂0 and 3.20 per cent from indirect N2O), 17.49 per cent from rice cultivation, 6.68 per cent from manure management and 2.17 per cent corresponding to field burning of agricultural residues in 2016 (Figure 2.16).",1.0,explorer
CCLW.GST.147.147,7c5aadd7c54c3345fd170d7dfbb19e96__65c3d5e7ccc8195863b403df55b53e3825b05b531395c90feb3c0e9923117b47,GREENHOUSE_GASES,GREENHOUSE_GASES,GHG,26,29,"Agriculture: GHG emissions (MtCO₂e) per subcategory, 2011-2016",1.0,explorer
