document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,b3476e712618dc89af8eb43f46405ddf__634ee345e97284cc855e64dea8ddf6639ceb656136738247d59f13d058ba5cbf,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,59,62,"According to the IPCC, to achieve 1.5℃ by 2050, greenhouse gas emissions must peak by 2025 and reduce by 43% by 2030.2 This will require, among others, major transitions in the energy sector - a substantial reduction in fossil fuel use, widespread electrification, improved energy efficiency, and use of alternative fuels (such as hydrogen).",1.0,explorer,
UNFCCC.non-party.1859.0,b3476e712618dc89af8eb43f46405ddf__634ee345e97284cc855e64dea8ddf6639ceb656136738247d59f13d058ba5cbf,EMISSIONS,EMISSIONS,emissions,63,72,"According to the IPCC, to achieve 1.5℃ by 2050, greenhouse gas emissions must peak by 2025 and reduce by 43% by 2030.2 This will require, among others, major transitions in the energy sector - a substantial reduction in fossil fuel use, widespread electrification, improved energy efficiency, and use of alternative fuels (such as hydrogen).",1.0,explorer,
UNFCCC.non-party.1859.0,4dc6d408a7355411d7bab7b011d4133b__fdb5ad4c9071eff5f63395201b84e5df472223b6f03034c441098ad611062d2d,EMISSIONS,EMISSIONS,emissions,451,460,"This pathway, which requires a massive change in how societies produce and consume energy, would result in a cut of nearly 37 gigatonnes of annual CO2 emissions by 2050.",1.0,explorer,
UNFCCC.non-party.1859.0,4dc6d408a7355411d7bab7b011d4133b__fdb5ad4c9071eff5f63395201b84e5df472223b6f03034c441098ad611062d2d,CARBON_DIOXIDE,CO2,CO2,447,450,"This pathway, which requires a massive change in how societies produce and consume energy, would result in a cut of nearly 37 gigatonnes of annual CO2 emissions by 2050.",1.0,explorer,
UNFCCC.non-party.1859.0,23ade41ad9a7af71679e0838978f8853__a5881d1d1a4e25fca19f8b80a63685ece30ed7d1218312f6496f14f1190dea17,EMISSIONS,EMISSIONS,Emissions,0,9,Emissions 2018,1.0,explorer,
UNFCCC.non-party.1859.0,d16c893f23bc703c57f2a8c31e9ccdf3__2789ce883d762a7f4d37f516cc0f693eba2bcb9162c061df495efa6b3dba39de,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,19,22,:selected: Natural gas :selected: Oil,1.0,explorer,
UNFCCC.non-party.1859.0,84f964cbdd44a57a181c4d844a02b387__c73cd5985351a1683d72d3c26f973cd3ecbe0258d19671453fd1a435bc953bdc,EMISSIONS,EMISSIONS,Emission,10,18,Figure 1: Emission reductions 2018-20303,1.0,explorer,
UNFCCC.non-party.1859.0,8ef4e29b7c50f13a56928bc39b14239a__c98875b577743a4a44b8d1709c28992aa03bf7a2a27f37c48d330ef653a87385,CARBON_DIOXIDE,CO2,CO2,13,16,"The total CO2 captured from CCS, BECCS and other carbon removal and storage measures must be scaled up to reach 8.5 Gt by 2050 from 0.04 Gt in 2020.",1.0,explorer,
UNFCCC.non-party.1863.0,11cef9660ea7fab8907df26b3d437665__5b2ab12cc037688e1de7162b8b784092010ae9ed5b6f1c271e0a4b30b34eb22f,EMISSIONS,EMISSIONS,emissions,80,89,"private interests, especially those aligned with perpetuating business-as-usual emissions.",1.0,explorer,
UNFCCC.non-party.1863.0,0e3505ef2527ea53734f2a983cf5c855__0e36ccb95ceffa49b2d08344b310b7d1ea969354c56a6ed385513f7cb488b4a1,EMISSIONS,EMISSIONS,Emissions,230,239,"For example, as recommended by the UN High-Level Expert Group on the Net Zero Emissions Commitments of Non-State Entities, as a minimum, non-state actors should report on progress made towards commitments in a standardised, open format and via public platforms that feed into the UNFCCC Global Climate Action Portal (GCAP).",1.0,explorer,
UNFCCC.non-party.1863.0,416a7da0c56ecba3aaccccf85a5898a6__d42befdc2a5f024488e35c68614734636c53fcf036a88f461f2c57faf298073b,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,463,466,"Parties should also acknowledge the fact that natural gas is also a fossil fuel that we need to transition away from, and exclude all false solutions and related technologies such as Carbon Capture Storage, nuclear energy or solar radiation management, that prolong dependence on fossil fuels and come with high human rights risks.",1.0,explorer,
UNFCCC.party.1852.0,97ebe647b15230e94d22352601490cc6__15be4cb5a115e55c3869b73868e8ceb1c17024d9b93987b8accc219da9ca38fe,EMISSIONS,EMISSIONS,emissions,108,117,"Within the energy sector there is a need to rapidly increase investment in renewable energy and other low-emissions sources and affordable access to energy by households, communities and national economies; phase down all fossil fuels (not only coal); and finance the transitions, which are different in different countries.",1.0,explorer,
UNFCCC.party.1852.0,3bb650f9917290cb4df135ed88eb837a__c6be638b8b6c49459556ba52e2705a9a6b674af6b5fc99d600e8ca3de5dbe0ec,EMISSIONS,EMISSIONS,emissions,58,67,"Science tells us that it is necessary to globally halve emissions by 2030, reach 60% below 2019 levels by 2035 and net zero CO2 by 2050.",1.0,explorer,
UNFCCC.party.1852.0,3bb650f9917290cb4df135ed88eb837a__c6be638b8b6c49459556ba52e2705a9a6b674af6b5fc99d600e8ca3de5dbe0ec,CARBON_DIOXIDE,CO2,CO2,126,129,"Science tells us that it is necessary to globally halve emissions by 2030, reach 60% below 2019 levels by 2035 and net zero CO2 by 2050.",1.0,explorer,
UNFCCC.party.1852.0,aab9ff6b70c6d88f60d28405c1b21254__0dc7d8042d3b0d3a8bbb478b1f41044acb79e59303d6315f61ec6748a4a2d948,GREENHOUSE_GASES,GREENHOUSE_GASES,GHGs,112,116,"· Stronger domestic mitigation measures are needed, including policies for just transitions to net zero CO2 (or GHGs for developed countries) by 2050 and putting in place global enabling conditions for transformations of systems and sectors.",1.0,explorer,
UNFCCC.party.1852.0,aab9ff6b70c6d88f60d28405c1b21254__0dc7d8042d3b0d3a8bbb478b1f41044acb79e59303d6315f61ec6748a4a2d948,CARBON_DIOXIDE,CO2,CO2,104,107,"· Stronger domestic mitigation measures are needed, including policies for just transitions to net zero CO2 (or GHGs for developed countries) by 2050 and putting in place global enabling conditions for transformations of systems and sectors.",1.0,explorer,
UNFCCC.non-party.1871.0,8fe575236ac46627dd3a56409c2c7bc8__2c5030191c7e1d40f053d94581e4b6f5d228affd9b68779b35c872c7a771a431,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,354,357,"The mitigation, adaptation and means of implementation ambition gap to achieving the long term target of the Paris Agreement is well established in the scientific and political narratives, Specifically WWF recalls that the IPCC 6th Assessment Report indicates that to meet the Paris Agreement goal of limiting temperature rise to 1.5℃, global greenhouse gas emissions need to peak by 2025 and be cut 43% by 2030 (2019 baseline).",1.0,explorer,
UNFCCC.non-party.1871.0,8fe575236ac46627dd3a56409c2c7bc8__2c5030191c7e1d40f053d94581e4b6f5d228affd9b68779b35c872c7a771a431,EMISSIONS,EMISSIONS,emissions,358,367,"The mitigation, adaptation and means of implementation ambition gap to achieving the long term target of the Paris Agreement is well established in the scientific and political narratives, Specifically WWF recalls that the IPCC 6th Assessment Report indicates that to meet the Paris Agreement goal of limiting temperature rise to 1.5℃, global greenhouse gas emissions need to peak by 2025 and be cut 43% by 2030 (2019 baseline).",1.0,explorer,
UNFCCC.non-party.1871.0,cf56626c84e552939bead4c0206e46c9__045f95192ec68c25c9de51497686bbd2f5e9f6d76533457c530d634c305cc2e6,EMISSIONS,EMISSIONS,Emissions,321,330,"According to the UNEP Emissions Gap Report 2022, policies currently in place with no additional action are projected to result in global warming of 2.8℃ over the twenty-first century.",1.0,explorer,
UNFCCC.non-party.1871.0,3037b7f56651356907d30e9f5b2c1489__e390640f595142dc96e1af07933b3838a8ce9a7eaf8ddab385b0235e79df1331,EMISSIONS,EMISSIONS,emissions,183,192,"· Energy, climate and sustainable development: According to the International Energy Agency, energy-related CO2 emissions rebounded to 36.6Gt in 2021, the largest ever annual rise in emissions and consistent with 2.5℃ warming.",1.0,explorer,
UNFCCC.non-party.1871.0,3037b7f56651356907d30e9f5b2c1489__e390640f595142dc96e1af07933b3838a8ce9a7eaf8ddab385b0235e79df1331,CARBON_DIOXIDE,CO2,CO2,108,111,"· Energy, climate and sustainable development: According to the International Energy Agency, energy-related CO2 emissions rebounded to 36.6Gt in 2021, the largest ever annual rise in emissions and consistent with 2.5℃ warming.",1.0,explorer,
UNFCCC.non-party.1871.0,3037b7f56651356907d30e9f5b2c1489__e390640f595142dc96e1af07933b3838a8ce9a7eaf8ddab385b0235e79df1331,EMISSIONS,EMISSIONS,emissions,112,121,"· Energy, climate and sustainable development: According to the International Energy Agency, energy-related CO2 emissions rebounded to 36.6Gt in 2021, the largest ever annual rise in emissions and consistent with 2.5℃ warming.",1.0,explorer,
UNFCCC.non-party.1871.0,9aadbb106d7509a9528e89917f87432e__e3c8b811e7dbb06a623236831e91695232720b10bfb0b489c00ece095f388e80,EMISSIONS,EMISSIONS,emission,135,143,"1 According to the latest UNFCCC NDC Synthesis Report, the implementation of NDCs as of 31 Dec 2021 are projected to lead to total GHG emission levels that are 0.3% lower than in 2019.",1.0,explorer,
UNFCCC.non-party.1871.0,9aadbb106d7509a9528e89917f87432e__e3c8b811e7dbb06a623236831e91695232720b10bfb0b489c00ece095f388e80,EMISSIONS,EMISSIONS,emissions,222,231,"Further, the level of cumulative CO2 emissions in 2020-2030 would use 86% of the remaining carbon budget aligned with 1.5℃ warming.",1.0,explorer,
UNFCCC.non-party.1871.0,9aadbb106d7509a9528e89917f87432e__e3c8b811e7dbb06a623236831e91695232720b10bfb0b489c00ece095f388e80,CARBON_DIOXIDE,CO2,CO2,218,221,"Further, the level of cumulative CO2 emissions in 2020-2030 would use 86% of the remaining carbon budget aligned with 1.5℃ warming.",1.0,explorer,
UNFCCC.non-party.1871.0,9aadbb106d7509a9528e89917f87432e__e3c8b811e7dbb06a623236831e91695232720b10bfb0b489c00ece095f388e80,GREENHOUSE_GASES,GREENHOUSE_GASES,GHG,131,134,"1 According to the latest UNFCCC NDC Synthesis Report, the implementation of NDCs as of 31 Dec 2021 are projected to lead to total GHG emission levels that are 0.3% lower than in 2019.",1.0,explorer,
