document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,afe576ec0466a1a717389968e12cdcbd__226d06f320b726e7ce01894d3e697ac8bc2847cd629cfffb508e09b38697dd46,EMISSIONS,EMISSIONS,emissions,310,319,"Reaffirms that sustainable and just solutions to the climate crisis must be founded on meaningful and effective social dialogue and participation of all stakeholders, including Indigenous Peoples, local communities and governments, women, and youth and children, and notes that the global transition to low emissions and climate-resilient development provides opportunities and challenges for sustainable development and poverty eradication;",1.0,explorer,
UNFCCC.non-party.1881.0,e5e5e0a40ac645c2a9f46f769a8dbf23__c1c3c6140dd5eb7dc22ef398690ef949becd9af9fe633e08332025efdf9b78d0,EMISSIONS,EMISSIONS,emissions,47,56,"(a) That human activities, principally through emissions of greenhouse gases, have unequivocally caused global warming of about 1.1 ℃;",1.0,explorer,
UNFCCC.non-party.1881.0,e5e5e0a40ac645c2a9f46f769a8dbf23__c1c3c6140dd5eb7dc22ef398690ef949becd9af9fe633e08332025efdf9b78d0,GREENHOUSE_GASES,GREENHOUSE_GASES,gases,71,76,"(a) That human activities, principally through emissions of greenhouse gases, have unequivocally caused global warming of about 1.1 ℃;",1.0,explorer,
UNFCCC.non-party.1881.0,248b5ff81a7d2b885dd7bd3db74d02f7__6ef81a18b6dfca77e90281eeb13046fafa67aa386508c5b29c9e26b83a82458b,EMISSIONS,EMISSIONS,emissions,118,127,"(d) That mitigation efforts embedded within the wider development context can increase the pace, depth and breadth of emissions reductions, as well as that policies that shift development pathways towards sustainability can broaden the portfolio of available mitigation responses and enable the pursuit of synergies with development objectives;",1.0,explorer,
UNFCCC.non-party.1881.0,3b4b93aa650b218ab9fb567d40549834__b0f73d9d09f8bb698bb30e1ab7f285780b02ec4d866db1f9672bdd953a9d0cce,EMISSIONS,EMISSIONS,emissions,231,240,"Notes with concern the pre-2020 gaps in both mitigation ambition and implementation by developed country Parties and that the Intergovernmental Panel on Climate Change had earlier indicated that developed countries must reduce emissions by 25-40 per cent below 1990 levels by 2020, which was not achieved;",1.0,explorer,
UNFCCC.non-party.1881.0,b40ed8bb07ada86e287c57414ce6b609__5c0b9d9cc96da4331f2cfd6e4cb0a7a5ac5a3b0f1d6b9ecf0aa5d8639415095a,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,281,284,"Commends the 68 Parties that have communicated long-term low greenhouse gas emission development strategies and notes that 87 per cent of the global economy in terms of share of gross domestic product is covered by targets for climate neutrality, carbon neutrality, greenhouse gas neutrality or net zero emissions, which provides the possibility of achieving a temperature increase below 2 ℃ when taking into account the full implementation of those strategies;",1.0,explorer,
UNFCCC.non-party.1881.0,b40ed8bb07ada86e287c57414ce6b609__5c0b9d9cc96da4331f2cfd6e4cb0a7a5ac5a3b0f1d6b9ecf0aa5d8639415095a,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,76,79,"Commends the 68 Parties that have communicated long-term low greenhouse gas emission development strategies and notes that 87 per cent of the global economy in terms of share of gross domestic product is covered by targets for climate neutrality, carbon neutrality, greenhouse gas neutrality or net zero emissions, which provides the possibility of achieving a temperature increase below 2 ℃ when taking into account the full implementation of those strategies;",1.0,explorer,
UNFCCC.non-party.1881.0,b40ed8bb07ada86e287c57414ce6b609__5c0b9d9cc96da4331f2cfd6e4cb0a7a5ac5a3b0f1d6b9ecf0aa5d8639415095a,EMISSIONS,EMISSIONS,emissions,308,317,"Commends the 68 Parties that have communicated long-term low greenhouse gas emission development strategies and notes that 87 per cent of the global economy in terms of share of gross domestic product is covered by targets for climate neutrality, carbon neutrality, greenhouse gas neutrality or net zero emissions, which provides the possibility of achieving a temperature increase below 2 ℃ when taking into account the full implementation of those strategies;",1.0,explorer,
UNFCCC.non-party.1881.0,b40ed8bb07ada86e287c57414ce6b609__5c0b9d9cc96da4331f2cfd6e4cb0a7a5ac5a3b0f1d6b9ecf0aa5d8639415095a,EMISSIONS,EMISSIONS,emission,80,88,"Commends the 68 Parties that have communicated long-term low greenhouse gas emission development strategies and notes that 87 per cent of the global economy in terms of share of gross domestic product is covered by targets for climate neutrality, carbon neutrality, greenhouse gas neutrality or net zero emissions, which provides the possibility of achieving a temperature increase below 2 ℃ when taking into account the full implementation of those strategies;",1.0,explorer,
UNFCCC.non-party.1881.0,3605c43cbe142d40d76ee4dedd5262ea__dc0818cc622986965a7f5ad5379beecf2b2816784cfe50905111a7106008e261,EMISSIONS,EMISSIONS,emissions,201,210,Notes with concern the findings in the latest version of the synthesis report on nationally determined contributions that implementation of current nationally determined contributions would reduce emissions on average by 2 per cent compared with the 2019 level by 2030 and that significantly greater emission reductions are required to align with global greenhouse gas emission trajectories in line with the temperature goal of the Paris Agreement and recognizes the urgent need to address this gap;,1.0,explorer,
UNFCCC.non-party.1881.0,3605c43cbe142d40d76ee4dedd5262ea__dc0818cc622986965a7f5ad5379beecf2b2816784cfe50905111a7106008e261,EMISSIONS,EMISSIONS,emission,304,312,Notes with concern the findings in the latest version of the synthesis report on nationally determined contributions that implementation of current nationally determined contributions would reduce emissions on average by 2 per cent compared with the 2019 level by 2030 and that significantly greater emission reductions are required to align with global greenhouse gas emission trajectories in line with the temperature goal of the Paris Agreement and recognizes the urgent need to address this gap;,1.0,explorer,
UNFCCC.non-party.1881.0,3605c43cbe142d40d76ee4dedd5262ea__dc0818cc622986965a7f5ad5379beecf2b2816784cfe50905111a7106008e261,EMISSIONS,EMISSIONS,emission,373,381,Notes with concern the findings in the latest version of the synthesis report on nationally determined contributions that implementation of current nationally determined contributions would reduce emissions on average by 2 per cent compared with the 2019 level by 2030 and that significantly greater emission reductions are required to align with global greenhouse gas emission trajectories in line with the temperature goal of the Paris Agreement and recognizes the urgent need to address this gap;,1.0,explorer,
UNFCCC.non-party.1881.0,3605c43cbe142d40d76ee4dedd5262ea__dc0818cc622986965a7f5ad5379beecf2b2816784cfe50905111a7106008e261,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,369,372,Notes with concern the findings in the latest version of the synthesis report on nationally determined contributions that implementation of current nationally determined contributions would reduce emissions on average by 2 per cent compared with the 2019 level by 2030 and that significantly greater emission reductions are required to align with global greenhouse gas emission trajectories in line with the temperature goal of the Paris Agreement and recognizes the urgent need to address this gap;,1.0,explorer,
UNFCCC.non-party.1881.0,b14889465e896b57b3e58bb501227feb__7f00bd5f7d653cc66063038604af9588bcd882a084cfca616073197560b024dc,EMISSIONS,EMISSIONS,emission,106,114,"22. Notes the findings in the synthesis report on nationally determined contributions that greenhouse gas emission levels in 2030 are projected to be 5.3 per cent lower than in 2019 if all nationally determined contributions, including all conditional elements, are fully implemented and that enhanced financial resources, technology transfer and technical cooperation, and capacity-building support are needed to achieve this;",1.0,explorer,
UNFCCC.non-party.1881.0,b14889465e896b57b3e58bb501227feb__7f00bd5f7d653cc66063038604af9588bcd882a084cfca616073197560b024dc,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,102,105,"22. Notes the findings in the synthesis report on nationally determined contributions that greenhouse gas emission levels in 2030 are projected to be 5.3 per cent lower than in 2019 if all nationally determined contributions, including all conditional elements, are fully implemented and that enhanced financial resources, technology transfer and technical cooperation, and capacity-building support are needed to achieve this;",1.0,explorer,
UNFCCC.non-party.1881.0,69286afe2a5d0453fe0d7d7c4bc259df__52a9dfa5e81004e6fe346b60bbe51852a1a071c30e69407cdbd089d2e8ec8184,EMISSIONS,EMISSIONS,emissions,217,226,"Notes with concern the findings of the Sixth Assessment Report of the Intergovernmental Panel on Climate Change that policies implemented by the end of 2020 are projected to result in higher global greenhouse gas emissions than those implied by the nationally determined contributions, indicating an implementation gap, and resolves to take action to urgently address this gap;",1.0,explorer,
UNFCCC.non-party.1881.0,69286afe2a5d0453fe0d7d7c4bc259df__52a9dfa5e81004e6fe346b60bbe51852a1a071c30e69407cdbd089d2e8ec8184,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,213,216,"Notes with concern the findings of the Sixth Assessment Report of the Intergovernmental Panel on Climate Change that policies implemented by the end of 2020 are projected to result in higher global greenhouse gas emissions than those implied by the nationally determined contributions, indicating an implementation gap, and resolves to take action to urgently address this gap;",1.0,explorer,
UNFCCC.non-party.1881.0,2862d230c177af4de7c6d4c390ee1793__8d2cf8b498416818cf134cee6adad4862814ace798bcedb3e82f1ba612ef15b7,EMISSIONS,EMISSIONS,emissions,81,90,"Notes with significant concern that, despite progress, global greenhouse gas emissions trajectories are not yet in line with the temperature goal of the Paris Agreement, and that there is a rapidly narrowing window for raising ambition and implementing existing commitments in order to achieve it;",1.0,explorer,
UNFCCC.non-party.1881.0,2862d230c177af4de7c6d4c390ee1793__8d2cf8b498416818cf134cee6adad4862814ace798bcedb3e82f1ba612ef15b7,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,77,80,"Notes with significant concern that, despite progress, global greenhouse gas emissions trajectories are not yet in line with the temperature goal of the Paris Agreement, and that there is a rapidly narrowing window for raising ambition and implementing existing commitments in order to achieve it;",1.0,explorer,
UNFCCC.non-party.1881.0,0efd3d325797451c58fdfe1aa3cfaa44__d401d567c33340ee6f1747c2fbbee7e0a20fdcf46daa37e2947bdd7e1d95f705,EMISSIONS,EMISSIONS,emissions,211,220,25. Expresses concern that the carbon budget consistent with achieving the Paris Agreement temperature goal is now small and being rapidly depleted and acknowledges that historical cumulative net carbon dioxide emissions already account for about four fifths of the total carbon budget for a 50 per cent probability of limiting global warming to 1.5 ℃;,1.0,explorer,
UNFCCC.non-party.1881.0,0efd3d325797451c58fdfe1aa3cfaa44__d401d567c33340ee6f1747c2fbbee7e0a20fdcf46daa37e2947bdd7e1d95f705,CARBON_DIOXIDE,CARBON_DIOXIDE,dioxide,203,210,25. Expresses concern that the carbon budget consistent with achieving the Paris Agreement temperature goal is now small and being rapidly depleted and acknowledges that historical cumulative net carbon dioxide emissions already account for about four fifths of the total carbon budget for a 50 per cent probability of limiting global warming to 1.5 ℃;,1.0,explorer,
UNFCCC.non-party.1881.0,4a902673bd3ca5dd834e7cd6ff9575e8__e94f79c2fad47b3f61b52302fed55e34d98ad9f0579993218883b97842457694,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,207,210,"Recognizes the finding in the Synthesis Report of the Sixth Assessment Report of the Intergovernmental Panel on Climate Change,2 based on global modelled pathways and assumptions, that global greenhouse gas emissions are projected to peak between 2020 and at the latest before 2025 in global modelled pathways that limit warming to 1.5 ℃ with no or limited overshoot and in those that limit warming to 2 ℃ and assume immediate action, and notes that this does not imply peaking in all countries within this time frame, and that time frames for peaking may be shaped by sustainable development, poverty eradication needs and equity and be in line with different national circumstances, and recognizes that technology development and transfer on voluntary and mutually agreed terms, as well as capacity-building and financing, can support countries in this regard;",1.0,explorer,
UNFCCC.non-party.1881.0,4a902673bd3ca5dd834e7cd6ff9575e8__e94f79c2fad47b3f61b52302fed55e34d98ad9f0579993218883b97842457694,EMISSIONS,EMISSIONS,emissions,211,220,"Recognizes the finding in the Synthesis Report of the Sixth Assessment Report of the Intergovernmental Panel on Climate Change,2 based on global modelled pathways and assumptions, that global greenhouse gas emissions are projected to peak between 2020 and at the latest before 2025 in global modelled pathways that limit warming to 1.5 ℃ with no or limited overshoot and in those that limit warming to 2 ℃ and assume immediate action, and notes that this does not imply peaking in all countries within this time frame, and that time frames for peaking may be shaped by sustainable development, poverty eradication needs and equity and be in line with different national circumstances, and recognizes that technology development and transfer on voluntary and mutually agreed terms, as well as capacity-building and financing, can support countries in this regard;",1.0,explorer,
UNFCCC.non-party.1881.0,9edc6ffa59621aae71c79678cc94ae01__c3caf8b98c14019c91a26b7ccb20c8a106751885a430233911bd37949de7d6c0,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,154,157,"Also recognizes that limiting global warming to 1.5 ℃ with no or limited overshoot requires deep, rapid and sustained reductions in global greenhouse gas emissions of 43 per cent by 2030 and 60 per cent by 2035 relative to the 2019 level and reaching net zero carbon dioxide emissions by 2050;",1.0,explorer,
UNFCCC.non-party.1881.0,9edc6ffa59621aae71c79678cc94ae01__c3caf8b98c14019c91a26b7ccb20c8a106751885a430233911bd37949de7d6c0,EMISSIONS,EMISSIONS,emissions,158,167,"Also recognizes that limiting global warming to 1.5 ℃ with no or limited overshoot requires deep, rapid and sustained reductions in global greenhouse gas emissions of 43 per cent by 2030 and 60 per cent by 2035 relative to the 2019 level and reaching net zero carbon dioxide emissions by 2050;",1.0,explorer,
UNFCCC.non-party.1881.0,9edc6ffa59621aae71c79678cc94ae01__c3caf8b98c14019c91a26b7ccb20c8a106751885a430233911bd37949de7d6c0,CARBON_DIOXIDE,CARBON_DIOXIDE,dioxide,271,278,"Also recognizes that limiting global warming to 1.5 ℃ with no or limited overshoot requires deep, rapid and sustained reductions in global greenhouse gas emissions of 43 per cent by 2030 and 60 per cent by 2035 relative to the 2019 level and reaching net zero carbon dioxide emissions by 2050;",1.0,explorer,
UNFCCC.non-party.1881.0,9edc6ffa59621aae71c79678cc94ae01__c3caf8b98c14019c91a26b7ccb20c8a106751885a430233911bd37949de7d6c0,EMISSIONS,EMISSIONS,emissions,279,288,"Also recognizes that limiting global warming to 1.5 ℃ with no or limited overshoot requires deep, rapid and sustained reductions in global greenhouse gas emissions of 43 per cent by 2030 and 60 per cent by 2035 relative to the 2019 level and reaching net zero carbon dioxide emissions by 2050;",1.0,explorer,
UNFCCC.non-party.1881.0,d0eeca6c8fd84ade2982bf9bcb5fbd5b__dee369593376e7ed24458535fcafe8f3ec37f8174a572146c3abbd88701711df,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,87,90,"Further recognizes the need for deep, rapid and sustained reductions in greenhouse gas emissions in line with 1.5 ℃ pathways and calls on Parties to contribute to the following global efforts, in a nationally determined manner, taking into account the Paris Agreement and their different national circumstances, pathways and approaches:",1.0,explorer,
UNFCCC.non-party.1881.0,d0eeca6c8fd84ade2982bf9bcb5fbd5b__dee369593376e7ed24458535fcafe8f3ec37f8174a572146c3abbd88701711df,EMISSIONS,EMISSIONS,emissions,91,100,"Further recognizes the need for deep, rapid and sustained reductions in greenhouse gas emissions in line with 1.5 ℃ pathways and calls on Parties to contribute to the following global efforts, in a nationally determined manner, taking into account the Paris Agreement and their different national circumstances, pathways and approaches:",1.0,explorer,
UNFCCC.non-party.1881.0,3a9fc32fc8d9f1fbb4fee826017a7931__6e778da8ee5e91548f2e0c9d02ca1f7bbeeb269054ee5bad06e766e6acad887e,EMISSIONS,EMISSIONS,emission,51,59,"(c) Accelerating efforts globally towards net zero emission energy systems, utilizing zero- and low-carbon fuels well before or by around mid-century;",1.0,explorer,
UNFCCC.non-party.1881.0,a44bd3b105171bbbc9269bd556e33717__a5c8d04dab848acd3f269d1c6613ac6e7f33625bb8f36be80d31ed66f076b62a,EMISSIONS,EMISSIONS,emission,31,39,"(e) Accelerating zero- and low-emission technologies, including, inter alia, renewables, nuclear, abatement and removal technologies such as carbon capture and utilization and storage, particularly in hard-to-abate sectors, and low-carbon hydrogen production;",1.0,explorer,
UNFCCC.non-party.1881.0,60adc659ce1e60355789b0238f2a5c13__5e5c9813adc610b42f7b56cfc41ef58bf4a3a8b29c62e5ebc4d4f24870bc1288,METHANE,METHANE,methane,107,114,"(f) Accelerating and substantially reducing non-carbon-dioxide emissions globally, including in particular methane emissions by 2030;",1.0,explorer,
UNFCCC.non-party.1881.0,60adc659ce1e60355789b0238f2a5c13__5e5c9813adc610b42f7b56cfc41ef58bf4a3a8b29c62e5ebc4d4f24870bc1288,CARBON_DIOXIDE,CARBON_DIOXIDE,dioxide,55,62,"(f) Accelerating and substantially reducing non-carbon-dioxide emissions globally, including in particular methane emissions by 2030;",1.0,explorer,
UNFCCC.non-party.1881.0,60adc659ce1e60355789b0238f2a5c13__5e5c9813adc610b42f7b56cfc41ef58bf4a3a8b29c62e5ebc4d4f24870bc1288,EMISSIONS,EMISSIONS,emissions,63,72,"(f) Accelerating and substantially reducing non-carbon-dioxide emissions globally, including in particular methane emissions by 2030;",1.0,explorer,
UNFCCC.non-party.1881.0,60adc659ce1e60355789b0238f2a5c13__5e5c9813adc610b42f7b56cfc41ef58bf4a3a8b29c62e5ebc4d4f24870bc1288,EMISSIONS,EMISSIONS,emissions,115,124,"(f) Accelerating and substantially reducing non-carbon-dioxide emissions globally, including in particular methane emissions by 2030;",1.0,explorer,
UNFCCC.non-party.1881.0,360c16c015f08792f3c34c78392a4e5c__a4194784ef14491d652b51492afafc02f1818202ad0d02916b32fc5753a3010c,EMISSIONS,EMISSIONS,emission,174,182,"(g) Accelerating the reduction of emissions from road transport on a range of pathways, including through development of infrastructure and rapid deployment of zero- and low-emission vehicles;",1.0,explorer,
UNFCCC.non-party.1881.0,360c16c015f08792f3c34c78392a4e5c__a4194784ef14491d652b51492afafc02f1818202ad0d02916b32fc5753a3010c,EMISSIONS,EMISSIONS,emissions,34,43,"(g) Accelerating the reduction of emissions from road transport on a range of pathways, including through development of infrastructure and rapid deployment of zero- and low-emission vehicles;",1.0,explorer,
UNFCCC.non-party.1881.0,3a3f3e0c890f0e596ef9e6f05fc1b288__14cc212d1bce37463b260946b15de6a226e0d8daf2cda054fe2d1ea3bcd65d19,EMISSIONS,EMISSIONS,emission,138,146,"Welcomes that over the past decade mitigation technologies have become increasingly available, and that the unit costs of several low-emission technologies have fallen continuously, notably wind power and solar power and storage, thanks to technological",1.0,explorer,
UNFCCC.non-party.1881.0,6b22591defe59565578b61ea09bdf2da__ea357445237bf355d7c4d142bdf0aee155c41cdb4958f7135089ce6034593dd6,GREENHOUSE_GASES,GREENHOUSE_GASES,gases,356,361,"Further emphasizes the importance of conserving, protecting and restoring nature and ecosystems towards achieving the Paris Agreement temperature goal, including through enhanced efforts towards halting and reversing deforestation and forest degradation by 2030, and other terrestrial and marine ecosystems acting as sinks and reservoirs of greenhouse gases and by conserving biodiversity, while ensuring social and environmental safeguards, in line with the Kunming-Montreal Global Biodiversity Framework;",1.0,explorer,
