document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,601286297aed6c924e35d253f76ab18e__a7ff11efbdeb70c26bc025cf0e5569377296bd3716e8ce1d8ab51b79b046f1ec,GREENHOUSE_GASES,GREENHOUSE_GASES,Gas,45,48,2006 IPCC Guidelines for National Greenhouse Gas Inventories,1.0,explorer
UNFCCC.non-party.1750.0,ec9eb60d9c94f6b9ca2ecd6db52e158c__5cb1dfb7d520ecba6e4ac7db11cd461e277ee9fe06510ea38dd77439f2d58ae5,METHANE,CH4,CH4,0,3,CH4,1.0,explorer
UNFCCC.non-party.1750.0,d192d350b6eace21e325ecf9b0f1ebd1__2d5f5a8dc4bbee0af82aee1c86024b91773b21af1c30f383f24e4f89171d347b,METHANE,METHANE,methane,0,7,methane,1.0,explorer
UNFCCC.non-party.1750.0,05f338756c3795e0fe583df923cd6a65__e2487d5f4b3f8068c53ecf95a4a35b941c8630bd7673ef63254b4a6cfb4c2967,CARBON_DIOXIDE,CO2,CO2,0,3,CO2,1.0,explorer
UNFCCC.non-party.1750.0,e4535db666ec2518a6f26bdc8824f5ca__ddf74783a6568c47ff2cc7906d8bc06f320c17db02cc7ea0a95ccea39247327e,CARBON_DIOXIDE,CARBON_DIOXIDE,dioxide,7,14,carbon dioxide,1.0,explorer
UNFCCC.non-party.1750.0,d68f645d94e2f36473b5330fd4cf465d__9343265f7a758c85134c785eee2420fbfc048422d4a80f979b07705c70273e27,CARBON_DIOXIDE,CO2,CO2,0,3,CO2 eq,1.0,explorer
UNFCCC.non-party.1750.0,1370099eed583ab5322928cf5053a01b__aa93159ca4ef104b1b129a0b970c69f9217bad78e6751d169934098f375a5a18,CARBON_DIOXIDE,CARBON_DIOXIDE,dioxide,7,14,carbon dioxide equivalent,1.0,explorer
UNFCCC.non-party.1750.0,50b2548ecd443bf1a826a6ed57bf729d__53078daadf50a0ad10375fafc1b8513867e0be18773f51cc85224a667e695362,EMISSIONS,EMISSIONS,emission,0,8,emission factor,1.0,explorer
UNFCCC.non-party.1750.0,e1f17280c6afc2cb478b7919d5d01903__375112e092d067b33f884fd1da38dd05115bd751cc1c2cca89a2074915ab8d03,GREENHOUSE_GASES,GREENHOUSE_GASES,GHG,0,3,GHG,1.0,explorer
UNFCCC.non-party.1750.0,7d05779654cafb65241d0a8ba47cd21d__5e456a70175affca5490d27226958b40b958cfe7d9b5b318cd5b37f2b696c40a,GREENHOUSE_GASES,GREENHOUSE_GASES,gas,11,14,greenhouse gas,1.0,explorer
