document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
CCLW.GST.623.623,90a56b6d889b2cb7eb0a036bbdaa2fe6__44d3b4ab420626962829a4b025fa983e65b9e33daf7dae3fdf3602154cbd18af,INTERNATIONAL_COOPERATION,,international cooperation,69,94,"c. Good practices, experience and potential opportunities to enhance international cooperation on mitigation and adaptation and to increase support under Article 13, paragraph 5, of the Paris Agreement.",1.0,explorer
CCLW.GST.520.520,5f2e6abe555311bf47807f3ebc27cd81__dd147ddf0b41025489bfc50873fc08bcf9b75dead9b29b7b36f7018822513199,INTERNATIONAL_COOPERATION,,international cooperation,181,206,"In October 2022, Singapore announced that it will enhance its climate pledge by committing to achieve net zero emissions by 2050, contingent on technological maturity and effective international cooperation.",1.0,explorer
CCLW.GST.520.520,fa23182d069cf369778b2d38c15ff204__c33cc0d1dc808c06b02db88909a5a08fcf2abd4250dbd7caa1a296eb4ccdf96d,INTERNATIONAL_COOPERATION,,International Cooperation,0,25,International Cooperation,1.0,explorer
CCLW.GST.520.520,0b551249a4f8b96a16beb9067ab9d01b__8af14e9e0d1798c435742c36e93ab2f1dc37723d937db7a7ebd8be4e3a6b6039,INTERNATIONAL_COOPERATION,,international cooperation,320,345,"In October 2022, we announced that we will raise our ambition to achieve net-zero emissions by 2050, contingent on technological maturity and effective international cooperation.",1.0,explorer
CCLW.GST.520.520,255994f3eca1027bbff438b001fbf1cc__7888004146e991b8927b44ac0102718aa6acb46a140953923578910a6b917b1c,INTERNATIONAL_COOPERATION,,international cooperation,234,259,Effective international cooperation through carbon credits is part of our suite of measures to achieve our decarbonisation goals.,1.0,explorer
CCLW.GST.208.208,9f1d3dfb3691da873dfb96afbf67c269__22b1b2e9870386926f301418966e84c6ade90954e1fb3aadc8be3d78e0405256,INTERNATIONAL_COOPERATION,,International Cooperation,77,102,"In industrial sector, US Agency for International Development (USAID), Japan International Cooperation Authority (JICA), European Union (EU), United Nations Industrial Development Organization (UNIDO), GIZ and United Nation Environment Program (UNEP) have implemented various energy efficiency initiatives.",1.0,explorer
CCLW.GST.208.208,f22ed2da777ae88bb7ab78a65f8b2cfd__d9987d399da3b76f940a05826bb726b113fefb66441d86b12c6a60d69041c4f7,INTERNATIONAL_COOPERATION,,International Cooperation,77,102,"Solid Waste Management Guidelines (draft) prepared with the support of Japan International Cooperation Agency (JICA), Japan.",1.0,explorer
CCLW.GST.309.309,ef38c5734574b1fe8ee6163433027127__c28767a42f44b6ba715252995bf6136e73a887e6b7e39f5e46021f687b45f007,INTERNATIONAL_COOPERATION,,international cooperation,296,321,"In line with the Paris Agreement, Thailand aims to peak its greenhouse gas emissions in 2030, with
the ambition to move towards net-zero greenhouse gas emissions as early as possible within the second half of this century, and towards carbon neutrality by 2065, while looking forward to enhanced international cooperation and support on finance, technology and capacity-building to achieve this ambition.",1.0,explorer
CCLW.GST.309.309,df33e0d358a72549de4b3c8a61edf380__0f1c187c433e93a90dac2178d23afc94238d442005e07692ff2d2c39cbb3a0dd,INTERNATIONAL_COOPERATION,,international cooperation,511,536,"In this regard, international cooperation and financial, technological, and capacity-building support are critically important to support Thailand's efforts to make this necessary transition towards a sustainable future.",1.0,explorer
CCLW.GST.309.309,3628bda9f2a664234e3b1d643ddfa625__ab1f3281aac66402ced9a0d3f96e10c4729e33182ec2eb4fef8313045eebddb6,INTERNATIONAL_COOPERATION,,international cooperation,482,507,"Lastly, to achieve Thailand's LEDS targets, international cooperation and support is needed in terms of policy development, research and technology development, development of appropriate mechanisms and instruments, and capacity building.",1.0,explorer
