document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,1f41978e3ee1b54ff2a94a05198e13a4__f19ea6483674989de8188b6de347659e6a4fe754eb0fddb779f226bca7c8923f,INTERNATIONAL_COOPERATION,,international cooperation,483,508,"Its outcome will play a central role in informing the updating and enhancing of NDCs, as well as galvanising international cooperation for climate action.",1.0,explorer,
UNFCCC.non-party.1859.0,a1bd537983936b7c7b8f8c2b323f1b41__cfb26acccfad2e4f7e5cef91498739f3033bd3d0cbaba457cf5d9a1df608f828,INTERNATIONAL_COOPERATION,,international cooperation,19,44,Governments and international cooperation;,1.0,explorer,
UNFCCC.non-party.1859.0,3c84d405560a52cb60c18e1f6075f589__777116e297d5600d9f4d4a93b9bc5db9f79fd9a6e30c1c635383dc408e6f7988,INTERNATIONAL_COOPERATION,,international cooperation,205,230,"The International Renewable Energy Agency (IRENA)4 is an intergovernmental organisation that supports countries in their transition to a sustainable energy future, and serves as the principal platform for international cooperation, a centre of excellence, and a repository of policy, technology, resource and financial knowledge on renewable energy.",1.0,explorer,
UNFCCC.party.1852.0,6dce764468c51d1150ae322968aff0f1__72cac57bee9ef96c39f13cc0a89c7e4bb83ced8babcc34dd8e1593604af93038,INTERNATIONAL_COOPERATION,,international cooperation,409,434,"The outcomes must inform the next round of Nationally Determined Contributions (NDCs) to the Paris Agreement, and enhance international cooperation in meeting the critical goals of the Agreement.",1.0,explorer,
UNFCCC.party.1852.0,ad5705ea2fb175ca1e76026d4524321f__94b28b0952d7487707d768ec12f01871d0ccfc4d34c2666b4d75eeaacdcc4bd1,INTERNATIONAL_COOPERATION,,international cooperation,152,177,"Climate action is part of a wider effort to transform societies and economies, both within states and amongst states, to make national economies, and international cooperation, more sustainable and just.",1.0,explorer,
UNFCCC.party.1852.0,55e110ab16875f1f08979acdb117e52b__be7ec97c5cf93ec332fef54aed70d6ca20464cedff86d03d50f7de54f1b8f137,INTERNATIONAL_COOPERATION,,international cooperation,11,36,Enhanced international cooperation is required on technology innovation.,1.0,explorer,
UNFCCC.party.1840.0,c986d151630afc6108da306d53e08bb1__fbb71df978ae02b16b2a95d92c88a9a8084bce7ec2b16b3e7f2d3fcf99b42a15,INTERNATIONAL_COOPERATION,,international cooperation,52,77,· Identify possible measures and good practices and international cooperation and related good practices,1.0,explorer,
UNFCCC.non-party.1857.0,1b263455a894d3a0182f7e9daf37de8f__91476fd98f611b783a09dd8d8d0450384f5e502f62503e685a9a62a32e23d007,INTERNATIONAL_COOPERATION,,international cooperation,311,336,"This requires the identification and promotion of systemic transformations, alongside international and sectoral enablers to enhance action and support, with a view of strengthening Parties' Long-Term Low Emission Development Strategies (LT-LEDS) and Nationally Determined Contributions (NDCs), while improving international cooperation.",1.0,explorer,
UNFCCC.party.1878.0,9e6c151863defd3575f798310b8a56d2__7ff64291d52d91794944c6ca14dbad33bc67d10ea845f0594e9683f58e907789,INTERNATIONAL_COOPERATION,,international cooperation,171,196,EU should continue leading the way in promoting international cooperation and fostering a collective effort towards addressing climate change at COP28 and beyond.,1.0,explorer,
UNFCCC.non-party.1873.0,484d5a9423b4926bb1af1e63d6c99e20__8895a92097bfd4fcc51b528d2aea79ae0269407fe6792e9b73ba73e961211a97,INTERNATIONAL_COOPERATION,,international cooperation,415,440,"The April consultations3 on the GST consideration of outcomes will focus on "" ... discussing the implications of the findings of the technical assessment with a view to achieving the outcome of the global stocktake of informing Parties in updating and enhancing, in a nationally determined manner, their actions and support, in accordance with relevant provisions of the Paris Agreement, as well as in enhancing international cooperation for climate action4"".",1.0,explorer,
