document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,a77b44325133df64037f960468cbc4af__85819a6ed99b8ace30eafb94d44739da9e7489388f024705a0977b83cb155fcd,INTERNATIONAL_COOPERATION,,international cooperation,719,744,"While the negotiations of CDR-specific issues are nascent, recent developments in the context of implementing the Paris Agreement's Article 6 on international cooperation indicate that the UNFCCC could play a more active role in the near term.",1.0,explorer
UNFCCC.party.1736.0,6b47d70216e9d95e678d5c1899346038__d7ba4042b15c3301a490a8408c07b15bf5cd229dce7c50e5b64ee594d297b024,INTERNATIONAL_COOPERATION,,international cooperation,289,314,The GRÓ-training programmes are examples of international cooperation with regards to education and training.,1.0,explorer
UNFCCC.party.1736.0,7047620dfcfcc663fe2369e05fcb98ac__b085dca3d2e555bc52b28a59b8f104d096f43a9464b158cd60088f2616f2e0c3,INTERNATIONAL_COOPERATION,,international cooperation,45,70,"Icelandic authorities participate in diverse international cooperation programmes with regards to public information dissemination on the environment, including climate change.",1.0,explorer
UNFCCC.non-party.1746.0,d6e9d6adb99eb6cd579a2f2481591a02__d4de03a3c23228006d0ae42e642b492c3c4921a6585b9aebea4ad6e69b2f8ad1,INTERNATIONAL_COOPERATION,,international co-operation,143,169,"The six Action for Climate Empowerment elements (education, training, public awareness, public access to information, public participation and international co-operation on climate change matters) provide a robust framework for rights-respecting and rights-based climate action.",1.0,explorer
UNFCCC.non-party.1746.0,6e4ef3b144cd827cdfd9c77ab45b0d94__a083cddb1f38d8a2d38406041cd9c810ee8b85f904ea9d61574126a37eb20d80,INTERNATIONAL_COOPERATION,,international cooperation,223,248,c. How can international cooperation for climate action be enhanced?,1.0,explorer
UNFCCC.party.1732.0,8f6a0fefdb8228fcd7096bf896ec4607__8740810e876b997b2180a7e27fa42e0cc2a4bd5093757d86ad95e2fcb6f6cbb9,INTERNATIONAL_COOPERATION,,international cooperation,288,313,The GRÓ-training programmes are examples of international cooperation with regards to education and training.,1.0,explorer
UNFCCC.party.1732.0,7047620dfcfcc663fe2369e05fcb98ac__b085dca3d2e555bc52b28a59b8f104d096f43a9464b158cd60088f2616f2e0c3,INTERNATIONAL_COOPERATION,,international cooperation,45,70,"Icelandic authorities participate in diverse international cooperation programmes with regards to public information dissemination on the environment, including climate change.",1.0,explorer
UNFCCC.non-party.1744.0,21f241dafd0c05cb863e7de4544b8a0f__a01621b4bc9db0c0c589d96cb8e0009fb46c1065745ced375ecc3b7c269e4d32,INTERNATIONAL_COOPERATION,,international cooperation,348,373,"(h) Incorporating disaster risk reduction measures, as appropriate, into multilateral and bilateral development assistance programmes and infrastructure financing, including through quality reliable, sustainable and resilient infrastructure investment, scaling up effective and meaningful global and regional partnerships and further strengthening international cooperation, including the fulfilment of respective",1.0,explorer
UNFCCC.non-party.1748.0,d5cda588a2714beb007b433cfc6ba2c9__17eabe4f1440dd3935c0d646a93e88d5276fcd4d99dabe5ad6cd9d4ad3fc4987,INTERNATIONAL_COOPERATION,,international cooperation,315,340,"National and international cooperation agencies lead, review and endorse the results included in the reports submitted to the UNFCCC secretariat.",1.0,explorer
UNFCCC.party.1729.0,2a231be2e07fc22516ea8c8d22ac66d4__a986cf47b5e8066ae500de1b3f22a445c9b2610576badb117f21d28222c5ea09,INTERNATIONAL_COOPERATION,,International Cooperation,119,144,"Engaging for Impact Towards Our Common Future, Ministry of International Cooperation, Annual Report 2021 https:/maic.gov.eg/page/annual-report-2021",1.0,explorer
