document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,a6ccab21453ed063e6bcc2f579c48702__976902740e055e2b07c7903fa2429fa21bfa3178d10370ed54091e6b43c4d88d,INTERNATIONAL_COOPERATION,,international cooperation,310,335,"Recalling, as provided in Article 14, paragraph 3, of the Paris Agreement, that the outcome of the global stocktake shall inform Parties in updating and enhancing, in a nationally determined manner, their actions and support in accordance with the relevant provisions of the Agreement, as well as in enhancing international cooperation for climate action,",1.0,explorer,
UNFCCC.non-party.1881.0,12412a4fdbe7caf6834a72f584cea26d__51ea329659adda3f0defd62e4adeb55481e42e4e1a19142e2ca977f904946b64,INTERNATIONAL_COOPERATION,,international cooperation,208,233,"Underlining the critical role of multilateralism based on United Nations values and principles, including in the context of the implementation of the Convention and the Paris Agreement, and the importance of international cooperation for addressing global issues, including climate change, in the context of sustainable development and efforts to eradicate poverty,",1.0,explorer,
UNFCCC.non-party.1881.0,b69eb8decdfdf38fe3a8028e0ff34e82__d22aef4c91ea76e6072430113bd515d8ae87f465645b6dd876b8d437b74b5c5b,INTERNATIONAL_COOPERATION,,international cooperation,153,178,"Recognizes that climate change impacts are often transboundary in nature and may involve complex, cascading risks that require knowledge-sharing and international cooperation for addressing them;",1.0,explorer,
UNFCCC.non-party.1881.0,30d7f876e9b774053f3b35cdd11c45d7__3dbe281f3219cc992c6f8c9d27f5b8fa70df135b26838cc63f8d9f82891d7b2d,INTERNATIONAL_COOPERATION,,international cooperation,26,51,"Encourages inclusive international cooperation on research, development and demonstration as well as innovation, including in hard-to-abate sectors, with a view to strengthening endogenous capacities and technologies and fostering national systems of innovation in line with the findings of the Intergovernmental Panel on Climate Change;",1.0,explorer,
UNFCCC.non-party.1881.0,4450b7cdf431da671734ca7ced0b89f4__25ae4a4596916ee587ebe1d3cfa075f3b9f1ccea13a81eb35c10a8562f6549ba,INTERNATIONAL_COOPERATION,,international cooperation,396,421,"Recognizes that achieving the long-term goals of the Paris Agreement requires the rapid and scaled-up deployment and adoption of existing clean technologies and accelerated innovation, digital transformation and development, demonstration and dissemination of new and emerging technologies, as well as increased access to those technologies, supported by appropriate enabling frameworks and international cooperation;",1.0,explorer,
UNFCCC.non-party.1881.0,9864107cf823355d876ae779153145fb__32b05f74dca093455e8c3155e15c9b83f97144550b0ff6699f0bb98af25ea281,INTERNATIONAL_COOPERATION,,international cooperation,401,426,"Requests the operating entities of the Financial Mechanism and the Adaptation Fund to further enhance support for capacity-building in developing countries and to provide updates thereon in their annual reports to the Conference of the Parties serving as the meeting of the Parties to the Paris Agreement and encourages Parties to further enhance support for capacity-building, including through international cooperation;",1.0,explorer,
UNFCCC.non-party.1881.0,6df1e89eaaa74731bc2b29806297331a__2ab457d408e9f6d554b81ab15c29cc16c9413d47a69e8c009e5e65c3bbf08cf5,INTERNATIONAL_COOPERATION,,International cooperation,4,29,International cooperation,1.0,explorer,
UNFCCC.non-party.1881.0,197b4302c48fd5bf203e63cbc2c22e11__0a3d58b07243edf6c3260d823b8549bddb2c24e59fa36ef4e4d6d57c5d6fed40,INTERNATIONAL_COOPERATION,,international cooperation,105,130,Notes that the Sixth Assessment Report of the Intergovernmental Panel on Climate Change states that international cooperation is a critical enabler for achieving ambitious climate action and encouraging development and implementation of climate policies;,1.0,explorer,
UNFCCC.non-party.1881.0,71e12ab644958d51a82d07e8de8b90c9__a7a312362215b47e957ec53a2ffddd73e99be47279ca17becda3c145d6d53a17,INTERNATIONAL_COOPERATION,,international cooperation,26,51,"Also recognizes that international cooperation is critical for addressing climate change, in the context of sustainable development and poverty eradication, particularly for those who have significant capacity constraints, and enhancing climate action across all actors of society, sectors and regions;",1.0,explorer,
UNFCCC.non-party.1881.0,8e9616b4c971f02655896cfef57ca106__028d7ef383ff263e3d36ebab5c8f3b83394ae6bcd6931179da2af112a7f8de2a,INTERNATIONAL_COOPERATION,,international cooperation,16,41,"Encourages international cooperation and the exchange of views and experience among non-Party stakeholders at the local, subnational, national and regional levels, including conducting joint research, personnel training, practical projects, technical exchanges, project investment and standards cooperation;",1.0,explorer,
UNFCCC.non-party.1881.0,e7df99eafc506d386d91276e96901197__b9ebfba754e397b549f8d6f503a17b4141dbfc7cf89a37abc2f4ab6140e20df5,INTERNATIONAL_COOPERATION,,international cooperation,272,297,"Decides to launch, under the guidance of the Presidencies of the fifth, sixth and seventh sessions of the Conference of the Parties serving as the meeting of the Parties to the Paris Agreement, a set of activities (""Road map to Mission 1.5"") to significantly enhance international cooperation and the international enabling environment to stimulate ambition in the next round of nationally determined contributions, with a view to enhancing action and implementation over this critical decade and keeping 1.5 ℃ within reach;",1.0,explorer,
