document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,3d219735b770a2f27d4670d8788251d0__79c0f361f0ba149e4996c01738515dd72ceddabe25c029444437d5e971b0f8cf,INTERNATIONAL_COOPERATION,NAN,International Cooperation,552,577,"The Party reported that the Climate Change and Development Authority is the governmental body responsible for its climate change policy and GHG inventory and BUR, which were prepared with the support of the Food and Agriculture Organization of the United Nations through the Global Environment Facility Capacity-building Initiative for Transparency and the Green Climate Fund Readiness and Preparatory Support Programme, and the Japan International Cooperation Agency.",1.0,explorer
UNFCCC.non-party.1750.0,91d2739cc3d9881fa4507e8becd0f172__22c59620e9cbade53d9cdec43191fd91c30762069c2ede770b2e51af94b7645d,INTERNATIONAL_COOPERATION,NAN,International Cooperation,400,425,"technical support for 25 projects since 2017 through bilateral or multilateral agreements with various governments and organizations (i.e. the Adaptation Fund, Asian Development Bank, Government of Australia, Department of Foreign Affairs and Trade of Australia, European Union, German Agency for International Cooperation, Global Environment Facility, Green Climate Fund, Government of Italy, Japan International Cooperation Agency, Korean International Cooperation Agency, Ministry of Foreign Affairs and Trade of New Zealand, NDC Partnership, United States Agency for International Development and World Bank).",1.0,explorer
UNFCCC.non-party.1750.0,91d2739cc3d9881fa4507e8becd0f172__22c59620e9cbade53d9cdec43191fd91c30762069c2ede770b2e51af94b7645d,INTERNATIONAL_COOPERATION,NAN,International Cooperation,441,466,"technical support for 25 projects since 2017 through bilateral or multilateral agreements with various governments and organizations (i.e. the Adaptation Fund, Asian Development Bank, Government of Australia, Department of Foreign Affairs and Trade of Australia, European Union, German Agency for International Cooperation, Global Environment Facility, Green Climate Fund, Government of Italy, Japan International Cooperation Agency, Korean International Cooperation Agency, Ministry of Foreign Affairs and Trade of New Zealand, NDC Partnership, United States Agency for International Development and World Bank).",1.0,explorer
UNFCCC.non-party.1750.0,91d2739cc3d9881fa4507e8becd0f172__22c59620e9cbade53d9cdec43191fd91c30762069c2ede770b2e51af94b7645d,INTERNATIONAL_COOPERATION,NAN,International Cooperation,297,322,"technical support for 25 projects since 2017 through bilateral or multilateral agreements with various governments and organizations (i.e. the Adaptation Fund, Asian Development Bank, Government of Australia, Department of Foreign Affairs and Trade of Australia, European Union, German Agency for International Cooperation, Global Environment Facility, Green Climate Fund, Government of Italy, Japan International Cooperation Agency, Korean International Cooperation Agency, Ministry of Foreign Affairs and Trade of New Zealand, NDC Partnership, United States Agency for International Development and World Bank).",1.0,explorer
UNFCCC.party.1761.0,7ef264d857e628dd16451cf1dd90d5e9__7abd669741fc999e18df6d4951b248447033c30927b6014530a0eb418b9c66fa,INTERNATIONAL_COOPERATION,NAN,International cooperation,2,27,International cooperation.........................................12,1.0,explorer
UNFCCC.party.1761.0,48f03b2e2777a56e5bb3d57190033aab__a02d46feef3877620b3880483c4c245af78ad51162adaff45b460d94aca4e858,INTERNATIONAL_COOPERATION,NAN,International cooperation,0,25,International cooperation,1.0,explorer
UNFCCC.party.1761.0,35bb91df3849219750854c1e20e55e4b__1e78c590e3e31d8f51d5f628ae1d3e8f2541ac8ed139650b9a3081282a43459b,INTERNATIONAL_COOPERATION,NAN,International Cooperation,56,81,"Through technical assistance from the ADB and the Japan International Cooperation Agency (JICA), the Energy Division has completed a review of the Electricity 1969, and national",1.0,explorer
UNFCCC.party.1761.0,48f03b2e2777a56e5bb3d57190033aab__a02d46feef3877620b3880483c4c245af78ad51162adaff45b460d94aca4e858,INTERNATIONAL_COOPERATION,NAN,International cooperation,0,25,International cooperation,1.0,explorer
UNFCCC.party.1761.0,75eeb711c7b2c604fd5637977c2a74fc__1387f77f017a1f50e3d2c33e7f71b025e850df9974ad69a67845df2afea96441,INTERNATIONAL_COOPERATION,NAN,international cooperation,166,191,"They establish a new policy and administrative architecture, data management, funds administration, and international cooperation.",1.0,explorer
UNFCCC.non-party.1762.0,e2814fef2262449cc54529dbe11fb622__ef3058bb43e710097d0e26767285f9c345ff4f9378b8246d6ec9966eacaf6e78,INTERNATIONAL_COOPERATION,NAN,international cooperation,737,762,"It provides an assessment of the collective progress towards achieving the purpose and long-term goals of the Paris Agreement and informs Parties about potential areas for updating and enhancing their action and support, as well as for enhancing international cooperation for climate action.",1.0,explorer
