document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
CCLW.GST.869.869,f7a4482b0b67334d93b48a2efa3c3062__8b5a279515ee1479c2be8770de63d85c148682c8a514b0955c9127386262bd66,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,0,15,Loss and Damage,1.0,explorer
CCLW.GST.869.869,2728d0cc1abc13d4d1ab2cf11239eba4__f79986b85de7af32c9096a4e07a9450405374264ccfb35f9747e24cb197e2847,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,loss and damage,126,141,"At the same time, rapidly worsening climate impacts everywhere are proof that we have entered the era of rapidly intensifying loss and damage (L&D).",1.0,explorer
CCLW.GST.869.869,69c655e7110c5e60ef196c3cd7876684__4699e94e767e3d801608e223df34d19866325d70235a2db22a08998d8171c553,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,loss and damage,3,18,On loss and damage,1.0,explorer
CCLW.GST.869.869,d97f0e5ef2bbf589cc001630a6af90e0__5105198fb465f576876016343f0ddea6c9e412f6d9fbe277bf4cdb9b93bd51c4,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,49,64,• The GST must link with the Santiago Network on Loss and Damage (SNLD) to monitor the effective delivery of technical assistance by the SNLD.,1.0,explorer
CCLW.GST.869.869,a5f8163a9315360e2927cd83824cfc39__2e2eb09cb1daf11f5700a0f8d625dd9548ef1eb0f38323cb0684cac823aba00d,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,3,18,Loss and Damage,1.0,explorer
CCLW.GST.869.869,6f04061638bb158ceba0752a947d25fd__8a298a3757f0824ad49a76523f8087534c67714137378f9128e00b16fc7791b3,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,Loss and damage,0,15,"Loss and damage (L&D) is the ""adverse impacts of human-induced climate change that cannot be [or wasn't] avoided by mitigation or adaptation, or that will not be avoided in the future by adaptation.",1.0,explorer
CCLW.GST.869.869,6f04061638bb158ceba0752a947d25fd__8a298a3757f0824ad49a76523f8087534c67714137378f9128e00b16fc7791b3,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,Loss and damage,397,412,Loss and damage is already a lived reality for people around the world.,1.0,explorer
CCLW.GST.869.869,1a318270670e6d8bc9ce19107e64ed7e__6429078df4115833026d26b2b486cccb6e0f70b4077a3c8e36439e0c32a7eb8c,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,loss and damage,176,191,Dealing with loss and damage globally must be reported under the GST as an outcome indicator for the Paris Agreement and could be established quickly using existing global risk databases.,1.0,explorer
CCLW.GST.869.869,11258697d7264dd1b58baea21e689b75__4a0be22f92a82addecafa47f223e910475633f3e4e59e635b91ca0100ccb0582,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,loss and damage,370,385,"In: Review of European, Comparative &
International Environmental Law 25 (2), 197-214.
8 Markandya/ González-Eguino (2018)
Based on: The Loss and Damage Collaboration 2021: Why do developing countries
need support to address loss and damage?; Schaefer et al. 2021a:",1.0,explorer
CCLW.GST.869.869,11258697d7264dd1b58baea21e689b75__4a0be22f92a82addecafa47f223e910475633f3e4e59e635b91ca0100ccb0582,LOSS_AND_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,282,297,"In: Review of European, Comparative &
International Environmental Law 25 (2), 197-214.
8 Markandya/ González-Eguino (2018)
Based on: The Loss and Damage Collaboration 2021: Why do developing countries
need support to address loss and damage?; Schaefer et al. 2021a:",1.0,explorer
