document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,317,332,"And by ambition, we mean all aspects necessary to reach all of the Paris goals : mitigation, adaptation, means of implementation and support, finance flows, addressing loss and damage, science, technology transfer and capacity building while securing intergenerational justice, gender equality, and a just transition, protecting human rights, labour rights and biodiversity.",1.0,explorer,
UNFCCC.non-party.1863.0,7db8d432e83d88a51a6093ce98e7da48__1a45437902de0e2e852b4e7808c949c47380d68ec9178cb4ad7ad19752829367,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,92,107,"Work Programme, the Global Goal on Adaptation and efforts to provide support for addressing loss and damage, the New Collective Quantified Goal) and post-2030 agenda.",1.0,explorer,
UNFCCC.non-party.1863.0,16c0fd34ec5eb57c845f995ee68cb440__5d4996bc0d97691ed09bb9f5093943f54e39e2507de10fb5d93f8f532e23c3b2,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,405,420,"Parties should clarify the process for scaling up both quantity and quality of climate finance provision, with Parties confirming that adequate and predictable public grant financing must remain at the core of all future financial support,, with a focus on at least doubling adaptation finance before 2025 and with Parties confirming that additional public grant financing will be provided for addressing loss and damage, with concrete contributions and leads for innovative sources of funding to",1.0,explorer,
UNFCCC.non-party.1863.0,a5e49db5747945a08b6af9f18dcab481__7a3dc028715cdcd3b5d711b3ca619b1b5b45fa0affe9996ff3571da7a6ca2da5,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,8,23,the new Loss and Damage Fund which was decided at Sharm El Sheikh in 2022.,1.0,explorer,
UNFCCC.party.1852.0,4c0c42fae8ae74dc2d2f870535037b86__2270095d67f39cac4f6af0828b1ab8851574c3064ba6c7c05beace2eb87bfa3e,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,356,371,"Enhanced and balanced implementation is required across all topics referred to in paragraph 6b of 19/CMA.1 (Mitigation, Adaptation and Means of Implementation, as well as Loss and Damage and Response Measures), with equity and ambition as cross-cutting issues.",1.0,explorer,
UNFCCC.party.1852.0,8c81808c5bb973e0a98907598a25b6a0__c849dabc5581a4893a153b7e21da28c41f81a451379d8d0b7b59a296589585b3,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss and damage,2,17,· Loss and damage,1.0,explorer,
UNFCCC.party.1852.0,5b712659846e688a904940e21bad7dff__e2814ead05727f00dd753b9c1bcf8af7b81ed2fba6549ba8678a96dafc5acc61,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,181,196,"The outcomes, or interim outcomes, of the time-bound work programmes under the UNFCCC, such as the Mitigation Work Programme, the Global Goal on Adaptation, the Glasgow Dialogue on Loss and Damage, the New Collective Quantified Goal on Climate Finance, and on the Just Transition, will serve as key contributions to the political phase of the GST.",1.0,explorer,
UNFCCC.party.1852.0,3fa4fa9dfeac62b00d92a69a5c76562e__7bb014273f5f50826000bd53d06f2e2024c1f47b00d1b5bdd76914a091637457,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,392,407,Continuous support is also required to build capacity for reporting on adaptation and loss and damage in developing country Parties' Biennial Transparency Reports.,1.0,explorer,
UNFCCC.party.1852.0,2a163383e5c7ca8694eca3a8f91242b2__081893750375ec274d99adcdbfa280847051f5e7d6ca08ec5fb6de5d4ddc4778,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,141,156,"An inventory of climate impacts and associated events is required to strengthen the information base for adaptation action and response to loss and damage, nationally and multilaterally.",1.0,explorer,
UNFCCC.party.1852.0,9e3e50f50fcc8aedede12c8ace0155ab__e8da2b334fa66992a186b6fb0184a8dfeb73a23a535c073841b5c3857ea57c05,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss And Damage,4,19,4.6 Loss And Damage,1.0,explorer,
