document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1734.0,21154e2f167ef82ab96058a1a7d8b0af__fefeae61962ec61bf07d01ede3670211b59280bf7edac0a935122847c5f20c51,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,38,53,account for economic and non-economic loss and damage.,1.0,explorer
UNFCCC.party.1734.0,f27b9d3f52b4db9eeeca8446e3151ba8__5bc30144727f241e4384d3c0a75d26b5981981456823cd6e66df039b0cbae6f9,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,3,18,"of loss and damage, it is generally understood that both",1.0,explorer
UNFCCC.party.1734.0,7d94b433f5853241df41099f35d4fa48__8d37a28da4d0cea0294f6f3f49add7a636703e6c3f68d6ab38a56f706e7ec93a,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,16,31,highly prone to loss and damage from climate change.,1.0,explorer
UNFCCC.party.1734.0,eb6b4461d79fb922ad348067d7e7d1f9__663f96ea23c64470f86d0fb47d4a852a5e7d39d4b35c0dc144d28fd813d2720c,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,17,32,likely to suffer loss and damage from lack of funding or,1.0,explorer
UNFCCC.non-party.1737.0,dc0b6ca6ce27ee688f1d97eaf5fcdfd1__c08db4ab33ec7f8929c825053b7245f66f439288bbf2bc91f310b55224d6b8c7,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,300,315,"The rationale for the urgent mainstreaming of children's rights across climate action, including relevant data, metrics and recommendations with respect to the concrete measures and targets required to uphold children's rights and intergenerational equity across mitigation, adaptation, finance, and loss and damage, is set out and substantiated in a separate submission on the ""approach to the consideration of the outputs component of the first global stocktake"".",1.0,explorer
UNFCCC.non-party.1737.0,26975160cbc6043ff453a89ac3845d2d__d8e220c31163b9554bc9c05deff303350deffabe776b6063c7b85239026a5681,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,959,974,"Further details with respect to mitigation, adaptation, loss and damage, finance, and inclusion/participation, are provided in this submission.",1.0,explorer
UNFCCC.non-party.1744.0,17f12939436367675923052244e1e4be__6c037121c6fcd199497c16a38421b4d1e8751b6271ccb27c8de1773f4b55d6a5,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,345,360,"We welcome the outcomes of the twenty-seventh session of the Conference of the Parties to the United Nations Framework Convention on Climate Change and the fourth Conference of the Parties serving as the meeting of the Parties to the Paris Agreement, held in Sharm El-Sheikh, including the decision on funding arrangements for responding to loss and damage associated with the adverse effects of climate change, including a focus on addressing loss and damage.",1.0,explorer
UNFCCC.non-party.1744.0,17f12939436367675923052244e1e4be__6c037121c6fcd199497c16a38421b4d1e8751b6271ccb27c8de1773f4b55d6a5,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,448,463,"We welcome the outcomes of the twenty-seventh session of the Conference of the Parties to the United Nations Framework Convention on Climate Change and the fourth Conference of the Parties serving as the meeting of the Parties to the Paris Agreement, held in Sharm El-Sheikh, including the decision on funding arrangements for responding to loss and damage associated with the adverse effects of climate change, including a focus on addressing loss and damage.",1.0,explorer
UNFCCC.non-party.1747.0,6aa39f75468d585e574059555998f643__057ae0b17794eb6b4e8959d24648bb696db4216b25084cb57de30d849ef65c60,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,28,43,"Avert, minimize and address loss and damage associated with the adverse effects of climate change:",1.0,explorer
UNFCCC.non-party.1747.0,3d667bc47ecaa3e85c5c37beb5966cfb__dbad4308c1f4f04e77304b70aeeef92b4cf57397e455f101f68c612a78ceeb01,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,228,243,"Pursuant to Article 8 of the Paris Agreement and Decision 19/CMA.1 paragraph 6(b)(ii), what is the collective progress of efforts made to enhance understanding, action and support towards averting, minimizing and addressing loss and damage associated with the adverse effects of climate change, in the light of equity and the best available science?",1.0,explorer
UNFCCC.non-party.1747.0,3d2958f6ef5b2e9a7f0bd062998bc3a8__0ca342faa4746f82ea9ba5543c01b51168c8c819ededb9a1cab3d2f67a98f2f1,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,234,249,"FAO has been advancing knowledge on impacts of climate change on
agriculture and works in collaboration with the Potsdam Institute for Climate Impact Research and the
University of Kassel, to develop a loss and damage methodology to quantify losses on crop yield attributed
to climate change.",1.0,explorer
UNFCCC.party.1731.0,8571cfcd9a0dbfd6d94fca28efbe5542__bde15b26b4bb07777e760f1ab39fa9b5afcf4d2d81502fff8f2f8d84d506e0a2,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,522,537,"The National Adaptation Plan for the UAE, planned for 2024, will detail the country's adaptation ambitions, including an update to the UAE Climate Risk Assessment and evaluations on loss and damage caused to the UAE by climate change.",1.0,explorer
UNFCCC.non-party.1738.0,a7d3fe82152b6db0051548224c8d2116__2e4108d499b39051a1e9e51ddf73d2bfd3d378d286dd96e5bed711ac1e8722a0,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,422,437,"However, the escalating loss and damage associated with climate impacts, including extreme weather events, altered landscapes, and disrupted ecosystems, are challenging their ability to adapt and maintain their traditional livelihoods.",1.0,explorer
UNFCCC.non-party.1738.0,c8fe8e8a16153c3ff54c0b6e4ad40519__d17248df7cccd56df3fdc9cf174e086ac9e2d8bc64dcf9fce1744f66a110838a,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,227,242,"The adverse impacts of climate change result in the loss and damage of indigenous peoples' rights to access food, health, fishing, and hunting, as well as their right to maintain and strengthen their distinctive spiritual connections with their traditionally occupied lands and resources and maintain traditional knowledge, values, and practices.",1.0,explorer
UNFCCC.non-party.1738.0,cd41470035d2c9fc2dc3beadb6628b1e__5f225d5568905fd755bda6b940f8afcdd379b7bfd1ba17bbb1b985f1a6d8d6f7,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,1176,1191,"The rising sea level causes water-logged land and high salinity in streams, causing loss and damage to the water supply and crop production of indigenous peoples and local communities in Bangladesh.",1.0,explorer
