document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,4c2259d430fc4c39849e8aa7462ae4db__07429e3089cab8872aff686ae012221abe9cc26e90dee31eeae774f6761f7f6d,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,189,204,"efforts related to loss and damage; efforts related to response measures,",1.0,explorer
UNFCCC.non-party.1797.0,6dae0057032a18915fa47e42d3cefea7__0ee327af6ac0bb899ba8cddfc2a9e9df7b4552590e78efc7a3341d10765ec197,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,781,796,"Call for urgent and prioritized adaptation action and resources that respond to the most vulnerable countries, communities and populations; demand a sustainable energy paradigm that prioritizes safe, decentralized renewable energy systems that benefit people and communities; ensure adequate, new, additional and predictable climate finance for developing countries; provide resources to address loss and damage already incurred from climate inaction.",1.0,explorer
UNFCCC.non-party.1797.0,fed6764d77b8442864abc292d140b8e4__8a55e1682bac9480c8327379d1137524c26a760966b2da5ff9a3bc2aaca925aa,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,12,27,"Adaptation, Loss and Damage",1.0,explorer
UNFCCC.non-party.1797.0,eee882749508ac2f9022545ea6c1f3e5__3890ccc58490d5af837a2a14f111b202e4e1564832a037372898d8c52f6daef0,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,33,48,"-> Urge Parties to establish the Loss and Damage Fund at COP28 as the principal multilateral structure to catalyze and channel funds to address loss and damage, being responsible for providing the majority of finance that is based on the principles of CBDR- RC and equity; new and additional to ODA and to other climate finance; grant-based and public; human rights-based, people-centered and gender-responsive; grounded in a polluter pays approach; and accessible, predictable, and adequate.",1.0,explorer
UNFCCC.non-party.1797.0,eee882749508ac2f9022545ea6c1f3e5__3890ccc58490d5af837a2a14f111b202e4e1564832a037372898d8c52f6daef0,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,144,159,"-> Urge Parties to establish the Loss and Damage Fund at COP28 as the principal multilateral structure to catalyze and channel funds to address loss and damage, being responsible for providing the majority of finance that is based on the principles of CBDR- RC and equity; new and additional to ODA and to other climate finance; grant-based and public; human rights-based, people-centered and gender-responsive; grounded in a polluter pays approach; and accessible, predictable, and adequate.",1.0,explorer
UNFCCC.non-party.1797.0,5b0641a7f015df945c06dc92c8a62149__0869a220d5b2d792f95a14ffef6f1cb2c4d4880aea83bac5f66d092d5b8669af,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,232,247,"-> Urge Parties to identify gaps in gender mainstreaming in climate policies and programs and provide recommendations for integrating gender considerations and gender indicators into all topics, including mitigation, adaptation and loss and damage, at all stages of the policy and program cycle.",1.0,explorer
UNFCCC.non-party.1824.0,d0d6471bbb27e40adfb276b3ab76ceb4__c97da728e83ff39bce854e52241686ea78431f9c64f428deac7e952d636300b1,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss and Damage,109,124,Urge Parties to increase attention and finance for adaptation and resilience in agriculture as well as for Loss and Damage.,1.0,explorer
UNFCCC.non-party.1824.0,03185c672d2f7a5c040bcddff7e6096b__5698be4497e918b5b107573f89bd4d01ea3997621b6103b8018d5b6804a5bfeb,LOSS_&_DAMAGE,LOSS_&_DAMAGE,Loss & Damage,20,33,"· Stresses that the Loss & Damage Fund should be grant-based, human rights-based and farmer-centric, predictable, and adequate.",1.0,explorer
UNFCCC.non-party.1824.0,1d3d7c3883b7d662f839d87cbe6b4268__ab0e44afb6ab30e221a6cb2ef544e859354802391fbb7661dfae975430f51b10,LOSS_&_DAMAGE,LOSS_&_DAMAGE,L&D,175,178,"· Stresses that farmers and rural communities, should have meaningful and effective participation in the design and implementation of climate finance mechanisms including the L&D Fund.",1.0,explorer
UNFCCC.party.1771.0,04af05ac5e0067e8c50c3551a2409f63__211cbeedffab26a8a9e6f94543229fee457e665465434ee82940036c6ffbc26c,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,755,770,"The Group is of the view that elements such as principles of CBDR-RC, equity, means of implementation and support, response measures, loss and damage, and international cooperation are essential components in their own rights, but also have important cross-cutting considerations.",1.0,explorer
