document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1762.0,462ba57015fc4caac3eaac71f9a30ba8__fdb66d9ebbb299f517c8be3d175e03acebcd693252c5ebe438f0d5c69bdc114f,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,25,40,"C. Adaptation, including loss and damage ...................................................................................",1.0,explorer
UNFCCC.non-party.1762.0,462ba57015fc4caac3eaac71f9a30ba8__fdb66d9ebbb299f517c8be3d175e03acebcd693252c5ebe438f0d5c69bdc114f,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,25,40,"C. Adaptation, including loss and damage ...................................................................................",1.0,explorer
UNFCCC.non-party.1762.0,824ea6a478c92278ceabec2c7458eb28__c6b6e0aed1b7d43c5bdbc870715f2acf47d1372645ae2665797a450ec4a2d8f7,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,99,114,transitional committee on the operationalization of the new funding arrangements for responding to loss and damage and the fund established in paragraph 3 of decisions 2/CP.27 and 2/CMA.4,1.0,explorer
UNFCCC.non-party.1762.0,946d7315da071f86bde257c6c264a2c0__1ef4f114f05e5f803b774ab71d3237f76b1c788ad9b67946b6fc96a9f426e8a0,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,25,40,"C. Adaptation, including loss and damage",1.0,explorer
UNFCCC.non-party.1762.0,a1d27f8285947a48e44e13a93de141ce__77571e006176c230378765e595ee133cbe9cc13611752b63b19ab3011fa78a6e,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,190,205,"Key finding 9: as climate change threatens all countries, communities and people around the world, increased adaptation action as well as enhanced efforts to avert, minimize and address loss and damage are urgently needed to reduce and respond to increasing impacts, particularly for those who are least prepared for change and least able to recover from disasters.",1.0,explorer
UNFCCC.non-party.1762.0,85cd08d6bb0b54b81d78a34ef82f87f4__b7ba3d9e35987017fea78195fb74f8914aca4425e53bd4432a9e3a723dea64dd,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,42,57,Collective progress on adaptation and loss and damage must undergo a step change in fulfilling the ambition set out in the Paris Agreement.,1.0,explorer
UNFCCC.non-party.1762.0,13b7034781f293e6a5e01895cafe554d__7ca04ba94c585f2ae86f25a2d8d70d84158d904424c94cb73266b3cc6120ce2e,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,56,71,"Key finding 12: averting, minimizing and addressing loss and damage requires urgent action across climate and development policies to manage risks comprehensively and provide support to impacted communities.",1.0,explorer
UNFCCC.non-party.1762.0,36b827a805bc8de8f1bb265d7f8b85c6__45d8fad4a2f5bb69b5a3f0c9090e622699fe80cf6c9edd0be54967435682317c,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,620,635,"Greater understanding is needed of how to avoid and respond to tipping points and more knowledge, understanding, support, policy and action are needed to comprehensively manage risks and avert, minimize and address loss and damage.",1.0,explorer
UNFCCC.non-party.1762.0,c9608b02f2275accef1b31cfb38fc90f__4d245e8acc69eaca014637a3aa7f125029cd150fd842423a9a619b443de68651,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,108,123,"Key finding 13: support for adaptation and funding arrangements for averting, minimizing and addressing loss and damage need to be rapidly scaled up from expanded and innovative sources, and financial flows need to be made consistent with climate-resilient development to meet urgent and increasing needs.",1.0,explorer
UNFCCC.non-party.1762.0,c45f1770860c38dd6cd76908ca94c076__c26512455d6d86fdf21d33b0d9ddc29971a537d2dec5db6e28f0f95edfe49b0d,LOSS_&_DAMAGE,LOSS_&_DAMAGE,loss and damage,200,215,"Capacity limitations present barriers across all dimensions of climate policy, including mitigation, adaptation, enabling and using technology and finance, and averting, minimizing and addressing loss and damage.",1.0,explorer
