document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,1f41978e3ee1b54ff2a94a05198e13a4__f19ea6483674989de8188b6de347659e6a4fe754eb0fddb779f226bca7c8923f,MITIGATION,MITIGATION,mitigation,321,331,"The conclusion of the first Global Stocktake at COP28 represents a pivotal point to assess the status quo and identify the gaps and opportunities for implementation of the Paris Agreement across mitigation, adaptation, and means of implementation.",1.0,explorer,
UNFCCC.non-party.1863.0,6fc630fd005b5481a27c9586db6a4a86__43bfc0fea0ffae15cc4e623f079a9af3f2ee3ca67cc3c03890545a0aeada2e68,MITIGATION,MITIGATION,mitigation,230,240,"And by ambition, we mean all aspects necessary to reach all of the Paris goals : mitigation, adaptation, means of implementation and support, finance flows, addressing loss and damage, science, technology transfer and capacity building while securing intergenerational justice, gender equality, and a just transition, protecting human rights, labour rights and biodiversity.",1.0,explorer,
UNFCCC.non-party.1863.0,0e41cf5d65ca9c7e4abbaa1aa34d512a__ec32f59370f7247403d882ff8d5b3560aa85314e843c5dd061c89792b13d7420,MITIGATION,MITIGATION,Mitigation,471,481,"This should include a shift in nationally determined actions, planning and support to align with these goals, both in considering climate ambition and implementation and addressing climate impacts pre-2030 (recognising the linkages to ongoing processes, including the Mitigation",1.0,explorer,
UNFCCC.party.1852.0,4a01f61c97c77ccbcddd8e8c73ed71d8__86d39cfb81ff11d8c2af6882fcd780b3eb5aabf7fbf9188507a376254650e927,MITIGATION,MITIGATION,mitigation,1221,1231,"It is equally important that Parties respect the agreed multilateral process, and allow the GST to function without trying to preempt or circumvent the GST, whether through prioritizing other narrower work streams in the UNFCCC such as mitigation, or side processes outside the UNFCCC without a carefully-established multilateral mandate.",1.0,explorer,
UNFCCC.party.1852.0,4a01f61c97c77ccbcddd8e8c73ed71d8__86d39cfb81ff11d8c2af6882fcd780b3eb5aabf7fbf9188507a376254650e927,MITIGATION,MITIGATION,mitigation,234,244,"made by developed Parties, including the failure to deliver on the $100 billion per annum target for the mobilization of climate finance, and also by the failure of leadership by developed countries which led to a woefully inadequate mitigation outcome in 2020, putting more pressure on developing countries with less resources.",1.0,explorer,
UNFCCC.party.1852.0,4a01f61c97c77ccbcddd8e8c73ed71d8__86d39cfb81ff11d8c2af6882fcd780b3eb5aabf7fbf9188507a376254650e927,MITIGATION,MITIGATION,mitigation,378,388,"Trust has also been eroded by the advancing of a mitigation-centric approach to implementation, at the expense of the other pillars of the Convention and its Paris Agreement, thus destabilizing the careful balance achieved in Paris in 2015 and marginalizing critical areas of implementation for developing countries.",1.0,explorer,
UNFCCC.party.1852.0,4c0c42fae8ae74dc2d2f870535037b86__2270095d67f39cac4f6af0828b1ab8851574c3064ba6c7c05beace2eb87bfa3e,MITIGATION,MITIGATION,Mitigation,293,303,"Enhanced and balanced implementation is required across all topics referred to in paragraph 6b of 19/CMA.1 (Mitigation, Adaptation and Means of Implementation, as well as Loss and Damage and Response Measures), with equity and ambition as cross-cutting issues.",1.0,explorer,
UNFCCC.party.1852.0,8dd6c1b6bb5a8238215e77afa7674b51__ae6d5e16dbac8cb123b50b074c047d3b78b8d5c3b94f570b7718b73aa89ce632,MITIGATION,MITIGATION,mitigation,274,284,"The declaration would convey key political signals on how to bridge the gaps - mitigation, adaptation, finance, implementation, and other gaps - identified through the stocktake, raising ambition and enhancing both action and support.",1.0,explorer,
UNFCCC.party.1852.0,6639244aad9ce985d34327cf39a5b4ec__93dfd34cdd70c0637395c5a40c9027eea03a543370911ab9ae3ed429389805fe,MITIGATION,MITIGATION,Mitigation,2,12,"· Mitigation, including response measures",1.0,explorer,
UNFCCC.party.1852.0,5b712659846e688a904940e21bad7dff__e2814ead05727f00dd753b9c1bcf8af7b81ed2fba6549ba8678a96dafc5acc61,MITIGATION,MITIGATION,Mitigation,99,109,"The outcomes, or interim outcomes, of the time-bound work programmes under the UNFCCC, such as the Mitigation Work Programme, the Global Goal on Adaptation, the Glasgow Dialogue on Loss and Damage, the New Collective Quantified Goal on Climate Finance, and on the Just Transition, will serve as key contributions to the political phase of the GST.",1.0,explorer,
UNFCCC.party.1852.0,91ca4b38d068addd01b9c3d3e164819c__b657def3fb0b4bab6c28ed5287f0972fcfb95f7042095842731cff706edf90ff,MITIGATION,MITIGATION,Mitigation,4,14,"4.4 Mitigation, including Response Measures",1.0,explorer,
