document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,375c3081983a20fab6894308831746d7__38738795a3859b7b8aa391c315b4f070c05fc567d3c8d19aae85233e15816267,MITIGATION,MITIGATION,mitigation,1045,1055,"This is particularly true for the mitigation potential and costs of methods at lower TRLs, as illustrated by the wide ranges provided in Table 1.1.",1.0,explorer
UNFCCC.non-party.1740.0,375c3081983a20fab6894308831746d7__38738795a3859b7b8aa391c315b4f070c05fc567d3c8d19aae85233e15816267,MITIGATION,MITIGATION,mitigation,506,516,"As well as providing the method names we use throughout the report, the table summarises the specific route through the carbon cycle that each method employs; its stage of development (or Technology Readiness Level, TRL); its estimated costs at scale; its mitigation potential (the maximum potential to both remove atmospheric CO₂ and displace emissions in 2050 - by replacing emissions-intensive products and processes - considering biophysical and technological limits but not economic, environmental, socio-cultural or institutional constraints); its key potential hazards and co-benefits; and the feasibility of monitoring, reporting and verification (MRV).",1.0,explorer
UNFCCC.non-party.1740.0,5ad10d4ec88c3a18f5e89e5dc90c298e__10d73f675bc0545a7d401a6e3506f93a5a2b827a576939839a01c6a670a8e22c,MITIGATION,MITIGATION,Mitigation,795,805,"[Storage in aquatic
biomass
Cost at
scale
($/tCO₂)
100-300
50-200
40-260
50-500
Insufficient
data
Mitigation MRV
potential
(GtCO,/yr)
5-40
2-4
1-100
1-3
<1
Capture: v high,
no
Storage: high,
yes
Capture: low, no
Storage: low, no
Example hazards
Capture: low, no Mining impacts; air quality impacts of rock
Storage:
dust when spreading on land.",1.0,explorer
UNFCCC.non-party.1740.0,bec4a2a4408be3814cb360bb7fddd928__d49b0bc2c9a6bc5735f6cbaffd5c34c5cf91901dd1df37596b80e9bab7fd1642,MITIGATION,MITIGATION,mitigation,175,185,"Summary of Carbon Dioxide Removal (CDR) methods, the route through the carbon cycle that they employ, their Technology Readiness Level (TRL), their cost and global mitigation potential estimated for 2050, their key hazards and co-benefits, and the feasibility of monitoring, reporting and verification (MRV) of net carbon dioxide removal.",1.0,explorer
UNFCCC.non-party.1740.0,bec4a2a4408be3814cb360bb7fddd928__d49b0bc2c9a6bc5735f6cbaffd5c34c5cf91901dd1df37596b80e9bab7fd1642,MITIGATION,MITIGATION,mitigation,499,509,Costs at scale and mitigation potentials are judgements based on the literature; these are particularly uncertain for methods with a TRL around 7 and below.,1.0,explorer
UNFCCC.non-party.1740.0,304635bb1537d79cdd527a317027569e__a60b81874757ba2e7ec835b8808e32fe8f1731f6dfd38c9feac62b9b76100087,MITIGATION,MITIGATION,mitigation,262,272,"• Bioenergy with Carbon Capture and Storage as well as Direct Air Capture and Direct Air Carbon Capture and Storage receive comparatively little attention in the CDR literature - despite dominating discussions on, respectively, the role of CDR in climate change mitigation scenarios and private CDR investment.",1.0,explorer
UNFCCC.non-party.1740.0,78341779dd2710257a0fed8a70d16a7b__3386089ccc8637e1d0dc8c8e61eefe2ef16208ed723649cb101e286e723d5807,MITIGATION,MITIGATION,mitigation,651,661,This is despite the strong reliance on CCS in climate change mitigation scenarios that are consistent with meeting the Paris temperature goal 34-36 (see Chapter 7 - Scenarios).,1.0,explorer
UNFCCC.non-party.1740.0,d424e9af973e8dc105c06f21372e9051__e6b6e7d59f2e81ca0119daec12be796abfe92fc3816c79bfbadfdf668144b5c9,MITIGATION,MITIGATION,mitigation,175,185,"Regional and local circumstances will determine the costs, mitigation potentials and side effects of specific CDR methods and also relate to important governance aspects.",1.0,explorer
UNFCCC.non-party.1740.0,d424e9af973e8dc105c06f21372e9051__e6b6e7d59f2e81ca0119daec12be796abfe92fc3816c79bfbadfdf668144b5c9,MITIGATION,MITIGATION,mitigation,487,497,"Place-specific research will be critical for advancing scientific evidence on CDR, notably in regions that are typically projected to provide substantial deployments of specific CDR methods in global mitigation pathways that limit warming to well below 2°C³7.",1.0,explorer
UNFCCC.non-party.1740.0,3a70defb240bb013b84bc2969ccf2318__88bc382f1a12cc2c7f483c5614bd7e3a1b67faf4d08922b1cc21b662b61cc75d,MITIGATION,MITIGATION,mitigation,171,181,"Research, Development and Demonstration (RD&D) - Data on RD&D spending specifically related to Carbon Dioxide Removal (CDR) is patchy, in contrast to other climate change mitigation methods, but it is also similar in that respect to energy RD&D in its early years.",1.0,explorer
UNFCCC.non-party.1740.0,7aca408c7212a62c2730f442cc791206__c8e7ba415e0b720678ce3275fe37ecb66d15bd5a3ee9b912d0ce31a656a530da,MITIGATION,MITIGATION,mitigation,100,110,"To put this data in perspective, Bloomberg estimates global climate-technology investments (for all mitigation technologies, not just CDR) at $170 billion in 2021 - of which only $0.3 billion relates to CDR2.",1.0,explorer
