document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,a39c54bbe62ab65b898ff880aca87603__64cf7d967406d37fe4af99b28f38eacfeabe6c26503530b112902d1daec8510a,MITIGATION,MITIGATION,mitigation,440,450,"Further recalling, as provided in Article 14, paragraph 1, of the Paris Agreement, that the Conference of the Parties serving as the meeting of the Parties to the Paris Agreement shall periodically take stock of the implementation of the Paris Agreement to assess the collective progress towards achieving the purpose of the Agreement and its long-term goals, and that it shall do so in a comprehensive and facilitative manner, considering mitigation, adaptation and the means of implementation and support, and in the light of equity and the best available science,",1.0,explorer,
UNFCCC.non-party.1881.0,c549a51ffddffdad3b0cb2eccdd2fe3e__b28b7fc212aa007f004544b9bc8942f37bc4350f9a189c7a43668c092c3d0bf6,MITIGATION,MITIGATION,mitigation,48,58,"2. Underlines that, despite overall progress on mitigation, adaptation and means of implementation and support, Parties are not yet collectively on track towards achieving the purpose of the Paris Agreement and its long-term goals;",1.0,explorer,
UNFCCC.non-party.1881.0,3da63f20e75fb18fb82be37f78bfc091__63be0a930d58cb63345296c334b4f444398414c2c9fb21c593483b528a37d565,MITIGATION,MITIGATION,mitigation,75,85,"Underlines that just transitions can support more robust and equitable mitigation outcomes, with tailored approaches addressing different contexts;",1.0,explorer,
UNFCCC.non-party.1881.0,248b5ff81a7d2b885dd7bd3db74d02f7__6ef81a18b6dfca77e90281eeb13046fafa67aa386508c5b29c9e26b83a82458b,MITIGATION,MITIGATION,mitigation,9,19,"(d) That mitigation efforts embedded within the wider development context can increase the pace, depth and breadth of emissions reductions, as well as that policies that shift development pathways towards sustainability can broaden the portfolio of available mitigation responses and enable the pursuit of synergies with development objectives;",1.0,explorer,
UNFCCC.non-party.1881.0,248b5ff81a7d2b885dd7bd3db74d02f7__6ef81a18b6dfca77e90281eeb13046fafa67aa386508c5b29c9e26b83a82458b,MITIGATION,MITIGATION,mitigation,259,269,"(d) That mitigation efforts embedded within the wider development context can increase the pace, depth and breadth of emissions reductions, as well as that policies that shift development pathways towards sustainability can broaden the portfolio of available mitigation responses and enable the pursuit of synergies with development objectives;",1.0,explorer,
UNFCCC.non-party.1881.0,b37e2826ff6d7101a63b93c7ae7ea14c__0f51a55b0c44f47a45913cfa16541182dd9701b65d31e8db55426ec8d7640227,MITIGATION,MITIGATION,mitigation,29,39,"(e) That both adaptation and mitigation financing would need to increase manyfold, and that there is sufficient global capital to close the global investment gap but there are barriers to redirecting capital to climate action, and that Governments through public funding and clear signals to investors are key in reducing these barriers and investors, central banks and financial regulators can also play their part;",1.0,explorer,
UNFCCC.non-party.1881.0,96e5cc36b4cca4a92685ad2f953446a9__b78a79e106616f57d583377f8ebe4ac07f78bd63e2160fb97b4e858087cc95bd,MITIGATION,MITIGATION,mitigation,42,52,"(f) That feasible, effective and low-cost mitigation options are already available in all sectors to keep 1.5 ℃ within reach in this critical decade with the necessary cooperation on technologies and support;",1.0,explorer,
UNFCCC.non-party.1881.0,3b4b93aa650b218ab9fb567d40549834__b0f73d9d09f8bb698bb30e1ab7f285780b02ec4d866db1f9672bdd953a9d0cce,MITIGATION,MITIGATION,mitigation,49,59,"Notes with concern the pre-2020 gaps in both mitigation ambition and implementation by developed country Parties and that the Intergovernmental Panel on Climate Change had earlier indicated that developed countries must reduce emissions by 25-40 per cent below 1990 levels by 2020, which was not achieved;",1.0,explorer,
UNFCCC.non-party.1881.0,c982b54179159d7c83994363f3665498__9b1d7d202627473db60f6a4651cf3286f07708c62a4e3710700830f53bb08089,MITIGATION,MITIGATION,Mitigation,3,13,A. Mitigation,1.0,explorer,
UNFCCC.non-party.1881.0,3a3f3e0c890f0e596ef9e6f05fc1b288__14cc212d1bce37463b260946b15de6a226e0d8daf2cda054fe2d1ea3bcd65d19,MITIGATION,MITIGATION,mitigation,39,49,"Welcomes that over the past decade mitigation technologies have become increasingly available, and that the unit costs of several low-emission technologies have fallen continuously, notably wind power and solar power and storage, thanks to technological",1.0,explorer,
UNFCCC.non-party.1881.0,ee2a6006ab466913bb8ff7bf0a125f2f__41fffbe98bcd975413e6a762000160f12a59d02022e17d28201e128ddb3f4033,MITIGATION,MITIGATION,mitigation,74,84,"Emphasizes the urgent need for accelerated implementation of domestic mitigation measures in accordance with Article 4, paragraph 2, of the Paris Agreement, as well as the use of voluntary cooperation, referred to in Article 6, paragraph 1, of the Paris Agreement;",1.0,explorer,
UNFCCC.non-party.1881.0,d134ba84ce2f68ae7cca2f0754ee778c__34b0fc7ad303c8338a32965a632000312108e365ad98ca2590c3f8518b18476f,MITIGATION,MITIGATION,mitigation,298,308,"Also emphasizes the urgent need to strengthen integrated, holistic and balanced non- market approaches in accordance with Article 6, paragraph 8, of the Paris Agreement, in the context of sustainable development and poverty eradication, in a coordinated and effective manner, including through mitigation, adaptation, finance, technology transfer and capacity- building, as appropriate;",1.0,explorer,
UNFCCC.non-party.1881.0,4028b3e89556ecda17271e778d6e26de__d5a30e089a73201f3a89f26f999113398024ac079f58f966661879b0323850f5,MITIGATION,MITIGATION,mitigation,699,709,"Notes the need for enhanced support and investment, including through financial resources, technology transfer and capacity-building, for efforts towards halting and reversing deforestation and forest degradation by 2030 in the context of sustainable development and poverty eradication, in accordance with Article 5 of the Paris Agreement, including through results-based payments for policy approaches and positive incentives for activities relating to reducing emissions from deforestation and forest degradation, and the role of conservation, sustainable management of forests and enhancement of forest carbon stocks in developing countries; and alternative policy approaches, such as joint mitigation and adaptation approaches for the integral and sustainable management of forests, while reaffirming the importance of incentivizing, as appropriate, non-carbon benefits associated with such approaches;",1.0,explorer,
UNFCCC.non-party.1881.0,c4ed63d1d4e10ef4472b23959175e587__d28a89beb2f5d125e209644f73c738b1c9cf84b39b3b8518ec75787d8ddd0251,MITIGATION,MITIGATION,mitigation,116,126,"Invites Parties to preserve and restore oceans and coastal ecosystems and scale up, as appropriate, ocean-based mitigation action;",1.0,explorer,
UNFCCC.non-party.1881.0,c2aed80c946ded5cef8422f4a3b9b121__27ff40dd881fd0d6c76b949b1e45f8c16c3d6e815753c0e21efe765befb49eed,MITIGATION,MITIGATION,mitigation,271,281,"38. Recalls Article 4, paragraph 4, of the Paris Agreement, which provides that developed country Parties should continue taking the lead by undertaking economy-wide absolute emission reduction targets, and that developing country Parties should continue enhancing their mitigation efforts and are encouraged to move over time towards economy-wide emission reduction or limitation targets in the light of different national circumstances;",1.0,explorer,
UNFCCC.non-party.1881.0,e01eaf6981bb9dd6d06c91202875fb03__6bbcf69187e65371eedfab97c8ef51879efafbfeb09e7843f3e991bc16cde924,MITIGATION,MITIGATION,mitigation,111,121,"Emphasizes that the magnitude and rate of climate change and associated risks depend strongly on near-term mitigation and adaptation actions, that long-term planning for and accelerated implementation of adaptation, particularly in this decade, are critical to closing adaptation gaps and create many opportunities, and that accelerated financial support for developing countries from developed countries and other sources is a critical enabler;",1.0,explorer,
UNFCCC.non-party.1881.0,c097e0facf81bb1c4787469675c4a728__f44fbf272d3bb4df8098d44fc22e017bdfd53e3f5bba948c500a6a6d86d54086,MITIGATION,MITIGATION,mitigation,135,145,Recalls that developed country Parties shall provide financial resources to assist developing country Parties with respect to both mitigation and adaptation in continuation of their existing obligations under the Convention and that other Parties are encouraged to provide or continue to provide such support voluntarily;,1.0,explorer,
