document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,8e9d014982dc18cc5deef53467bcb542__ccdb574dbbc276cdb4e6e6db58e29009091f2cc38f60fbafa55ad3173873165b,MITIGATION,MITIGATION,mitigation,247,257,"The scope of the technical analysis is outlined in decision 20/CP.19, annex, paragraph 15, according to which the technical analysis aims to, without engaging in a discussion on the appropriateness of the actions, increase the transparency of mitigation actions and their effects and shall entail the following:",1.0,explorer
UNFCCC.non-party.1750.0,1fe58b448c691b1c04ccaae3aaf957b5__5952d2c4a4775dd087d550c578ac417c002210efe47714b78037f5bb56ca4241,MITIGATION,MITIGATION,mitigation,127,137,"The elements of information referred to in paragraph 12(a) above include the national GHG inventory report; information on mitigation actions, including a description of such actions, an analysis of their impacts and the associated methodologies and assumptions, and information on progress in their implementation; information on domestic MRV; and information on support needed and received.",1.0,explorer
UNFCCC.non-party.1750.0,cf7b57962b1dcaa362d6251718fa66e5__d8b2a3c8734225a000125af4d3564bed10afc1fbe89993fccb5921440f4a8b4f,MITIGATION,MITIGATION,mitigation,163,173,"Information on the GHG inventory, mitigation actions and their effects, needs and support and institutional arrangements reported in the Party’s second BUR demonstrates that it has taken into consideration the areas for enhancing",1.0,explorer
UNFCCC.non-party.1750.0,413832bf9e380576f87ea8ce8714cfd7__4388352a2069ae922584478ca3de3f86a410985e0724c840743c91d6e53ffd12,MITIGATION,MITIGATION,mitigation,140,150,"The technical analysis referred to in paragraph 12(b) above aims to increase the transparency of information reported by the Parties on mitigation actions and their effects, without engaging in a discussion on the appropriateness of those actions.",1.0,explorer
UNFCCC.non-party.1750.0,87f2a4feef72a378f1face8144390f49__f198bc193a37008f2fea65d0d95adbc16288127074a4e262a03aa9a805aee534,MITIGATION,MITIGATION,mitigation,540,550,"These arrangements are designed at the national level and are part of the government structure that governs and monitors the progress of the activities and projects that will be implemented to achieve the mitigation and adaptation targets in the enhanced NDC, as outlined in the Enhanced NDC Implementation Plan (2021–2030).",1.0,explorer
UNFCCC.non-party.1750.0,cfaf0d8d8e047dc23ab70426516e4581__9a5f5bcd2a7eac26fd1cf14be96a8f1733353441f0f91a65a0638bd6313f500e,MITIGATION,MITIGATION,Mitigation,3,13,"Mitigation actions and their effects, including associated methodologies and assumptions",1.0,explorer
UNFCCC.non-party.1750.0,a01393510587d3be22c8d43f22fae5b8__dd6b0ae9680f6de1b4d1349b19203e2362348da1cfdbd3c0bdb9af121d729ea2,MITIGATION,MITIGATION,mitigation,170,180,"As indicated in table I.2, Papua New Guinea reported in its BUR, fully in accordance with paragraphs 11–13 of the UNFCCC reporting guidelines on BURs, information on mitigation actions and their effects, to the extent possible.",1.0,explorer
UNFCCC.non-party.1750.0,7074b9ad272e67cb728c2f5cda833d2b__9cc13a1f01b3c5170eb5dc2a39d29a9bab5c0f12545ac52c794c72a94e25c5cc,MITIGATION,MITIGATION,mitigation,1179,1189,Most of the mitigation actions are in the energy and AFOLU sectors.,1.0,explorer
UNFCCC.non-party.1750.0,7074b9ad272e67cb728c2f5cda833d2b__9cc13a1f01b3c5170eb5dc2a39d29a9bab5c0f12545ac52c794c72a94e25c5cc,MITIGATION,MITIGATION,mitigation,214,224,"In its BUR, Papua New Guinea reported information on its national context and framed its national mitigation planning and actions in the context of its enhanced NDC (2020), which builds upon the national development and climate change ambitions and strategies set out in the national policy documents listed in BUR table 3-1, such as the Papua New Guinea Vision 2050 (2009), the Papua New Guinea Development Strategic Plan 2010–2030 (2010), the National Climate Compatible Development Management Policy (2014) and the National Strategy for Responsible Sustainable Development for Papua New Guinea (2014).",1.0,explorer
UNFCCC.non-party.1750.0,7074b9ad272e67cb728c2f5cda833d2b__9cc13a1f01b3c5170eb5dc2a39d29a9bab5c0f12545ac52c794c72a94e25c5cc,MITIGATION,MITIGATION,mitigation,78,88,The information reported provides a comprehensive overview of the Party’s mitigation actions and their effects.,1.0,explorer
