document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.83.0,b818688118b2542d4e5df172ab18c705__273e44d3c819482e4284ca6b964030b91e6d785b7f29c01f20c4506e700c3658,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"In 2021, the Australian Government committed additional funding for Australian Marine Parks in the Ocean Leadership Package to reinforce Australia's position as a world leader in marine park management, following previous investments in 2020 and in 2016 to establish and implement park management. The Australian Government is currently planning new marine parks in Australia's Indian Ocean Territories that could increase marine park coverage over Australian waters to up to 45%.",0,480,"In 2021, the Australian Government committed additional funding for Australian Marine Parks in the Ocean Leadership Package to reinforce Australia's position as a world leader in marine park management, following previous investments in 2020 and in 2016 to establish and implement park management. The Australian Government is currently planning new marine parks in Australia's Indian Ocean Territories that could increase marine park coverage over Australian waters to up to 45%.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,6cbe932c2bd1894ae2995b2ba96784a7__b761e5f46bcdd4f26f4e7f2788140d355a3fc332a4123de8c330550af71c528d,GOVERNANCE,GOVERNANCE,"The Great Barrier Reef Marine Park Authority (Authority) is responsible for ensuring the Great Barrier Reef Marine Park - one of the world's greatest natural treasures - is protected for the future. The Great Barrier Reef Blueprint for Resilience (Reef Blueprint) was developed to improve the capacity of corals to resist and recover from climate-related impacts following the back-to-back bleaching events in 2016-17. The Reef Blueprint is a collaborative effort between Traditional Owners, government agencies, research institutions, industry groups, Reef users and other stakeholders, both nationally and internationally.",0,624,"The Great Barrier Reef Marine Park Authority (Authority) is responsible for ensuring the Great Barrier Reef Marine Park - one of the world's greatest natural treasures - is protected for the future. The Great Barrier Reef Blueprint for Resilience (Reef Blueprint) was developed to improve the capacity of corals to resist and recover from climate-related impacts following the back-to-back bleaching events in 2016-17. The Reef Blueprint is a collaborative effort between Traditional Owners, government agencies, research institutions, industry groups, Reef users and other stakeholders, both nationally and internationally.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,f91b1058767d95e5bdaaf705b88d5e5d__287f2ab2a2befd3f06eed5d7817295dc3da4d16466b329ad5a49f39da726100c,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"Governments, industry, business, non-government organisations, communities and individuals are responsible for managing the climate risks in relation to their assets. This is the case with coastal hazards and erosion. The Australian Government provides scientific information to inform coastal adaptation actions.",0,313,"Governments, industry, business, non-government organisations, communities and individuals are responsible for managing the climate risks in relation to their assets. This is the case with coastal hazards and erosion. The Australian Government provides scientific information to inform coastal adaptation actions.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,15d38c6bbd70e90629e8e499de05d0dd__abe99ad5cd58a4f81e79235271c332614cd7d9239c74c7e1298a5537488022a5,GOVERNANCE,GOVERNANCE,"The Tasmanian Government commissioned the TWWHA Bushfire and Climate Change Research Project which aimed to investigate the impact of climate change on the TWWHA, and to identify ways to improve how Tasmania prepares for and responds to bushfires in the TWWHA. The Tasmanian Government has supported the implementation of several the Research Project's recommendations, such as improving bushfire management planning, bushfire risk assessment and modelling, bushfire recovery, developing a model of fire cover, and undertaking planned burning in the TWWHA.",0,556,"The Tasmanian Government commissioned the TWWHA Bushfire and Climate Change Research Project which aimed to investigate the impact of climate change on the TWWHA, and to identify ways to improve how Tasmania prepares for and responds to bushfires in the TWWHA. The Tasmanian Government has supported the implementation of several the Research Project's recommendations, such as improving bushfire management planning, bushfire risk assessment and modelling, bushfire recovery, developing a model of fire cover, and undertaking planned burning in the TWWHA.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,b9ccf7381e9476e41c8a06677bc5e2c5__fad12186d9fa9b3d83b498ec7d49cec72867972bc18a3ef87d33e4854dc9acb6,REGULATORY_INSTRUMENTS,REGULATORY_INSTRUMENTS,"Coastal environments receive national protection under the EPBC Act if classified as Ramsar wetlands (Australia has 28 coastal wetlands), or if they contain nationally threatened species, ecological communities or migratory species. Of the 23 Conservation Management Zones outlined by the Australian Government, 18 include a coastal component.",0,343,"Coastal environments receive national protection under the EPBC Act if classified as Ramsar wetlands (Australia has 28 coastal wetlands), or if they contain nationally threatened species, ecological communities or migratory species. Of the 23 Conservation Management Zones outlined by the Australian Government, 18 include a coastal component.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,ad599358a4dfe02dd0df6f46d0bd6a95__258b103c75c1c5893a3faa45eea2aa1b73550cd9815274423280c922346df869,GOVERNANCE,GOVERNANCE,"The Hunter and Central Coast Regional Environmental Management Strategy improves the capacity of coastal councils in the Hunter, Central and Lower North Coast region in New South Wales to proactively identify and implement adaptation solutions to the risks posed by both existing coastal processes and those projected to worsen due to climate change. Significantly, it promotes a consistent and transparent approach to adaptation decision making through the development and application of a comprehensive and integrated Decision Support Framework and Guide. Specific components of this resource include a clear and structured decision-making process, a process for evaluating the direct and indirect costs and benefits of adaptation options, a process for identifying and applying decision-making triggers to monitor progress toward identified threshold points, and to inform the timing of implementation of adaptation responses.",0,929,"The Hunter and Central Coast Regional Environmental Management Strategy improves the capacity of coastal councils in the Hunter, Central and Lower North Coast region in New South Wales to proactively identify and implement adaptation solutions to the risks posed by both existing coastal processes and those projected to worsen due to climate change. Significantly, it promotes a consistent and transparent approach to adaptation decision making through the development and application of a comprehensive and integrated Decision Support Framework and Guide. Specific components of this resource include a clear and structured decision-making process, a process for evaluating the direct and indirect costs and benefits of adaptation options, a process for identifying and applying decision-making triggers to monitor progress toward identified threshold points, and to inform the timing of implementation of adaptation responses.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,1e01d91d5c45ba018ec38464f1efbbd1__bafb4ff4cb041f490f496b9b3e6118c4105e558a69f532e12a22d1de63a50d5e,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"The Reef Blueprint has already contributed to securing unprecedented levels of funding to develop and implement innovative strategies to build the health and resilience of the Reef, such as tackling coral-eating crown-of-thorns starfish, strengthening compliance measures, and supporting adaptation in the face of a changing climate through the world-leading Reef Restoration and Adaptation Program. By focusing efforts, Australia will give the entire Great Barrier Reef ecosystem its best chance of coping with the challenges ahead.",0,533,"The Reef Blueprint has already contributed to securing unprecedented levels of funding to develop and implement innovative strategies to build the health and resilience of the Reef, such as tackling coral-eating crown-of-thorns starfish, strengthening compliance measures, and supporting adaptation in the face of a changing climate through the world-leading Reef Restoration and Adaptation Program. By focusing efforts, Australia will give the entire Great Barrier Reef ecosystem its best chance of coping with the challenges ahead.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,33baaeeb2055a512249a93286a131670__f302f5afe9e3e27ee8fa6a8d4b25e478156c8ee27d1cbc53d9f47313b1f22ec5,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"The South Coast Regional Sea Level Rise: Planning and Policy Framework was developed as a climate change response partnership between Shoalhaven City and Eurobodalla Shire Councils with funding assistance from the New South Wales Government. The aim of the project was to develop regionally relevant sea level rise projections for the Shoalhaven and Eurobodalla coasts and a risk assessment and policy response framework to address sea level rise for use by councils in strategic planning, development control and consent activities.",0,533,"The South Coast Regional Sea Level Rise: Planning and Policy Framework was developed as a climate change response partnership between Shoalhaven City and Eurobodalla Shire Councils with funding assistance from the New South Wales Government. The aim of the project was to develop regionally relevant sea level rise projections for the Shoalhaven and Eurobodalla coasts and a risk assessment and policy response framework to address sea level rise for use by councils in strategic planning, development control and consent activities.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,f91a6cb2b27bde9eca9677a705ae5239__1a41665f41747af254d2b10931f10acb039237bab43e16d5ba740df4cc29f85c,REGULATORY_INSTRUMENTS,REGULATORY_INSTRUMENTS,"Eco-engineering and restoration of coastal habitats in Australia synthesises the latest understanding of nature-based coastal defence, including how nature-based solutions can deliver more sustainable and adaptive methods to protect the coast.",0,243,"Eco-engineering and restoration of coastal habitats in Australia synthesises the latest understanding of nature-based coastal defence, including how nature-based solutions can deliver more sustainable and adaptive methods to protect the coast.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
UNFCCC.party.83.0,0cd189ee47bb444a769e69aad2ecb3d4__c9c6fc8a25f939e10ff9a179b4f467c21d8d62b80524fd7d3893d0ed3e90207d,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"In 2016, the Tasmanian Government engaged CSIRO to provide updated sea level rise planning allowances for the State. The updated allowances are based on the sea level rise projections provided in the Intergovernmental Panel on Climate Change Fifth Assessment Report and are based on the high emissions scenario RCP8.5.",0,318,"In 2016, the Tasmanian Government engaged CSIRO to provide updated sea level rise planning allowances for the State. The updated allowances are based on the sea level rise projections provided in the Intergovernmental Panel on Climate Change Fifth Assessment Report and are based on the high emissions scenario RCP8.5.",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest
