document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,c0ec4c528c5295d862d1ed5423da9091__35f9907ea05076a5b6b504fe21f7b810695ab2af341731f708d5b28801317169,REGULATORY_INSTRUMENTS,REGULATORY_INSTRUMENTS,"Also recognizing the critical role of protecting, conserving and restoring water systems and water-related ecosystems in delivering climate adaptation benefits and co- benefits, while ensuring social and environmental safeguards,",0,229,"Also recognizing the critical role of protecting, conserving and restoring water systems and water-related ecosystems in delivering climate adaptation benefits and co- benefits, while ensuring social and environmental safeguards,",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,17b87b8d8109d66f06bc21fea10018f0__0c17de9cd4d42b4d78c6ec4a8a8537a57860de5868274b958cbe904b79e9baed,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"8. Emphasizes that finance, capacity-building and technology transfer are critical enablers of climate action;",0,110,"8. Emphasizes that finance, capacity-building and technology transfer are critical enablers of climate action;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,3da63f20e75fb18fb82be37f78bfc091__63be0a930d58cb63345296c334b4f444398414c2c9fb21c593483b528a37d565,INFORMATION_AND_EDUCATION,INFORMATION_AND_EDUCATION,"10. Underlines that just transitions can support more robust and equitable mitigation outcomes, with tailored approaches addressing different contexts;",0,151,"10. Underlines that just transitions can support more robust and equitable mitigation outcomes, with tailored approaches addressing different contexts;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,248b5ff81a7d2b885dd7bd3db74d02f7__6ef81a18b6dfca77e90281eeb13046fafa67aa386508c5b29c9e26b83a82458b,REGULATORY_INSTRUMENTS,REGULATORY_INSTRUMENTS,"(d) That mitigation efforts embedded within the wider development context can increase the pace, depth and breadth of emissions reductions, as well as that policies that shift development pathways towards sustainability can broaden the portfolio of available mitigation responses and enable the pursuit of synergies with development objectives;",0,344,"(d) That mitigation efforts embedded within the wider development context can increase the pace, depth and breadth of emissions reductions, as well as that policies that shift development pathways towards sustainability can broaden the portfolio of available mitigation responses and enable the pursuit of synergies with development objectives;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,b37e2826ff6d7101a63b93c7ae7ea14c__0f51a55b0c44f47a45913cfa16541182dd9701b65d31e8db55426ec8d7640227,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"(e) That both adaptation and mitigation financing would need to increase manyfold, and that there is sufficient global capital to close the global investment gap but there are barriers to redirecting capital to climate action, and that Governments through public funding and clear signals to investors are key in reducing these barriers and investors, central banks and financial regulators can also play their part;",0,416,"(e) That both adaptation and mitigation financing would need to increase manyfold, and that there is sufficient global capital to close the global investment gap but there are barriers to redirecting capital to climate action, and that Governments through public funding and clear signals to investors are key in reducing these barriers and investors, central banks and financial regulators can also play their part;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,b14889465e896b57b3e58bb501227feb__7f00bd5f7d653cc66063038604af9588bcd882a084cfca616073197560b024dc,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"22. Notes the findings in the synthesis report on nationally determined contributions that greenhouse gas emission levels in 2030 are projected to be 5.3 per cent lower than in 2019 if all nationally determined contributions, including all conditional elements, are fully implemented and that enhanced financial resources, technology transfer and technical cooperation, and capacity-building support are needed to achieve this;",0,427,"22. Notes the findings in the synthesis report on nationally determined contributions that greenhouse gas emission levels in 2030 are projected to be 5.3 per cent lower than in 2019 if all nationally determined contributions, including all conditional elements, are fully implemented and that enhanced financial resources, technology transfer and technical cooperation, and capacity-building support are needed to achieve this;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,a44bd3b105171bbbc9269bd556e33717__a5c8d04dab848acd3f269d1c6613ac6e7f33625bb8f36be80d31ed66f076b62a,REGULATORY_INSTRUMENTS,REGULATORY_INSTRUMENTS,"(e) Accelerating zero- and low-emission technologies, including, inter alia, renewables, nuclear, abatement and removal technologies such as carbon capture and utilization and storage, particularly in hard-to-abate sectors, and low-carbon hydrogen production;",0,259,"(e) Accelerating zero- and low-emission technologies, including, inter alia, renewables, nuclear, abatement and removal technologies such as carbon capture and utilization and storage, particularly in hard-to-abate sectors, and low-carbon hydrogen production;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,360c16c015f08792f3c34c78392a4e5c__a4194784ef14491d652b51492afafc02f1818202ad0d02916b32fc5753a3010c,INFORMATION_AND_EDUCATION,INFORMATION_AND_EDUCATION,"(g) Accelerating the reduction of emissions from road transport on a range of pathways, including through development of infrastructure and rapid deployment of zero- and low-emission vehicles;",0,192,"(g) Accelerating the reduction of emissions from road transport on a range of pathways, including through development of infrastructure and rapid deployment of zero- and low-emission vehicles;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,360c16c015f08792f3c34c78392a4e5c__a4194784ef14491d652b51492afafc02f1818202ad0d02916b32fc5753a3010c,REGULATORY_INSTRUMENTS,REGULATORY_INSTRUMENTS,"(g) Accelerating the reduction of emissions from road transport on a range of pathways, including through development of infrastructure and rapid deployment of zero- and low-emission vehicles;",0,192,"(g) Accelerating the reduction of emissions from road transport on a range of pathways, including through development of infrastructure and rapid deployment of zero- and low-emission vehicles;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
UNFCCC.non-party.1881.0,36329a5e0aab735a7af7e7ccc4c7a980__63910ae09721483bdfbc4ec94d198ed5c5dc55d0b40669f4f2b5761399ab0c47,ECONOMIC_INSTRUMENTS,ECONOMIC_INSTRUMENTS,"(h) Phasing out inefficient fossil fuel subsidies that do not address energy poverty or just transitions, as soon as possible;",0,126,"(h) Phasing out inefficient fossil fuel subsidies that do not address energy poverty or just transitions, as soon as possible;",1.0,climatepolicyradar/policy-instrument-text-classifier/policy-instrument-text-classifier:latest,
