document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,2333db869637d9132d7655ab88d3b276__139b4d1bb44e4ff4ad543721a17bd954bf6479b6e8edb0bc3089f5c3845970cb,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,Renewable Energy,20,36,IRENA International Renewable Energy Agency,1.0,explorer,
UNFCCC.non-party.1859.0,1f41978e3ee1b54ff2a94a05198e13a4__f19ea6483674989de8188b6de347659e6a4fe754eb0fddb779f226bca7c8923f,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,Renewable Energy,18,34,"The International Renewable Energy Agency (IRENA) is committed to supporting the first Global Stocktake, concluding at COP28.",1.0,explorer,
UNFCCC.non-party.1859.0,4dc6d408a7355411d7bab7b011d4133b__fdb5ad4c9071eff5f63395201b84e5df472223b6f03034c441098ad611062d2d,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,253,263,"The 1.5℃ pathway positions electrification and efficiency as key drivers of the energy transition, enabled by renewables, hydrogen, and sustainable biomass.",1.0,explorer,
UNFCCC.non-party.1859.0,4dc6d408a7355411d7bab7b011d4133b__fdb5ad4c9071eff5f63395201b84e5df472223b6f03034c441098ad611062d2d,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,569,579,These reductions can be achieved through 1) significant increases in generation and direct uses of renewables-based electricity; 2) substantial improvements in energy efficiency; 3) the electrification of end-use sectors (e.g. electric vehicles and heat pumps); 4) clean hydrogen and,1.0,explorer,
UNFCCC.non-party.1859.0,4dc6d408a7355411d7bab7b011d4133b__fdb5ad4c9071eff5f63395201b84e5df472223b6f03034c441098ad611062d2d,BIOENERGY,BIOMASS,biomass,291,298,"The 1.5℃ pathway positions electrification and efficiency as key drivers of the energy transition, enabled by renewables, hydrogen, and sustainable biomass.",1.0,explorer,
UNFCCC.non-party.1859.0,4dc6d408a7355411d7bab7b011d4133b__fdb5ad4c9071eff5f63395201b84e5df472223b6f03034c441098ad611062d2d,HEAT_PUMPS,HEAT_PUMPS,heat pumps,719,729,These reductions can be achieved through 1) significant increases in generation and direct uses of renewables-based electricity; 2) substantial improvements in energy efficiency; 3) the electrification of end-use sectors (e.g. electric vehicles and heat pumps); 4) clean hydrogen and,1.0,explorer,
UNFCCC.non-party.1859.0,2333db869637d9132d7655ab88d3b276__139b4d1bb44e4ff4ad543721a17bd954bf6479b6e8edb0bc3089f5c3845970cb,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,Renewable Energy,20,36,IRENA International Renewable Energy Agency,1.0,explorer,
UNFCCC.non-party.1859.0,16dacf7b3cc9271cc45f3f6f00fb878d__43db743a3a32b798263997aff24efd806a4df866bccdb9958f2ca949983df0df,BIOENERGY,BIOENERGY,bioenergy,20,29,its derivatives; 5) bioenergy coupled with carbon capture and storage; and 6) last-mile use of carbon capture and storage.,1.0,explorer,
UNFCCC.non-party.1859.0,fee6a877917ef981ffaee10ba2edd767__4445a98c662eedda336d2dab5960ff28ce023453e340f292663e312b287de598,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable power,47,62,Rapid phase out of coal power and expansion of renewable power,1.0,explorer,
UNFCCC.non-party.1859.0,462f4402f9d13de741dc70b1c63532c4__d45bd947ab56a75d66679be5b51820183415ed8634472adc76bfb48a118db3c4,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,Renewable energy,0,16,Renewable energy share In electricity generation must Increase to 65% by 2030.,1.0,explorer,
UNFCCC.non-party.1859.0,775b6540a67b2fe41598ffc6ef2a7fd3__1ea7877f5ebe26274f72cea334ddca9f8a111795a39c248c817647ef9a3b0562,WIND_ENERGY,ONSHORE_WIND,onshore wind,24,36,"Installed capacity of onshore wind of 3 000 GW, four times that of 2020.",1.0,explorer,
UNFCCC.non-party.1859.0,7f943a03510b85b35c105a4d39e2bddc__b962294760445cfd4d807901de1910d3e9c5ae06559a0f1a5171c5b5c39a3882,WIND_ENERGY,OFFSHORE_WIND,Offshore wind,2,15,"Offshore wind to scale up to 380 GW, 11 times more than in 2020.",1.0,explorer,
UNFCCC.non-party.1859.0,7e2cc987124c5bbb78d01531626d7cdd__e1ca08f8da53b5220da1d32a559e1e4871e04d9390c43c7fd510448ccf0e15ff,SOLAR_ENERGY,SOLAR_PHOTOVOLTAIC,PV,30,32,"Installed capacity of solar PV to reach 5 200 GW, more than seven times that of 2020.",1.0,explorer,
UNFCCC.non-party.1859.0,7e2cc987124c5bbb78d01531626d7cdd__e1ca08f8da53b5220da1d32a559e1e4871e04d9390c43c7fd510448ccf0e15ff,SOLAR_ENERGY,SOLAR_ENERGY,solar,24,29,"Installed capacity of solar PV to reach 5 200 GW, more than seven times that of 2020.",1.0,explorer,
UNFCCC.non-party.1859.0,e971ad7952961cae26cb0abf0345d6cd__bb2cd336455724602f6f690368117d2659ea54930cb3cecf9a06a82495b2dabe,HYDROPOWER,HYDROPOWER,Hydropower,2,12,"Hydropower capacity to increase to 1 500 GW, 30% more than in 2020.",1.0,explorer,
