document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,fa0a7a563f6701dd4aa01d4c645f8b4a__52e0278fca7c9c58e6037a9216794780d0d8c54f343d624c4b05e8e29d2aef46,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,163,173,"In parallel, public and private leaders should fast-forward practical action on CDR together - very similar to the success story I experienced in relation to renewables.",1.0,explorer
UNFCCC.non-party.1740.0,fa0a7a563f6701dd4aa01d4c645f8b4a__52e0278fca7c9c58e6037a9216794780d0d8c54f343d624c4b05e8e29d2aef46,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,295,305,"Then, the creation of REN21 as an ambitious coalition in 2004 turned out to be instrumental in pushing the frontiers on renewables technology and policy, both internationally and domestically.",1.0,explorer
UNFCCC.non-party.1740.0,e89eb9e4e2669b12213aa2393775db5f__e6247e119a51a728094820e4592ba47e4c6fcd6b9e5ef040b84e331c17c5ead3,BIOENERGY,BIOENERGY,Bioenergy,175,184,"Examples include reforestation, biochar,
Bioenergy with Carbon Capture and Storage (BECCS) and Direct Air Carbon Capture and
Storage (DACCS).",1.0,explorer
UNFCCC.non-party.1740.0,30307e0148a448ee84cc31d09c6be78b__8a5f490d214538df30d07e5bdc2fb58687a2883630ea0d7b1d6d891ee518d146,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,Renewables,417,427,"GICOa/yr 2020
0
-4
-6
-8
-10
-12
-14-
Virtually all current
carbon dioxide
removal, 2 GtCO₂/y.
comes from
conventional
management of land
and only a tiny
fraction results from
novel methods
2030
Almost all Paris-relevant scenarios
feature carbon dioxide removal, but
we can limit our future reliance on it
by reducing emissions faster
2040
2050
Focus on Demand Reduction
48% greenhouse gas reduction
by 2030
Focus on Renewables
31% greenhouse gas reduction
by 2030
Focus on Carbon Removals
33% greenhouse gas reduction
by 2030",1.0,explorer
UNFCCC.non-party.1740.0,83cb88332c3d16c9a6b0252c1254d98c__481dba3064e79e56e3f33fd855f160d04a01c596fc56b62787476d63c83999d0,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,78,88,"countries' pledges, 2.6
focus on
renewables
5.4
2030
focus on
focus on
carbon removals demand reduction
3.5
3.9
יווי
Closing the gap requires
scaling up carbon dioxide
focus on
renewables
removal, particularly rapidly
in the next decade
2050
focus on
focus on
carbon removals demand reduction
7.6
9.8
4.7
long-term strategies, 29",1.0,explorer
UNFCCC.non-party.1740.0,83cb88332c3d16c9a6b0252c1254d98c__481dba3064e79e56e3f33fd855f160d04a01c596fc56b62787476d63c83999d0,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,222,232,"countries' pledges, 2.6
focus on
renewables
5.4
2030
focus on
focus on
carbon removals demand reduction
3.5
3.9
יווי
Closing the gap requires
scaling up carbon dioxide
focus on
renewables
removal, particularly rapidly
in the next decade
2050
focus on
focus on
carbon removals demand reduction
7.6
9.8
4.7
long-term strategies, 29",1.0,explorer
UNFCCC.non-party.1740.0,ac23cb8e3170e02c02efc45331bfbf2c__a9581932b1a13112f626cc35d24cc9e5ba1bccf16955ebbf96c20d5052567ac8,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,341,351,"level in 2020,-2
GtCO₂/yr
19
++
-5
countries' pledges, 2.6
focus on
renewables
-5.3
- 2030
focus on
carbon removals
focus on
demand reduction
-3.5
Closing the gap between proposed
levels of carbon dioxide removals
and what is needed to meet the
Paris temperature goal requires
scaling up conventional carbon
dioxide removal on land
focus on
renewables
-6.7
2050
focus on
carbon removals
-6.3
focus on
demand reduction
-4.7
long-term strategies, 23",1.0,explorer
UNFCCC.non-party.1740.0,ac23cb8e3170e02c02efc45331bfbf2c__a9581932b1a13112f626cc35d24cc9e5ba1bccf16955ebbf96c20d5052567ac8,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,68,78,"level in 2020,-2
GtCO₂/yr
19
++
-5
countries' pledges, 2.6
focus on
renewables
-5.3
- 2030
focus on
carbon removals
focus on
demand reduction
-3.5
Closing the gap between proposed
levels of carbon dioxide removals
and what is needed to meet the
Paris temperature goal requires
scaling up conventional carbon
dioxide removal on land
focus on
renewables
-6.7
2050
focus on
carbon removals
-6.3
focus on
demand reduction
-4.7
long-term strategies, 23",1.0,explorer
UNFCCC.non-party.1740.0,4a02746698e2367210c5b005e96e6c2f__bd2854b1da3c7b4f72dbd4fd156e7f23d82d769ee46755f20dc48d9c58f03a40,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,65,75,"level in 2020,0
GICOa/yr
-4
-5
-7
countries' pledges, O
focus on
renewables
-0.1
2030
focus on
carbon removals
-0.9
focus on
demand reduction
0
A few scenarios involve no novel
carbon dioxide removal, but
require even more aggressive
emissions reductions which we
are not on track to achieve
focus on
renewables
-0.9
2050
focus on
carbon removals
-3.4
focus on
demand reduction
0",1.0,explorer
UNFCCC.non-party.1740.0,4a02746698e2367210c5b005e96e6c2f__bd2854b1da3c7b4f72dbd4fd156e7f23d82d769ee46755f20dc48d9c58f03a40,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,301,311,"level in 2020,0
GICOa/yr
-4
-5
-7
countries' pledges, O
focus on
renewables
-0.1
2030
focus on
carbon removals
-0.9
focus on
demand reduction
0
A few scenarios involve no novel
carbon dioxide removal, but
require even more aggressive
emissions reductions which we
are not on track to achieve
focus on
renewables
-0.9
2050
focus on
carbon removals
-3.4
focus on
demand reduction
0",1.0,explorer
