document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,545c4995fe3dc2388b44fa3d6d2c88b1__d24c077de949ddca379f57c8771d07f605c2bb47f5246e4043d11a5556fe75d6,HYDROPOWER,HYDROPOWER,hydropower,179,189,"- Consider a wide range of low-emission and transitional technologies and fuel types that contribute to GHG emissions reduction and/or removal, including natural gas, nuclear and hydropower.",1.0,explorer
UNFCCC.non-party.1797.0,6dae0057032a18915fa47e42d3cefea7__0ee327af6ac0bb899ba8cddfc2a9e9df7b4552590e78efc7a3341d10765ec197,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,599,615,"Call for urgent and prioritized adaptation action and resources that respond to the most vulnerable countries, communities and populations; demand a sustainable energy paradigm that prioritizes safe, decentralized renewable energy systems that benefit people and communities; ensure adequate, new, additional and predictable climate finance for developing countries; provide resources to address loss and damage already incurred from climate inaction.",1.0,explorer
UNFCCC.non-party.1797.0,6dae0057032a18915fa47e42d3cefea7__0ee327af6ac0bb899ba8cddfc2a9e9df7b4552590e78efc7a3341d10765ec197,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,sustainable energy,534,552,"Call for urgent and prioritized adaptation action and resources that respond to the most vulnerable countries, communities and populations; demand a sustainable energy paradigm that prioritizes safe, decentralized renewable energy systems that benefit people and communities; ensure adequate, new, additional and predictable climate finance for developing countries; provide resources to address loss and damage already incurred from climate inaction.",1.0,explorer
UNFCCC.non-party.1797.0,60a528b0a1e666c02dda67870b0ef0ea__9b8b3fc589c2532b5010e80aec93cac83475109ee2adf0f013a7ba21a8c527f8,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,sustainable energy,41,59,"-> Recognize the right for and access to sustainable energy for all, in affordable ways, using local, renewable resources, where available including resourcing women and community lead energy initiatives.",1.0,explorer
UNFCCC.non-party.1797.0,60a528b0a1e666c02dda67870b0ef0ea__9b8b3fc589c2532b5010e80aec93cac83475109ee2adf0f013a7ba21a8c527f8,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable resources,102,121,"-> Recognize the right for and access to sustainable energy for all, in affordable ways, using local, renewable resources, where available including resourcing women and community lead energy initiatives.",1.0,explorer
UNFCCC.non-party.1789.0,6bf662d58cef8418923acd389db18299__2e13ed86fb62890d5832d8d160e18efd6cc5a5f78db6bd1a2b6bb7294cd9e458,WIND_ENERGY,OFFSHORE_WIND,offshore wind,364,377,"The first Technical Dialogue summary report primarily referenced the impacts of climate change on the ocean and coastal areas (sea level rise, coastal flooding) and ocean-based climate solutions (ecosystem-based adaptation, green shipping, offshore wind) in the discussions of climate adaptation.6",1.0,explorer
UNFCCC.non-party.1824.0,06e953c1e010d7830846d8140cf2ce48__220bbce65272614b82c2071cfb8cbb4d15a0bc0a98846853e8c2505df6c0d145,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,104,120,Note the need to balance adaptation with mitigation efforts such as sustainable land use practices or renewable energy technologies.,1.0,explorer
UNFCCC.party.1771.0,be73cd81c505dd356531706ecc048558__8415a0564ec31b0024659ec0464e3d958038fe7ec6fb125d7c1f1b24455f28e5,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,119,129,"- The opportunity to scale up finance for all climate critical technologies, including energy efficiency technologies, renewables, and carbon capture utilization and storage and direct air capture, taking into account the needs and priorities of developing countries;",1.0,explorer
UNFCCC.non-party.1800.0,acc52f07b7356d2e91cac9191ca56936__8bcb0908d6d0973c72ce193f57ca76d6496eef512f5cc4998e5f75d751bce7fe,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energies,238,256,"Stressing that the IPCC warns that exceeding 1.5℃ warming (overshoot) has dangerous and irreversible consequences, even if temperatures are eventually brought back below that level, and that a rapid fossil fuel phaseout and rollout of renewable energies alongside energy efficiency and demand-side measures remain the clearest and most certain path to avoid overshoot.",1.0,explorer
UNFCCC.non-party.1800.0,7b293515f42bb12cc6d2381a61c306e5__ff52496cf705416320209a40be4da6b8150f07dc3db7692c478c3cf827b3201d,SOLAR_ENERGY,SOLAR_ENERGY,solar,204,209,"Stressing that reliance on ineffective, dangerous or unproven geoengineering technologies, such as carbon capture and storage (CCS) and other large-scale carbon dioxide removals (CDR) mechanisms, and solar radiation management (SDR), should be avoided to avoid directly or indirectly prolonging dependence on fossil fuels, as these are unproven, or ineffective, rely on offsets, or come with high human rights and environmental risks which means their deployment would breach international human rights and environmental law3.",1.0,explorer
