document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,381,397,The mitigation actions in the energy sector focus mainly on improving energy efficiency and promoting renewable energy sources.,1.0,explorer
UNFCCC.non-party.1750.0,6af78c7c84486037478789ade14b633e__bf7c34a16733df63ce068311bbb729aa54edffe416ad63e0178a1bbb81620fdf,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,466,476,"Papua New Guinea is targeting an energy mix of 78 per cent renewables by 2030 in the electricity generation subsector, and improving energy efficiency in electricity consumption and for the transport sector.",1.0,explorer
UNFCCC.non-party.1750.0,214faf9a1ee1e4408e250faf717e8eb5__5d91aae49b1cd9e46d94b4e82a659183a22158d77d3237b8dca2dfac0cff7356,GEOTHERMAL_ENERGY,GEOTHERMAL_ENERGY,geothermal,78,88,"The mitigation action in the energy sector is the construction of a 55 MW geothermal power project with an annual estimated emission reduction of 278,904 t CO2 eq.",1.0,explorer
UNFCCC.non-party.1750.0,214faf9a1ee1e4408e250faf717e8eb5__5d91aae49b1cd9e46d94b4e82a659183a22158d77d3237b8dca2dfac0cff7356,BIOENERGY,BIOMASS,biomass,348,355,"Papua New Guinea also reported a 36 MW biomass power project registered under the Gold Standard, which is a certification standard for carbon offset projects.",1.0,explorer
UNFCCC.non-party.1750.0,214faf9a1ee1e4408e250faf717e8eb5__5d91aae49b1cd9e46d94b4e82a659183a22158d77d3237b8dca2dfac0cff7356,BIOENERGY,BIOMASS,biomass,472,479,"The biomass power plant is currently being constructed and CDM methodology was applied to estimate emission reductions (153,375 t CO2 eq per annum).",1.0,explorer
UNFCCC.non-party.1750.0,1aed213fe01ba7b93cbce1dde64766c7__c44026d96de1b46b148acac595f389f5f763c6668b0dd045b56822f7333f4e87,BIOENERGY,BIOMASS,biomass,548,555,"A total area of 12,400 ha of a planned 15,000 ha was planted with eucalyptus to produce fuelwood to be used in a biomass power plant.",1.0,explorer
UNFCCC.non-party.1750.0,119260a5e9112f0c4abbad07bce1831c__2790978afeaf634b7255705185492c2f4f37f19705b68052f353eb21cdc583cc,SOLAR_ENERGY,SOLAR_ENERGY,solar,402,407,The technology needs for the energy sector as identified in the Enhanced NDC Implementation Plan (2021–2030) and the NDC Implementation Roadmap for the electricity sector include the development of solar power systems and a mini-hydropower system that will displace the fossil fuel-based generators that supply electricity to the grid.,1.0,explorer
UNFCCC.non-party.1750.0,119260a5e9112f0c4abbad07bce1831c__2790978afeaf634b7255705185492c2f4f37f19705b68052f353eb21cdc583cc,HYDROPOWER,HYDROPOWER,hydropower,433,443,The technology needs for the energy sector as identified in the Enhanced NDC Implementation Plan (2021–2030) and the NDC Implementation Roadmap for the electricity sector include the development of solar power systems and a mini-hydropower system that will displace the fossil fuel-based generators that supply electricity to the grid.,1.0,explorer
UNFCCC.non-party.1750.0,968d5ca22ffd90be384bbd80333636c2__ccc1e32904a1a0c4591771db30963e6dc064b12972bed11787574d81066672a4,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,648,664,"The Party further reported information on the transfer of technology received, including in the areas of renewable energy, energy efficiency and resilience- building.",1.0,explorer
UNFCCC.party.1761.0,ab654281543add7cbf5af5c79883c5fb__11783d6e85fb6badfef83d49ae33613938fd15cb005975e073e8e455b01fc585,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,50,66,Solomon Islands Government electricity access and renewable energy targets .......27,1.0,explorer
UNFCCC.party.1761.0,5fce82d9ffd66e3f51fe325879cdd957__6661301f806d12c8c8faf0c9b04632afc89c9c8f7cdc060d3ac4f33b2c715439,SOLAR_ENERGY,SOLAR_ENERGY,Solar,0,5,Solar and Hydropower combined generation capacity by province in LEDS pathway ....................................................,1.0,explorer
UNFCCC.party.1761.0,5fce82d9ffd66e3f51fe325879cdd957__6661301f806d12c8c8faf0c9b04632afc89c9c8f7cdc060d3ac4f33b2c715439,HYDROPOWER,HYDROPOWER,Hydropower,10,20,Solar and Hydropower combined generation capacity by province in LEDS pathway ....................................................,1.0,explorer
UNFCCC.party.1761.0,5768342aeb1ba5d23f7981389a6754fe__e6c9d313cbe4cbd39cf0874e632f34ebee398350db5ec2f6587130e4b1f48aaf,HYDROPOWER,HYDROPOWER,Hydropower,68,78,The commencement of Tina River Hydropower Plant in 2028 reduces the national emissions from electricity generation..................................................................9,1.0,explorer
UNFCCC.party.1761.0,a1a66f13858864eca6b14c16caafb6a2__7593d9122d8c2313c5488f27d204ca29d9dbe2206fdddf93e23f3b386724ceb1,HYDROPOWER,HYDRO_PLANTS,Hydro Plant,72,83,The commencement of the Tina Hydro Plant in 2028 reduces the national emissions from electricity generation ......22,1.0,explorer
UNFCCC.party.1761.0,5deaa841683e7be3f83a414f4d4e5caf__0eb4091d271377f8fdf46d89d661cf8bce47477a5c948ca8cb565edeba3f0235,SOLAR_ENERGY,SOLAR_ENERGY,solar,320,325,"If the 100 per cent electricity access target by 2050 is to be met with renewable energy then the additional new generation capacity is estimated at 87 MW solar and 92 MW hydropower, or equivalent from other sources such as geothermal or biofuels.",1.0,explorer
UNFCCC.party.1761.0,5deaa841683e7be3f83a414f4d4e5caf__0eb4091d271377f8fdf46d89d661cf8bce47477a5c948ca8cb565edeba3f0235,GEOTHERMAL_ENERGY,GEOTHERMAL_ENERGY,geothermal,389,399,"If the 100 per cent electricity access target by 2050 is to be met with renewable energy then the additional new generation capacity is estimated at 87 MW solar and 92 MW hydropower, or equivalent from other sources such as geothermal or biofuels.",1.0,explorer
UNFCCC.party.1761.0,5deaa841683e7be3f83a414f4d4e5caf__0eb4091d271377f8fdf46d89d661cf8bce47477a5c948ca8cb565edeba3f0235,HYDROPOWER,HYDROPOWER,hydropower,336,346,"If the 100 per cent electricity access target by 2050 is to be met with renewable energy then the additional new generation capacity is estimated at 87 MW solar and 92 MW hydropower, or equivalent from other sources such as geothermal or biofuels.",1.0,explorer
UNFCCC.party.1761.0,5deaa841683e7be3f83a414f4d4e5caf__0eb4091d271377f8fdf46d89d661cf8bce47477a5c948ca8cb565edeba3f0235,HYDROPOWER,HYDROPOWER,Hydropower,593,603,"The capital cost of electrification and renewable energy to 2050 under the LEDS pathway is estimated at USD 1.5 billion, in addition to the USD 500 million cost for the Tina River Hydropower Project in 2028 and the National Electrification Plan",1.0,explorer
UNFCCC.party.1761.0,5deaa841683e7be3f83a414f4d4e5caf__0eb4091d271377f8fdf46d89d661cf8bce47477a5c948ca8cb565edeba3f0235,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,453,469,"The capital cost of electrification and renewable energy to 2050 under the LEDS pathway is estimated at USD 1.5 billion, in addition to the USD 500 million cost for the Tina River Hydropower Project in 2028 and the National Electrification Plan",1.0,explorer
UNFCCC.party.1761.0,5deaa841683e7be3f83a414f4d4e5caf__0eb4091d271377f8fdf46d89d661cf8bce47477a5c948ca8cb565edeba3f0235,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,237,253,"If the 100 per cent electricity access target by 2050 is to be met with renewable energy then the additional new generation capacity is estimated at 87 MW solar and 92 MW hydropower, or equivalent from other sources such as geothermal or biofuels.",1.0,explorer
UNFCCC.party.1761.0,5deaa841683e7be3f83a414f4d4e5caf__0eb4091d271377f8fdf46d89d661cf8bce47477a5c948ca8cb565edeba3f0235,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,116,132,Expanding electricity access is an important policy priority for equitable economic growth but must be coupled with renewable energy generation to reduce emissions.,1.0,explorer
UNFCCC.party.1761.0,5deaa841683e7be3f83a414f4d4e5caf__0eb4091d271377f8fdf46d89d661cf8bce47477a5c948ca8cb565edeba3f0235,BIOENERGY,BIOFUEL,biofuels,403,411,"If the 100 per cent electricity access target by 2050 is to be met with renewable energy then the additional new generation capacity is estimated at 87 MW solar and 92 MW hydropower, or equivalent from other sources such as geothermal or biofuels.",1.0,explorer
UNFCCC.party.1761.0,de7f5226e313be2304c5a824c2852c21__3f5c489eb535be9f48cb4d802fef9a039481361e509c308b01e5356d57fa02b3,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,34,50,"Through electrification and renewable energy generation, the annual emissions savings from moving to a low emissions pathway is estimated at 126,000 tonnes of CO2-equivalent in 2050.",1.0,explorer
UNFCCC.party.1761.0,4af441b499532c843beb9815865153f4__083ead097cb195d561cd7741b413aca29b549b344ed3c5cdc32d14a4d86f21e2,SOLAR_ENERGY,SOLAR_ENERGY,solar,75,80,"1.1 Increase renewable energy generation, particularly from hydropower and solar.",1.0,explorer
UNFCCC.party.1761.0,4af441b499532c843beb9815865153f4__083ead097cb195d561cd7741b413aca29b549b344ed3c5cdc32d14a4d86f21e2,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,13,29,"1.1 Increase renewable energy generation, particularly from hydropower and solar.",1.0,explorer
UNFCCC.party.1761.0,4af441b499532c843beb9815865153f4__083ead097cb195d561cd7741b413aca29b549b344ed3c5cdc32d14a4d86f21e2,HYDROPOWER,HYDROPOWER,hydropower,60,70,"1.1 Increase renewable energy generation, particularly from hydropower and solar.",1.0,explorer
UNFCCC.party.1761.0,fd9949bd99b7a1c8bfeb73644aac0e11__b873b5226ef487d988fc0e650e10d770aa9d4e7ae7fd755bf54db6f96be070e2,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,91,107,"The energy sector actions are renewable energy generation capacity expansion, with a list of unconditional and conditional projects, and energy efficiency through appliance regulation.",1.0,explorer
UNFCCC.party.1761.0,a0865e4cb2f30667aea3293201265024__93ffbeabd86fc6c85edb05ba4ba6918532c62f8831c8754565f7585c42bf4993,HYDROPOWER,HYDROPOWER,Hydropower,100,110,"Within the electricity sector, the BAU emissions pathway includes the development of the Tina River Hydropower Project (15 MW operating from 2028), a range of rural solar-diesel projects are under development or to be installed, and no change to existing efficiencies of generation, transmission, and distribution will be experienced.",1.0,explorer
UNFCCC.party.1761.0,a0865e4cb2f30667aea3293201265024__93ffbeabd86fc6c85edb05ba4ba6918532c62f8831c8754565f7585c42bf4993,SOLAR_ENERGY,SOLAR_ENERGY,solar,165,170,"Within the electricity sector, the BAU emissions pathway includes the development of the Tina River Hydropower Project (15 MW operating from 2028), a range of rural solar-diesel projects are under development or to be installed, and no change to existing efficiencies of generation, transmission, and distribution will be experienced.",1.0,explorer
UNFCCC.party.1761.0,14ec066a817849802802b32be7063cc7__3389a163051e9dcea8d5862a4ba3be4eec3207f39255c1a9accdaba8a2cdb692,HYDROPOWER,HYDROPOWER,Hydropower,78,88,The commencement of Tina River Hydropower Plant in 2028 reduces the national emissions from electricity generation,1.0,explorer
UNFCCC.party.1761.0,ab82ece902a324f7708f6afb4edc517e__4884fac68cfee20ef4cf0d9f8e36af18d6684f73cdd6066c3f2c458ca5fee289,HYDROPOWER,HYDRO_PLANTS,Hydro Plant,72,83,The commencement of the Tina Hydro Plant in 2028 reduces the national emissions from electricity generation,1.0,explorer
UNFCCC.party.1761.0,a16f262611499e08acd1cea1db23d73d__9e3adfd0714ae8e7c10cc73baca70f4572c1d04c715c881c8f440d6bd3c59f2c,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,50,66,Solomon Islands Government electricity access and renewable energy targets,1.0,explorer
UNFCCC.party.1761.0,ef33740fa66fbbe5cb3bf3dadb188442__0b2a9737494d4076d3f1946e18ed5459dead9e6d6e3f1853d26965eab5954a07,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,9,25,Share of renewable energy for electricity generation in urban and rural areas,1.0,explorer
UNFCCC.party.1761.0,f2603c0c50905247052b159a309a30b2__8a6cfd96a43d4fd47f08ddf9962fe54c1b64385d6555920a6c5443ad41d3d8d6,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,Renewable Energy,0,16,"Renewable Energy Road Map, 2021",1.0,explorer
UNFCCC.party.1761.0,2983b123e84b9cb51797f229fe334985__04554cd9a42f5f813b2e88ac2f1856bdbca927e38b0bc0c57a91a8cb29300c96,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,Renewable energy,0,16,Renewable energy generation for the Honiara grid,1.0,explorer
