document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1621.0,17e9a8b5837b8afc52f9a8f02c05bada__129f75575e326fa087323efae2a0173eee7f9663540ec50f54d8dd89a140dcdc,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,734,751,"Morocco also reported information regarding national circumstances and constraints on the specific needs and concerns arising from the adverse effects of climate change and/or the impact of the implementation of response measures, as referred to in Article 4, paragraph 8, and, as appropriate, Article 4, paragraphs 9-10, of the Convention.",1.0,explorer
UNFCCC.party.413.0,8e4d6436fbcf9060a2bede49b8859809__59569b40d913d59d36ddf01f7dc427a23813dafbb534f4e7f65958311ff8b388,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,218,235,"In compliance with the commitments acquired by El Salvador within the framework of the Paris Agreement (Article 3 and Decision 1/CP.21), this update of the Nationally Determined Contribution includes the components of response measures (Chapter II mitigation and adaptation), regulations and institutionalization (Chapter III), means of implementation, financing, development and transfer of technologies and capacity building (Chapter IV) prepared based on Decisions 4/, 9/ and 18/CMA.1.",1.0,explorer
UNFCCC.party.413.0,e4d6f3c99621d393d0451564db76c7d0__cf25fb98085f3b611f7e1747a1d5dc5360fb27f548a82b26b06dee6642bd94a5,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,187,204,"In accordance with Decision 4/CMA.1 (FCCC/PA/CMA/2018/3/Add.1, March 19, 2019) and the Paris Agreement (article 4, paragraphs 8 and 13, among others), El Salvador presents its mitigation response measures, providing the necessary information for the purposes of a progression in the attributes of clarity, transparency and understanding, with respect to the First NDC of El Salvador (2017) and considers that in the process of implementation and accountability emission reduction and anthropogenic absorption accounts, corresponding to these NDCs (2021), the principles of environmental integrity, transparency, accuracy and completeness, comparability and coherence must be promoted and applied; and also, avoid double counting and double counting, and ensure that real, additional mitigation actions are integrated without displacement.",1.0,explorer
UNFCCC.party.413.0,a1b1817af5d454ac3b44c2c0c7d1ff1e__68459c9411fbec55d3914fdbecea24cb2312b76f0e0f08eb5877ea9a4bd23828,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,194,211,"El Salvador presents its adaptation response measures, providing the necessary information for the purposes of a progression in the attributes of clarity, transparency and understanding, with respect to the First NDC of El Salvador (2017).",1.0,explorer
UNFCCC.party.920.0,164865afcaeb1d4158114874612d74db__d6733726236d0e1fe1ced2f7a87276a1e7cdedddb8fa760587f01ddaf478833d,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,61,78,4.3.12 Assessment of the economic and social consequences of response measures,1.0,explorer
UNFCCC.party.392.0,ba82076d620bb002b2d4f395a6a6ddc9__ab2fe1e03ea3fff9f33dd8a53ba72a696bcd8815911f97686a936e3e5b36301e,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,637,654,"The INC consists of a description of Dominica's national circumstances, a national Greenhouse Gas Inventory for 1994, an assessment of Dominica's vulnerability to the potential adverse impacts of climate change, an outline of the existing institutional framework for climate change adaptation and mitigation, a description of the national response measures that will be pursued by the Government and a listing of the priority actions that the Government of Dominica intends to undertake in the short term to implement commitments under the UNFCCC.",1.0,explorer
UNFCCC.party.392.0,9446784096d6165814d1935e0387387e__b292996b9fe23c032bcb88d2313656575b52b622e5f7e6b230adcee0abf394af,RESPONSE_MEASURES,RESPONSE_MEASURES,Response measures,499,516,"The INC consists of a description of Dominica's
National Circumstances, a national Greenhouse Gas
Inventory for 1994, an assessment of Dominica's
vulnerability to the potential adverse impacts of climate
change, an outline of the existing institutional framework,
a description of the National Response measures that will
be pursued by the Government and a listing of the Priority
Actions that the Government of Dominica intends to
implement in the short term to implement commitment
under the UNFCCC.",1.0,explorer
UNFCCC.party.1482.0,772bbd53869c0962121c04f70c69a6d2__89e8d38b2e5d9a3c2c24c53d72a1a2116fd31d70d1d04e184e955087e9e0f30a,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,47,64,i. How the economic and social consequences of response measures have been considered in the development of the NDC.,1.0,explorer
UNFCCC.party.823.0,14877da7770d3f4dcb88e68a4fef1c45__73ff7119ffb9becc4aadc0d76bba8d5309ac10a9e0b4621457ad2ef987633674,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,61,78,How was taken in the economic and social consequences of response measures to elaborate the contribution determine national level,1.0,explorer
UNFCCC.party.1581.0,990e7b0add2e8077ad692535114c4b06__1148892e44b340c11b72704f5f9a7fb8f04f961257dc9c718c37128becb5bbbc,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,45,62,"If the sea level rises by 100 cm without any response measures, about 16.8% of the Red River Delta area, 1.5% of area of Central coastal provinces from Thanh Hoa to Binh Thuan, 17.8% of the Ho Chi Minh city area, and 38.9% of the Mekong Delta area are at risk of inundation.",1.0,explorer
