document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1863.0,0e41cf5d65ca9c7e4abbaa1aa34d512a__ec32f59370f7247403d882ff8d5b3560aa85314e843c5dd061c89792b13d7420,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,94,111,"- A clarification on the need to limit global warming temperatures to 1.5℃, the science-based response measures this implies and the actions to address already occurring and unavoidable climate impacts.",1.0,explorer,
UNFCCC.party.1852.0,6639244aad9ce985d34327cf39a5b4ec__93dfd34cdd70c0637395c5a40c9027eea03a543370911ab9ae3ed429389805fe,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,24,41,"· Mitigation, including response measures",1.0,explorer,
UNFCCC.party.1842.0,f27ec787bbc9b125af0b2ae156889fe8__269c85168ae9d0134f271b5cb28a56d9f3cb51cb7f763bcabe5350985684bb27,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,621,638,"Therefore, the assessment of the collective progress towards achieving the purpose of the Paris Agreement and its long-term goals, as mandated by its Article 14.1, means assessing the collective progress on ambition and gaps across mitigation; adaptation; means of implementation and support; response measures; and loss and damage.",1.0,explorer,
UNFCCC.party.1837.0,6639244aad9ce985d34327cf39a5b4ec__93dfd34cdd70c0637395c5a40c9027eea03a543370911ab9ae3ed429389805fe,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,24,41,"· Mitigation, including response measures",1.0,explorer,
UNFCCC.party.1837.0,c0e61564f9a891f9933bd7e1dc64afa2__3f2c95507cafd9b1f4bf5d94432bb2311228863e66889f7e80915d3a0052beaa,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,57,74,· The need to address the social and economic impacts of response measures and to address loss and damage in developing countries (paragraph 13 of the G77 and China's 25 May 2022 GST Submission),1.0,explorer,
UNFCCC.party.1837.0,76cde74c37a8aac396397faa5c685c2a__5e6768eb79ce38b19423dcdeedb27d5b59fe0bfe74d5ef4122a513728e5a9c1e,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,331,348,"· Identifying the good practices, lessons learned, opportunities, challenges, needs, and gaps for enhancing implementation andambition , with respect to mitigation, adaptation, the provision of the means of implementation (finance, capacity building and technology transfer) to developing countries, addressing the consequences of response measures, and averting, minimizing, and addressing loss and damage as indicated in para 6(b) of decision 19/CMA.1 in a balanced manner (paragraph 15(iii) of the G77 and China's 25 May 2022 GST Submission).",1.0,explorer,
UNFCCC.party.1848.0,7eb4b047e57b8145d8450160bed81dfc__e7a0f17e55ab3de00b643123d2c4f96717cf6fe93f5ef5d3e98a7d7feac1c5de,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,256,273,"The high-level events, convening representatives from Parties and non-Party stakeholders, could be organised according to relevant topics under mitigation, adaptation, and means of implementation, as well as the cross-cutting issues of loss and damage and response measures.",1.0,explorer,
UNFCCC.party.1835.0,5bbdc8edcbf83d2457c7b0b87c45a96a__360803b11c5c956c8ec080b5986d2052f08751e373ff92389fad4c476b7f1969,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,140,157,"the Paris Agreement in a balanced and inclusive manner, considering mitigation, adaptation, means of implementation and support, as well as response measures and loss & damage.",1.0,explorer,
UNFCCC.party.1841.0,8fce3492940bb916a80876dba50d71d8__d878033512769adde554e6cdb4ef1c10e03011d301b1302f19b2454c915e9d92,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,326,343,"Adaptation and Recognition of Adaptation Efforts: For the African Group it is particularly important to address the disparities in the treatment accorded to different thematic issues before the UNFCCC and restore trust, in a context where there is a bias in favour of mitigation, with adaptation, support, loss and damage and response measures being amongst the issues often relegated to process outcomes.",1.0,explorer,
UNFCCC.party.1843.0,0d52574414db11917d60685866f3a097__98309e6ec4682ceddebeed7030697f0c52f13bf5428e75f67b2d02e045846771,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,64,81,(i) Address the social and economic consequences and impacts of response measures;,1.0,explorer,
UNFCCC.party.1843.0,bb4e5b83df137ff00e62d88faefd1bde__e97a35db8b7b9601e0532fd5c30ed06973b5c75442df46f8c9777c46b3f552ce,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,83,100,- A paragraph on the manner how to address the social and economic consequences of response measures;,1.0,explorer,
UNFCCC.non-party.1872.0,3f98713f2a0e69e04492831c4a71373c__9529b4675112a6732ad78e8f9e2ec897c65b0ceb44c8c7dacef078ec55870160,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,160,177,"o Outputs and GST events should retain a balanced, equity-rooted, approach to areas under the GST, including sufficient attention to loss and damage as well as response measures, and considering all work ""in the light of equity"" as mandated in 19/CMA.1.",1.0,explorer,
UNFCCC.party.1879.0,0183cb638e45d8fe7163ed119e869821__daaf30e2b0256d1557599c97eb662bea21aa1afa1ef5d357b2e938d2f08c265b,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,28,45,"· There is recognition that response measures can have adverse, positive and co-beneficial social, economic, and environmental impacts.",1.0,explorer,
UNFCCC.party.1879.0,0183cb638e45d8fe7163ed119e869821__daaf30e2b0256d1557599c97eb662bea21aa1afa1ef5d357b2e938d2f08c265b,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,496,513,"Gaps persist however, therefore work to assess the impacts of response measures remains pertinent to inform Parties' implementation of policies, including in the development of just transition strategies.",1.0,explorer,
UNFCCC.party.1879.0,082b0a297b4f666b50a874e8d61a892d__f677285013b427044142294998a47236b71694e026bbe3b065f4da57cebfcce4,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,38,55,"· Encouraging continued assessment of response measures through the forum and the KCI, while ensuring a greater focus of co-benefits of response measures, including vis-a-vis health and biodiversity, with a view to better evaluate their impacts.",1.0,explorer,
UNFCCC.party.1879.0,082b0a297b4f666b50a874e8d61a892d__f677285013b427044142294998a47236b71694e026bbe3b065f4da57cebfcce4,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,136,153,"· Encouraging continued assessment of response measures through the forum and the KCI, while ensuring a greater focus of co-benefits of response measures, including vis-a-vis health and biodiversity, with a view to better evaluate their impacts.",1.0,explorer,
UNFCCC.party.1836.0,09bcf2c39b3b64f44819e35efe1b3637__de5074061be14c5dd781ab8b744c698750bba37bb82f2df403238ec84365b1ce,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,49,66,"· In addition, we have proposed key messages for response measures and loss and damage, noting that the GST ""may take into account, as appropriate, efforts related to"" these two areas.2",1.0,explorer,
UNFCCC.party.1836.0,f5a733c787813f93d90c29591e13a31d__641ad6a6462783e7dcfc367a2e2410b34815b874537a7abb0d26806ae0b162bb,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,19,36,Efforts related to response measures (*also see U.S. submission on views on efforts related to addressing the social and economic impacts of response measures for additional details26);,1.0,explorer,
UNFCCC.party.1836.0,f5a733c787813f93d90c29591e13a31d__641ad6a6462783e7dcfc367a2e2410b34815b874537a7abb0d26806ae0b162bb,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,141,158,Efforts related to response measures (*also see U.S. submission on views on efforts related to addressing the social and economic impacts of response measures for additional details26);,1.0,explorer,
UNFCCC.party.1836.0,35f47f4d84692b4ff4ada54518eb9b4d__b514ea647ccf5a9aec00193003a3fbc0819a69788123f5c0198321b892fb7634,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,236,253,"Since the Paris Agreement was adopted, Parties and non-Parties have taken significant action to assess and address the positive and negative socioeconomic impacts of response measures domestically and under the 6-year workplan of the response measures forum and its Katowice Committee of Experts on the Impacts of the Implementation of Response Measures (KCI).",1.0,explorer,
