document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,de155e91f52ef098aff5b9a2c22bf880__6432bcfd91e0a829bb8b5e71f0eb0263c084470eb7daa7b883c57a473005885f,RESPONSE_MEASURES,RESPONSE_MEASURES,Response measures,3,20,E. Response measures,1.0,explorer,
UNFCCC.non-party.1881.0,6eb23cab6c2af8a598eac595a4b9940b__9c941bc274ac70c8b5e42257bb11a5819c525763fe6e60f3ba7effd1f72bd461,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,139,156,Recognizes the importance of maximizing the positive and minimizing the negative economic and social impacts of the implementation of response measures;,1.0,explorer,
UNFCCC.non-party.1881.0,79723d368dc80940b75b5609c5bf28b3__365da7d5ac3b233290407c2e1cf213fba97db1cab44a1ad0583e2fe441a03ba1,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,234,251,"137. Recalls Article 4, paragraph 15, of the Paris Agreement, which states that Parties shall take into consideration in the implementation of the Paris Agreement the concerns of Parties with economies most affected by the impacts of response measures, particularly developing country Parties;",1.0,explorer,
UNFCCC.non-party.1881.0,063baaeca1a0659f3cb0bb5c06864be3__e5947e85701f8d72d02134ebb8129f04e4d25adc77ea3729893ea7be5efeed27,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,135,152,Recognizes that significant efforts have been undertaken to assess and address the positive and negative socioeconomic impacts of response measures by Parties and non-Party stakeholders domestically and by the forum on the impact of the implementation of response measures and its Katowice Committee of Experts on the Impacts of the Implementation of Response Measures under the six-year workplan of the forum and its Katowice Committee on Impacts;,1.0,explorer,
UNFCCC.non-party.1881.0,063baaeca1a0659f3cb0bb5c06864be3__e5947e85701f8d72d02134ebb8129f04e4d25adc77ea3729893ea7be5efeed27,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,260,277,Recognizes that significant efforts have been undertaken to assess and address the positive and negative socioeconomic impacts of response measures by Parties and non-Party stakeholders domestically and by the forum on the impact of the implementation of response measures and its Katowice Committee of Experts on the Impacts of the Implementation of Response Measures under the six-year workplan of the forum and its Katowice Committee on Impacts;,1.0,explorer,
UNFCCC.non-party.1881.0,844506bf637426ce6673ef1d35142c27__1f36fa3e82154809d1a989fd10369b344b6c26722cd59df60367040963a598d4,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,202,219,"140. Notes that just transition of the workforce and the creation of decent work and quality jobs, and economic diversification are key to maximizing the positive and minimizing the negative impacts of response measures and that strategies related to just transition and economic diversification should be implemented taking into account different national circumstances and contexts;",1.0,explorer,
UNFCCC.non-party.1881.0,b50ad92a7484e10b374d3cde5f21abf6__bc260cde285ba6d414e136770b1ff2cd4f17332449d1a031903635ffde877bcf,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,356,373,"Encourages Parties to consider developing, in consultation with technical experts, practitioners and other stakeholders, as appropriate, methodologies and tools, including modelling tools, for assessing and analysing the impacts of the implementation of response measures, with a view to minimizing the negative and maximizing the positive impacts of response measures, with a particular focus on the creation of decent work and quality jobs and on economic diversification;",1.0,explorer,
UNFCCC.non-party.1881.0,b50ad92a7484e10b374d3cde5f21abf6__bc260cde285ba6d414e136770b1ff2cd4f17332449d1a031903635ffde877bcf,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,259,276,"Encourages Parties to consider developing, in consultation with technical experts, practitioners and other stakeholders, as appropriate, methodologies and tools, including modelling tools, for assessing and analysing the impacts of the implementation of response measures, with a view to minimizing the negative and maximizing the positive impacts of response measures, with a particular focus on the creation of decent work and quality jobs and on economic diversification;",1.0,explorer,
UNFCCC.non-party.1881.0,e96e691a5d62a45fa0e31f371f29b1a8__c0cda345c91e70aea95d981371022b1f22ac4b82e46a83df841110206885bf3c,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,145,162,Also encourages Parties to develop more national case studies involving the assessment and analysis of the impacts of the implementation of response measures to enable an exchange of experience among Parties on such studies;,1.0,explorer,
UNFCCC.non-party.1881.0,e3a9c9d82f3b213ae765b1a05a759f3b__09008bb241f2b05bb69d8251b655935aa621161fc1569dc84b4f37e5eac9d03f,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,261,278,"Further encourages Parties, as appropriate, to establish capacity-building partnerships and networks for increasing the number of developing countries that are developing and using methodologies and tools for assessing the impacts of the implementation of response measures;",1.0,explorer,
UNFCCC.non-party.1881.0,655a8c8319e4ad374611626dbb01f7b3__0102b2e75d86ef4bdf7abfda3ac0905b97dbda9d8fb59b63de0af1105847da98,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,164,181,"Also encourages Parties to provide detailed information, to the extent possible, on the assessment of the economic and social impacts of the implementation of response measures;",1.0,explorer,
