document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1782.0,4c2259d430fc4c39849e8aa7462ae4db__07429e3089cab8872aff686ae012221abe9cc26e90dee31eeae774f6761f7f6d,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,225,242,"efforts related to loss and damage; efforts related to response measures,",1.0,explorer
UNFCCC.party.1771.0,04af05ac5e0067e8c50c3551a2409f63__211cbeedffab26a8a9e6f94543229fee457e665465434ee82940036c6ffbc26c,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,1280,1297,"Mitigation action for developing countries is linked to the provision of finance, technology transfer and capacity-building by developed countries, and assessing and addressing the adverse effects of response measures.",1.0,explorer
UNFCCC.party.1771.0,04af05ac5e0067e8c50c3551a2409f63__211cbeedffab26a8a9e6f94543229fee457e665465434ee82940036c6ffbc26c,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,736,753,"The Group is of the view that elements such as principles of CBDR-RC, equity, means of implementation and support, response measures, loss and damage, and international cooperation are essential components in their own rights, but also have important cross-cutting considerations.",1.0,explorer
UNFCCC.party.1771.0,04af05ac5e0067e8c50c3551a2409f63__211cbeedffab26a8a9e6f94543229fee457e665465434ee82940036c6ffbc26c,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,527,544,This has been applied to the issues of response measures and loss and damages associated with the adverse effects of climate change.,1.0,explorer
UNFCCC.party.1771.0,ffc3a57685e6813d6f5a61b08e43614c__dd473c864b4cd85c719bd66949669c999ec99420c5003c2054d6da0d19f4228d,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,47,64,"Regarding the impacts of the implementation of response measures, the CMA5 decision needs to underscore the following elements:",1.0,explorer
UNFCCC.party.1771.0,0bbac5ea14aa4b08871e1b0390d59c84__ca4bd07870cf9f828792b87ecd6a9e7f26422d30b5e449dcbfecc8a346feb778,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,69,86,"- The necessity for the Forum on the impact of the implementation of response measures to advance its technical work for the identification of specific actions aiming to avoid and/or minimize the negative socioeconomic impacts of response measures on developing countries, including through conceptual discussions on these impacts, having in mind the objective of developing a roadmap and plans to help to understand, access and address them;",1.0,explorer
UNFCCC.party.1771.0,0bbac5ea14aa4b08871e1b0390d59c84__ca4bd07870cf9f828792b87ecd6a9e7f26422d30b5e449dcbfecc8a346feb778,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,230,247,"- The necessity for the Forum on the impact of the implementation of response measures to advance its technical work for the identification of specific actions aiming to avoid and/or minimize the negative socioeconomic impacts of response measures on developing countries, including through conceptual discussions on these impacts, having in mind the objective of developing a roadmap and plans to help to understand, access and address them;",1.0,explorer
UNFCCC.party.1771.0,7154429ddc1a2a65bf04c85f68469e51__23c62c2209dab25096619f5f2562150cf0010152599e753ee6a6e4bb464797a0,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,48,65,"- Assessment and analysis of adverse impacts of response measures, including unilateral ones;",1.0,explorer
UNFCCC.party.1771.0,f091d8ec56aeea14eca669036a464bf9__37863c9ab7e520ea486ac5ef177b38c6d6d33f3bf15b9ad8367410dcc02c296f,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,78,95,"- Methodologies and models for assessing and analyzing the adverse impacts of response measures, including unilateral ones;",1.0,explorer
UNFCCC.party.1771.0,9ff61c0e148bd15b4a3faf2c543a39ec__af4c73b807ca5f02c4ccbf0d8526c0e1deb9b8cb11783e537ebc4882175854e2,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,275,292,"- Capacity-building programmes and plans to help developing country Parties to use the methodologies and tools, including modeling instruments on existing tools and/or the tools developed by the Forum through regional training activities, and address the negative impacts of response measures;",1.0,explorer
UNFCCC.party.1771.0,443cb44d0152634b459b0dea1d9b41f2__26c998a8a9d79e50d486e66a003b9b095e0ef7421468db8223d7cc9bd2369998,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,68,85,"- Reporting on actions and impacts related to the implementation of response measures, in such a way as to promote actions to minimize their negative impacts;",1.0,explorer
UNFCCC.party.1771.0,bba5bf8c1b2f149659a88882658cca5b__facf068c6628eb0224b71f50e97c16105a8e039e2768d2ab80a12e160c5a4039,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,131,148,- Monitoring and reporting on impacts and measures undertaken to address and/or minimize the negative impacts of implementation of response measures;,1.0,explorer
UNFCCC.party.1771.0,806313d1f5496e31d7617f513e69029d__b2635c41977d5d2f91931630dcd288ba582ea916c738cfd3d91ef79f0f226e09,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,130,147,"- Enhancing awareness and Parties' capacities to assess, address, manage, monitor, and report on the impacts of implementation of response measures;",1.0,explorer
